player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0023468,2010,49ers,0.9967479674796748,28.0,154.02301766358204,-0.03,37.50%,David Baas,C,100.0,0.0,28.0,78.8,67.6,81.4,6.0,15.0,547.0,100.0,100.0,97.5,2.0,24.0,3.0,939.0,939.0,0.0,0.0,939.0,576.0,576.0,0.0,0.0,363.0,0.0,73993.2,MISSING
00-0027993,2017,Raiders,4.161676646706587,28.0,80.00283567998292,-0.13,37.50%,Rodney Hudson,C,100.0,0.0,23.0,76.2,91.1,68.4,1.0,1.0,592.0,100.0,100.0,99.7,4.0,3.0,1.0,1007.0,1007.0,0.0,0.0,1007.0,635.0,635.0,0.0,0.0,372.0,0.0,76733.40000000001,MISSING
00-0032455,2017,Rams,0.3233532934131736,25.0,13.906471522891492,0.14,64.70%,Austin Blythe,C,100.0,0.0,26.0,51.9,30.2,60.4,2.0,3.0,69.0,100.0,100.0,96.4,2.0,5.0,0.0,197.0,108.0,89.0,0.0,197.0,74.0,74.0,0.0,0.0,123.0,0.0,10224.3,MISSING
00-0026327,2017,Rams,0.5988017964071857,32.0,6.000398926370371,0.14,64.70%,John Sullivan,C,100.0,0.0,26.0,70.5,75.3,66.4,3.0,12.0,540.0,100.0,100.0,98.4,2.0,16.0,1.0,926.0,926.0,0.0,0.0,926.0,568.0,568.0,0.0,0.0,358.0,0.0,65283.0,MISSING
00-0035588,2022,Vikings,1.9688256484149853,27.0,311.92951417402213,-0.001,72.20%,Garrett Bradbury,C,100.0,0.0,18.0,70.2,68.1,72.4,4.0,18.0,495.0,100.0,100.0,97.4,4.0,24.0,2.0,809.0,809.0,0.0,0.0,809.0,530.0,530.0,0.0,0.0,279.0,0.0,56791.8,MISSING
00-0029895,2017,Ravens,1.0760479041916169,26.0,20.85738812764947,0.07,56.30%,Ryan Jensen,C,100.0,2.0,3.0,72.3,66.7,72.4,1.0,8.0,596.0,100.0,100.0,98.7,4.0,12.0,3.0,1085.0,1085.0,0.0,0.0,1085.0,625.0,625.0,0.0,0.0,460.0,0.0,78445.5,MISSING
00-0033793,2022,Titans,0.4298751200768492,28.0,11.89571834775113,-0.081,41.20%,Corey Levin,C,100.0,0.0,31.0,68.3,81.6,64.6,0.0,3.0,126.0,100.0,100.0,98.0,1.0,4.0,1.0,251.0,230.0,0.0,0.0,251.0,129.0,129.0,18.0,0.0,122.0,3.0,17143.3,MISSING
00-0029413,2022,Titans,1.6394490874159462,33.0,13.149444868185984,-0.081,41.20%,Ben Jones,C,100.0,0.0,31.0,71.9,68.4,73.7,2.0,7.0,346.0,100.0,100.0,98.4,5.0,10.0,1.0,682.0,682.0,0.0,0.0,682.0,371.0,371.0,0.0,0.0,311.0,0.0,49035.8,MISSING
00-0027025,2017,Saints,4.431137724550898,31.0,48.184205142629445,0.14,66.70%,Max Unger,C,100.0,0.0,20.0,63.1,72.0,56.8,3.0,11.0,636.0,100.0,100.0,98.6,0.0,16.0,2.0,1164.0,1163.0,0.0,0.0,1164.0,668.0,668.0,0.0,0.0,496.0,0.0,73448.40000000001,63.82742066720912
00-0031852,2017,Patriots,0.7904191616766467,25.0,0.0,0.09,79.00%,David Andrews,C,100.0,0.0,19.0,83.5,81.6,81.3,4.0,20.0,700.0,100.0,100.0,98.0,2.0,26.0,2.0,1207.0,1207.0,0.0,0.0,1207.0,757.0,757.0,0.0,0.0,450.0,0.0,100784.5,61.31388152077808
00-0031282,2017,Seahawks,1.407145508982036,26.0,139.3327309780732,0.06,56.30%,Justin Britt,C,100.0,2.0,29.0,65.5,74.4,62.3,1.0,9.0,651.0,100.0,100.0,99.1,6.0,11.0,1.0,1062.0,1061.0,0.0,0.0,1062.0,712.0,712.0,0.0,0.0,350.0,0.0,69561.0,MISSING
