Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year_y,weighted_grade,weighted_average_grade,merge_player_y
390.0,390.0,2010.0,Buccaneers,CB,Ronde Barber,00-0000741,13.0,1997.0,1997.0,Buccaneers,35.0,66.0,0.296,7.9,260.0,76.25,794.0,8.259320625354707,2010.0,Buccaneers,0.05,62.50%,ronde barber,ronde barber,ronde barber,0,Ronde Barber,TB,CB,987,261,16,12,1,0,30,0,69.2,75.0,23.0,53.7,3,0,13.3,12,9,4,73.1,41,442,518,357,28,66,8,71,3,450,2010,74025.0,60.379119210326515,ronde barber
844.0,844.0,2010.0,Dolphins,CB,Al Harris,00-0006915,13.0,1997.0,1997.0,Buccaneers,35.0,169.0,0.099,1.9,24.0,7.76,299.0,2.3206162388797837,2010.0,Dolphins,-0.07,43.80%,al harris,al harris,al harris,1,Al Harris,MIA,CB,70,282,3,0,1,0,17,0,52.9,48.3,0.0,37.9,0,0,25.0,1,0,1,80.7,5,69,61,1,1,3,0,8,0,51,2010,3381.0,65.14442846872754,al harris
1287.0,1287.0,2010.0,Packers,CB,Charles Woodson,00-0018227,12.0,1998.0,1998.0,Raiders,33.0,4.0,1.027,25.8,1800.0,490.52,2270.0,42.53903741704629,2010.0,Packers,0.18,70.00%,charles woodson,charles woodson,charles woodson,2,Charles Woodson,GB,CB,1209,330,20,12,0,5,12,0,60.0,65.9,71.1,70.5,2,1,12.1,14,8,11,85.3,56,400,659,655,51,90,8,91,3,658,2010,79673.1,61.46780399274047,charles woodson
647.0,647.0,2010.0,Colts,CB,Deshea Townsend,00-0016577,12.0,1998.0,1998.0,Steelers,34.0,117.0,0.16,4.3,60.0,24.7,492.0,5.76414472430016,2010.0,Colts,0.06,58.80%,deshea townsend,deshea townsend,deshea townsend,3,Deshea Townsend,IND,CB,140,391,8,1,0,0,14,0,63.6,63.3,81.8,72.2,0,0,11.1,1,1,0,93.0,8,3,115,69,1,7,0,11,0,80,2010,8862.0,60.15215439856373,deshea townsend
253.0,253.0,2010.0,Broncos,CB,Champ Bailey,00-0000585,11.0,1999.0,1999.0,Commanders,32.0,7.0,0.919,22.2,1500.0,425.5,1975.0,49.82794935403922,2010.0,Broncos,-0.13,25.00%,champ bailey,champ bailey,champ bailey,4,Champ Bailey,DEN,CB,966,442,15,2,0,1,10,0,85.8,85.7,88.7,86.2,2,0,2.3,1,12,2,85.5,38,843,490,96,14,40,2,66,4,442,2010,82786.2,69.9887653374233,champ bailey
1972.0,1972.0,2010.0,Vikings,CB,Antoine Winfield,00-0018093,11.0,1999.0,1999.0,Bills,33.0,23.0,0.573,14.6,760.0,244.86,1349.0,30.776475472823407,2010.0,Vikings,-0.07,37.50%,antoine winfield,antoine winfield,antoine winfield,5,Antoine Winfield,MIN,CB,981,456,16,12,0,2,18,1,88.9,91.2,89.0,83.6,2,0,5.4,5,3,0,73.7,59,345,559,511,41,76,3,84,0,463,2010,89467.2,62.349387576552935,antoine winfield
4.0,4.0,2010.0,49ers,CB,Nate Clements,00-0020495,9.0,2001.0,2001.0,Bills,30.0,21.0,0.594,15.2,800.0,260.82,1397.0,58.5054917100735,2010.0,49ers,-0.03,37.50%,nate clements,nate clements,nate clements,6,Nate Clements,SF,CB,1056,791,16,9,1,3,28,0,70.5,76.0,89.1,74.9,3,0,7.1,6,7,4,90.5,62,517,610,464,30,70,9,96,4,778,2010,80256.0,MISSING,nate clements
7.0,7.0,2010.0,49ers,CB,William James,00-0020384,9.0,2001.0,2001.0,Giants,31.0,78.0,0.251,6.9,200.0,58.54,706.0,23.365829254730897,2010.0,49ers,-0.03,37.50%,william james,william james,william james,7,William James,SF,CB,106,839,4,0,0,0,28,0,58.7,57.7,79.8,81.5,0,0,0.0,0,1,1,84.1,6,103,86,3,0,9,0,13,1,56,2010,6116.200000000001,MISSING,william james
511.0,511.0,2010.0,Chargers,CB,Quentin Jammer,00-0021381,8.0,2002.0,2002.0,Chargers,31.0,5.0,0.991,24.3,1700.0,467.81,2152.0,134.35203353988243,2010.0,Chargers,0.24,56.30%,quentin jammer,quentin jammer,quentin jammer,8,Quentin Jammer,SD,CB,968,1013,16,5,0,1,27,0,62.1,64.1,88.5,50.9,2,0,14.8,8,7,5,74.9,40,848,575,70,13,41,0,78,3,524,2010,62048.8,MISSING,quentin jammer
712.0,712.0,2010.0,Commanders,CB,Phillip Buchanon,00-0021151,8.0,2002.0,2002.0,Raiders,29.0,17.0,0.646,16.6,950.0,295.92,1508.0,87.38828780510212,2010.0,Commanders,-0.12,37.50%,phillip buchanon,phillip buchanon,phillip buchanon,9,Phillip Buchanon,WAS,CB,720,1024,16,4,0,2,32,1,61.9,63.3,88.9,52.2,2,0,11.1,6,14,3,71.4,44,689,473,5,12,44,2,77,1,521,2010,45576.0,MISSING,phillip buchanon
1970.0,1970.0,2010.0,Vikings,CB,Lito Sheppard,00-0021157,8.0,2002.0,2002.0,Eagles,29.0,26.0,0.549,13.9,700.0,222.74,1284.0,71.4514958227559,2010.0,Vikings,-0.07,37.50%,lito sheppard,lito sheppard,lito sheppard,10,Lito Sheppard,MIN,CB,252,1033,12,1,0,0,18,0,58.6,59.4,19.3,62.5,0,0,10.0,2,6,1,126.6,25,246,189,4,6,17,0,40,5,315,2010,14968.8,MISSING,lito sheppard
316.0,316.0,2010.0,Browns,CB,Sheldon Brown,00-0021186,8.0,2002.0,2002.0,Eagles,31.0,59.0,0.332,8.6,310.0,90.84,853.0,41.16963128105659,2010.0,Browns,-0.12,31.30%,sheldon brown,sheldon brown,sheldon brown,11,Sheldon Brown,CLV,CB,890,1066,16,5,0,0,8,0,65.9,71.2,89.9,61.8,2,0,11.8,8,8,3,114.2,46,776,482,9,16,55,1,72,7,657,2010,63368.0,MISSING,sheldon brown
254.0,254.0,2010.0,Broncos,CB,Andre' Goodman,00-0021194,8.0,2002.0,2002.0,Lions,32.0,68.0,0.287,7.7,250.0,72.97,778.0,35.9797142050807,2010.0,Broncos,-0.13,25.00%,andre goodman,andre goodman,andre goodman,12,Andre' Goodman,DEN,CB,367,1075,8,0,1,0,10,0,62.7,60.0,35.0,73.0,0,0,5.6,1,6,1,84.7,19,331,186,26,4,17,0,41,1,353,2010,22020.0,MISSING,andre goodman
