team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year,weighted_grade,weighted_average_grade,merge_player_y
Bears,00-0027604,72.38723079795948,Bears,0.02,66.70%,Joshua Moore,CB,0.3004065040650406,2010.0,joshua moore,joshua holsey,joshua holsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027126,38.332153248086094,Bills,-0.19,25.00%,Cary Harris,CB,0.1322333333333333,2010.0,cary harris,al harris,al harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027126,38.332153248086094,Bills,-0.19,25.00%,Cary Harris,CB,0.1322333333333333,2010.0,cary harris,al harris,al harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0022828,11.010381737444192,Broncos,-0.13,25.00%,Nathan Jones,CB,0.7154471544715447,2010.0,nathan jones,nathan jones,nathan jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0025527,54.13330635915477,Cardinals,-0.21,31.30%,Brandon McDonald,CB,0.8951219512195121,2010.0,brandon mcdonald,brandon mcdonald,brandon mcdonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0022786,49.61938731184338,Cardinals,-0.21,31.30%,Matt Ware,CB,0.6686991869918699,2010.0,matt ware,,matt ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0023663,9.267543285011373,Cardinals,-0.21,31.30%,Hamza Abdullah,CB,0.5121951219512195,2010.0,hamza abdullah,,hamza abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0025510,65.47695924635613,Chargers,0.24,56.30%,Fred Bennett,CB,0.6097560975609756,2010.0,fred bennett,fred bennett,fred bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0027072,103.10052443001751,Chiefs,0.05,58.80%,Donald Washington,CB,0.4267853658536585,2010.0,donald washington,ardarius washington,ardarius washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026571,0.0,Chiefs,0.05,58.80%,Reshard Langford,CB,0.2601626016260162,2010.0,reshard langford,,reshard langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027468,0.0,Colts,0.06,58.80%,Brandon King,CB,0.2604333333333333,2010.0,brandon king,brandon king,brandon king,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0025624,12.886866915269128,Cowboys,0.0,37.50%,Alan Ball,CB,0.4430894308943089,2010.0,alan ball,alan ball,alan ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027853,0.0,Cowboys,0.0,37.50%,Teddy Williams,CB,0.0718699186991869,2010.0,teddy williams,teddy williams,teddy williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027853,0.0,Cowboys,0.0,37.50%,Teddy Williams,CB,0.0306073170731707,2010.0,teddy williams,teddy williams,teddy williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0026444,0.0,Giants,0.09,62.50%,Brian Witherspoon,CB,0.3821138211382114,2010.0,brian witherspoon,devon witherspoon,devon witherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026648,0.0,Jets,0.08,68.40%,Emanuel Cook,CB,0.0612146341463414,2010.0,emanuel cook,,emanuel cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0025471,106.8894754174256,Lions,-0.01,37.50%,Jonathan Wade,CB,0.4430894308943089,2010.0,jonathan wade,jonathan wade,jonathan wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0024422,19.006833079351715,Packers,0.18,70.00%,Derrick Martin,CB,0.709349593495935,2010.0,derrick martin,derrick martin,derrick martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0027503,0.0,Packers,0.18,70.00%,Josh Gordy,CB,0.0821138211382113,2010.0,josh gordy,josh gordy,josh gordy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0024406,24.855770283264327,Panthers,-0.21,12.50%,Marcus Hudson,CB,0.5121951219512195,2010.0,marcus hudson,marcus jones,marcus jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0026202,159.26144211075578,Patriots,0.22,82.40%,Terrence Wheatley,CB,0.5630081300813008,2010.0,terrence wheatley,terrence mcgee,terrence mcgee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0027806,26.849072088818723,Rams,-0.04,43.80%,Marquis Johnson,CB,0.2601626016260162,2010.0,marquis johnson,marquis johnson,marquis johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027482,0.0,Seahawks,-0.13,44.40%,Josh Pinkard,CB,0.2601626016260162,2010.0,josh pinkard,,josh pinkard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027479,0.0,Seahawks,-0.13,44.40%,Marcus Brown,CB,0.2601626016260162,2010.0,marcus brown,marcus roberson,marcus roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0021992,80.3832823629569,Texans,-0.04,37.50%,Eugene Wilson,CB,3.0121951219512195,2010.0,eugene wilson,quincy wilson,quincy wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0027547,0.0,Vikings,-0.07,37.50%,Marcus Sherels,CB,0.1437398373983739,2010.0,marcus sherels,marcus sherels,marcus sherels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0027547,0.0,Vikings,-0.07,37.50%,Marcus Sherels,CB,0.0306073170731707,2010.0,marcus sherels,marcus sherels,marcus sherels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0027763,49.64425437047008,Cardinals,-0.05,50.00%,Crezdon Butler,CB,0.3738317757009346,2011.0,crezdon butler,crezdon butler,crezdon butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0023663,6.865564926492926,Cardinals,-0.05,50.00%,Hamza Abdullah,CB,0.4361370716510903,2011.0,hamza abdullah,,hamza abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0027072,93.28921232341044,Chiefs,-0.1,43.80%,Donald Washington,CB,0.5440880581516095,2011.0,donald washington,ardarius washington,ardarius washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026571,0.0,Chiefs,-0.1,43.80%,Reshard Langford,CB,0.3987538940809969,2011.0,reshard langford,,reshard langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0028617,0.0,Colts,-0.19,12.50%,Mike Holmes,CB,0.3115264797507788,2011.0,mike holmes,mike hughes,mike hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0021151,64.7388358801976,Commanders,-0.1,31.30%,Phillip Buchanon,CB,1.5698483904465217,2011.0,phillip buchanon,phillip buchanon,phillip buchanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0028085,67.56719136258307,Jaguars,-0.14,31.30%,Roderick Issac,CB,0.2537819314641745,2011.0,roderick issac,,roderick issac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
