,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
0,Scott Wells,GB,C,100.0,0,12,84.6,76.0,84.8,3,15,769,100.0,100.0,98.6,2,20,2,1282,1282,0,0,1282,810,810,0,0,472,0,Packers,2010,108457.2,78.5
1,Nick Mangold,NYJ,C,100.0,0,22,88.1,82.7,86.2,1,10,630,100.0,100.0,99.0,3,12,1,1227,1227,0,0,1227,660,660,0,0,567,0,Jets,2010,108098.7,64.3228176318064
2,Todd McClure,ATL,C,100.0,0,2,74.9,66.6,75.0,4,23,648,100.0,100.0,97.6,1,29,2,1193,1193,0,0,1193,699,699,0,0,494,0,Falcons,2010,89355.70000000001,65.3
3,Matt Birk,BLT,C,100.0,0,3,81.0,87.7,76.1,0,6,619,100.0,100.0,99.4,2,7,1,1186,1186,0,0,1186,656,656,0,0,530,0,Ravens,2010,96066.0,65.23298033282904
4,Jonathan Goodwin,NO,C,100.0,0,20,68.6,75.6,64.0,3,16,742,100.0,100.0,98.5,1,21,2,1178,1178,0,0,1178,776,776,0,0,402,0,Saints,2010,80810.79999999999,64.7
5,Jeff Saturday,IND,C,100.0,0,14,83.9,87.8,79.1,2,6,723,100.0,100.0,99.4,5,8,0,1176,1176,0,0,1176,746,746,0,0,430,0,Colts,2010,98666.40000000001,83.22093726379441
6,Casey Wiegmann,KC,C,100.0,1,16,73.8,70.9,71.2,10,14,546,100.0,100.0,97.8,2,24,0,1143,1143,0,0,1143,579,579,0,0,564,0,Chiefs,2010,84353.4,69.5
7,Chris Spencer,SEA,C,100.0,0,29,68.9,70.4,68.3,5,11,681,100.0,100.0,98.4,5,19,3,1129,1129,0,0,1129,715,715,0,0,414,0,Seahawks,2010,77788.1,66.22729754322111
8,Olin Kreutz,CHI,C,100.0,1,6,60.1,75.9,55.5,2,11,629,100.0,100.0,98.6,8,15,2,1123,1123,0,0,1123,667,667,0,0,456,0,Bears,2010,67492.3,81.0
9,Mike McGlynn,PHI,C,100.0,0,24,66.6,67.2,65.1,6,21,695,100.0,100.0,97.8,3,29,2,1110,1110,0,0,1110,736,736,0,0,374,0,Eagles,2010,73926.0,67.7
10,Dominic Raiola,DET,C,100.0,0,11,64.7,66.3,66.1,1,22,679,100.0,100.0,98.0,5,25,2,1107,1107,0,0,1107,717,717,0,0,390,0,Lions,2010,71622.90000000001,90.0
11,Jason Brown,SL,C,100.0,1,26,66.2,79.5,61.5,0,11,637,100.0,100.0,99.0,6,12,1,1094,1094,0,0,1094,673,673,0,0,421,0,Rams,2010,72422.8,
12,Kyle Cook,CIN,C,100.0,0,7,78.5,72.8,78.0,3,12,625,100.0,100.0,98.3,3,18,3,1094,1094,0,0,1094,661,661,0,0,433,0,Bengals,2010,85879.0,
13,Dan Koppen,NE,C,100.0,0,19,74.4,68.2,75.2,2,16,580,100.0,100.0,97.9,3,21,3,1080,1080,0,0,1080,610,610,0,0,470,0,Patriots,2010,80352.0,
14,Maurkice Pouncey,PIT,C,100.0,0,25,67.7,66.8,66.4,5,17,552,100.0,100.0,97.5,1,25,3,1073,1073,0,0,1073,591,591,0,0,482,0,Steelers,2010,72642.1,
15,Andre Gurode,DAL,C,100.0,1,9,74.0,80.7,72.6,2,8,637,100.0,100.0,99.1,7,11,1,1073,1073,0,0,1073,671,671,0,0,402,0,Cowboys,2010,79402.0,
16,Chris Myers,HST,C,100.0,0,13,90.0,72.0,91.1,3,16,607,100.0,100.0,98.3,0,20,1,1067,1067,0,0,1067,645,645,0,0,422,0,Texans,2010,96030.0,
17,Brad Meester,JAX,C,100.0,2,15,77.0,73.1,75.5,6,9,535,100.0,100.0,98.0,5,18,3,1064,1064,0,0,1064,565,565,0,0,499,0,Jaguars,2010,81928.0,
