Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1326.0,1326.0,2010.0,Packers,OL,Scott Wells,00-0022832,6.0,2004.0,2004.0,Packers,29.0,251.0,0.048,0.0,0.0,1.25,90.0,5.410825921635036,2010.0,Packers,0.18,70.00%,scott wells,scott wells,scott wells,0,Scott Wells,GB,C,100.0,0,12,84.6,76.0,84.8,3,15,769,100.0,100.0,98.6,2,20,2,1282,1282,0,0,1282,810,810,0,0,472,0,2010,108457.2,78.5,scott wells
1188.0,1188.0,2010.0,Jets,OL,Nick Mangold,00-0024244,4.0,2006.0,2006.0,Jets,26.0,29.0,0.525,13.2,640.0,202.61,1227.0,223.753004253771,2010.0,Jets,0.08,68.40%,nick mangold,nick mangold,nick mangold,1,Nick Mangold,NYJ,C,100.0,0,22,88.1,82.7,86.2,1,10,630,100.0,100.0,99.0,3,12,1,1227,1227,0,0,1227,660,660,0,0,567,0,2010,108098.7,64.3228176318064,nick mangold
1005.0,1005.0,2010.0,Falcons,OL,Todd McClure,00-0010711,11.0,1999.0,1999.0,Falcons,33.0,237.0,0.051,0.0,0.0,1.71,121.0,1.4279055556068865,2010.0,Falcons,0.1,76.50%,todd mcclure,todd mcclure,todd mcclure,2,Todd McClure,ATL,C,100.0,0,2,74.9,66.6,75.0,4,23,648,100.0,100.0,97.6,1,29,2,1193,1193,0,0,1193,699,699,0,0,494,0,2010,89355.70000000001,65.3,todd mcclure
1633.0,1633.0,2010.0,Ravens,OL,Matt Birk,00-0001263,12.0,1998.0,1998.0,Vikings,34.0,173.0,0.095,1.8,22.0,7.1,286.0,2.985655234797205,2010.0,Ravens,0.06,72.20%,matt birk,matt birk,matt birk,3,Matt Birk,BLT,C,100.0,0,3,81.0,87.7,76.1,0,6,619,100.0,100.0,99.4,2,7,1,1186,1186,0,0,1186,656,656,0,0,530,0,2010,96066.0,65.23298033282904,matt birk
1690.0,1690.0,2010.0,Saints,OL,Jonathan Goodwin,00-0021267,8.0,2002.0,2002.0,Jets,31.0,154.0,0.116,2.5,30.0,10.84,348.0,12.569955201532473,2010.0,Saints,0.11,64.70%,jonathan goodwin,jonathan goodwin,jonathan goodwin,4,Jonathan Goodwin,NO,C,100.0,0,20,68.6,75.6,64.0,3,16,742,100.0,100.0,98.5,1,21,2,1178,1178,0,0,1178,776,776,0,0,402,0,2010,80810.79999999999,64.7,jonathan goodwin
682.0,682.0,2010.0,Colts,OL,Jeff Saturday,00-0014375,12.0,1998.0,1998.0,MISSING,35.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Colts,0.06,58.80%,jeff saturday,jeff saturday,jeff saturday,5,Jeff Saturday,IND,C,100.0,0,14,83.9,87.8,79.1,2,6,723,100.0,100.0,99.4,5,8,0,1176,1176,0,0,1176,746,746,0,0,430,0,2010,98666.4,83.22093726379441,jeff saturday
615.0,615.0,2010.0,Chiefs,OL,Casey Wiegmann,00-0017638,14.0,1996.0,1996.0,MISSING,37.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chiefs,0.05,58.80%,casey wiegmann,casey wiegmann,casey wiegmann,6,Casey Wiegmann,KC,C,100.0,1,16,73.8,70.9,71.2,10,14,546,100.0,100.0,97.8,2,24,0,1143,1143,0,0,1143,579,579,0,0,564,0,2010,84353.4,69.5,casey wiegmann
1747.0,1747.0,2010.0,Seahawks,OL,Chris Spencer,00-0023461,5.0,2005.0,2005.0,Seahawks,28.0,26.0,0.549,13.9,700.0,222.74,1284.0,175.74232142246822,2010.0,Seahawks,-0.13,44.40%,chris spencer,chris spencer,chris spencer,7,Chris Spencer,SEA,C,100.0,0,29,68.9,70.4,68.3,5,11,681,100.0,100.0,98.4,5,19,3,1129,1129,0,0,1129,715,715,0,0,414,0,2010,77788.1,66.22729754322111,chris spencer
94.0,94.0,2010.0,Bears,OL,Olin Kreutz,00-0009472,12.0,1998.0,1998.0,Bears,33.0,64.0,0.306,8.1,270.0,76.69,810.0,11.4371270305992,2010.0,Bears,0.02,66.70%,olin kreutz,olin kreutz,olin kreutz,8,Olin Kreutz,CHI,C,100.0,1,6,60.1,75.9,55.5,2,11,629,100.0,100.0,98.6,8,15,2,1123,1123,0,0,1123,667,667,0,0,456,0,2010,67492.3,81.0,olin kreutz
945.0,945.0,2010.0,Eagles,OL,Mike McGlynn,00-0026249,2.0,2008.0,2008.0,Eagles,25.0,109.0,0.177,4.7,76.0,29.51,530.0,85.68758885744568,2010.0,Eagles,0.01,58.80%,mike mcglynn,mike mcglynn,mike mcglynn,9,Mike McGlynn,PHI,C,100.0,0,24,66.6,67.2,65.1,6,21,695,100.0,100.0,97.8,3,29,2,1110,1110,0,0,1110,736,736,0,0,374,0,2010,73926.0,67.7,mike mcglynn
