team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year,weighted_grade,weighted_average_grade,merge_player_y
Bears,00-0020260,17.74989397005592,Bears,0.02,66.70%,Roberto Garza,C,1.731707317073171,2010.0,roberto garza,roberto garza,roberto garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0027820,19.33341850220264,Bengals,-0.06,25.00%,Reggie Stephens,C,0.2706081300813008,2010.0,reggie stephens,,reggie stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027004,307.8251035025631,Bills,-0.19,25.00%,Eric Wood,C,2.116869918699187,2010.0,eric wood,eric wood,eric wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0027781,42.36358099700373,Broncos,-0.13,25.00%,Eric Olsen,C,0.3426829268292683,2010.0,eric olsen,,eric olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0025619,13.590306994889724,Browns,-0.12,31.30%,Steve Vallos,C,0.3861788617886179,2010.0,steve vallos,steve vallos,steve vallos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0022018,16.3618591320606,Cardinals,-0.21,31.30%,Ben Claxton,C,0.3821138211382114,2010.0,ben claxton,,ben claxton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0022350,0.0,Chiefs,0.05,58.80%,Ryan Lilja,C,2.027439024390244,2010.0,ryan lilja,ryan lilja,ryan lilja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027729,82.81039924286793,Colts,0.06,58.80%,Jacques McClendon,C,0.3485772357723577,2010.0,jacques mcclendon,,jacques mcclendon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0026248,86.88494786109887,Commanders,-0.12,37.50%,Kory Lichtensteiger,C,0.3821138211382114,2010.0,kory lichtensteiger,kory lichtensteiger,kory lichtensteiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0027821,19.19008516886931,Commanders,-0.12,37.50%,Erik Cook,C,0.0765178861788618,2010.0,erik cook,erik mccoy,erik mccoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
