,Team,Year,Position,Value_cap_space,Value_draft_data,Previous_AV,Current_AV,Previous_PFF,Current_PFF,Total DVOA,win-loss-pct,Net EPA,snap_counts_defense,weighted_avg_player,weighted_avg_player_id,weighted_avg_player_game_count,weighted_avg_assists,weighted_avg_batted_passes,weighted_avg_catch_rate,weighted_avg_declined_penalties,weighted_avg_forced_fumbles,weighted_avg_franchise_id,weighted_avg_fumble_recoveries,weighted_avg_fumble_recovery_touchdowns,weighted_avg_grades_coverage_defense,weighted_avg_grades_defense_penalty,weighted_avg_grades_pass_rush_defense,weighted_avg_grades_run_defense,weighted_avg_grades_tackle,weighted_avg_hits,weighted_avg_hurries,weighted_avg_interception_touchdowns,weighted_avg_interceptions,weighted_avg_longest,weighted_avg_missed_tackle_rate,weighted_avg_missed_tackles,weighted_avg_pass_break_ups,weighted_avg_penalties,weighted_avg_qb_rating_against,weighted_avg_receptions,weighted_avg_sacks,weighted_avg_safeties,weighted_avg_snap_counts_box,weighted_avg_snap_counts_corner,weighted_avg_snap_counts_coverage,weighted_avg_snap_counts_dl,weighted_avg_snap_counts_dl_a_gap,weighted_avg_snap_counts_dl_b_gap,weighted_avg_snap_counts_dl_outside_t,weighted_avg_snap_counts_dl_over_t,weighted_avg_snap_counts_fs,weighted_avg_snap_counts_offball,weighted_avg_snap_counts_pass_rush,weighted_avg_snap_counts_run_defense,weighted_avg_snap_counts_slot,weighted_avg_stops,weighted_avg_tackles,weighted_avg_tackles_for_loss,weighted_avg_targets,weighted_avg_total_pressures,weighted_avg_touchdowns,weighted_avg_yards,weighted_avg_yards_after_catch,weighted_avg_yards_per_reception
0,Buccaneers,2019,DB,4.468650371944739,580.3534081406945,29.0,30.0,60.72213755764989,60.67429059099638,1.50%,0.4375,0.072,4687,0.0,37940.00170684873,12.94175378707062,4.138894815446981,0.5385107744826115,62.5294004693834,1.3644122039684232,0.3456368679325795,30.0,0.5263494772775763,0.0,59.41478557712822,64.78190740345636,56.981395348837204,58.66475357371452,56.251824194580756,0.23213142735225087,2.6532963516108383,0.14636227864305523,1.1245999573287817,42.25304032430126,13.833880947301047,7.574141241732452,6.390655003200341,4.382120759547685,94.70469383400895,31.632174098570513,0.2773629187113292,0.0,123.69148709195647,246.94730104544485,466.1414550885428,12.69767441860465,0.0,0.0,12.69767441860465,0.0,170.85875826754855,672.6556432686153,20.673351824194576,198.5385107744826,130.3053125666738,14.423725197354385,42.691913804139105,2.3138468103264347,52.69234051632174,3.162790697674419,3.5410710475784084,364.8056326008107,112.85534457008748,11.415318967356518
1,Packers,2019,DB,12.20510095642933,753.0276897728884,23.0,32.0,60.2323966278603,69.79405689436491,7.70%,0.8125,0.089,5519,0.0,24227.426345352418,14.209639427432506,5.510599746330857,0.0634172857401703,62.05948541402428,0.7803949990940388,0.6782025729298786,12.0,0.46185903243341186,0.0,72.08249682913572,66.35325240079725,62.14544301503896,57.46285558978076,58.080485595216516,0.5457510418554086,1.903786917919913,0.0,2.1295524551549194,43.62656278311288,13.663978981699584,8.382496829135713,6.237361840913209,1.9878601195868817,87.68483420909584,32.80974814277949,0.47943468019568763,0.0,166.28066678746148,290.31074470012686,488.96883493386485,13.66044573292263,0.0,0.0,13.66044573292263,0.0,162.11596303678203,774.458235187534,11.836021018300416,287.3138249682914,155.75086066316362,13.476897988766082,46.936945098749774,1.865374161985867,54.561514767167964,2.9289726399710094,2.329045116868998,455.25493748867547,174.11976807392642,13.216488494292442
2,Giants,2019,DB,6.094580233793836,437.84900786551015,33.0,29.0,64.75265180630284,58.79876094851527,-17.50%,0.25,-0.137,4681,0.0,25940.092287972657,12.501388592181158,7.069856868190557,0.1506088442640461,70.39260841700492,0.45417645802179013,0.5389873958555863,21.0,0.47938474684896387,0.0,56.258769493697926,68.78034607989746,49.38769493697928,65.8803674428541,65.99679555650502,0.4520401623584704,1.7534714804528946,0.1506088442640461,0.4742576372569964,41.46678060243538,11.254197820978426,7.525101474044008,3.692800683614612,3.0196539201025425,115.41785943174536,27.23392437513352,0.2407605212561418,0.06173894466994232,173.9820551164281,195.29352702414013,413.77675710318306,12.345225379192483,0.0,0.0,12.345225379192483,0.0,218.21192052980132,690.5171971800897,9.991454817346721,279.09421063875243,103.02969450972014,17.129032258064516,52.021149327066865,2.837427900021363,39.798974578081605,2.446272164067507,3.4629352702414016,388.9074983977782,153.4601580858791,13.897415082247385
3,Commanders,2019,DB,10.77577045696068,187.8980709265843,33.0,29.0,66.48295923041687,59.19716260458348,-25.70%,0.1875,-0.213,5498,0.0,15519.714805383775,11.22990178246635,7.3310294652600945,0.0,69.39636231356856,0.36013095671153145,0.49417970170971265,32.0,0.33503092033466714,0.0,58.20232811931612,57.67901054929065,44.46837031647872,58.37440887595489,59.89108766824299,0.5078210258275737,1.401236813386686,0.0,1.2737359039650782,33.46544197890142,13.088032011640596,7.526009457984721,2.6307748272098945,2.8166606038559476,95.52209894507094,25.3501273190251,0.19225172790105494,0.0,142.11022189887237,187.0465623863223,364.2202619134231,17.244816296835214,0.0,0.0,17.244816296835214,0.0,164.49927246271375,610.3110221898872,9.241178610403784,254.09439796289558,116.6549654419789,14.586395052746454,43.48945070934885,2.097671880683885,36.231356857038925,2.101309567115315,2.495816660603856,287.67006184066935,124.45489268825027,11.044325209166969
4,Patriots,2019,DB,23.990435706695003,290.0230029661529,45.0,61.0,75.64735594456602,72.7709930802319,29.90%,0.75,0.227,5347,0.0,11915.622592107724,14.924630634000374,4.925752758556199,0.12287263886291376,57.994632504207964,0.5414250981858987,0.5853749766224051,19.0,0.3549654011595287,0.0,75.18363568356088,66.0422853936787,43.50884608191509,62.7731438189639,65.0486815036469,0.5270244997194689,1.4254722274172433,0.3560875257153544,2.976248363568356,38.168879745651765,10.559079857864223,5.025060781746774,5.221619599775575,2.9466990835982796,60.28773143818964,28.811670095380588,0.0,0.0,135.409949504395,251.02674396858052,472.02356461567234,30.07630446979615,0.0,0.0,30.07630446979615,0.0,148.61847765101928,680.5784552085281,12.352160089769965,226.279034972882,145.52328408453343,11.670656442865159,37.44548344866281,0.6480269309893398,51.16420422666916,1.9524967271367122,1.1814101365251544,325.2143257901627,137.79203291565364,10.644754067701514
5,Vikings,2019,DB,21.089266737513285,427.97686274275577,38.0,33.0,73.00500703800522,71.97187037037037,15.40%,0.625,0.123,5400,0.0,12915.134444444444,13.763333333333334,6.993703703703703,0.1798148148148148,68.45898148148149,0.7644444444444445,0.8516666666666667,18.0,0.7694444444444445,0.0,71.77366666666666,69.59696296296298,45.09814814814815,64.13501851851852,69.35181481481483,0.5183333333333333,1.2862962962962963,0.16851851851851848,2.147962962962963,38.795,9.075222222222221,5.741481481481482,4.441666666666666,3.2525925925925927,81.38694444444444,32.571851851851854,0.16999999999999996,0.0,121.08925925925926,242.1516666666667,448.3016666666667,23.72037037037037,0.0,0.0,23.72037037037037,0.0,194.79962962962964,676.8244444444445,10.252777777777778,241.99037037037036,118.08611111111111,14.08851851851852,47.63111111111111,2.3405555555555555,45.849444444444444,1.9746296296296297,1.9238888888888892,355.39314814814816,112.03907407407408,11.018814814814816
6,Broncos,2019,DB,10.095642933049948,166.11937578862995,35.0,39.0,63.54422937771346,70.59796716184519,-9.00%,0.4375,-0.053,5116,0.0,19256.47107114933,13.420641125879593,7.362587959343237,0.0,66.93049257232214,0.308835027365129,0.3999218139171227,10.0,0.09831899921813911,0.16458170445660672,69.6564894448788,74.26301798279906,56.33551602814699,71.35451524628617,65.85314698983582,0.10496481626270522,0.6135652853792025,0.0,1.4614933541829553,45.61864738076623,11.20168100078186,5.728303362001563,5.694683346364347,2.529515246286161,93.56311571540266,29.715011727912433,0.10496481626270522,0.0,142.1681000781861,276.20582486317437,459.45523846755276,2.950351837372948,0.0,0.0,2.950351837372948,0.0,196.1985926505082,739.5817044566068,3.679632525410477,279.3971853010164,124.6735731039875,15.599882720875682,46.558639562157936,1.7460906958561375,45.22028928850665,0.8234949179046129,1.9806489444878812,373.5373338545739,136.16419077404223,12.208385457388585
7,Falcons,2019,DB,4.585547290116897,397.3322187729504,25.0,27.0,66.90850983358548,56.84699625763246,-5.00%,0.4375,-0.03,5077,0.0,21202.543037226707,13.504234784321449,8.466220208784716,0.0,68.97019893637976,0.5448099271223164,0.23813275556430955,2.0,0.0,0.0,55.5876895804609,70.2923182982076,49.17104589324404,59.80612566476266,56.68707898365176,0.21528461689974385,1.118573961000591,0.0,1.2592081938152453,43.68938349418948,13.998640929682882,7.642111483159346,4.247784124482962,3.0238329722276935,99.15390978924562,31.11286192633445,0.0,0.0,107.4006302934804,246.7496553082529,424.5357494583415,9.790033484341146,0.0,0.0,9.790033484341146,0.0,171.12330116210362,668.4414024029938,6.24522355721883,247.45046287177468,142.98089422887531,9.838684262359662,41.23064802048454,1.576718534567658,45.45873547370494,1.333858577900335,2.4642505416584597,384.38861532401023,181.04057514280086,12.223143588733505
8,Bengals,2019,DB,8.331562167906483,336.0395863894794,24.0,27.0,70.59709049688269,58.06420443587272,-25.20%,0.125,-0.193,5185,0.0,18088.434329797492,13.313018322082932,7.715332690453231,0.0,66.13272902603664,0.32111861137897785,0.274831243972999,7.0,0.2686595949855352,0.0,58.97949855351978,70.17718418514947,55.477666345226616,54.9321118611379,53.84692381870781,0.808678881388621,1.6682738669238186,0.0,1.2104146576663453,48.57261330761813,13.32055930568949,10.91089681774349,2.9647058823529413,1.5351976856316296,101.10293153326904,27.733461909353906,0.2576663452266152,0.0,194.00983606557378,238.0185149469624,420.4892960462874,15.802892960462874,0.0,0.0,15.802892960462874,0.0,200.4499517839923,748.8912246865959,15.938090646094503,328.266730954677,116.41292189006751,13.882738669238186,50.13519768563164,1.7864995178399228,42.71051108968177,2.734619093539055,2.0981677917068464,416.8106075216972,172.22989392478303,14.83864995178399
9,Colts,2019,DB,15.706695005313495,503.0988166362176,40.0,28.0,70.6016367887763,65.7787023977433,-5.00%,0.4375,0.009,4963,0.0,30630.03526093089,12.693330646786219,7.590771710658877,0.0,72.87920612532743,0.6931291557525691,0.1793270199476123,14.0,0.45798911948418297,0.0,62.39607092484386,80.201491033649,45.753032440056415,72.17366512190208,67.22202296997784,0.21075962119685673,1.0953052589159782,0.0,1.2633487809792465,38.685472496473906,10.147108603667137,5.697360467459198,2.2834978843441465,2.5865403989522466,101.72847068305461,26.449727987104573,0.46604876083014307,0.0,82.0489623211767,244.28551279468064,393.4630263953254,31.444892202296998,0.0,0.0,31.444892202296998,0.0,175.17086439653434,585.0783800120895,8.344146685472497,214.71609913358856,82.70703203707436,15.221035663912955,42.00322385653838,1.5051380213580496,37.787023977433,1.772113640942978,2.4321982671771107,323.9145678017328,111.99254483175498,11.980394922425951
10,Steelers,2019,DB,13.40595111583422,739.7596533788009,31.0,47.0,66.6062618236852,71.40354874859918,-5.50%,0.5,-0.014,5354,0.0,25961.34497571909,15.295853567426223,9.77045199850579,0.1253268584236085,61.733414269704895,0.8302203959656331,0.713111692192753,25.0,1.097310422114307,0.19536794919686215,70.698188270452,72.82896899514381,61.550579006350404,68.10526709002615,58.67896899514381,0.9600298841987299,1.0136346656705268,0.19536794919686215,2.3511393350765784,45.61561449383638,13.261804258498321,9.814531191632424,5.228800896525962,3.025588345162495,89.75713485244675,28.32050803137841,0.30070974971983566,0.0,166.33899887934254,362.75700410907734,526.5569667538289,12.99719835636907,0.0,0.0,12.99719835636907,0.0,219.66884572282402,892.8511393350766,13.301643630930146,365.9897273066866,143.95704146432573,19.414082928651474,54.71404557340306,1.9200597683974598,48.709936496077695,2.274374299589092,2.7824056779977586,355.7566305565932,111.48954053044453,12.824486365334327
