,Team,Year,Position,Value_cap_space,Value_draft_data,Previous_AV,Current_AV,Previous_PFF,Current_PFF,Total DVOA,win-loss-pct,Net EPA,weighted_avg_avg_depth_of_target,weighted_avg_avoided_tackles,weighted_avg_caught_percent,weighted_avg_contested_catch_rate,weighted_avg_contested_receptions,weighted_avg_contested_targets,weighted_avg_declined_penalties,weighted_avg_drop_rate,weighted_avg_drops,weighted_avg_first_downs,weighted_avg_franchise_id,weighted_avg_fumbles,weighted_avg_grades_hands_drop,weighted_avg_grades_hands_fumble,weighted_avg_grades_pass_block,weighted_avg_grades_pass_route,weighted_avg_inline_rate,weighted_avg_interceptions,weighted_avg_longest,weighted_avg_pass_block_rate,weighted_avg_pass_blocks,weighted_avg_pass_plays,weighted_avg_penalties,weighted_avg_receptions,weighted_avg_route_rate,weighted_avg_routes,weighted_avg_slot_rate,weighted_avg_targeted_qb_rating,weighted_avg_targets,weighted_avg_touchdowns,weighted_avg_wide_rate,weighted_avg_yards,weighted_avg_yards_after_catch,weighted_avg_yards_after_catch_per_reception,weighted_avg_yards_per_reception,weighted_avg_yprr,Previous_avg_depth_of_target,Previous_avoided_tackles,Previous_caught_percent,Previous_contested_catch_rate,Previous_contested_receptions,Previous_contested_targets,Previous_declined_penalties,Previous_drop_rate,Previous_drops,Previous_first_downs,Previous_franchise_id,Previous_fumbles,Previous_grades_hands_drop,Previous_grades_hands_fumble,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_pass_route,Previous_inline_rate,Previous_interceptions,Previous_longest,Previous_pass_block_rate,Previous_pass_blocks,Previous_pass_plays,Previous_penalties,Previous_receptions,Previous_route_rate,Previous_routes,Previous_slot_rate,Previous_targeted_qb_rating,Previous_targets,Previous_touchdowns,Previous_wide_rate,Previous_yards,Previous_yards_after_catch,Previous_yards_after_catch_per_reception,Previous_yards_per_reception,Previous_yprr
0,Buccaneers,2019,WR,3.028692879914984,248.76317792998577,29.0,27.0,79.04485559566788,79.48679611650485,1.50%,0.4375,0.072,14.549611650485437,6.2053398058252425,61.88334951456311,53.47868932038836,10.848543689320389,19.35485436893204,0.3412621359223301,4.965339805825243,2.5359223300970872,41.34368932038835,30.0,0.0,74.42509708737865,79.78242718446603,45.628106796116505,78.98631067961166,0.6881067961165048,4.782038834951456,55.24708737864078,0.2579611650485436,1.257766990291262,469.297572815534,1.649514563106796,54.40242718446602,94.2021359223301,441.2140776699029,39.42126213592233,95.50466019417476,83.72524271844661,6.454368932038835,59.85990291262136,888.2529126213592,281.33155339805825,4.249708737864077,16.025436893203885,1.8418980582524271,13.009972924187728,5.8235559566787005,65.58885379061371,47.622427797833936,9.850631768953068,18.525270758122744,0.740072202166065,4.4627256317689525,3.5013537906137184,49.4846570397112,30.0,1.1782490974729245,74.22856498194946,60.05099277978339,79.04485559566788,20.192283393501807,78.68948555956679,0.1991877256317689,4.29557761732852,59.166516245487365,0.0306407942238267,0.3064079422382672,537.7184115523465,2.3461191335740077,66.58664259927798,93.7221570397112,504.1290613718412,38.0081678700361,99.16791516245488,100.7581227436823,5.982851985559567,61.49810469314079,998.759476534296,290.55054151624546,4.312229241877256,14.874503610108304,1.9278384476534296
1,Packers,2019,WR,8.363443145589798,40.05309371153516,24.0,22.0,69.43067710732382,65.43124335812965,7.70%,0.8125,0.089,11.803613177470776,1.5892667375132838,60.92258235919235,35.305419766206164,3.691817215727949,10.058448459086078,0.5159404888416578,10.376833156216792,4.198193411264612,24.564824654622743,12.0,0.971307120085016,58.448087141339,49.977948990435706,31.32784272051009,64.38119022316684,0.5822529224229542,0.5871413390010627,48.31934112646121,0.2532943676939426,0.8560042507970245,367.0940488841658,2.6663124335812967,40.64080765143464,92.6210945802338,339.4447396386823,40.560892667375136,92.15658873538788,64.47077577045697,2.6902231668437837,58.75217853347503,501.2571732199788,188.47343251859724,4.784272051009564,12.590170031880978,1.3976673751328377,11.807231690465224,5.124827268539844,65.42482726853986,30.527360663288803,3.3468447719944727,10.702441271303549,0.5204974666052511,6.231552280055275,3.439428834638416,31.52233993551359,12.0,0.2473514509442653,69.48885306310456,67.55398433901428,69.43067710732382,15.880239520958083,70.06213726393366,0.6838783970520498,0.0,59.23537540304008,0.0934131736526946,0.467065868263473,454.1607554122524,1.5978811607554122,55.29709811146937,94.2272685398434,427.1464762782128,36.79005066789498,108.78019345923536,83.88023952095809,5.168585905112852,62.36748042376784,712.5757715338553,267.6706586826347,5.135605711653616,13.2480884385076,1.5169276830953478
2,Giants,2019,WR,6.721572794899043,118.80073279637928,21.0,20.0,71.4108305274972,69.6585581167239,-17.50%,0.25,-0.137,11.660127513487003,4.126042177538009,64.35183913683177,48.32064737616479,10.338891613536047,20.967140755272197,0.3354585581167238,6.13727317312408,2.535556645414419,24.549779303580188,21.0,0.2221677292790583,69.82305051495833,80.61608631682198,13.689847964688571,68.88891613536047,0.3979401667484061,3.166257969592938,43.97204512015694,0.0408043158410985,0.2040215792054928,378.00147130946544,1.7969592937714567,40.50907307503678,93.91647866601276,353.6233447768514,36.62084355076018,89.03339872486514,63.91613536047082,4.198136341343796,62.95355566454144,515.1682197155468,165.92888670917117,3.883521333987249,12.330063756743504,1.3600980872976949,12.641694725028058,8.475869809203143,63.3993265993266,43.09691358024691,6.089786756453423,16.11840628507295,1.0555555555555556,7.7520763187429855,3.904601571268238,33.539842873176205,21.0,0.1442199775533109,64.9168911335578,72.58989898989898,71.4108305274972,14.883333333333333,70.96470258136925,0.3362514029180696,2.237934904601571,46.825476992143656,0.0703703703703703,0.3518518518518518,418.2581369248036,3.037037037037037,48.58810325476992,95.62351290684624,399.41975308641975,36.67205387205387,93.14539842873177,75.29685746352413,3.4287317620650954,62.90953984287318,657.5140291806958,213.18686868686868,3.9240179573512894,13.866835016835015,1.5309539842873174
3,Commanders,2019,WR,1.110520722635494,104.94180324329707,13.0,17.0,59.858549222797926,67.52170775706554,-25.70%,0.1875,-0.213,10.830787733012627,3.294648226097414,65.06307877330127,43.58442573662056,7.30426939266386,14.024052916416116,0.0,6.424533974744437,3.1184606133493684,22.15634395670475,32.0,0.1894167167769092,66.09759470835839,65.9882140709561,26.17739025856885,67.6975947083584,0.3598917618761275,1.523752254960914,44.161154539987976,0.3598917618761275,1.1365003006614551,340.37101623571857,1.021046301864101,36.96572459410704,92.87318099819603,315.7306073361395,41.13980757666867,89.29549007817198,57.15273601924233,3.1184606133493684,58.519242333132894,458.6638604930848,127.08779314491882,3.273301262778112,11.390799759470836,1.3379795550210465,12.614795624640186,2.2003454231433506,61.6210132412205,43.74928036845135,5.729994242947611,12.68278641335636,0.1232009211283822,6.223834196891191,1.8635578583765116,16.97294185377087,32.0,0.0,66.4832469775475,76.89412780656305,59.858549222797926,0.0,59.78946459412781,0.4454231433506045,2.425446171560161,40.457685664939554,0.0,0.0,340.405296488198,1.5308002302820956,28.12838226827864,93.78134715025908,318.6655152561888,40.46614853195164,74.34145077720207,46.68681635002879,1.4208405296488198,58.815486470926885,338.71732872769144,102.54461715601612,3.528151986183074,11.63131836499712,1.0385895221646515
4,Patriots,2019,WR,10.01594048884166,269.27234884667337,29.0,22.0,67.48487833140209,65.9560620756547,29.90%,0.75,0.227,10.211639185257033,4.511639185257032,63.31910766246363,55.2541222114452,7.82007759456838,13.42337536372454,0.3244422890397672,7.654898157129001,5.283220174587779,31.007274490785644,19.0,0.9544131910766246,63.15780795344325,59.26513094083415,35.04573229873909,66.50349175557712,0.1471387002909796,1.6173617846750727,38.99466537342386,0.1517458777885547,0.8239573229873909,471.9262851600388,2.8307468477206594,57.00678952473327,92.7855480116392,437.992240543162,51.48583899127061,90.49068865179436,86.50484966052376,3.504364694471387,47.75897187196896,622.5533462657614,189.01115421920463,3.5193501454898155,11.403346265761398,1.347502424830262,11.61460023174971,4.05909617612978,68.30388180764774,34.99206257242179,3.235805330243337,9.246813441483198,1.100811123986095,7.834125144843569,4.219582850521437,27.45017381228273,19.0,0.0,60.23371958285052,79.32977983777519,67.48487833140209,35.245365005793744,67.74003476245655,0.0,1.4745075318655851,47.27520278099652,0.16720741599073,0.8360370799536501,411.5979142526072,3.3453070683661648,45.30301274623407,94.98342989571265,390.4327925840093,39.20619930475087,108.9415411355736,66.2595596755504,4.010428736964079,60.01993047508691,611.3794901506374,236.4577056778679,5.314368482039398,13.754982618771724,1.600283893395133
5,Vikings,2019,WR,11.583421891604676,241.16946441051687,23.0,24.0,75.88422680412371,73.33747810858145,15.40%,0.625,0.123,13.699211908931698,2.749562171628721,68.78353765323993,45.60420315236427,4.683887915936952,9.676882661996498,0.478984238178634,6.007005253940456,2.890542907180385,25.30998248686515,18.0,1.5866900175131349,69.984588441331,55.22066549912434,0.0,73.54973730297723,0.0,2.0569176882661995,48.22854640980736,0.0,0.0,320.63747810858143,2.998248686514886,40.38879159369528,92.93108581436076,298.05429071803854,27.55665499124343,115.6974605954466,58.359019264448335,4.531523642732049,72.16190893169878,632.6812609457093,173.30823117338002,4.626269702276708,15.530385288966723,2.0194220665499123,10.038298969072164,6.898453608247423,72.6067525773196,45.66994845360825,8.639175257731958,17.053092783505154,0.0,5.323350515463917,3.2979381443298967,46.63969072164949,18.0,0.3577319587628866,77.52463917525775,73.93247422680412,75.88422680412371,49.12113402061856,75.94773195876289,0.4827835051546392,2.2108247422680414,57.16030927835052,0.2074226804123711,1.3948453608247422,545.6546391752578,2.138659793814433,81.92164948453608,94.60216494845362,516.5896907216495,36.18469072164949,104.53159793814434,111.18247422680412,6.795360824742268,63.12015463917526,902.8360824742268,318.4113402061856,3.719690721649485,10.91164948453608,1.6283917525773195
6,Broncos,2019,WR,2.0031880977683314,148.26879660946528,19.0,16.0,66.0795814479638,70.01066978193147,-9.00%,0.4375,-0.053,10.551401869158878,7.986760124610591,60.25973520249221,46.73169781931464,7.1152647975077885,13.25,0.4485981308411215,6.796495327102805,2.80607476635514,30.896417445482864,10.0,0.927570093457944,68.05334890965732,52.94345794392523,35.88551401869159,68.01651090342679,0.5489875389408101,1.0552959501557633,47.730529595015575,0.3011682242990655,0.5584112149532711,430.7328660436137,1.2951713395638629,44.200934579439256,92.27305295950156,399.63317757009344,40.2313862928349,89.75919003115266,72.31308411214954,3.0171339563862927,58.57866043613707,631.7204049844237,212.17445482866043,4.310591900311526,13.059813084112148,1.4093457943925234,12.260237556561083,4.602941176470588,61.33399321266968,35.923812217194566,4.674773755656108,12.692307692307692,0.543552036199095,12.19066742081448,5.144796380090498,24.471153846153847,10.0,0.543552036199095,48.53212669683257,70.62545248868778,66.0795814479638,27.37816742081448,65.15695701357465,1.0139140271493212,1.9892533936651584,40.2975113122172,0.108710407239819,0.3959276018099547,402.3665158371041,3.300904977375565,40.96493212669683,93.4756221719457,374.52488687782807,38.05729638009049,85.16776018099547,65.46097285067873,2.7697963800904977,60.58721719457014,547.8976244343892,162.77205882352942,3.888574660633484,13.6283371040724,1.4116798642533936
7,Falcons,2019,WR,6.8384697130712,257.7773728766876,31.0,29.0,74.96573462125063,74.70522006141249,-5.00%,0.4375,-0.03,11.029222108495391,4.944216990788127,66.50762538382804,50.81422722620266,11.6453428863869,23.424769703172977,0.4017400204708291,4.154708290685773,3.1934493346980557,43.6560900716479,2.0,0.3121801432958034,80.24048106448312,54.11315250767657,4.143500511770727,74.6849539406346,0.0,2.3326509723643807,35.77942681678608,0.0479017400204708,0.0598771750255885,465.8398157625384,2.663254861821904,61.32139201637666,93.6381780962129,434.7543500511771,30.566581371545546,96.41141248720572,90.8336745138178,4.080348004094166,69.22517911975434,796.8561924257932,194.38075742067556,3.367809621289662,12.537359263050153,1.6972210849539406,10.725978647686834,7.530757498729029,69.00721911540417,39.06029486527707,9.521606507371631,20.73817996949669,0.3111337061514997,6.633655312658871,4.913065582104728,47.04321301474327,2.0,1.7203863751906456,70.88744280630402,39.05826131164209,74.96573462125063,0.0,74.98932384341637,0.4484494153533299,1.4824605998983222,54.31875953228266,0.0,0.0,505.9771225216065,1.3817996949669549,72.30960854092527,94.64636502287748,478.1026944585664,38.98896797153025,113.47081850533807,103.91713268937468,6.350788002033553,60.34153533299441,993.1103202846977,359.06558210472804,5.207778342653788,13.27463141840366,1.9734875444839857
8,Bengals,2019,WR,6.896918172157279,294.98778324828857,21.0,19.0,68.01632426429761,67.35106277805241,-25.20%,0.125,-0.193,11.070390509144834,6.195254572417202,55.99545229856648,36.12649530400395,8.63964409293129,21.09639149777558,0.0350963914977755,11.101433514582304,5.161641127039051,31.77310924369748,7.0,1.22194760257044,55.75358378645575,46.66495304003954,64.66940187839842,66.54028670291646,0.4870983687592685,3.314384577360356,43.9327731092437,0.6736529906080079,2.660899653979239,454.9391992090954,1.148294611962432,51.99357390014829,93.81344537815126,426.5773603559071,40.865892239248645,72.48576371725161,88.69599604547702,2.290657439446367,58.52382600098863,656.1423628274839,225.5921898171033,4.419673751853683,12.839347503707366,1.4524023727137914,12.069850083287063,3.0838423098278733,57.3635202665186,46.40877290394225,5.976124375347029,12.414769572459743,0.6029983342587452,13.14303164908384,3.8550805108273183,27.300388672959468,7.0,0.3475846751804553,57.79616879511383,69.57695724597446,68.01632426429761,8.718656302054415,68.48956135480289,0.6619655746807329,1.6007773459189338,37.814547473625765,0.053081621321488,0.1327040533037201,362.49916712937255,1.3759022765130484,39.52415324819545,92.58622987229316,335.72182121043863,37.59750138811771,87.57096057745696,63.62187673514714,4.79011660188784,61.40610771793448,514.3970016657413,177.22265408106608,3.5868406440866183,11.99367018323154,1.3756524153248195
9,Colts,2019,WR,8.804463336875665,178.9565486580037,27.0,15.0,68.85104008117706,65.18099173553719,-5.00%,0.4375,0.009,11.557851239669422,2.287349014621742,62.26579783852512,32.15162110616656,3.394151303242212,10.534011443102353,0.6636999364272091,10.384742530197077,2.5352828989192626,17.67577876668786,14.0,0.1576605212968849,56.28448823903369,68.1660521296885,33.08684043229498,64.68830260648443,0.17546090273363,1.3286713286713288,34.413223140495866,0.2369993642720916,0.87730451366815,284.3986013986014,1.8836617927527015,27.914812460267004,93.53108709472346,265.2752701843611,40.65543547361729,97.94920534011445,45.32612841703751,3.074380165289256,59.08366179275269,365.8048315321042,137.98283534647172,4.722250476795932,12.89955499046408,1.3060839160839162,9.94642313546423,3.9010654490106544,68.53460172501269,44.44875697615424,6.910705225773719,16.207001522070016,0.6966007102993405,7.722932521562658,3.754439370877727,28.63216641298833,14.0,0.0,64.60882800608827,81.53302891933029,68.85104008117706,20.92409944190766,68.00289193302892,0.3342973110096398,1.5327245053272451,39.38001014713343,0.1894469812278031,0.6539827498731609,398.7879249112126,2.6159309994926434,46.90969051243024,93.71841704718418,373.5885337392187,40.36270928462709,99.08721461187214,68.99441907661085,2.9604261796042617,59.04231354642314,598.6869609335363,214.8853373921867,4.006950786402841,11.876509386098428,1.4927752409944193
