player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0020535,2010,49ers,4.939024390243903,30.0,104.6291487765889,-0.03,37.50%,Justin Smith,DI,799.0,16.0,12.0,1.0,0.0,0.0,28.0,0.0,0.0,85.2,64.2,71.1,83.8,79.2,8.0,39.0,1.6,1.0,2.0,79.2,9.0,794.0,36.0,155.0,1.0,562.0,47.0,48.0,5.0,56.0,68074.8,MISSING
00-0032762,2019,Chiefs,1.053488310308183,25.0,214.73185256050547,0.133,79.00%,Chris Jones,DI,646.0,13.0,6.0,3.0,0.0,1.0,16.0,1.0,0.0,88.3,32.0,90.3,73.6,52.6,14.0,35.0,15.2,5.0,5.0,0.0,9.0,645.0,37.0,371.0,84.0,153.0,23.0,22.0,1.0,58.0,57041.8,MISSING
00-0034818,2019,Chiefs,0.4736184909670562,23.0,146.67122621801738,0.133,79.00%,Derrick Nnadi,DI,598.0,16.0,12.0,0.0,1.0,0.0,16.0,0.0,0.0,65.6,64.2,53.1,71.9,56.9,1.0,17.0,10.4,5.0,2.0,0.0,0.0,598.0,119.0,465.0,3.0,11.0,22.0,31.0,3.0,18.0,39228.8,MISSING
00-0035656,2019,Chiefs,0.3845882040382571,23.0,144.28569982939064,0.133,79.00%,Khalen Saunders,DI,303.0,12.0,7.0,1.0,0.0,0.0,16.0,0.0,0.0,54.6,86.0,55.6,51.9,66.4,0.0,2.0,4.0,1.0,0.0,0.0,1.0,303.0,96.0,203.0,2.0,2.0,14.0,17.0,0.0,3.0,16543.8,MISSING
00-0031713,2019,Chiefs,1.7737778958554729,27.0,0.0,0.133,79.00%,Xavier Williams,DI,118.0,5.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,31.1,0.0,57.5,37.4,26.4,0.0,3.0,27.3,3.0,3.0,0.0,0.0,118.0,52.0,65.0,0.0,1.0,5.0,8.0,0.0,3.0,3669.8,MISSING
00-0030757,2019,Chiefs,0.2016004250797024,28.0,0.0,0.133,79.00%,Mike Pennel,DI,154.0,8.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,72.2,82.9,56.9,77.1,58.7,1.0,5.0,4.2,1.0,0.0,0.0,1.0,154.0,42.0,111.0,0.0,1.0,11.0,16.0,2.0,7.0,11118.8,MISSING
00-0030449,2019,Colts,2.709883103081828,32.0,82.49720373423098,0.009,43.80%,Margus Hunt,DI,451.0,16.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,51.0,57.0,51.3,56.8,27.7,1.0,6.0,17.4,4.0,2.0,108.3,0.0,449.0,29.0,373.0,0.0,47.0,10.0,16.0,0.0,7.0,23001.0,MISSING
00-0033952,2019,Colts,0.3984654622741764,25.0,57.49773743246207,0.009,43.80%,Grover Stewart,DI,627.0,16.0,11.0,1.0,0.0,0.0,14.0,0.0,0.0,65.8,76.3,58.2,70.5,77.0,2.0,17.0,0.0,0.0,1.0,0.0,3.0,626.0,70.0,543.0,0.0,13.0,17.0,18.0,2.0,22.0,41256.6,MISSING
00-0031254,2019,Colts,2.606934112646121,29.0,0.0,0.009,43.80%,Denico Autry,DI,620.0,14.0,8.0,2.0,0.0,1.0,14.0,0.0,0.0,71.0,86.3,68.0,61.1,35.3,6.0,20.0,16.1,5.0,0.0,118.8,4.0,617.0,23.0,250.0,2.0,342.0,19.0,18.0,2.0,30.0,44020.0,MISSING
00-0032566,2019,Colts,0.2620791710945802,25.0,0.0,0.009,43.80%,Trevon Coley,DI,68.0,7.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,39.0,79.1,44.2,50.8,26.9,0.0,0.0,33.3,3.0,0.0,79.2,0.0,68.0,2.0,66.0,0.0,0.0,2.0,4.0,0.0,0.0,2652.0,MISSING
