Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year_y,weighted_grade,weighted_average_grade,merge_player_y
729.0,729.0,2010.0,Commanders,DL,Phillip Daniels,00-0003874,14.0,1996.0,1996.0,Seahawks,37.0,99.0,0.199,5.3,104.0,36.86,580.0,3.9605366841562266,2010.0,Commanders,-0.12,37.50%,phillip daniels,phillip daniels,phillip daniels,0,Phillip Daniels,WAS,DI,245,191,14,3,0,0,0,32,0,0,55.5,81.3,60.8,51.2,76.5,1,3,5.6,1,0,0.0,2,245,6,10,0,229,12,14,1,6,2010,13597.5,66.86003842459174,phillip daniels
1172.0,1172.0,2010.0,Jets,DL,Trevor Pryce,00-0013282,13.0,1997.0,1997.0,Broncos,35.0,28.0,0.533,13.4,660.0,209.11,1245.0,15.32570947342691,2010.0,Jets,0.08,68.40%,trevor pryce,trevor pryce,trevor pryce,1,Trevor Pryce,NYJ,DI,300,243,16,3,0,0,0,22,0,0,64.2,43.8,78.3,44.1,29.8,6,17,30.0,3,2,0.0,2,300,148,76,0,75,6,4,1,25,2010,19260.0,55.28041037553232,trevor pryce
467.0,467.0,2010.0,Cardinals,DL,Bryan Robinson,00-0013845,13.0,1997.0,1997.0,MISSING,36.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Cardinals,-0.21,31.30%,bryan robinson,bryan robinson,bryan robinson,2,Bryan Robinson,ARZ,DI,338,321,16,5,1,0,0,1,0,0,44.2,24.3,52.9,49.5,78.4,1,0,0.0,0,2,0.0,0,338,224,70,0,44,11,15,2,1,2010,14939.6,58.78062723302898,bryan robinson
1985.0,1985.0,2010.0,Vikings,DL,Pat Williams,00-0017899,13.0,1997.0,1997.0,MISSING,37.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Vikings,-0.07,37.50%,pat williams,pat williams,pat williams,3,Pat Williams,MIN,DI,541,326,16,5,0,0,1,18,0,0,63.2,73.9,52.3,67.5,76.7,1,3,0.0,0,1,83.3,0,541,0,541,0,0,18,24,3,4,2010,34191.200000000004,64.3936398467433,pat williams
265.0,265.0,2010.0,Broncos,DL,Jamal Williams,00-0017813,12.0,1998.0,1998.0,Chargers,34.0,34.0,0.487,12.1,560.0,174.89,1143.0,18.50258701655258,2010.0,Broncos,-0.13,25.00%,jamal williams,jamal williams,jamal williams,4,Jamal Williams,DEN,DI,563,328,16,7,0,0,0,10,0,0,61.5,71.6,58.9,61.2,81.2,0,7,2.3,1,1,0.0,0,563,404,119,0,40,32,36,1,7,2010,34624.5,66.554321880651,jamal williams
725.0,725.0,2010.0,Commanders,DL,Vonnie Holliday,00-0007611,12.0,1998.0,1998.0,Packers,34.0,19.0,0.619,15.8,875.0,277.81,1449.0,24.986836670286788,2010.0,Commanders,-0.12,37.50%,vonnie holliday,vonnie holliday,vonnie holliday,5,Vonnie Holliday,WAS,DI,410,340,15,4,2,0,0,32,0,0,69.5,83.8,66.8,56.7,78.5,3,19,0.0,0,0,39.6,3,410,202,20,0,169,15,16,2,25,2010,28495.0,58.8747718733226,vonnie holliday
1797.0,1797.0,2010.0,Steelers,DL,Aaron Smith,00-0015080,11.0,1999.0,1999.0,Steelers,34.0,109.0,0.177,4.7,76.0,29.51,530.0,8.590938580242506,2010.0,Steelers,0.18,73.70%,aaron smith,aaron smith,aaron smith,6,Aaron Smith,PIT,DI,279,500,6,3,0,0,1,25,0,0,63.2,83.8,55.0,68.2,76.6,2,8,13.3,2,0,0.0,0,279,24,48,0,200,6,10,1,10,2010,17632.8,60.22667375132838,aaron smith
1612.0,1612.0,2010.0,Ravens,DL,Kelly Gregg,00-0006398,11.0,1999.0,1999.0,Bengals,33.0,173.0,0.095,1.8,22.0,7.1,286.0,4.030213015076407,2010.0,Ravens,0.06,72.20%,kelly gregg,kelly gregg,kelly gregg,7,Kelly Gregg,BLT,DI,489,527,18,8,0,0,0,3,0,0,61.3,71.3,56.8,65.8,77.3,0,8,3.7,1,1,79.9,0,489,155,322,0,12,13,18,1,8,2010,29975.699999999997,57.76526997840173,kelly gregg
1928.0,1928.0,2010.0,Titans,DL,Marques Douglas,00-0004472,11.0,1999.0,1999.0,MISSING,33.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Titans,-0.03,37.50%,marques douglas,marques douglas,marques douglas,8,Marques Douglas,TEN,DI,227,549,6,2,0,0,0,31,0,0,49.7,54.4,52.5,52.6,59.6,2,0,16.7,3,1,0.0,0,227,10,205,0,12,11,13,2,2,2010,11281.9,MISSING,marques douglas
1170.0,1170.0,2010.0,Jets,DL,Shaun Ellis,00-0019545,10.0,2000.0,2000.0,Jets,33.0,12.0,0.742,18.8,1200.0,346.51,1691.0,55.562770324321754,2010.0,Jets,0.08,68.40%,shaun ellis,shaun ellis,shaun ellis,9,Shaun Ellis,NYJ,DI,810,590,18,5,0,0,1,22,0,0,69.8,70.4,69.3,63.1,78.9,7,32,9.1,3,2,56.3,7,809,159,127,1,511,27,25,3,46,2010,56538.0,MISSING,shaun ellis
1550.0,1550.0,2010.0,Rams,DL,Fred Robbins,00-0019706,10.0,2000.0,2000.0,Vikings,33.0,55.0,0.352,9.1,350.0,100.88,890.0,24.096391043373863,2010.0,Rams,-0.04,43.80%,fred robbins,fred robbins,fred robbins,10,Fred Robbins,SL,DI,646,623,16,5,5,0,1,26,2,0,75.5,47.2,72.5,69.8,77.3,6,21,4.2,1,3,39.6,6,646,59,585,0,1,23,18,6,33,2010,48773.0,MISSING,fred robbins
327.0,327.0,2010.0,Browns,DL,Robaire Smith,00-0019573,10.0,2000.0,2000.0,Titans,32.0,197.0,0.071,1.0,13.0,4.16,218.0,3.825297329342824,2010.0,Browns,-0.12,31.30%,robaire smith,robaire smith,robaire smith,11,Robaire Smith,CLV,DI,180,696,5,5,0,0,0,8,0,0,67.9,79.9,61.9,66.5,76.3,1,6,5.9,1,0,0.0,0,180,1,13,0,163,7,11,1,7,2010,12222.000000000002,MISSING,robaire smith
528.0,528.0,2010.0,Chargers,DL,Alfonso Boone,00-0019626,10.0,2000.0,2000.0,Lions,34.0,253.0,0.048,0.0,0.0,1.2,86.0,1.5990539087807336,2010.0,Chargers,0.24,56.30%,alfonso boone,alfonso boone,alfonso boone,12,Alfonso Boone,SD,DI,57,715,3,0,0,0,0,27,0,0,38.3,77.5,69.1,28.6,MISSING,0,4,MISSING,0,0,0.0,0,57,8,12,0,37,0,0,0,4,2010,2183.1,MISSING,alfonso boone
1430.0,1430.0,2010.0,Patriots,DL,Gerard Warren,00-0020524,9.0,2001.0,2001.0,Browns,32.0,3.0,1.063,27.6,2200.0,514.33,2421.0,113.34055911194804,2010.0,Patriots,0.22,82.40%,gerard warren,gerard warren,gerard warren,13,Gerard Warren,NE,DI,537,775,17,8,0,0,0,19,0,0,55.9,84.2,61.9,49.0,78.4,3,12,0.0,0,0,0.0,4,536,164,65,0,307,15,17,1,19,2010,30018.3,MISSING,gerard warren
13.0,13.0,2010.0,49ers,DL,Justin Smith,00-0020535,9.0,2001.0,2001.0,Bengals,30.0,4.0,1.027,25.8,1800.0,490.52,2270.0,104.6291487765889,2010.0,49ers,-0.03,37.50%,justin smith,justin smith,justin smith,14,Justin Smith,SF,DI,799,776,16,12,1,0,0,28,0,0,85.2,64.2,71.1,83.8,79.2,8,39,1.6,1,2,79.2,9,794,36,155,1,562,47,48,5,56,2010,68074.8,MISSING,justin smith
1494.0,1494.0,2010.0,Raiders,DL,Richard Seymour,00-0020442,9.0,2001.0,2001.0,Patriots,30.0,6.0,0.955,23.2,1600.0,446.15,2056.0,95.02832020265996,2010.0,Raiders,0.02,50.00%,richard seymour,richard seymour,richard seymour,15,Richard Seymour,OAK,DI,622,778,13,5,1,1,0,23,2,0,65.0,9.0,74.4,61.7,66.5,9,22,6.7,3,7,0.0,6,622,3,585,0,27,36,37,6,37,2010,40430.0,MISSING,richard seymour
1857.0,1857.0,2010.0,Texans,DL,Damione Lewis,00-0020491,9.0,2001.0,2001.0,Rams,32.0,12.0,0.742,18.8,1200.0,346.51,1691.0,75.00189489560827,2010.0,Texans,-0.04,37.50%,damione lewis,damione lewis,damione lewis,16,Damione Lewis,HST,DI,191,782,10,1,1,0,0,13,0,0,56.1,24.0,63.3,55.1,74.3,0,2,0.0,0,2,0.0,1,191,7,179,0,5,13,13,0,3,2010,10715.1,MISSING,damione lewis
194.0,194.0,2010.0,Bills,DL,Marcus Stroud,00-0020492,9.0,2001.0,2001.0,Jaguars,32.0,13.0,0.715,18.3,1150.0,335.74,1649.0,72.61848664224573,2010.0,Bills,-0.19,25.00%,marcus stroud,marcus stroud,marcus stroud,17,Marcus Stroud,BUF,DI,673,783,15,5,2,1,1,4,0,0,47.4,76.6,58.1,41.0,59.8,1,14,10.5,4,1,87.5,3,673,66,267,0,334,23,29,3,18,2010,31900.2,MISSING,marcus stroud
1795.0,1795.0,2010.0,Steelers,DL,Casey Hampton,00-0020426,9.0,2001.0,2001.0,Steelers,32.0,19.0,0.619,15.8,875.0,277.81,1449.0,61.45770121220792,2010.0,Steelers,0.18,73.70%,casey hampton,casey hampton,casey hampton,18,Casey Hampton,PIT,DI,503,789,18,4,1,0,1,25,0,0,58.0,54.3,62.9,53.9,78.0,1,8,5.9,1,2,0.0,1,503,480,11,0,12,9,12,0,10,2010,29174.0,MISSING,casey hampton
