team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0022894,98.29240534363272,49ers,-0.03,37.50%,Travis LaBoy,DT,0.8739837398373983,2010.0,travis laboy,travis ivey,travis ivey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027603,104.6590573705788,Bears,0.02,66.70%,Corey Wootton,DT,0.3632463414634146,2010.0,corey wootton,corey wootton,corey wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0024241,237.2273204359716,Bills,-0.19,25.00%,John McCargo,DT,1.33130081300813,2010.0,john mccargo,john mccargo,john mccargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0022750,85.1852565968352,Bills,-0.19,25.00%,Dwan Edwards,DT,0.894308943089431,2010.0,dwan edwards,dwan edwards,dwan edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0022610,0.0,Bills,-0.19,25.00%,Spencer Johnson,DT,2.642276422764228,2010.0,spencer johnson,spencer johnson,spencer johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027826,17.99566226138032,Cowboys,0.0,37.50%,Sean Lissemore,DT,0.1928048780487805,2010.0,sean lissemore,sean lissemore,sean lissemore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0026356,20.349237246432903,Jaguars,-0.1,50.00%,Landon Cohen,DT,0.3821138211382114,2010.0,landon cohen,landon cohen,landon cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0022047,85.91269124909844,Panthers,-0.21,12.50%,Tyler Brayton,DT,2.059620325203252,2010.0,tyler brayton,tyler lacy,tyler lacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0027008,285.2401800939718,Steelers,0.18,73.70%,Evander Hood,DT,1.9417504065040652,2010.0,evander hood,,evander hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0026291,53.07457537001245,Texans,-0.04,37.50%,Frank Okam,DT,0.4182926829268293,2010.0,frank okam,frank okam,frank okam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027603,94.69943124527188,Bears,-0.07,50.00%,Corey Wootton,DT,0.4417802699896158,2011.0,corey wootton,corey wootton,corey wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0022610,0.0,Bills,-0.06,37.50%,Spencer Johnson,DT,3.322949117341641,2011.0,spencer johnson,spencer johnson,spencer johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0021989,98.02470378687572,Broncos,-0.09,50.00%,Ty Warren,DT,2.284527518172378,2011.0,ty warren,ty warren,ty warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027989,231.55753505979817,Buccaneers,-0.24,25.00%,Da'Quan Bowers,DT,0.5823676012461059,2011.0,daquan bowers,daquan bowers,daquan bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0022894,72.81680483319619,Chargers,0.04,50.00%,Travis LaBoy,DT,0.9968847352024922,2011.0,travis laboy,travis ivey,travis ivey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0022047,63.6456870651349,Colts,-0.19,12.50%,Tyler Brayton,DT,0.8307372793354102,2011.0,tyler brayton,tyler lacy,tyler lacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0026512,0.0,Commanders,-0.1,31.30%,Chris Baker,DT,0.4361370716510903,2011.0,chris baker,chris baker,chris baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0028424,0.0,Eagles,0.11,50.00%,Cedric Thornton,DT,0.0804984423676012,2011.0,cedric thornton,cedric thornton,cedric thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0028424,0.0,Eagles,0.11,50.00%,Cedric Thornton,DT,0.0549748701973001,2011.0,cedric thornton,cedric thornton,cedric thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0024058,0.0,Jaguars,-0.14,31.30%,John Chick,DT,0.3115264797507788,2011.0,john chick,john cominsky,john cominsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0021149,68.42676073374922,Patriots,0.14,79.00%,Albert Haynesworth,DT,1.2461059190031152,2011.0,albert haynesworth,albert haynesworth,albert haynesworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027723,79.97373861944041,Seahawks,0.0,43.80%,Al Woods,DT,0.3738317757009346,2011.0,al woods,al woods,al woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0027008,258.09598807634154,Steelers,0.13,70.60%,Evander Hood,DT,1.352733541017653,2011.0,evander hood,,evander hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0027571,0.0,Titans,-0.02,56.30%,Malcolm Sheppard,DT,0.3738317757009346,2011.0,malcolm sheppard,malcolm sheppard,malcolm sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027603,85.68758885744568,Bears,0.09,62.50%,Corey Wootton,DT,0.5114369817578772,2012.0,corey wootton,corey wootton,corey wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027989,209.52192215027895,Buccaneers,0.01,43.80%,Da'Quan Bowers,DT,0.7266011608623549,2012.0,daquan bowers,daquan bowers,daquan bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0028143,27.081169176443392,Buccaneers,0.01,43.80%,Lazarius Levingston,DT,0.3855721393034826,2012.0,lazarius levingston,,lazarius levingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0029574,76.34256888458827,Colts,-0.08,64.70%,Josh Chapman,DT,0.3680580431177446,2012.0,josh chapman,josh chapman,josh chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0024058,0.0,Jaguars,-0.19,12.50%,John Chick,DT,0.3855721393034826,2012.0,john chick,john cominsky,john cominsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0029627,59.54763706891429,Raiders,-0.12,25.00%,Jack Crawford,DT,0.3611990049751243,2012.0,jack crawford,jack crawford,jack crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0029252,299.88632631373446,Ravens,0.02,70.00%,Courtney Upshaw,DT,0.7985373134328357,2012.0,courtney upshaw,,courtney upshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0029208,0.0,Saints,-0.02,43.80%,Tyrunn Walker,DT,0.3242122719734659,2012.0,tyrunn walker,tyrunn walker,tyrunn walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0027008,233.53490745643668,Steelers,0.05,50.00%,Evander Hood,DT,1.4455663349917085,2012.0,evander hood,,evander hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0029138,104.6590573705788,Steelers,0.05,50.00%,Alameda Ta'amu,DT,0.3752205638474295,2012.0,alameda taamu,alameda taamu,alameda taamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0029138,104.6590573705788,Steelers,0.05,50.00%,Alameda Ta'amu,DT,0.3233830845771144,2012.0,alameda taamu,alameda taamu,alameda taamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0029138,104.6590573705788,Steelers,0.05,50.00%,Alameda Ta'amu,DT,0.0283582089552238,2012.0,alameda taamu,alameda taamu,alameda taamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0025857,0.0,Bengals,0.14,64.70%,Ogemdi Nwagbuo,DT,0.5097087378640777,2013.0,ogemdi nwagbuo,ogemdi nwagbuo,ogemdi nwagbuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027989,189.58327506038972,Buccaneers,-0.1,25.00%,Da'Quan Bowers,DT,0.8507580906148867,2013.0,daquan bowers,daquan bowers,daquan bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
