player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0032970,2018,Jets,0.4689503386004515,24.0,119.82591428440664,-0.15,25.00%,Jordan Jenkins,ED,660.0,16.0,8.0,0.0,0.0,1.0,22.0,2.0,52.4,44.9,60.6,53.8,53.6,8.0,20.0,9.1,3.0,4.0,7.0,328.0,276.0,652.0,641.0,7.0,19.0,22.0,2.0,35.0,34584.0,MISSING
00-0034559,2019,Falcons,0.030943145589798,24.0,0.0,-0.03,43.80%,Austin Larkin,ED,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,42.8,73.5,52.4,49.9,69.6,0.0,0.0,MISSING,0.0,0.0,0.0,7.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,428.0,MISSING
00-0034360,2019,Giants,0.4931264612114771,23.0,165.89288938100736,-0.137,25.00%,Lorenzo Carter,ED,723.0,15.0,9.0,2.0,0.0,1.0,21.0,0.0,70.7,70.3,59.7,70.1,49.2,10.0,19.0,15.9,7.0,2.0,6.0,395.0,285.0,675.0,656.0,13.0,24.0,28.0,3.0,35.0,51116.1,MISSING
00-0032127,2019,Giants,2.523910733262487,28.0,138.83955506328573,-0.137,25.00%,Markus Golden,ED,916.0,16.0,15.0,0.0,0.0,0.0,21.0,1.0,60.3,43.8,63.0,62.8,57.1,15.0,37.0,16.2,11.0,6.0,12.0,509.0,357.0,897.0,885.0,12.0,39.0,42.0,9.0,64.0,55234.8,MISSING
00-0035708,2019,Giants,0.3741737513283741,22.0,125.03104645497524,-0.137,25.00%,Oshane Ximines,ED,502.0,16.0,7.0,1.0,1.0,0.0,21.0,0.0,60.8,60.5,62.3,60.0,51.6,3.0,16.0,13.6,3.0,2.0,6.0,269.0,201.0,478.0,444.0,8.0,13.0,12.0,1.0,25.0,30521.6,MISSING
00-0031050,2019,Giants,3.157102019128587,27.0,71.65015808253408,-0.137,25.00%,Kareem Martin,ED,50.0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,48.3,80.4,47.1,53.5,48.8,0.0,1.0,16.7,1.0,0.0,0.0,25.0,24.0,50.0,49.0,1.0,3.0,5.0,0.0,1.0,2415.0,MISSING
00-0035434,2019,Giants,0.1865037194473963,23.0,0.0,-0.137,25.00%,Chris Peace,ED,2.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,54.3,67.4,60.0,60.0,MISSING,0.0,0.0,100.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,108.6,MISSING
00-0033907,2019,Jaguars,0.559798087141339,24.0,145.9049358515241,-0.125,37.50%,Dawuane Smoot,ED,404.0,16.0,3.0,0.0,0.0,0.0,15.0,1.0,45.1,71.1,52.0,38.8,53.0,2.0,10.0,12.5,2.0,1.0,6.0,291.0,112.0,404.0,191.0,169.0,13.0,11.0,0.0,18.0,18220.4,MISSING
00-0033123,2019,Jaguars,1.1897151965993624,24.0,130.19224153531596,-0.125,37.50%,Yannick Ngakoue,ED,791.0,15.0,2.0,4.0,0.0,4.0,15.0,1.0,72.0,53.7,77.5,51.6,30.0,11.0,32.0,23.3,10.0,4.0,8.0,488.0,288.0,774.0,772.0,2.0,33.0,31.0,8.0,51.0,56952.0,MISSING
00-0033540,2019,Falcons,1.4805132837407011,23.0,0.0,-0.03,43.80%,Takk McKinley,ED,546.0,14.0,6.0,0.0,0.0,0.0,2.0,0.0,67.0,87.8,65.5,63.0,42.4,10.0,19.0,18.2,6.0,0.0,4.0,298.0,220.0,544.0,514.0,26.0,18.0,21.0,3.0,33.0,36582.0,MISSING
00-0029799,2019,Jaguars,1.5276301806588737,29.0,0.0,-0.125,37.50%,Lerentee McCray,ED,61.0,8.0,1.0,0.0,0.0,0.0,15.0,0.0,67.1,81.3,56.7,66.7,74.3,0.0,2.0,0.0,0.0,0.0,0.0,42.0,18.0,54.0,54.0,0.0,3.0,3.0,0.0,2.0,4093.1,MISSING
00-0035507,2019,Jets,0.2639032943676939,22.0,0.0,-0.133,43.80%,Kyle Phillips,ED,549.0,15.0,10.0,1.0,0.0,0.0,22.0,0.0,66.0,63.5,52.0,76.6,71.6,4.0,9.0,5.1,2.0,2.0,4.0,291.0,234.0,548.0,362.0,139.0,22.0,27.0,8.0,17.0,36234.0,MISSING
00-0033917,2019,Jets,0.3653028692879915,25.0,124.5128523777446,-0.133,43.80%,Tarell Basham,ED,590.0,16.0,6.0,4.0,0.0,0.0,22.0,1.0,73.1,87.7,67.1,67.5,40.0,3.0,34.0,17.6,6.0,0.0,2.0,329.0,186.0,579.0,550.0,25.0,19.0,22.0,2.0,39.0,43129.0,MISSING
00-0032970,2019,Jets,1.1721466524973432,25.0,108.42297089490071,-0.133,43.80%,Jordan Jenkins,ED,572.0,14.0,6.0,2.0,1.0,2.0,22.0,0.0,66.9,73.4,67.4,63.0,58.2,6.0,18.0,12.0,3.0,2.0,8.0,337.0,184.0,558.0,511.0,39.0,19.0,16.0,2.0,32.0,38266.8,MISSING
00-0035531,2019,Lions,0.3201110520722636,22.0,94.7893239285987,-0.11,20.00%,Austin Bryant,ED,133.0,4.0,3.0,0.0,0.0,0.0,11.0,0.0,54.5,83.1,45.9,71.8,76.4,1.0,1.0,0.0,0.0,0.0,0.0,65.0,43.0,131.0,127.0,3.0,3.0,4.0,0.0,2.0,7248.5,MISSING
00-0031566,2019,Lions,3.4107332624867164,26.0,77.55256075165221,-0.11,20.00%,Trey Flowers,ED,705.0,15.0,14.0,0.0,0.0,2.0,11.0,0.0,82.8,61.5,78.6,76.8,52.9,14.0,41.0,12.3,7.0,6.0,7.0,446.0,237.0,699.0,450.0,101.0,33.0,36.0,2.0,62.0,58374.0,MISSING
00-0032655,2019,Lions,0.9239351753453772,24.0,0.0,-0.11,20.00%,Romeo Okwara,ED,605.0,14.0,6.0,0.0,0.0,1.0,11.0,0.0,60.7,88.7,58.3,64.5,46.2,7.0,25.0,19.2,5.0,0.0,2.0,376.0,207.0,598.0,272.0,122.0,10.0,15.0,0.0,34.0,36723.5,MISSING
00-0031241,2019,Lions,3.174814027630181,28.0,23.891612610729062,-0.11,20.00%,Devon Kennard,ED,935.0,16.0,7.0,0.0,0.0,1.0,11.0,2.0,69.3,90.7,58.4,71.0,54.8,9.0,27.0,11.9,7.0,0.0,7.0,431.0,357.0,887.0,867.0,16.0,34.0,45.0,3.0,43.0,64795.5,MISSING
00-0034967,2019,Packers,1.5338916046758768,21.0,501.4547522429613,0.089,77.80%,Rashan Gary,ED,244.0,16.0,4.0,0.0,0.0,0.0,12.0,1.0,54.1,59.0,58.1,65.7,51.0,3.0,9.0,15.0,3.0,1.0,3.0,145.0,94.0,241.0,224.0,12.0,9.0,13.0,0.0,15.0,13200.4,MISSING
00-0033912,2019,Jets,0.3774452709883103,24.0,136.49632672585193,-0.133,43.80%,Jordan Willis,ED,162.0,9.0,2.0,0.0,0.0,1.0,22.0,0.0,73.2,84.2,74.8,66.8,56.8,2.0,8.0,14.3,1.0,0.0,1.0,105.0,39.0,159.0,139.0,17.0,4.0,4.0,0.0,11.0,11858.4,MISSING
00-0031935,2019,Packers,3.1880977683315623,26.0,191.06275245087585,0.089,77.80%,Preston Smith,ED,870.0,16.0,11.0,3.0,0.0,1.0,12.0,0.0,66.0,60.5,71.7,64.6,56.4,10.0,32.0,18.9,10.0,3.0,13.0,423.0,314.0,848.0,840.0,6.0,26.0,32.0,1.0,55.0,57420.0,MISSING
00-0035265,2019,Falcons,0.327894792773645,23.0,77.50214835374705,-0.03,43.80%,John Cominsky,ED,100.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,82.1,83.3,65.7,82.6,76.6,1.0,3.0,0.0,0.0,0.0,1.0,51.0,47.0,99.0,81.0,13.0,7.0,8.0,0.0,5.0,8210.0,MISSING
00-0032240,2019,Falcons,6.8065887353878844,27.0,389.3134829268642,-0.03,43.80%,Vic Beasley Jr.,ED,757.0,16.0,5.0,1.0,4.0,2.0,2.0,0.0,58.9,29.8,62.3,60.6,44.0,3.0,24.0,22.0,9.0,7.0,9.0,399.0,277.0,716.0,714.0,2.0,26.0,27.0,4.0,36.0,44587.3,MISSING
00-0031411,2019,Cowboys,5.89798087141339,27.0,151.0952693992365,0.137,50.00%,DeMarcus Lawrence,ED,668.0,16.0,5.0,1.0,0.0,2.0,9.0,2.0,86.2,33.8,78.6,83.2,37.9,11.0,39.0,18.6,8.0,6.0,6.0,443.0,220.0,665.0,641.0,14.0,28.0,30.0,7.0,56.0,57581.6,MISSING
00-0027952,2019,Cowboys,4.209833687566419,29.0,95.11058278344004,0.137,50.00%,Robert Quinn,ED,647.0,14.0,5.0,2.0,2.0,2.0,9.0,0.0,68.5,43.5,78.3,53.4,36.7,12.0,33.0,20.8,5.0,5.0,12.0,404.0,241.0,646.0,614.0,30.0,18.0,14.0,3.0,57.0,44319.5,MISSING
00-0034373,2019,Cowboys,0.3918698193411264,22.0,86.45015941549606,0.137,50.00%,Dorance Armstrong,ED,262.0,15.0,2.0,0.0,1.0,1.0,9.0,0.0,57.4,69.5,52.4,63.8,37.1,3.0,5.0,20.0,3.0,2.0,2.0,172.0,86.0,260.0,253.0,6.0,9.0,10.0,0.0,10.0,15038.8,MISSING
00-0035281,2019,Cowboys,0.3009681190223167,22.0,54.38450805938224,0.137,50.00%,Joe Jackson,ED,71.0,5.0,1.0,1.0,0.0,0.0,9.0,0.0,70.2,83.0,64.7,66.8,73.5,1.0,4.0,0.0,0.0,0.0,0.0,48.0,22.0,71.0,70.0,1.0,2.0,3.0,0.0,5.0,4984.2,MISSING
00-0030946,2019,Cowboys,0.5313496280552604,28.0,0.0,0.137,50.00%,Kerry Hyder Jr.,ED,439.0,16.0,7.0,0.0,0.0,0.0,9.0,1.0,68.0,88.2,61.9,66.7,42.9,4.0,21.0,19.0,4.0,0.0,2.0,289.0,150.0,438.0,218.0,71.0,10.0,10.0,2.0,27.0,29852.0,MISSING
