,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
0,Jason Taylor,NYJ,ED,715,264,19,4,4,1,2,22,2,60.3,34.8,59.1,67.3,53.3,3,17,13.9,5,3,5,402,215,601,118,467,25,27,6,25,Jets,2010,43114.5,67.22216108054027
1,Mike Vrabel,KC,ED,796,268,17,14,0,0,1,16,0,61.7,75.3,59.4,59.4,57.9,5,12,15.8,9,2,0,165,367,532,530,2,19,34,3,17,Chiefs,2010,49113.200000000004,76.12027491408935
2,Joey Porter,ARZ,ED,999,484,14,7,0,0,1,1,0,56.4,48.4,62.8,45.8,47.3,9,20,13.0,6,4,5,405,465,779,548,230,27,33,3,34,Cardinals,2010,56343.6,73.21462544589774
3,David Bowens,CLV,ED,460,523,15,11,4,0,0,8,0,71.1,89.0,69.3,54.3,65.1,3,13,7.1,3,0,1,136,195,227,188,30,14,28,1,17,Browns,2010,32705.999999999996,66.75295191722458
4,John Abraham,ATL,ED,640,591,16,3,3,1,1,2,0,81.9,47.2,86.6,59.7,68.4,10,36,9.7,3,3,14,390,191,638,2,636,33,25,6,60,Falcons,2010,52416.0,
5,Clark Haggans,ARZ,ED,778,670,13,5,2,1,1,1,0,45.3,18.0,55.0,43.8,43.1,1,12,15.9,7,6,5,316,328,468,386,80,26,32,2,18,Cardinals,2010,35243.399999999994,
6,James Hall,SL,ED,802,733,16,5,1,1,4,26,0,68.2,53.0,77.6,52.9,57.4,7,31,6.4,3,4,10,493,259,777,1,722,38,39,2,48,Rams,2010,54696.4,
7,Adewale Ogunleye,HST,ED,87,757,4,0,0,0,0,13,0,41.0,20.1,56.6,41.1,25.4,1,3,33.3,1,1,0,53,34,87,4,83,1,2,0,4,Texans,2010,3567.0,
8,Andre Carter,WAS,ED,731,779,16,8,0,0,0,32,1,57.5,88.4,56.5,58.8,58.0,5,16,8.6,3,1,5,403,240,662,368,292,13,24,2,26,Commanders,2010,42032.5,
9,Kyle Vanden Bosch,DET,ED,652,804,11,6,0,1,2,11,1,60.1,15.4,66.6,62.2,32.0,10,16,13.2,5,5,5,382,263,645,0,636,23,27,4,31,Lions,2010,39185.200000000004,
10,Derrick Burgess,PHI,ED,6,830,1,0,0,0,0,24,0,53.9,70.3,53.8,60.0,,0,0,,0,0,0,5,1,6,0,6,0,0,0,0,Eagles,2010,323.4,
11,Juqua Parker,PHI,ED,513,995,14,2,2,0,1,24,2,79.0,46.4,77.6,75.6,29.9,4,29,18.5,5,2,6,308,187,506,5,481,20,20,4,39,Eagles,2010,40527.0,
12,Julius Peppers,CHI,ED,1036,1010,18,3,6,0,2,6,0,86.8,41.8,78.5,82.9,54.0,13,46,10.4,5,6,8,633,372,1033,1,1023,41,40,7,67,Bears,2010,89924.8,
13,Dwight Freeney,IND,ED,840,1019,17,6,1,1,5,14,0,80.1,74.8,86.3,47.1,78.4,10,56,10.0,2,1,9,530,309,838,1,829,18,12,3,75,Colts,2010,67284.0,
14,Bryan Thomas,NYJ,ED,703,1029,19,4,0,0,1,22,1,69.9,59.6,65.1,65.0,76.7,0,15,3.1,1,1,8,244,348,521,227,257,30,27,4,23,Jets,2010,49139.700000000004,
15,Ryan Denney,HST,ED,9,1068,2,0,0,0,0,13,0,65.8,70.8,64.1,60.8,,0,1,,0,0,0,6,3,9,0,9,0,0,0,1,Texans,2010,592.1999999999999,
16,Alex Brown,NO,ED,701,1105,17,1,3,0,1,20,1,64.0,64.7,56.5,67.4,72.0,5,26,5.1,2,3,2,438,260,696,1,693,28,36,6,33,Saints,2010,44864.0,
17,Scott Fujita,CLV,ED,542,1137,9,7,0,0,2,8,0,72.9,88.4,82.9,65.4,81.6,5,5,4.9,2,1,4,120,229,313,313,0,25,32,2,14,Browns,2010,39511.8,
18,Aaron Kampman,JAX,ED,498,1148,8,3,1,0,0,15,0,67.0,67.9,69.4,58.5,77.6,14,13,0.0,0,1,5,278,205,498,1,497,15,16,2,32,Jaguars,2010,33366.0,
19,Stylez White,TB,ED,714,1196,16,6,0,0,2,30,0,67.5,73.2,72.3,55.2,59.7,13,24,9.1,3,1,5,400,273,712,19,690,23,24,6,42,Buccaneers,2010,48195.0,
20,Raheem Brock,SEA,ED,676,1200,18,2,3,0,4,29,1,74.8,61.6,81.8,47.4,73.5,11,45,6.9,2,3,11,473,182,673,10,588,29,25,4,67,Seahawks,2010,50564.799999999996,
21,James Harrison,PIT,ED,1175,1251,19,14,1,2,4,25,1,89.4,29.2,87.6,83.8,88.4,18,35,5.4,5,10,15,468,378,974,964,10,63,73,6,68,Steelers,2010,105045.0,
22,Terrell Suggs,BLT,ED,1136,1326,18,10,1,2,2,3,0,77.8,40.9,76.1,71.9,69.5,22,44,6.9,4,6,17,656,415,1063,194,868,50,44,9,83,Ravens,2010,88380.8,
23,Calvin Pace,NYJ,ED,791,1334,15,6,2,0,2,22,0,61.0,74.6,52.5,69.5,58.1,3,6,10.7,6,2,8,393,308,589,189,392,36,44,3,17,Jets,2010,48251.0,
24,Tyler Brayton,CAR,ED,616,1348,15,4,1,1,0,5,2,53.3,58.4,54.0,57.3,52.0,6,12,12.5,3,2,0,333,261,609,2,467,13,17,3,18,Panthers,2010,32832.799999999996,
25,Chris Kelsay,BUF,ED,1063,1364,16,13,1,0,1,4,0,53.5,87.5,61.1,50.8,57.3,7,26,14.5,9,1,4,418,533,906,255,651,32,40,4,37,Bills,2010,56870.5,
26,Osi Umenyiora,NYG,ED,805,1371,16,5,1,0,9,21,1,81.8,45.5,82.1,65.7,81.0,11,26,6.7,2,4,12,529,253,788,3,784,30,23,3,49,Giants,2010,65849.0,
27,Jarret Johnson,BLT,ED,1143,1421,18,10,0,0,1,3,0,71.5,75.5,58.6,74.4,64.5,3,21,10.1,7,1,2,470,418,628,199,425,33,52,5,26,Ravens,2010,81724.5,
28,Robert Mathis,IND,ED,868,1447,17,12,0,0,1,14,1,69.0,87.6,77.6,45.0,66.8,7,51,8.2,4,0,10,519,345,848,4,843,30,33,3,68,Colts,2010,59892.0,
29,Jimmy Wilkerson,NO,ED,340,1492,17,2,0,0,0,20,0,56.2,84.5,57.2,52.3,55.3,2,9,5.9,1,0,2,171,169,340,0,235,12,14,0,13,Saints,2010,19108.0,
30,Tully Banta-Cain,NE,ED,764,1534,16,6,0,0,1,19,0,62.1,34.1,64.0,70.8,64.1,7,38,11.6,5,4,6,478,220,512,251,256,23,32,2,51,Patriots,2010,47444.4,
31,Chris Clemons,SEA,ED,986,1585,18,5,4,0,1,29,1,79.7,17.8,86.2,62.9,58.4,11,62,11.4,4,9,13,566,365,960,91,869,26,26,4,86,Seahawks,2010,78584.2,
32,Israel Idonije,CHI,ED,957,1632,18,12,3,0,4,6,0,65.2,44.6,64.9,62.6,80.1,9,30,0.0,0,4,11,609,333,956,1,954,29,22,4,50,Bears,2010,62396.4,
33,Will Smith,NO,ED,844,1739,16,7,5,1,1,20,0,63.6,47.0,68.3,57.3,50.7,5,34,12.2,5,3,6,501,340,840,4,833,25,29,4,45,Saints,2010,53678.4,
34,Jason Babin,TEN,ED,713,1748,16,7,0,2,2,31,0,78.6,0.0,87.0,68.4,67.3,20,30,4.5,2,11,14,438,268,710,2,682,36,35,8,64,Titans,2010,56041.799999999996,
35,Travis LaBoy,SF,ED,342,1763,14,3,1,0,1,28,1,71.8,0.0,82.9,66.0,69.1,5,20,15.0,3,4,5,170,122,317,179,137,13,14,2,30,49ers,2010,24555.6,
36,Dwan Edwards,BUF,ED,558,1772,11,11,1,0,1,4,0,60.2,85.2,64.3,49.2,80.8,3,14,2.2,1,0,1,257,300,558,1,360,20,33,1,18,Bills,2010,33591.6,
37,Antwan Odom,CIN,ED,158,1778,4,2,1,0,0,7,0,61.8,80.2,55.9,66.3,45.4,0,7,28.6,2,0,0,109,47,158,0,111,2,3,0,7,Bengals,2010,9764.4,
