Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1181.0,1181.0,2010.0,Jets,LB,Jason Taylor,00-0016112,13.0,1997.0,1997.0,Dolphins,35.0,73.0,0.267,7.3,225.0,65.36,741.0,7.510467422327812,2010.0,Jets,0.08,68.40%,jason taylor,jason taylor,jason taylor,0,Jason Taylor,NYJ,ED,715,264,19,4,4,1,2,22,2,60.3,34.8,59.1,67.3,53.3,3,17,13.9,5,3,5,402,215,601,118,467,25,27,6,25,2010,43114.5,67.22216108054027,jason taylor
604.0,604.0,2010.0,Chiefs,LB,Mike Vrabel,00-0016960,13.0,1997.0,1997.0,Steelers,35.0,91.0,0.217,5.9,136.0,43.96,625.0,5.94051511181166,2010.0,Chiefs,0.05,58.80%,mike vrabel,mike vrabel,mike vrabel,1,Mike Vrabel,KC,ED,796,268,17,14,0,0,1,16,0,61.7,75.3,59.4,59.4,57.9,5,12,15.8,9,2,0,165,367,532,530,2,19,34,3,17,2010,49113.2,76.12027491408935,mike vrabel
473.0,473.0,2010.0,Cardinals,LB,Joey Porter,00-0013126,11.0,1999.0,1999.0,Steelers,33.0,73.0,0.267,7.3,225.0,65.36,741.0,13.684963889943946,2010.0,Cardinals,-0.21,31.30%,joey porter,joey porter,joey porter,2,Joey Porter,ARZ,ED,999,484,14,7,0,0,1,1,0,56.4,48.4,62.8,45.8,47.3,9,20,13.0,6,4,5,405,465,779,548,230,27,33,3,34,2010,56343.6,73.21462544589774,joey porter
340.0,340.0,2010.0,Browns,LB,David Bowens,00-0001563,11.0,1999.0,1999.0,Broncos,33.0,158.0,0.111,2.4,28.0,9.91,334.0,4.887967706858254,2010.0,Browns,-0.12,31.30%,david bowens,david bowens,david bowens,3,David Bowens,CLV,ED,460,523,15,11,4,0,0,8,0,71.1,89.0,69.3,54.3,65.1,3,13,7.1,3,0,1,136,195,227,188,30,14,28,1,17,2010,32705.999999999996,66.75295191722458,david bowens
988.0,988.0,2010.0,Falcons,DL,John Abraham,00-0019546,10.0,2000.0,2000.0,Jets,32.0,13.0,0.715,18.3,1150.0,335.74,1649.0,53.79709806290758,2010.0,Falcons,0.1,76.50%,john abraham,john abraham,john abraham,4,John Abraham,ATL,ED,640,591,16,3,3,1,1,2,0,81.9,47.2,86.6,59.7,68.4,10,36,9.7,3,3,14,390,191,638,2,636,33,25,6,60,2010,52416.0,MISSING,john abraham
474.0,474.0,2010.0,Cardinals,LB,Clark Haggans,00-0019538,10.0,2000.0,2000.0,Steelers,33.0,137.0,0.135,3.3,38.0,15.82,409.0,8.401947627993202,2010.0,Cardinals,-0.21,31.30%,clark haggans,clark haggans,clark haggans,5,Clark Haggans,ARZ,ED,778,670,13,5,2,1,1,1,0,45.3,18.0,55.0,43.8,43.1,1,12,15.9,7,6,5,316,328,468,386,80,26,32,2,18,2010,35243.399999999994,MISSING,clark haggans
1555.0,1555.0,2010.0,Rams,DL,James Hall,00-0019387,10.0,2000.0,2000.0,MISSING,33.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Rams,-0.04,43.80%,james hall,james hall,james hall,6,James Hall,SL,ED,802,733,16,5,1,1,4,26,0,68.2,53.0,77.6,52.9,57.4,7,31,6.4,3,4,10,493,259,777,1,722,38,39,2,48,2010,54696.4,MISSING,james hall
1865.0,1865.0,2010.0,Texans,DL,Adewale Ogunleye,00-0019246,10.0,2000.0,2000.0,MISSING,33.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Texans,-0.04,37.50%,adewale ogunleye,adewale ogunleye,adewale ogunleye,7,Adewale Ogunleye,HST,ED,87,757,4,0,0,0,0,13,0,41.0,20.1,56.6,41.1,25.4,1,3,33.3,1,1,0,53,34,87,4,83,1,2,0,4,2010,3567.0,MISSING,adewale ogunleye
736.0,736.0,2010.0,Commanders,LB,Andre Carter,00-0020489,9.0,2001.0,2001.0,49ers,31.0,7.0,0.919,22.2,1500.0,425.5,1975.0,90.79244330290098,2010.0,Commanders,-0.12,37.50%,andre carter,andre carter,andre carter,8,Andre Carter,WAS,ED,731,779,16,8,0,0,0,32,1,57.5,88.4,56.5,58.8,58.0,5,16,8.6,3,1,5,403,240,662,368,292,13,24,2,26,2010,42032.5,MISSING,andre carter
1238.0,1238.0,2010.0,Lions,DL,Kyle Vanden Bosch,00-0020382,9.0,2001.0,2001.0,Cardinals,31.0,34.0,0.487,12.1,560.0,174.89,1143.0,45.509020590364905,2010.0,Lions,-0.01,37.50%,kyle vanden bosch,kyle vanden bosch,kyle vanden bosch,9,Kyle Vanden Bosch,DET,ED,652,804,11,6,0,1,2,11,1,60.1,15.4,66.6,62.2,32.0,10,16,13.2,5,5,5,382,263,645,0,636,23,27,4,31,2010,39185.2,MISSING,kyle vanden bosch
940.0,940.0,2010.0,Eagles,LB,Derrick Burgess,00-0020504,9.0,2001.0,2001.0,Eagles,32.0,63.0,0.311,8.2,276.0,81.81,818.0,28.641783239584655,2010.0,Eagles,0.01,58.80%,derrick burgess,derrick burgess,derrick burgess,10,Derrick Burgess,PHI,ED,6,830,1,0,0,0,0,24,0,53.9,70.3,53.8,60.0,MISSING,0,0,MISSING,0,0,0,5,1,6,0,6,0,0,0,0,2010,323.4,MISSING,derrick burgess
933.0,933.0,2010.0,Eagles,DL,Juqua Parker,00-0019986,9.0,2001.0,2001.0,MISSING,32.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Eagles,0.01,58.80%,juqua parker,juqua parker,juqua parker,11,Juqua Parker,PHI,ED,513,995,14,2,2,0,1,24,2,79.0,46.4,77.6,75.6,29.9,4,29,18.5,5,2,6,308,187,506,5,481,20,20,4,39,2010,40527.0,MISSING,juqua parker
70.0,70.0,2010.0,Bears,DL,Julius Peppers,00-0021140,8.0,2002.0,2002.0,Panthers,30.0,2.0,1.099,30.2,2600.0,717.17,2635.0,173.7636235560773,2010.0,Bears,0.02,66.70%,julius peppers,julius peppers,julius peppers,12,Julius Peppers,CHI,ED,1036,1010,18,3,6,0,2,6,0,86.8,41.8,78.5,82.9,54.0,13,46,10.4,5,6,8,633,372,1033,1,1023,41,40,7,67,2010,89924.8,MISSING,julius peppers
657.0,657.0,2010.0,Colts,DL,Dwight Freeney,00-0021146,8.0,2002.0,2002.0,Colts,30.0,11.0,0.777,19.3,1250.0,357.62,1737.0,104.8114128988005,2010.0,Colts,0.06,58.80%,dwight freeney,dwight freeney,dwight freeney,13,Dwight Freeney,IND,ED,840,1019,17,6,1,1,5,14,0,80.1,74.8,86.3,47.1,78.4,10,56,10.0,2,1,9,530,309,838,1,829,18,12,3,75,2010,67284.0,MISSING,dwight freeney
