team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0020535,104.6291487765889,49ers,-0.03,37.50%,Justin Smith,DE,4.939024390243903,2010.0,justin smith,preston smith,preston smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0027716,95.54220204900987,49ers,-0.03,37.50%,Thaddeus Gibson,DE,0.2601626016260162,2010.0,thaddeus gibson,,thaddeus gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0026964,13.560632297941556,Bengals,-0.06,25.00%,Clinton McDonald,DE,0.1377325203252032,2010.0,clinton mcdonald,,clinton mcdonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0026964,13.560632297941556,Bengals,-0.06,25.00%,Clinton McDonald,DE,0.0718699186991869,2010.0,clinton mcdonald,,clinton mcdonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027431,0.0,Bills,-0.19,25.00%,Kellen Heard,DE,0.2628731707317073,2010.0,kellen heard,,kellen heard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0025519,59.17633390185146,Broncos,-0.13,25.00%,Ryan McBean,DE,0.3821138211382114,2010.0,ryan mcbean,bryan braman,bryan braman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027833,16.449906020558004,Buccaneers,0.05,62.50%,Doug Worthington,DE,0.0153032520325203,2010.0,doug worthington,doug worthington,doug worthington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027495,0.0,Buccaneers,0.05,62.50%,George Johnson,DE,0.2601626016260162,2010.0,george johnson,george johnson,george johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0026190,192.41042763371848,Cardinals,-0.21,31.30%,Calais Campbell,DE,0.6897967479674797,2010.0,calais campbell,calais campbell,calais campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0026256,78.22333903431455,Cardinals,-0.21,31.30%,Kenny Iwebema,DE,0.4756504065040651,2010.0,kenny iwebema,,kenny iwebema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0022930,69.19058654083321,Cardinals,-0.21,31.30%,Darnell Dockett,DE,3.699186991869919,2010.0,darnell dockett,,darnell dockett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0013845,0.0,Cardinals,-0.21,31.30%,Bryan Robinson,DE,0.894308943089431,2010.0,bryan robinson,ryan robinson,ryan robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0023463,168.93799868405472,Chargers,0.24,56.30%,Luis Castillo,DE,6.741463414634147,2010.0,luis castillo,,luis castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0027082,90.13545623890364,Chargers,0.24,56.30%,Vaughn Martin,DE,0.4199691056910569,2010.0,vaughn martin,,vaughn martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0022169,9.605959798382846,Chargers,0.24,56.30%,Antonio Garay,DE,0.6341463414634146,2010.0,antonio garay,,antonio garay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0021542,0.0,Chargers,0.24,56.30%,Jacques Cesaire,DE,1.5853658536585369,2010.0,jacques cesaire,,jacques cesaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026980,685.670426046742,Chiefs,0.05,58.80%,Tyson Jackson,DE,2.90650406504065,2010.0,tyson jackson,tarron jackson,tarron jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026145,544.8243619564457,Chiefs,0.05,58.80%,Glenn Dorsey,DE,4.528861788617887,2010.0,glenn dorsey,,glenn dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026105,0.0,Chiefs,0.05,58.80%,Wallace Gilberry,DE,0.3821138211382114,2010.0,wallace gilberry,wallace gilberry,wallace gilberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
