Team,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,Net
32,ARI,-0.081,40.70%,-0.08,40.80%,-0.084,40.70%,-0.094
31,ATL,0.002,45.40%,-0.001,45.70%,0.004,45.10%,-0.061
30,BAL,0.004,45.30%,-0.02,43.50%,0.034,47.60%,0.006
29,BUF,0.111,49.00%,0.203,51.90%,-0.064,43.50%,0.156
28,CAR,-0.036,40.90%,-0.062,39.70%,-0.005,42.20%,-0.046
27,CHI,-0.039,41.10%,-0.07,41.30%,-0.004,40.80%,-0.162
26,CIN,0.081,47.80%,0.153,50.90%,-0.064,41.50%,0.124
25,CLE,0.013,44.10%,0.021,44.50%,0.002,43.50%,-0.016
24,DAL,0.031,45.20%,0.082,48.30%,-0.031,41.40%,0.118
23,DEN,-0.078,39.50%,-0.05,40.30%,-0.124,38.10%,-0.036
22,DET,0.073,45.80%,0.174,49.10%,-0.07,41.00%,-0.011
21,GB,0.017,46.20%,0.035,46.40%,-0.009,45.90%,-0.014
20,HOU,-0.167,38.00%,-0.147,38.40%,-0.204,37.30%,-0.177
19,IND,-0.154,40.30%,-0.139,42.10%,-0.181,37.10%,-0.136
18,JAX,0.045,46.60%,0.137,50.80%,-0.1,39.90%,0.065
17,KC,0.179,50.70%,0.274,53.60%,-0.019,44.50%,0.18
16,LAR,-0.083,41.20%,-0.094,44.00%,-0.065,36.60%,-0.098
15,LAC,0.007,44.20%,0.037,46.00%,-0.057,40.10%,-0.005
14,LV,0.009,43.40%,0.057,44.30%,-0.071,41.90%,-0.059
13,MIA,0.054,44.60%,0.111,46.70%,-0.05,40.70%,0.032
12,MIN,0.004,45.80%,0.07,49.70%,-0.13,38.00%,-0.001
11,NE,-0.047,41.10%,-0.026,41.90%,-0.082,39.80%,0.038
10,NO,-0.037,45.50%,0.018,48.60%,-0.109,41.50%,-0.002
9,NYG,0.033,45.00%,0.058,47.80%,-0.004,40.90%,-0.013
8,NYJ,-0.086,39.10%,-0.081,40.70%,-0.093,36.10%,-0.041
7,PHI,0.1,47.90%,0.121,45.80%,0.072,50.70%,0.163
6,PIT,0.012,45.10%,0.016,44.90%,0.006,45.30%,-0.009
5,SEA,0.013,44.80%,0.06,49.90%,-0.071,35.80%,-0.019
4,SF,0.084,46.20%,0.171,48.60%,-0.021,43.20%,0.196
3,TB,-0.03,44.00%,0.052,47.40%,-0.208,36.70%,-0.004
2,TEN,-0.066,41.20%,-0.034,43.80%,-0.104,38.10%,-0.081
1,WAS,-0.066,41.00%,-0.045,43.20%,-0.092,38.20%,-0.007
