team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0027869,432.8370230110429,49ers,-0.03,37.50%,Mike Iupati,G,4.160131707317073,2010.0,mike iupati,mike iupati,mike iupati,37.0,Mike Iupati,SF,G,100.0,0.0,28.0,82.1,69.0,86.3,6.0,20.0,553.0,100.0,100.0,97.3,4.0,28.0,2.0,951.0,0.0,951.0,0.0,951.0,582.0,582.0,0.0,0.0,369.0,0.0,2010.0,78077.09999999999,MISSING,mike iupati
49ers,00-0026179,229.9595959133068,49ers,-0.03,37.50%,Chilo Rachal,G,1.3272357723577235,2010.0,chilo rachal,chilo rachal,chilo rachal,51.0,Chilo Rachal,SF,G,100.0,0.0,28.0,87.9,67.2,90.8,0.0,15.0,438.0,100.0,100.0,97.1,2.0,20.0,5.0,761.0,0.0,0.0,0.0,761.0,463.0,463.0,761.0,0.0,298.0,0.0,2010.0,66891.90000000001,MISSING,chilo rachal
49ers,00-0023529,63.02447913662228,49ers,-0.03,37.50%,Adam Snyder,G,2.2357723577235773,2010.0,adam snyder,adam snyder,adam snyder,87.0,Adam Snyder,SF,G,97.3,0.0,28.0,70.8,81.5,68.1,1.0,0.0,129.0,94.9,95.0,99.6,1.0,1.0,0.0,255.0,0.0,29.0,1.0,262.0,133.0,140.0,210.0,0.0,122.0,22.0,2010.0,18549.6,MISSING,adam snyder
49ers,00-0021064,0.0,49ers,-0.03,37.50%,Tony Wragge,G,0.6768455284552846,2010.0,tony wragge,,tony wragge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0026762,0.0,49ers,-0.03,37.50%,Alex Boone,G,0.2601626016260162,2010.0,alex boone,alex boone,alex boone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0026154,385.6924321499836,Bears,0.02,66.70%,Chris Williams,G,1.5878048780487806,2010.0,chris williams,chris williams,chris williams,40.0,Chris Williams,CHI,G,100.0,0.0,6.0,61.5,60.3,62.2,9.0,22.0,509.0,100.0,100.0,96.6,7.0,33.0,2.0,903.0,0.0,822.0,81.0,903.0,537.0,537.0,0.0,0.0,366.0,0.0,2010.0,55534.5,MISSING,chris williams
Bears,00-0026961,14.158619550050847,Bears,0.02,66.70%,Lance Louis,G,0.329670731707317,2010.0,lance louis,lance louis,lance louis,85.0,Lance Louis,CHI,G,100.0,0.0,6.0,73.0,51.6,80.5,4.0,9.0,166.0,100.0,100.0,95.5,0.0,14.0,1.0,263.0,0.0,0.0,0.0,263.0,183.0,183.0,263.0,0.0,80.0,0.0,2010.0,19199.0,MISSING,lance louis
Bengals,00-0023514,76.50432862913776,Bengals,-0.06,25.00%,Evan Mathis,G,0.9967479674796748,2010.0,evan mathis,evan mathis,evan mathis,96.0,Evan Mathis,CIN,G,100.0,0.0,7.0,92.8,77.5,91.4,0.0,1.0,55.0,100.0,100.0,99.1,0.0,1.0,0.0,110.0,0.0,108.0,0.0,110.0,55.0,55.0,0.0,0.0,55.0,2.0,2010.0,10208.0,MISSING,evan mathis
Bengals,00-0019629,21.902497403051203,Bengals,-0.06,25.00%,Bobbie Williams,G,2.195121951219512,2010.0,bobbie williams,bobbie williams,bobbie williams,10.0,Bobbie Williams,CIN,G,100.0,0.0,7.0,75.6,83.7,71.6,4.0,6.0,625.0,100.0,100.0,98.7,7.0,13.0,3.0,1094.0,0.0,0.0,0.0,1094.0,661.0,661.0,1094.0,0.0,433.0,0.0,2010.0,82706.4,MISSING,bobbie williams
Bengals,00-0022728,17.311118391085646,Bengals,-0.06,25.00%,Kirk Chambers,G,0.5121951219512195,2010.0,kirk chambers,,kirk chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0023958,0.0,Bengals,-0.06,25.00%,Nate Livings,G,0.3821138211382114,2010.0,nate livings,nate livings,nate livings,29.0,Nate Livings,CIN,G,100.0,0.0,7.0,73.7,59.8,79.9,4.0,28.0,570.0,100.0,100.0,96.8,2.0,34.0,2.0,986.0,0.0,986.0,0.0,986.0,606.0,606.0,0.0,0.0,380.0,0.0,2010.0,72668.2,MISSING,nate livings
Bills,00-0027027,209.52192215027895,Bills,-0.19,25.00%,Andy Levitre,G,0.6056910569105691,2010.0,andy levitre,andy levitre,andy levitre,39.0,Andy Levitre,BUF,G,100.0,0.0,4.0,70.1,75.6,68.5,3.0,13.0,562.0,100.0,100.0,98.2,7.0,18.0,2.0,927.0,8.0,919.0,0.0,927.0,582.0,582.0,0.0,0.0,345.0,0.0,2010.0,64982.7,MISSING,andy levitre
Bills,00-0027053,139.39997550640575,Bills,-0.19,25.00%,Kraig Urbik,G,0.3292682926829268,2010.0,kraig urbik,kraig urbik,kraig urbik,91.0,Kraig Urbik,BUF,G,100.0,0.0,4.0,75.9,88.2,66.9,0.0,1.0,103.0,100.0,100.0,99.5,0.0,1.0,0.0,159.0,29.0,0.0,0.0,159.0,106.0,106.0,130.0,0.0,53.0,0.0,2010.0,12068.1,MISSING,kraig urbik
Bills,00-0026236,100.9150514646006,Bills,-0.19,25.00%,Chad Rinehart,G,0.0899089430894308,2010.0,chad rinehart,chad rinehart,chad rinehart,89.0,Chad Rinehart,BUF,G,100.0,0.0,4.0,78.8,89.4,69.7,0.0,0.0,113.0,100.0,100.0,100.0,1.0,0.0,0.0,202.0,0.0,0.0,0.0,202.0,116.0,116.0,202.0,0.0,86.0,0.0,2010.0,15917.6,MISSING,chad rinehart
Bills,00-0026236,100.9150514646006,Bills,-0.19,25.00%,Chad Rinehart,G,0.0718699186991869,2010.0,chad rinehart,chad rinehart,chad rinehart,89.0,Chad Rinehart,BUF,G,100.0,0.0,4.0,78.8,89.4,69.7,0.0,0.0,113.0,100.0,100.0,100.0,1.0,0.0,0.0,202.0,0.0,0.0,0.0,202.0,116.0,116.0,202.0,0.0,86.0,0.0,2010.0,15917.6,MISSING,chad rinehart
