,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
0,Josh Sitton,GB,G,100.0,0,12,90.1,81.6,89.8,3,18,770,100.0,100.0,98.6,3,21,0,1294,0,0,0,1294,811,811,1294,0,483,0,Packers,2010,116589.4,67.6920018492834
1,Matt Slauson,NYJ,G,100.0,0,22,71.5,62.0,73.0,9,18,632,100.0,100.0,96.8,7,34,7,1268,0,1268,0,1268,664,664,0,0,604,0,Jets,2010,90662.0,68.54957020057307
2,Brandon Moore,NYJ,G,100.0,0,22,77.6,83.7,70.6,1,12,637,100.0,100.0,98.8,4,14,1,1249,0,0,0,1249,668,668,1249,0,581,0,Jets,2010,96922.4,67.33142300194932
3,Daryn Colledge,GB,G,100.0,0,12,71.7,68.9,74.6,4,19,723,100.0,100.0,97.7,8,28,5,1228,0,1228,0,1228,762,762,0,0,466,0,Packers,2010,88047.6,65.9201909307876
4,Harvey Dahl,ATL,G,100.0,0,2,79.7,74.6,79.3,4,14,655,100.0,100.0,98.2,7,21,3,1211,0,0,0,1211,707,707,1211,0,504,0,Falcons,2010,96516.7,72.24589779653071
5,Justin Blalock,ATL,G,100.0,0,2,77.7,71.4,75.1,7,16,655,100.0,100.0,97.8,0,26,3,1211,0,1211,0,1211,707,707,0,0,504,0,Falcons,2010,94094.7,79.93896103896103
6,Carl Nicks,NO,G,100.0,1,20,87.4,77.7,90.2,5,14,747,100.0,100.0,98.2,5,23,4,1192,0,1192,0,1192,781,781,0,0,411,0,Saints,2010,104180.8,72.95451582867784
7,Jahri Evans,NO,G,100.0,2,20,74.1,75.3,69.6,4,13,747,100.0,100.0,98.2,12,22,5,1192,0,0,0,1192,781,781,1192,0,411,0,Saints,2010,88327.2,69.40535486612835
8,Ben Grubbs,BLT,G,100.0,0,3,82.7,72.4,82.3,3,23,618,100.0,100.0,97.7,2,27,1,1191,0,1191,0,1191,655,655,0,0,536,0,Ravens,2010,98495.7,70.94956672443675
9,Rob Sims,DET,G,100.0,0,11,72.4,73.7,67.7,4,18,679,100.0,100.0,97.9,2,25,3,1107,0,1107,0,1107,717,717,0,0,390,0,Lions,2010,80146.8,61.30421393841167
10,Bobbie Williams,CIN,G,100.0,0,7,75.6,83.7,71.6,4,6,625,100.0,100.0,98.7,7,13,3,1094,0,0,0,1094,661,661,1094,0,433,0,Bengals,2010,82706.4,
11,Cooper Carlisle,OAK,G,99.9,0,23,66.0,62.0,65.6,4,32,564,99.8,99.8,96.3,4,39,3,1083,0,0,0,1084,611,612,1084,0,472,0,Raiders,2010,71544.0,
12,Brian Waters,KC,G,100.0,0,16,82.8,81.4,77.0,4,11,503,100.0,100.0,98.3,1,16,1,1083,0,1078,5,1083,533,533,0,0,550,0,Chiefs,2010,89672.4,
13,Chris Kemoeatu,PIT,G,100.0,2,25,63.5,54.9,69.9,6,30,556,100.0,100.0,95.7,10,42,6,1080,0,1080,0,1080,590,590,0,0,490,0,Steelers,2010,68580.0,
14,Jacob Bell,SL,G,100.0,0,26,73.7,78.1,69.3,2,17,627,100.0,100.0,98.0,4,22,3,1079,0,1079,0,1079,663,663,0,0,416,0,Rams,2010,79522.3,
15,Stephen Peterman,DET,G,100.0,1,11,64.3,64.5,68.8,5,23,655,100.0,100.0,97.3,12,32,4,1076,0,0,0,1076,692,692,1076,0,384,0,Lions,2010,69186.8,
16,Chris Snee,NYG,G,100.0,2,21,77.4,78.4,78.2,1,16,564,100.0,100.0,98.3,7,18,1,1074,0,0,0,1074,597,597,1074,0,477,0,Giants,2010,83127.6,
17,Richie Incognito,MIA,G,100.0,0,17,77.5,71.5,77.5,6,12,618,100.0,100.0,97.9,3,22,4,1072,97,975,0,1072,643,643,0,0,429,0,Dolphins,2010,83080.0,
18,Ryan Lilja,KC,G,100.0,0,16,77.8,68.2,78.1,9,22,517,100.0,100.0,96.8,4,32,1,1069,0,0,0,1069,548,548,1069,0,521,0,Chiefs,2010,83168.2,
19,Wade Smith,HST,G,100.0,0,13,86.7,82.9,82.8,3,11,607,100.0,100.0,98.7,1,15,1,1067,0,1067,0,1067,645,645,0,0,422,0,Texans,2010,92508.90000000001,
20,Uche Nwaneri,JAX,G,100.0,0,15,66.2,68.7,63.5,4,14,532,100.0,100.0,97.4,3,23,5,1061,0,0,0,1061,562,562,1061,0,499,0,Jaguars,2010,70238.2,
21,Todd Herremans,PHI,G,99.9,0,24,80.3,65.9,86.2,6,28,666,99.9,99.9,97.0,6,37,3,1059,0,1054,3,1060,708,709,0,0,351,3,Eagles,2010,85118.0,
22,Leonard Davis,DAL,G,100.0,0,9,74.2,71.1,75.3,1,17,618,100.0,100.0,97.7,4,23,5,1046,0,0,0,1046,652,652,1046,0,394,0,Cowboys,2010,77613.2,
23,Rich Seubert,NYG,G,99.8,1,21,80.8,77.5,79.5,4,14,536,99.8,99.6,98.3,1,18,0,1019,384,630,0,1021,567,569,0,0,452,7,Giants,2010,82496.8,
24,Kris Dielman,SD,G,100.0,0,27,79.3,70.6,79.8,1,21,563,100.0,100.0,97.5,2,25,3,1001,0,1001,0,1001,583,583,0,0,418,0,Chargers,2010,79379.3,
25,Chris Chester,BLT,G,99.2,0,3,75.7,70.3,74.1,3,12,505,98.4,98.5,97.5,2,20,5,998,6,0,0,1006,535,543,983,0,463,16,Ravens,2010,76154.2,
26,Roberto Garza,CHI,G,100.0,0,6,71.9,56.7,74.3,6,21,536,100.0,100.0,96.7,6,31,4,997,0,298,0,997,571,571,699,0,426,0,Bears,2010,71684.3,
27,Geoff Schwartz,CAR,G,100.0,0,5,77.3,76.2,77.7,6,13,550,100.0,100.0,97.5,5,23,4,989,0,0,0,989,574,574,687,302,415,0,Panthers,2010,76449.7,
28,Chris Kuper,DEN,G,100.0,1,10,68.4,73.0,66.5,3,19,605,100.0,100.0,97.4,6,27,5,987,0,0,0,987,640,640,987,0,347,0,Broncos,2010,67510.8,
29,Nate Livings,CIN,G,100.0,0,7,73.7,59.8,79.9,4,28,570,100.0,100.0,96.8,2,34,2,986,0,986,0,986,606,606,0,0,380,0,Bengals,2010,72668.2,
30,Mike Pollak,IND,G,100.0,0,14,76.6,68.8,76.0,8,21,584,100.0,100.0,97.5,1,29,0,980,0,0,0,980,605,605,980,0,375,0,Colts,2010,75068.0,
31,Kory Lichtensteiger,WAS,G,100.0,0,32,71.8,50.9,79.9,6,23,620,100.0,100.0,96.5,4,36,7,977,0,962,0,977,656,656,10,0,321,5,Commanders,2010,70148.59999999999,
32,Adam Goldberg,SL,G,100.0,1,26,59.9,54.1,61.1,7,29,571,100.0,100.0,96.3,3,39,3,963,0,0,0,963,603,603,963,0,360,0,Rams,2010,57683.7,
33,Deuce Lutui,ARZ,G,100.0,0,1,61.2,73.2,53.7,3,20,621,100.0,100.0,97.8,5,25,2,960,0,0,0,960,643,643,960,0,317,0,Cardinals,2010,58752.0,
34,Alan Faneca,ARZ,G,100.0,0,1,68.6,65.8,67.2,5,26,621,100.0,100.0,97.0,1,34,3,960,0,960,0,960,643,643,0,0,317,0,Cardinals,2010,65856.0,
35,Eric Steinbach,CLV,G,99.9,0,8,70.7,67.5,66.2,2,21,529,99.8,99.8,97.3,0,26,3,957,0,947,0,958,557,558,0,0,400,11,Browns,2010,67730.6,
36,Jake Scott,TEN,G,100.0,0,31,60.7,72.2,59.8,3,19,513,100.0,100.0,97.7,10,23,1,953,0,0,0,953,545,545,953,0,408,0,Titans,2010,57847.100000000006,
37,Mike Iupati,SF,G,100.0,0,28,82.1,69.0,86.3,6,20,553,100.0,100.0,97.3,4,28,2,951,0,951,0,951,582,582,0,0,369,0,49ers,2010,78077.09999999999,
38,Zane Beadles,DEN,G,100.0,0,10,70.2,62.3,72.1,3,30,545,100.0,100.0,96.2,2,37,4,929,0,514,0,929,574,574,0,405,355,10,Broncos,2010,65215.8,
39,Andy Levitre,BUF,G,100.0,0,4,70.1,75.6,68.5,3,13,562,100.0,100.0,98.2,7,18,2,927,8,919,0,927,582,582,0,0,345,0,Bills,2010,64982.7,
