Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1323.0,1323.0,2010.0,Packers,OL,Josh Sitton,00-0026275,2.0,2008.0,2008.0,Packers,24.0,135.0,0.137,3.4,39.0,16.54,417.0,63.45339228682479,2010.0,Packers,0.18,70.00%,josh sitton,josh sitton,josh sitton,0,Josh Sitton,GB,G,100.0,0,12,90.1,81.6,89.8,3,18,770,100.0,100.0,98.6,3,21,0,1294,0,0,0,1294,811,811,1294,0,483,0,2010,116589.4,67.6920018492834,josh sitton
1192.0,1192.0,2010.0,Jets,OL,Matt Slauson,00-0026500,1.0,2009.0,2009.0,Jets,24.0,193.0,0.075,1.1,14.0,4.55,229.0,33.193273487147785,2010.0,Jets,0.08,68.40%,matt slauson,matt slauson,matt slauson,1,Matt Slauson,NYJ,G,100.0,0,22,71.5,62.0,73.0,9,18,632,100.0,100.0,96.8,7,34,7,1268,0,1268,0,1268,664,664,0,0,604,0,2010,90662.0,68.54957020057307,matt slauson
1193.0,1193.0,2010.0,Jets,OL,Brandon Moore,00-0020969,8.0,2002.0,2002.0,MISSING,30.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Jets,0.08,68.40%,brandon moore,brandon moore,brandon moore,2,Brandon Moore,NYJ,G,100.0,0,22,77.6,83.7,70.6,1,12,637,100.0,100.0,98.8,4,14,1,1249,0,0,0,1249,668,668,1249,0,581,0,2010,96922.4,67.33142300194932,brandon moore
1320.0,1320.0,2010.0,Packers,OL,Daryn Colledge,00-0024262,4.0,2006.0,2006.0,Packers,28.0,47.0,0.396,10.1,430.0,124.41,973.0,165.28521903155865,2010.0,Packers,0.18,70.00%,daryn colledge,daryn colledge,daryn colledge,3,Daryn Colledge,GB,G,100.0,0,12,71.7,68.9,74.6,4,19,723,100.0,100.0,97.7,8,28,5,1228,0,1228,0,1228,762,762,0,0,466,0,2010,88047.6,65.9201909307876,daryn colledge
1007.0,1007.0,2010.0,Falcons,OL,Harvey Dahl,00-0023180,5.0,2005.0,2005.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Falcons,0.1,76.50%,harvey dahl,harvey dahl,harvey dahl,4,Harvey Dahl,ATL,G,100.0,0,2,79.7,74.6,79.3,4,14,655,100.0,100.0,98.2,7,21,3,1211,0,0,0,1211,707,707,1211,0,504,0,2010,96516.7,72.24589779653071,harvey dahl
1000.0,1000.0,2010.0,Falcons,OL,Justin Blalock,00-0025426,3.0,2007.0,2007.0,Falcons,26.0,39.0,0.451,11.3,510.0,153.42,1071.0,208.07604701878915,2010.0,Falcons,0.1,76.50%,justin blalock,justin blalock,justin blalock,5,Justin Blalock,ATL,G,100.0,0,2,77.7,71.4,75.1,7,16,655,100.0,100.0,97.8,0,26,3,1211,0,1211,0,1211,707,707,0,0,504,0,2010,94094.7,79.93896103896103,justin blalock
1688.0,1688.0,2010.0,Saints,OL,Carl Nicks,00-0026304,2.0,2008.0,2008.0,Saints,25.0,164.0,0.104,2.1,26.0,8.67,314.0,44.91997894489655,2010.0,Saints,0.11,64.70%,carl nicks,carl nicks,carl nicks,6,Carl Nicks,NO,G,100.0,1,20,87.4,77.7,90.2,5,14,747,100.0,100.0,98.2,5,23,4,1192,0,1192,0,1192,781,781,0,0,411,0,2010,104180.8,72.95451582867784,carl nicks
1685.0,1685.0,2010.0,Saints,OL,Jahri Evans,00-0024323,4.0,2006.0,2006.0,Saints,27.0,108.0,0.179,4.8,78.0,30.17,534.0,71.13537879345867,2010.0,Saints,0.11,64.70%,jahri evans,jahri evans,jahri evans,7,Jahri Evans,NO,G,100.0,2,20,74.1,75.3,69.6,4,13,747,100.0,100.0,98.2,12,22,5,1192,0,0,0,1192,781,781,1192,0,411,0,2010,88327.2,69.40535486612835,jahri evans
1626.0,1626.0,2010.0,Ravens,OL,Ben Grubbs,00-0025416,3.0,2007.0,2007.0,Ravens,26.0,29.0,0.525,13.2,640.0,202.61,1227.0,247.28531313332437,2010.0,Ravens,0.06,72.20%,ben grubbs,ben grubbs,ben grubbs,8,Ben Grubbs,BLT,G,100.0,0,3,82.7,72.4,82.3,3,23,618,100.0,100.0,97.7,2,27,1,1191,0,1191,0,1191,655,655,0,0,536,0,2010,98495.7,70.94956672443675,ben grubbs
1258.0,1258.0,2010.0,Lions,OL,Rob Sims,00-0024343,4.0,2006.0,2006.0,Seahawks,26.0,128.0,0.145,3.7,44.0,19.33,445.0,55.90733560170712,2010.0,Lions,-0.01,37.50%,rob sims,rob sims,rob sims,9,Rob Sims,DET,G,100.0,0,11,72.4,73.7,67.7,4,18,679,100.0,100.0,97.9,2,25,3,1107,0,1107,0,1107,717,717,0,0,390,0,2010,80146.8,61.30421393841167,rob sims
153.0,153.0,2010.0,Bengals,OL,Bobbie Williams,00-0019629,10.0,2000.0,2000.0,Eagles,33.0,61.0,0.322,8.4,292.0,86.21,835.0,21.902497403051203,2010.0,Bengals,-0.06,25.00%,bobbie williams,bobbie williams,bobbie williams,10,Bobbie Williams,CIN,G,100.0,0,7,75.6,83.7,71.6,4,6,625,100.0,100.0,98.7,7,13,3,1094,0,0,0,1094,661,661,1094,0,433,0,2010,82706.4,MISSING,bobbie williams
1515.0,1515.0,2010.0,Raiders,OL,Cooper Carlisle,00-0019632,10.0,2000.0,2000.0,Broncos,33.0,112.0,0.17,4.6,70.0,27.6,515.0,11.19838131196406,2010.0,Raiders,0.02,50.00%,cooper carlisle,cooper carlisle,cooper carlisle,11,Cooper Carlisle,OAK,G,99.9,0,23,66.0,62.0,65.6,4,32,564,99.8,99.8,96.3,4,39,3,1083,0,0,0,1084,611,612,1084,0,472,0,2010,71544.0,MISSING,cooper carlisle
614.0,614.0,2010.0,Chiefs,OL,Brian Waters,00-0018584,11.0,1999.0,1999.0,MISSING,33.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chiefs,0.05,58.80%,brian waters,brian waters,brian waters,12,Brian Waters,KC,G,100.0,0,16,82.8,81.4,77.0,4,11,503,100.0,100.0,98.3,1,16,1,1083,0,1078,5,1083,533,533,0,0,550,0,2010,89672.4,MISSING,brian waters
1817.0,1817.0,2010.0,Steelers,OL,Chris Kemoeatu,00-0023362,5.0,2005.0,2005.0,Steelers,27.0,204.0,0.065,0.7,10.0,3.56,199.0,14.96972318868196,2010.0,Steelers,0.18,73.70%,chris kemoeatu,chris kemoeatu,chris kemoeatu,13,Chris Kemoeatu,PIT,G,100.0,2,25,63.5,54.9,69.9,6,30,556,100.0,100.0,95.7,10,42,6,1080,0,1080,0,1080,590,590,0,0,490,0,2010,68580.0,MISSING,chris kemoeatu
1569.0,1569.0,2010.0,Rams,OL,Jacob Bell,00-0022875,6.0,2004.0,2004.0,Titans,29.0,138.0,0.134,3.2,37.0,15.47,405.0,27.469598815420767,2010.0,Rams,-0.04,43.80%,jacob bell,jacob bell,jacob bell,14,Jacob Bell,SL,G,100.0,0,26,73.7,78.1,69.3,2,17,627,100.0,100.0,98.0,4,22,3,1079,0,1079,0,1079,663,663,0,0,416,0,2010,79522.3,MISSING,jacob bell
1259.0,1259.0,2010.0,Lions,OL,Stephen Peterman,00-0022808,6.0,2004.0,2004.0,Cowboys,28.0,83.0,0.237,6.5,175.0,52.44,673.0,53.84125393981142,2010.0,Lions,-0.01,37.50%,stephen peterman,stephen peterman,stephen peterman,15,Stephen Peterman,DET,G,100.0,1,11,64.3,64.5,68.8,5,23,655,100.0,100.0,97.3,12,32,4,1076,0,0,0,1076,692,692,1076,0,384,0,2010,69186.8,MISSING,stephen peterman
