team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0021064,0.0,49ers,-0.03,37.50%,Tony Wragge,G,0.6768455284552846,2010.0,tony wragge,,tony wragge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0026762,0.0,49ers,-0.03,37.50%,Alex Boone,G,0.2601626016260162,2010.0,alex boone,alex boone,alex boone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0022728,17.311118391085646,Bengals,-0.06,25.00%,Kirk Chambers,G,0.5121951219512195,2010.0,kirk chambers,,kirk chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027101,67.10204906923828,Bills,-0.19,25.00%,Colin Brown,G,0.045910569105691,2010.0,colin brown,colin brown,colin brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0023602,25.580562112952975,Bills,-0.19,25.00%,Geoff Hangartner,G,2.6016260162601625,2010.0,geoff hangartner,geoff hangartner,geoff hangartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0021974,11.308568148503245,Cardinals,-0.21,31.30%,Jeremy Bridges,G,1.111110569105691,2010.0,jeremy bridges,jeremy bridges,jeremy bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0024483,0.0,Cardinals,-0.21,31.30%,D'Anthony Batiste,G,0.2109032520325203,2010.0,danthony batiste,anthony steen,anthony steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0024401,26.891922285982353,Chargers,0.24,56.30%,Jeromey Clary,G,1.3691056910569106,2010.0,jeromey clary,jeromey clary,jeromey clary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0023674,8.168781578558933,Chargers,0.24,56.30%,Scott Mruczkowski,G,0.7330626016260162,2010.0,scott mruczkowski,scott mruczkowski,scott mruczkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0026061,0.0,Chargers,0.24,56.30%,Brandyn Dombrowski,G,0.3211382113821138,2010.0,brandyn dombrowski,,brandyn dombrowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0024413,22.22573637473818,Colts,0.06,58.80%,Charlie Johnson,G,1.430081300813008,2010.0,charlie johnson,charlie johnson,charlie johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0026408,0.0,Colts,0.06,58.80%,Joe Reitz,G/T,0.0718699186991869,2010.0,joe reitz,joe reitz,joe reitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0023639,14.219983204570545,Dolphins,-0.07,43.80%,Joe Berger,G,0.6775065040650406,2010.0,joe berger,joe berger,joe berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0026249,85.68758885744568,Eagles,0.01,58.80%,Mike McGlynn,G,0.4800813008130081,2010.0,mike mcglynn,mike mcglynn,mike mcglynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0027110,54.763830933156946,Falcons,0.1,76.50%,Garrett Reynolds,G,0.3578455284552845,2010.0,garrett reynolds,garrett reynolds,garrett reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0022779,163.48663682466682,Giants,0.09,62.50%,Shawn Andrews,G,1.2601626016260163,2010.0,shawn andrews,josh andrews,josh andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0024344,55.509470632708904,Jaguars,-0.1,50.00%,Guy Whimper,G,0.4390243902439025,2010.0,guy whimper,,guy whimper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0025504,70.22165829240748,Lions,-0.01,37.50%,Manuel Ramirez,G,0.8211382113821138,2010.0,manuel ramirez,manuel ramirez,manuel ramirez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0026335,28.857898053697067,Lions,-0.01,37.50%,Donald Thomas,G,0.3821138211382114,2010.0,donald thomas,donald thomas,donald thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0024290,108.65671683203738,Packers,0.18,70.00%,Jason Spitz,G,0.9560975609756096,2010.0,jason spitz,jason spitz,jason spitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0027078,94.69943124527188,Packers,0.18,70.00%,T.J. Lang,G,0.4192073170731707,2010.0,tj lang,tj lang,tj lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0026715,0.0,Panthers,-0.21,12.50%,Garry Williams,G,0.3233065040650406,2010.0,garry williams,garry williams,garry williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
