player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,weighted_grade,weighted_average_grade
00-0025398,2010,49ers,2.319512195121951,25.0,384.5841680780333,-0.03,37.50%,Patrick Willis,LB,966.0,15.0,20.0,0.0,2.0,28.0,0.0,69.5,90.4,87.8,92.9,88.6,88.0,2.0,12.0,0.0,6.3,8.0,2.0,0.0,6.0,940.0,961.0,79.0,399.0,55.0,99.0,5.0,50.0,20.0,87326.40000000001,MISSING
00-0033547,2018,Texans,0.5735355530474041,23.0,190.85018172550969,0.08,64.70%,Zach Cunningham,LB,753.0,14.0,17.0,0.0,2.0,13.0,0.0,57.2,65.2,84.6,54.4,75.4,58.1,2.0,5.0,1.0,10.4,12.0,3.0,1.0,0.0,611.0,694.0,34.0,269.0,48.0,86.0,3.0,73.0,7.0,49095.6,MISSING
00-0033765,2018,Texans,0.2625812641083521,24.0,0.0,0.08,64.70%,Dylan Cole,LB,120.0,8.0,0.0,0.0,0.0,13.0,0.0,57.5,49.3,87.1,39.0,46.4,27.5,0.0,0.0,0.0,29.4,5.0,3.0,0.0,0.0,106.0,116.0,7.0,35.0,7.0,12.0,0.0,13.0,0.0,5916.0,MISSING
00-0031847,2018,Texans,0.023402934537246,25.0,0.0,0.08,64.70%,Josh Keyes,LB,24.0,1.0,0.0,0.0,0.0,13.0,0.0,33.3,37.9,72.0,60.3,56.5,76.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,1.0,7.0,1.0,3.0,0.0,4.0,1.0,909.6,MISSING
00-0031491,2018,Texans,0.5079006772009029,29.0,0.0,0.08,64.70%,Brian Peters,LB,53.0,6.0,2.0,0.0,0.0,13.0,0.0,39.6,46.5,82.1,59.6,69.1,30.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,43.0,47.0,2.0,17.0,3.0,5.0,0.0,6.0,0.0,2464.5,MISSING
00-0032734,2018,Texans,0.356471783295711,25.0,0.0,0.08,64.70%,Brennan Scarlett,LB,108.0,8.0,1.0,0.0,1.0,13.0,0.0,90.4,89.9,3.9,69.2,64.8,51.3,2.0,0.0,1.0,15.4,2.0,2.0,1.0,0.0,62.0,65.0,15.0,49.0,5.0,10.0,0.0,5.0,2.0,9709.2,MISSING
00-0034743,2018,Titans,1.1878916478555304,22.0,383.0433232835086,-0.04,56.30%,Rashaan Evans,LB,494.0,14.0,14.0,0.0,0.0,31.0,0.0,60.0,65.5,85.6,58.1,68.9,70.8,1.0,7.0,0.0,7.5,4.0,0.0,0.0,0.0,410.0,420.0,64.0,223.0,22.0,35.0,3.0,17.0,8.0,32357.0,MISSING
00-0033954,2018,Titans,0.3515169300225733,23.0,55.67070073893374,-0.04,56.30%,Jayon Brown,LB,852.0,16.0,20.0,0.0,2.0,31.0,1.0,84.6,81.2,52.1,86.6,62.2,68.7,4.0,7.0,1.0,10.0,10.0,5.0,3.0,7.0,715.0,802.0,103.0,300.0,40.0,70.0,5.0,56.0,18.0,69182.40000000001,MISSING
00-0029794,2018,Titans,1.2227234762979684,27.0,0.0,-0.04,56.30%,Daren Bates,LB,43.0,9.0,1.0,0.0,0.0,31.0,0.0,44.4,48.2,95.6,49.9,71.4,51.4,0.0,0.0,0.0,14.3,1.0,0.0,0.0,0.0,33.0,39.0,6.0,11.0,3.0,5.0,0.0,4.0,0.0,2072.6,MISSING
00-0029869,2018,Titans,0.7054176072234764,28.0,0.0,-0.04,56.30%,Will Compton,LB,80.0,7.0,3.0,0.0,0.0,31.0,0.0,85.3,76.9,78.4,51.3,60.5,62.0,0.0,0.0,0.0,14.3,1.0,1.0,0.0,0.0,73.0,77.0,8.0,37.0,1.0,3.0,0.0,3.0,0.0,6152.0,MISSING
00-0031553,2018,Texans,4.345779345372461,25.0,194.48669370010336,0.08,64.70%,Benardrick McKinney,LB,919.0,16.0,25.0,0.0,1.0,13.0,0.0,71.7,80.9,65.9,62.8,87.2,78.4,3.0,4.0,1.0,6.4,7.0,3.0,1.0,2.0,821.0,841.0,67.0,346.0,40.0,78.0,5.0,44.0,9.0,74347.1,MISSING
00-0025828,2018,Titans,2.39841986455982,32.0,0.0,-0.04,56.30%,Wesley Woodyard,LB,714.0,14.0,28.0,0.0,0.0,31.0,1.0,71.1,72.2,86.4,58.9,69.4,84.5,2.0,6.0,0.0,5.5,6.0,1.0,0.0,4.0,626.0,651.0,63.0,258.0,39.0,76.0,2.0,43.0,12.0,51550.8,71.83056246889
00-0031554,2018,Vikings,2.110902934537246,26.0,188.71560745578523,0.03,53.30%,Eric Kendricks,LB,877.0,14.0,22.0,0.0,1.0,18.0,1.0,64.9,64.5,39.6,55.4,65.6,77.1,1.0,7.0,2.0,6.9,7.0,5.0,2.0,1.0,819.0,867.0,58.0,355.0,34.0,73.0,5.0,67.0,9.0,56566.5,MISSING
00-0033944,2018,Vikings,0.4025316027088036,23.0,82.54608326818396,0.03,53.30%,Ben Gedeon,LB,311.0,15.0,20.0,0.0,0.0,18.0,0.0,60.0,63.5,80.3,60.4,64.0,89.6,0.0,1.0,0.0,2.2,1.0,1.0,0.0,0.0,259.0,282.0,7.0,190.0,11.0,25.0,1.0,18.0,1.0,19748.5,MISSING
