team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0024495,94.0279646026504,49ers,-0.03,37.50%,Ahmad Brooks,OLB/LB,1.483739837398374,2010.0,ahmad brooks,,ahmad brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0027245,0.0,Bengals,-0.06,25.00%,Vincent Rey,OLB/LB,0.0636536585365853,2010.0,vincent rey,vincent rey,vincent rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0026725,0.0,Bengals,-0.06,25.00%,Dan Skuta,OLB/LB,0.3241869918699187,2010.0,dan skuta,dan skuta,dan skuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0021951,59.26755837793681,Bills,-0.19,25.00%,Bryan Scott,OLB/LB,1.1382113821138211,2010.0,bryan scott,bryan scott,bryan scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0026987,469.73216363524415,Bills,-0.19,25.00%,Aaron Maybin,OLB/LB,1.798780487804878,2010.0,aaron maybin,,aaron maybin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027777,45.60137429655471,Bills,-0.19,25.00%,Arthur Moats,OLB/LB,0.2829268292682926,2010.0,arthur moats,arthur moats,arthur moats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0024249,203.9572801816283,Browns,-0.12,31.30%,D'Qwell Jackson,ILB/LB,1.430081300813008,2010.0,dqwell jackson,dqwell jackson,dqwell jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0027074,100.541862623757,Browns,-0.12,31.30%,Kaluka Maiava,ILB/LB,0.4261178861788618,2010.0,kaluka maiava,kaluka maiava,kaluka maiava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0026742,0.0,Browns,-0.12,31.30%,Marcus Benard,OLB/LB,0.3211382113821138,2010.0,marcus benard,marcus allen,marcus allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0027730,81.63881977370919,Cardinals,-0.21,31.30%,O'Brien Schofield,OLB,0.3472560975609756,2010.0,obrien schofield,,obrien schofield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
