,position,weighted_avg_block_percent,weighted_avg_declined_penalties,weighted_avg_franchise_id,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_run_block,weighted_avg_hits_allowed,weighted_avg_hurries_allowed,weighted_avg_non_spike_pass_block,weighted_avg_non_spike_pass_block_percentage,weighted_avg_pass_block_percent,weighted_avg_pbe,weighted_avg_penalties,weighted_avg_pressures_allowed,weighted_avg_sacks_allowed,weighted_avg_snap_counts_block,weighted_avg_snap_counts_ce,weighted_avg_snap_counts_lg,weighted_avg_snap_counts_lt,weighted_avg_snap_counts_offense,weighted_avg_snap_counts_pass_block,weighted_avg_snap_counts_pass_play,weighted_avg_snap_counts_rg,weighted_avg_snap_counts_rt,weighted_avg_snap_counts_run_block,weighted_avg_snap_counts_te,Team,Year,Previous_block_percent,Previous_declined_penalties,Previous_franchise_id,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_run_block,Previous_hits_allowed,Previous_hurries_allowed,Previous_non_spike_pass_block,Previous_non_spike_pass_block_percentage,Previous_pass_block_percent,Previous_pbe,Previous_penalties,Previous_pressures_allowed,Previous_sacks_allowed,Previous_snap_counts_block,Previous_snap_counts_ce,Previous_snap_counts_lg,Previous_snap_counts_lt,Previous_snap_counts_offense,Previous_snap_counts_pass_block,Previous_snap_counts_pass_play,Previous_snap_counts_rg,Previous_snap_counts_rt,Previous_snap_counts_run_block,Previous_snap_counts_te
0,C,100.0,1.0,1.0,53.6,41.9,59.5,7.0,26.0,563.0,100.0,100.0,96.7,3.0,35.0,2.0,942.0,942.0,0.0,0.0,942.0,596.0,596.0,0.0,0.0,346.0,0.0,Cardinals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,100.0,0.3333333333333333,1.0,54.03333333333333,49.833333333333336,56.666666666666664,2.3333333333333335,7.166666666666667,171.5,100.0,100.0,94.9,2.1666666666666665,12.333333333333334,2.8333333333333335,290.3333333333333,0.0,144.33333333333334,0.0,290.3333333333333,181.83333333333334,181.83333333333334,146.0,0.0,108.5,0.0,Cardinals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2,T,100.0,0.16666666666666666,1.0,59.31666666666667,48.0,59.95,3.1666666666666665,10.0,174.0,83.33333333333333,83.33333333333333,79.2,2.5,14.833333333333334,1.6666666666666667,291.0,0.0,12.666666666666666,156.83333333333334,291.0,184.33333333333334,184.33333333333334,11.0,109.0,106.66666666666667,1.5,Cardinals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TE,76.57071139662145,0.4187485129669284,1.0,54.94875089221984,56.2529859624078,55.879752557696875,0.06614323102545801,0.6795146324054248,19.62717106828456,22.057530335474663,22.550916012372113,74.48736616702355,1.4701403759219607,0.7456578634308828,0.0,99.87937187723054,0.0,0.0,0.17059243397573162,159.39614561027835,21.04258862717107,80.55936236021888,0.0,0.06614323102545801,78.83678325005947,127.90292648108495,Cardinals,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,100.0,0.0,2.0,80.0,79.6,80.2,4.0,7.0,676.0,100.0,100.0,98.7,3.0,14.0,3.0,1057.0,1057.0,0.0,0.0,1057.0,715.0,715.0,0.0,0.0,342.0,0.0,Falcons,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
5,G,100.0,0.2,2.0,64.82,61.4,65.22,1.4,9.4,262.6,100.0,100.0,96.4,2.6,12.6,1.8,413.8,0.6,199.4,0.0,413.8,278.4,278.4,212.0,0.0,135.4,1.8,Falcons,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
6,T,99.86702269692923,0.33244325767690247,2.0,70.87236315086783,75.06515353805074,65.83791722296395,5.674232309746328,12.345794392523365,464.7423230974632,99.80053404539385,99.80053404539385,97.79826435246996,5.0026702269692915,21.02403204272363,3.004005340453938,729.6194926568758,0.0,20.943925233644855,353.8010680907877,729.9519359145527,490.77036048064076,491.1028037383177,0.0,353.54472630173564,238.84913217623495,1.6622162883845126,Falcons,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TE,61.58330404217927,0.20796719390743998,2.0,59.54458113649678,72.86362038664323,62.502167545401285,0.43995313415348564,3.175746924428823,51.155828939660225,29.664616285881667,30.452724077328654,96.63122437024018,2.063854715875806,3.615700058582308,0.0,217.0263620386643,0.0,0.0,0.0,390.178676039836,54.61980082015232,227.77211482132395,0.0,0.0,162.40656121851202,295.2196836555361,Falcons,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,100.0,0.0,3.0,59.2,67.1,56.4,3.0,22.0,606.0,100.0,100.0,97.6,5.0,27.0,2.0,1188.0,1188.0,0.0,0.0,1188.0,651.0,651.0,0.0,0.0,537.0,0.0,Ravens,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
9,G,100.0,0.6666666666666666,3.0,64.0,59.1,63.766666666666666,2.3333333333333335,11.0,356.0,100.0,100.0,97.23333333333333,3.0,14.333333333333334,1.0,694.0,0.0,292.6666666666667,1.0,694.0,382.6666666666667,382.6666666666667,394.6666666666667,0.0,311.3333333333333,5.0,Ravens,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
