player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,13,0,4,3,75.0,9,7,77.8,28,70.5,0,0,,40,39,97.5,0,4,4,100.0,23,20,87.0,6,6,100.0
Matt Prater,3471,K,ARZ,17,0,10,7,70.0,5,3,60.0,1,68.6,0,0,,49,47,95.9,0,11,9,81.8,37,30,81.1,11,11,100.0
Nick Folk,3794,K,NE,17,0,8,5,62.5,11,11,100.0,19,67.2,0,0,,47,42,89.4,0,11,11,100.0,39,36,92.3,9,9,100.0
Mason Crosby,3809,K,GB,17,0,4,3,75.0,8,4,50.0,12,48.5,0,0,,51,49,96.1,0,13,9,69.2,34,25,73.5,9,9,100.0
Ryan Succop,5180,K,TB,17,0,1,0,0.0,10,7,70.0,30,58.5,0,0,,59,56,94.9,0,8,7,87.5,30,25,83.3,11,11,100.0
Graham Gano,5443,K,NYG,17,0,10,7,70.0,5,5,100.0,21,79.8,0,0,,17,17,100.0,0,13,12,92.3,33,29,87.9,5,5,100.0
Randy Bullock,7154,K,TEN,16,0,1,1,100.0,13,8,61.5,31,59.4,0,0,,45,42,93.3,0,12,12,100.0,31,26,83.9,5,5,100.0
Greg Zuerlein,7163,K,DAL,15,0,5,2,40.0,9,7,77.8,9,56.2,0,0,,48,42,87.5,0,16,15,93.8,35,29,82.9,5,5,100.0
Justin Tucker,7604,K,BLT,17,0,6,6,100.0,15,13,86.7,3,93.3,0,0,,32,32,100.0,0,9,9,100.0,37,35,94.6,7,7,100.0
Dustin Hopkins,7958,K,LAC,17,0,5,2,40.0,14,13,92.9,27,57.0,1,1,100.0,44,40,90.9,0,6,6,100.0,34,30,88.2,8,8,100.0
Brandon McManus,8437,K,DEN,17,0,9,5,55.6,8,8,100.0,10,78.1,0,0,,34,33,97.1,0,6,6,100.0,31,26,83.9,8,7,87.5
Brett Maher,8585,K,NO,7,0,1,0,0.0,4,4,100.0,20,48.0,0,0,,12,10,83.3,0,9,8,88.9,18,16,88.9,4,4,100.0
Cairo Santos,8932,K,CHI,17,0,2,0,0.0,13,11,84.6,6,73.0,0,0,,28,27,96.4,0,5,5,100.0,30,26,86.7,10,10,100.0
Chris Boswell,8990,K,PIT,17,0,9,8,88.9,13,11,84.6,25,81.9,0,0,,29,27,93.1,0,9,8,88.9,40,36,90.0,9,9,100.0
Cody Parkey,9030,K,NO,1,0,0,0,,0,0,,20,32.9,0,0,,5,3,60.0,0,0,0,,0,0,,0,0,
Bradley Pinion,9598,P,TB,1,0,1,0,0.0,0,0,,30,58.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Josh Lambo,10133,K,JAX,3,0,2,0,0.0,1,0,0.0,15,26.7,0,0,,7,5,71.4,0,0,0,,3,0,0.0,0,0,
Jason Myers,10207,K,SEA,16,0,5,3,60.0,5,3,60.0,29,47.1,0,0,,47,44,93.6,0,11,9,81.8,23,17,73.9,2,2,100.0
Ka'imi Fairbairn,11161,K,HST,11,0,6,4,66.7,4,2,50.0,13,42.8,0,0,,16,13,81.3,0,5,5,100.0,19,15,78.9,4,4,100.0
Aldrick Rosas,11331,K,DET,5,0,2,0,0.0,2,2,100.0,11,51.7,0,0,,14,14,100.0,0,1,0,0.0,5,2,40.0,0,0,
Jake Elliott,11908,K,PHI,17,0,3,3,100.0,13,10,76.9,24,84.9,0,0,,44,44,100.0,0,10,10,100.0,33,30,90.9,7,7,100.0
Zane Gonzalez,11979,K,CAR,12,0,5,3,60.0,10,10,100.0,5,81.3,0,0,,23,22,95.7,0,1,1,100.0,22,20,90.9,6,6,100.0
Harrison Butker,11988,K,KC,16,0,9,7,77.8,5,4,80.0,16,79.3,0,0,,49,47,95.9,0,11,11,100.0,28,25,89.3,3,3,100.0
Younghoe Koo,12042,K,ATL,17,0,5,4,80.0,7,6,85.7,2,87.0,0,0,,30,30,100.0,0,9,9,100.0,29,27,93.1,8,8,100.0
Tristan Vizcaino,13076,K,LAC,6,0,0,0,,2,1,50.0,27,28.7,0,0,,15,10,66.7,0,2,2,100.0,7,6,85.7,3,3,100.0
Austin Seibert,13701,K,DET,6,0,2,1,50.0,6,5,83.3,11,64.1,0,0,,5,5,100.0,0,4,4,100.0,12,10,83.3,0,0,
Elliott Fry,21473,K,CIN,2,0,0,0,,1,1,100.0,7,45.3,0,0,,5,4,80.0,0,4,3,75.0,5,4,80.0,0,0,
Greg Joseph,22842,K,MIN,17,0,9,7,77.8,9,7,77.8,18,58.1,0,0,,40,36,90.0,0,12,11,91.7,38,33,86.8,8,8,100.0
Chris Blewitt,23606,K,WAS,2,0,1,1,100.0,4,1,25.0,32,57.8,0,0,,2,2,100.0,0,0,0,,5,2,40.0,0,0,
Ryan Santoso,26245,P,DET,4,0,0,0,,1,0,0.0,11,37.6,0,0,,8,6,75.0,0,1,1,100.0,5,4,80.0,3,3,100.0
Daniel Carlson,28121,K,LV,17,0,7,6,85.7,13,12,92.3,23,82.6,0,0,,33,30,90.9,0,12,12,100.0,43,40,93.0,11,10,90.9
Jason Sanders,29578,K,MIA,16,0,6,2,33.3,10,8,80.0,17,67.5,0,0,,35,34,97.1,0,9,7,77.8,31,23,74.2,6,6,100.0
Tyler Bass,33010,K,BUF,17,0,4,2,50.0,5,4,80.0,4,75.1,0,0,,51,51,100.0,0,8,7,87.5,32,28,87.5,15,15,100.0
Chase McLaughlin,33285,K,CLV,16,0,4,4,100.0,10,4,40.0,8,64.5,0,0,,37,36,97.3,0,4,4,100.0,21,15,71.4,3,3,100.0
Dominik Eberle,33789,K,HST,1,0,2,1,50.0,0,0,,13,60.1,0,0,,5,5,100.0,0,0,0,,3,2,66.7,1,1,100.0
Rodrigo Blankenship,34038,K,IND,5,0,1,0,0.0,6,5,83.3,14,50.3,0,0,,8,7,87.5,0,4,3,75.0,14,11,78.6,3,3,100.0
Matt Ammendola,34039,K,NYJ,9,0,3,0,0.0,5,2,40.0,22,35.7,0,0,,15,14,93.3,0,6,6,100.0,19,13,68.4,5,5,100.0
Joey Slye,39235,K,WAS,12,0,4,4,100.0,7,5,71.4,32,63.4,0,0,,22,18,81.8,0,5,5,100.0,25,23,92.0,9,9,100.0
Michael Badgley,39417,K,IND,13,0,1,0,0.0,10,8,80.0,14,60.7,0,0,,41,40,97.6,0,7,6,85.7,22,18,81.8,4,4,100.0
Matthew Wright,39675,K,JAX,13,0,6,4,66.7,4,3,75.0,15,59.8,0,0,,15,13,86.7,0,7,7,100.0,24,21,87.5,7,7,100.0
Eddy Pineiro,44140,K,NYJ,5,0,1,1,100.0,3,3,100.0,22,67.6,0,0,,10,9,90.0,0,2,2,100.0,8,8,100.0,2,2,100.0
Mitch Wishnowsky,44663,P,SF,1,0,0,0,,1,0,0.0,28,29.7,0,0,,2,1,50.0,0,0,0,,1,0,0.0,0,0,
Brian Johnson,44869,K,WAS,7,0,1,1,100.0,1,1,100.0,32,45.7,0,0,,13,9,69.2,0,3,3,100.0,10,10,100.0,5,5,100.0
Alex Kessman,44905,K,NYJ,1,0,0,0,,0,0,,22,29.3,0,0,,2,0,0.0,0,0,0,,0,0,,0,0,
Riley Patterson,57556,K,DET,7,0,1,0,0.0,4,4,100.0,11,70.9,0,0,,16,16,100.0,0,6,6,100.0,14,13,92.9,3,3,100.0
Chris Naggar,57626,K,CLV,1,0,0,0,,0,0,,8,36.5,0,0,,2,1,50.0,0,1,1,100.0,1,1,100.0,0,0,
Matt Gay,57643,K,LA,17,0,5,4,80.0,8,7,87.5,26,80.5,0,0,,49,48,98.0,0,15,15,100.0,34,32,94.1,6,6,100.0
Evan McPherson,82583,K,CIN,16,0,11,9,81.8,9,6,66.7,7,78.4,0,0,,48,46,95.8,0,8,8,100.0,33,28,84.8,5,5,100.0
Lirim Hajrullahu,113161,K,CAR,4,0,0,0,,1,0,0.0,5,60.4,0,0,,8,8,100.0,0,2,2,100.0,5,4,80.0,2,2,100.0
