player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jake Matthews,8641,T,ATL,16,100.0,0,2,79.7,84.9,64.2,3,17,753,100.0,100.0,97.6,7,28,8,1163,0,1,1162,1163,808,808,0,0,355,0
Jason Kelce,6343,C,PHI,16,100.0,0,24,81.0,70.6,82.4,4,28,678,100.0,100.0,97.3,3,34,2,1163,1162,0,0,1163,723,723,0,0,440,0
Isaac Seumalo,10713,G,PHI,16,100.0,0,24,69.6,69.0,67.2,5,31,678,100.0,100.0,96.6,5,41,5,1162,1,1160,0,1162,723,723,0,0,439,0
Alex Mack,4944,C,ATL,16,100.0,0,2,72.1,76.3,72.1,8,19,748,100.0,100.0,97.9,9,29,2,1156,1156,0,0,1156,803,803,0,0,353,0
Joe Thuney,10712,G,NE,16,100.0,0,19,77.4,87.4,66.6,4,11,648,100.0,100.0,98.7,0,16,1,1140,0,1132,0,1140,693,693,0,8,447,0
Ali Marpet,9494,G,TB,16,100.0,1,30,72.3,80.6,65.2,8,13,707,100.0,100.0,98.2,5,23,2,1139,0,1139,0,1139,751,751,0,0,388,0
Ryan Jensen,7985,C,TB,16,100.0,0,30,79.3,85.0,73.6,3,11,707,100.0,100.0,98.9,3,15,1,1139,1139,0,0,1139,751,751,0,0,388,0
Travis Frederick,7812,C,DAL,16,100.0,0,9,70.0,62.7,70.1,8,14,639,100.0,100.0,98.1,1,23,1,1116,1116,0,0,1116,680,680,0,0,436,0
Zack Martin,8651,G,DAL,16,100.0,0,9,88.1,90.8,80.1,3,16,639,100.0,100.0,98.5,2,19,0,1114,0,0,0,1114,680,680,1114,0,434,0
Germain Ifedi,10665,T,SEA,16,100.0,1,29,56.2,60.3,55.6,6,38,608,100.0,100.0,95.4,13,50,6,1107,0,0,0,1107,660,660,0,1106,447,1
Taylor Moton,11819,T,CAR,16,100.0,2,5,76.2,79.0,67.4,3,21,707,100.0,100.0,97.6,6,29,5,1106,0,0,36,1106,736,736,0,1057,370,13
Bradley Bozeman,27934,G,BLT,16,100.0,2,3,63.4,55.8,65.8,3,16,509,100.0,100.0,97.3,6,23,4,1105,0,1104,0,1105,537,537,0,0,568,0
Orlando Brown Jr.,46227,T,BLT,16,100.0,2,3,72.0,82.5,59.4,2,15,509,100.0,100.0,97.7,3,20,3,1105,0,0,14,1105,537,537,0,1090,568,0
Kaleb McGary,46912,T,ATL,16,99.9,0,2,53.0,52.8,53.9,13,23,711,99.9,99.9,95.6,5,49,13,1104,0,0,0,1105,764,765,0,1100,340,5
Trey Hopkins,9276,C,CIN,16,100.0,0,7,62.4,71.5,57.2,3,20,673,100.0,100.0,97.7,2,27,4,1097,1097,0,0,1097,720,720,0,0,377,0
Andrew Whitworth,3000,T,LA,16,100.0,1,26,72.8,84.7,55.3,3,25,662,100.0,100.0,97.7,14,29,1,1097,0,0,1097,1097,710,710,0,0,387,0
Matt Paradis,8841,C,CAR,16,100.0,1,5,63.4,43.8,71.8,4,40,703,100.0,100.0,96.4,3,47,3,1094,1094,0,0,1094,731,731,0,0,363,0
Andrew Norwell,9126,G,JAX,16,100.0,2,15,65.5,74.2,62.3,5,20,684,100.0,100.0,97.7,8,28,3,1088,0,1087,0,1088,736,736,0,0,352,0
Jawaan Taylor,41665,T,JAX,16,100.0,1,15,63.7,69.0,58.1,4,28,683,100.0,100.0,96.3,14,41,9,1087,0,0,0,1087,735,735,0,1087,352,0
Bobby Hart,9659,T,CIN,16,100.0,1,7,57.6,68.7,46.3,3,29,669,100.0,100.0,96.7,7,38,6,1086,0,0,0,1086,715,715,0,1086,371,0
Brandon Linder,8728,C,JAX,16,100.0,2,15,75.3,80.9,72.2,0,12,683,100.0,100.0,99.1,13,12,0,1083,1083,0,0,1083,735,735,0,0,348,0
Anthony Castonzo,6174,T,IND,16,100.0,0,14,81.3,84.4,70.2,5,26,576,100.0,100.0,96.8,2,34,3,1076,0,0,1073,1076,621,621,0,0,455,3
Mark Glowinski,9567,G,IND,16,100.0,0,14,60.5,56.9,64.9,13,26,576,100.0,100.0,96.1,10,42,3,1076,0,0,0,1076,621,621,1076,0,455,0
Billy Turner,8702,G,GB,16,100.0,1,12,65.3,57.5,66.0,6,33,635,100.0,100.0,96.0,2,45,6,1076,0,1,2,1076,686,686,1072,1,390,0
Braden Smith,46794,T,IND,16,100.0,3,14,79.8,68.1,86.4,9,30,575,100.0,100.0,95.4,5,46,7,1075,0,0,0,1075,620,620,0,1075,455,0
David Bakhtiari,7891,T,GB,16,100.0,0,12,78.5,89.1,66.3,7,26,633,100.0,100.0,97.1,11,35,2,1075,0,2,1068,1075,684,684,2,2,391,1
James Daniels,45576,C,CHI,16,100.0,2,6,69.9,72.6,65.3,4,15,650,100.0,100.0,98.4,4,20,1,1069,508,561,0,1069,692,692,0,0,377,0
Cody Whitehair,10690,G,CHI,16,100.0,1,6,64.9,64.1,63.3,3,13,650,100.0,100.0,98.3,4,19,3,1069,561,508,0,1069,692,692,0,0,377,0
