player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Julian Edelman,5156,WR,NE,19,9.8,17,65.7,66.7,6,9,1,10.5,14,69,19,1,41.8,40.0,80.3,60.5,80.4,0.3,2,1,77,0.1,1,759,5,119,92.8,704,54.3,412,95.3,181,4,45.2,343,1448,598,5.0,12.2,2.06
Antonio Brown,5718,WR,PIT,18,10.9,13,69.3,68.4,13,19,3,3.1,4,74,25,0,90.3,90.0,88.4,,89.0,0.1,1,5,62,0.0,0,713,9,124,93.5,667,13.9,99,111.3,179,14,85.7,611,1593,571,4.6,12.8,2.39
Odell Beckham Jr.,8647,WR,NYG,17,11.4,30,61.0,28.6,2,7,1,9.5,11,68,21,2,55.8,41.7,84.6,,85.0,0.0,0,2,75,0.0,0,683,7,105,94.9,648,15.2,104,101.3,172,10,84.3,576,1395,545,5.2,13.3,2.15
Mike Evans,8642,WR,TB,16,15.5,3,57.1,66.7,6,9,1,6.8,7,81,30,0,66.9,83.5,91.7,,91.5,0.0,0,8,45,0.0,0,630,4,96,91.9,579,19.5,123,86.4,168,12,80.5,507,1321,188,2.0,13.8,2.28
Jordy Nelson,4350,WR,GB,18,12.9,4,65.8,66.7,4,6,0,5.5,6,66,12,1,78.1,58.8,82.2,,81.1,0.0,0,2,60,0.0,0,773,0,104,94.3,729,27.0,209,118.6,158,15,73.0,564,1337,396,3.8,12.9,1.83
DeAndre Hopkins,7808,WR,HST,18,12.1,6,57.4,40.0,4,10,0,4.3,4,61,13,0,81.9,82.9,77.8,,76.8,0.0,0,11,51,0.0,0,732,7,89,93.7,686,22.0,161,60.3,155,5,77.9,570,1086,282,3.2,12.2,1.58
Michael Crabtree,4933,WR,OAK,17,11.2,14,61.1,81.8,9,11,0,13.3,14,57,23,2,37.0,56.3,78.6,,79.0,0.2,1,2,56,0.0,0,609,11,91,91.8,559,28.1,171,94.3,149,8,71.8,437,1036,286,3.1,11.4,1.85
Julio Jones,6158,WR,ATL,17,14.0,10,68.5,58.3,7,12,0,7.3,8,81,2,0,67.6,83.6,93.5,62.3,93.4,0.0,0,4,75,0.2,1,572,3,102,94.4,540,27.8,159,116.8,149,9,72.0,412,1743,529,5.2,17.1,3.23
Larry Fitzgerald,1724,WR,ARZ,16,8.0,13,72.8,75.0,9,12,0,3.6,4,59,1,2,88.5,43.3,83.3,75.1,80.2,0.7,5,3,32,1.1,8,703,1,107,91.7,645,62.9,442,96.8,147,6,36.1,254,1023,364,3.4,9.6,1.59
Allen Robinson II,8696,WR,JAX,16,13.7,4,50.7,40.0,6,15,1,11.0,9,52,15,1,44.0,49.3,69.8,,68.6,0.0,0,7,42,0.0,0,711,3,73,93.5,665,21.5,153,63.5,144,6,78.5,558,883,195,2.7,12.1,1.33
T.Y. Hilton,7092,WR,IND,16,13.4,7,63.6,66.7,4,6,0,8.1,8,66,14,0,54.8,83.9,86.7,,85.9,0.2,1,5,63,0.0,0,661,0,91,93.0,615,56.6,374,96.7,143,6,43.0,284,1448,328,3.6,15.9,2.35
Davante Adams,8688,WR,GB,19,11.8,14,64.1,50.0,1,2,0,9.0,9,57,12,2,53.8,30.1,72.6,,72.6,0.1,1,5,66,0.0,0,788,4,91,94.7,746,20.1,158,109.3,142,14,77.3,609,1214,492,5.4,13.3,1.63
Demaryius Thomas,5547,WR,DEN,16,10.8,6,63.8,57.1,4,7,1,7.2,7,50,10,2,68.2,29.8,80.4,,78.6,0.3,2,2,55,0.0,0,590,4,90,93.1,549,20.7,122,93.2,141,5,79.0,466,1083,330,3.7,12.0,1.97
Amari Cooper,9437,WR,OAK,17,10.3,12,62.0,42.9,3,7,0,5.6,5,47,23,2,74.4,55.1,76.7,,77.3,0.0,0,3,64,0.0,0,687,3,85,92.3,634,14.8,102,92.2,137,5,83.8,576,1164,450,5.3,13.7,1.84
Jarvis Landry,8698,WR,MIA,17,6.7,22,77.2,37.5,3,8,3,4.5,5,60,17,1,84.1,31.4,84.6,,86.5,0.2,1,3,71,0.0,0,573,10,105,95.3,546,72.8,417,105.0,136,4,26.9,154,1238,676,6.4,11.8,2.27
Golden Tate,5585,WR,DET,17,8.3,23,69.1,100.0,2,2,0,7.8,8,47,11,1,64.6,42.5,70.6,,71.5,0.1,1,3,67,0.0,0,679,4,94,94.4,641,26.8,182,94.1,136,4,72.6,493,1102,632,6.7,11.7,1.72
Doug Baldwin,6615,WR,SEA,18,9.1,13,80.9,66.7,2,3,0,3.5,4,61,29,1,84.3,60.1,86.1,79.2,84.7,5.0,35,2,59,1.1,8,697,2,110,93.5,652,72.6,506,122.8,136,9,21.7,151,1312,536,4.9,11.9,2.01
Terrelle Pryor Sr.,6944,WR,CLV,16,14.4,5,58.3,50.0,5,10,2,7.2,6,48,8,0,67.9,58.1,74.7,,79.6,0.0,0,6,54,0.0,0,640,9,77,92.5,592,14.8,95,73.6,132,4,83.4,534,1007,213,2.8,13.1,1.7
Emmanuel Sanders,5606,WR,DEN,16,13.0,12,60.3,100.0,7,7,1,1.3,1,50,10,1,90.6,51.6,81.5,,81.4,0.0,0,5,64,0.0,0,575,5,79,93.7,539,23.5,135,82.0,131,5,76.5,440,1032,263,3.3,13.1,1.91
Greg Olsen,3647,TE,CAR,16,11.3,3,65.6,100.0,4,4,1,2.4,2,55,5,0,84.9,82.2,83.4,72.3,84.9,18.1,114,4,78,11.9,75,630,3,80,81.7,515,54.4,343,87.9,122,3,22.4,141,1073,369,4.6,13.4,2.08
Brandon Marshall,3064,WR,NYJ,15,13.3,3,48.8,33.3,2,6,2,10.6,7,43,22,0,52.3,83.3,69.2,68.5,68.5,0.2,1,9,41,0.2,1,580,4,59,94.3,547,19.7,114,47.1,121,3,80.2,465,788,187,3.2,13.4,1.44
