,position,weighted_avg_grades,Team
0,DB,71.76232961586122,Cardinals
1,DL,60.323257698541326,Cardinals
2,LB,66.95428706774041,Cardinals
3,DB,70.88293732460242,Falcons
4,DL,63.397992581278636,Falcons
5,LB,58.495247221157534,Falcons
6,DB,66.13009100402805,Ravens
7,DL,66.30699650933374,Ravens
8,LB,61.31876081689167,Ravens
9,DB,69.17147664291369,Bills
10,DL,68.21391882595735,Bills
11,LB,67.08206209275585,Bills
12,DB,62.032898337192165,Panthers
13,DL,63.08753820832354,Panthers
14,LB,66.1062235881675,Panthers
15,DB,72.775653426631,Bears
16,DL,69.34802678784979,Bears
17,LB,65.31165714285714,Bears
18,DB,76.21939464044728,Bengals
19,DL,74.86853514342019,Bengals
20,LB,53.78534965034965,Bengals
21,DB,71.47022900763359,Browns
22,DL,64.32003012048193,Browns
23,LB,68.9608648255814,Browns
24,DB,60.41516820775133,Cowboys
25,DL,69.40852272727273,Cowboys
26,LB,66.03043707214323,Cowboys
27,DB,72.49183822189835,Broncos
28,DL,72.16623062990541,Broncos
29,LB,66.4457549334557,Broncos
30,DB,63.08202608202608,Lions
31,DL,64.06591182847507,Lions
32,LB,61.39624814264488,Lions
33,DB,72.05200980392158,Packers
34,DL,60.93867660764212,Packers
35,LB,72.00014851485149,Packers
36,DB,63.74695895829899,Texans
37,DL,70.65626967957029,Texans
38,LB,60.63681348559,Texans
39,DB,61.70493725570871,Colts
40,DL,58.98200885126034,Colts
41,LB,67.8481905634448,Colts
42,DB,61.73934298005475,Jaguars
43,DL,67.99622641509434,Jaguars
44,LB,62.2928495949278,Jaguars
45,DB,64.02177170559717,Chiefs
46,DL,63.638751107174485,Chiefs
47,LB,73.08348684210527,Chiefs
48,DB,69.49261744966442,Dolphins
49,DL,67.74608615099582,Dolphins
50,LB,72.31692573402418,Dolphins
51,DB,68.96421835328255,Vikings
52,DL,68.71545159983799,Vikings
53,LB,56.16230366492147,Vikings
54,DB,71.28992499147631,Patriots
55,DL,67.83729249011857,Patriots
56,LB,71.66880341880342,Patriots
57,DB,54.42273060029282,Saints
58,DL,64.70850554709594,Saints
59,LB,58.88146462556889,Saints
60,DB,62.41511879049676,Giants
61,DL,69.84166097838452,Giants
62,LB,57.62220408163265,Giants
63,DB,65.68329079128215,Jets
64,DL,68.15866523143164,Jets
65,LB,59.655633450175266,Jets
66,DB,66.8200152014188,Raiders
67,DL,66.21382533825337,Raiders
68,LB,64.6654609101517,Raiders
69,DB,55.43471867007673,Eagles
70,DL,67.82257980115124,Eagles
71,LB,61.809556840077065,Eagles
72,DB,71.93844232515895,Steelers
73,DL,61.71056910569106,Steelers
74,LB,73.826267281106,Steelers
75,DB,63.968464814439265,SD
76,DL,62.657221867687724,SD
77,LB,67.20292486132122,SD
78,DB,74.78990157480315,Seahawks
79,DL,64.11601366742596,Seahawks
80,LB,72.25425644648534,Seahawks
81,DB,69.50948160535117,49ers
82,DL,70.40730762133235,49ers
83,LB,88.63363673976004,49ers
84,DB,71.10963730569948,SL
85,DL,60.20004805382028,SL
86,LB,62.55749539594843,SL
87,DB,67.17540690750297,Buccaneers
88,DL,70.11423357664233,Buccaneers
89,LB,64.74098984771574,Buccaneers
90,DB,63.32637795275591,Titans
91,DL,68.16601853945286,Titans
92,LB,59.91730985387786,Titans
93,DB,64.8171826625387,Commanders
94,DL,62.84712665769748,Commanders
95,LB,59.89701492537313,Commanders
0,OL,60.0748717948718,Cardinals
1,OL,71.23300938889804,Falcons
2,OL,73.31533884777245,Ravens
3,OL,70.88061526326167,Bills
4,OL,64.69963156874152,Panthers
5,OL,64.22860947308351,Bears
6,OL,72.31643518518518,Bengals
7,OL,74.02692530399537,Browns
8,OL,67.86374638728324,Cowboys
9,OL,73.29460460621678,Broncos
10,OL,74.88585515680569,Lions
11,OL,67.91803464464951,Packers
12,OL,76.24984515329824,Texans
13,OL,65.40601917334591,Colts
14,OL,64.9947407545066,Jaguars
15,OL,74.74909228441756,Chiefs
16,OL,68.24248554913295,Dolphins
17,OL,73.48863967906638,Vikings
18,OL,79.09687857961053,Patriots
19,OL,75.42957205240174,Saints
20,OL,74.3006229316722,Giants
21,OL,78.21976186244892,Jets
22,OL,66.87765116706487,Raiders
23,OL,70.71198794112432,Eagles
24,OL,67.0359113947813,Steelers
25,OL,65.87421616358324,SD
26,OL,70.26230076230077,Seahawks
27,OL,82.31532033426184,49ers
28,OL,67.69147434674805,SL
29,OL,69.55075052251567,Buccaneers
30,OL,70.81924384876974,Titans
31,OL,72.12764705882353,Commanders
0,RB/FB,65.15777777777778,Cardinals
1,RB/FB,69.0921649484536,Falcons
2,RB/FB,76.98576329331046,Ravens
3,RB/FB,80.072,Bills
4,RB/FB,67.35570469798658,Panthers
5,RB/FB,67.66842105263157,Bears
6,RB/FB,64.1457627118644,Bengals
7,RB/FB,69.11264637002341,Browns
8,RB/FB,65.2270618556701,Cowboys
9,RB/FB,68.85928705440901,Broncos
10,RB/FB,69.69339407744874,Lions
11,RB/FB,62.85057736720554,Packers
12,RB/FB,77.65695364238411,Texans
13,RB/FB,68.59054373522459,Colts
14,RB/FB,63.67065217391304,Jaguars
15,RB/FB,72.47140039447731,Chiefs
16,RB/FB,63.12131147540984,Dolphins
17,RB/FB,87.01538461538462,Vikings
18,RB/FB,70.55276381909547,Patriots
19,RB/FB,77.32704402515724,Saints
20,RB/FB,75.25966587112173,Giants
21,RB/FB,65.39779249448124,Jets
22,RB/FB,59.30888252148997,Raiders
23,RB/FB,73.63879093198993,Eagles
24,RB/FB,66.8023148148148,Steelers
25,RB/FB,67.48830897703549,SD
26,RB/FB,80.6971098265896,Seahawks
27,RB/FB,77.17077534791252,49ers
28,RB/FB,69.4106728538283,SL
29,RB/FB,76.61057471264367,Buccaneers
30,RB/FB,62.129050279329604,Titans
31,RB/FB,86.81573849878934,Commanders
0,TE,65.05740740740741,Cardinals
1,WR,62.23067690830533,Cardinals
2,TE,84.9431554524362,Falcons
3,WR,79.28370702541106,Falcons
4,TE,71.3917525773196,Ravens
5,WR,75.98281096963761,Ravens
6,TE,73.75901639344264,Bills
7,WR,64.6129366812227,Bills
8,TE,80.9682615629984,Panthers
9,WR,70.64172015404365,Panthers
10,TE,61.94538152610441,Bears
11,WR,73.71435374149661,Bears
12,TE,64.72424242424242,Bengals
13,WR,74.13763688760807,Bengals
14,TE,69.05106100795756,Browns
15,WR,67.32474289171203,Browns
16,TE,79.99734513274336,Cowboys
17,WR,71.88552371541502,Cowboys
18,TE,77.09358226371063,Broncos
19,WR,78.42092660072879,Broncos
20,TE,63.528632115548,Lions
21,WR,70.33498395231545,Lions
22,TE,65.46107554417414,Packers
23,WR,73.36626773049646,Packers
24,TE,75.34411764705882,Texans
25,WR,72.591043854231,Texans
26,TE,78.00501138952163,Colts
27,WR,70.36913425345044,Colts
28,TE,74.84303571428572,Jaguars
29,WR,66.14656116859403,Jaguars
30,TE,68.63997093023256,Chiefs
31,WR,65.94290540540541,Chiefs
32,TE,68.3450980392157,Dolphins
33,WR,68.24997022036928,Dolphins
34,TE,72.16263736263735,Vikings
35,WR,68.52558139534884,Vikings
36,TE,79.47621573828471,Patriots
37,WR,73.52725490196079,Patriots
38,TE,75.18624484181568,Saints
39,WR,71.06053333333334,Saints
40,TE,77.08284839203675,Giants
41,WR,77.3932182490752,Giants
42,TE,67.0834808259587,Jets
43,WR,64.82877925363694,Jets
44,TE,71.51296296296296,Raiders
45,WR,68.68094968908989,Raiders
46,TE,65.79640198511166,Eagles
47,WR,69.79286733238231,Eagles
48,TE,79.34384615384614,Steelers
49,WR,70.8096327513546,Steelers
50,TE,64.63682926829269,SD
51,WR,71.03653723742839,SD
52,TE,79.19094540612517,Seahawks
53,WR,77.36726519337016,Seahawks
54,TE,75.97706611570248,49ers
55,WR,79.80288315629741,49ers
56,TE,68.6132730015083,SL
57,WR,73.48666291502532,SL
58,TE,73.38085106382978,Buccaneers
59,WR,78.51172539489671,Buccaneers
60,TE,65.67653631284915,Titans
61,WR,64.615313225058,Titans
62,TE,70.73316993464053,Commanders
63,WR,72.30472972972973,Commanders
0,QB,47.3974540311174,Cardinals
1,QB,88.09999999999998,Falcons
2,QB,73.05591939546599,Ravens
3,QB,53.99151103565365,Bills
4,QB,71.72626262626262,Panthers
5,QB,69.37176470588236,Bears
6,QB,63.38080357142857,Bengals
7,QB,50.38546875,Browns
8,QB,73.7213802435724,Cowboys
9,QB,90.72,Broncos
10,QB,73.62233128834356,Lions
11,QB,88.81450577663671,Packers
12,QB,72.4359375,Texans
13,QB,66.7,Colts
14,QB,55.56393210749646,Jaguars
15,QB,54.370899470899474,Chiefs
16,QB,68.63389830508474,Dolphins
17,QB,55.59611650485437,Vikings
18,QB,90.03985239852398,Patriots
19,QB,84.61881868131869,Saints
20,QB,78.43856209150327,Giants
21,QB,46.1128813559322,Jets
22,QB,64.6460113960114,Raiders
23,QB,57.26635514018692,Eagles
24,QB,79.68338461538461,Steelers
25,QB,64.1,SD
26,QB,90.32666666666667,Seahawks
27,QB,74.28732394366197,49ers
28,QB,70.1993769470405,SL
29,QB,61.84741784037558,Buccaneers
30,QB,68.34837209302326,Titans
31,QB,81.34357638888889,Commanders
