player,Team,Tier,Pred_XGB,Pred_Transformer,Ensemble_Pred,Conf_Lower,Conf_Upper,Vol_Index,Calibration_Penalty
Justin Herbert,Chargers,Elite,86.85,86.23,86.54,77.42,95.65,0.381,0.0
Josh Allen,Bills,Elite,86.73,86.26,86.49,78.88,94.1,0.153,0.0
Patrick Mahomes,Chiefs,Elite,87.15,85.1,86.12,76.85,95.4,0.405,0.0
Matthew Stafford,Rams,Elite,85.75,84.12,85.26,75.13,95.39,0.535,0.0
Lamar Jackson,Ravens,Elite,83.0,86.5,84.05,73.29,94.81,0.63,0.0
Jayden Daniels,Commanders,Elite,80.59,83.71,82.15,72.25,92.05,0.5,0.0
Kyler Murray,Cardinals,Elite,77.25,84.7,80.98,70.94,91.01,0.52,0.0
C.J. Stroud,Texans,Elite,81.92,78.81,80.36,72.74,87.99,0.156,0.0
Joe Burrow,Bengals,Elite,77.52,86.12,80.1,69.68,90.53,0.58,0.0
Baker Mayfield,Buccaneers,Starter,78.47,81.1,79.26,66.28,92.24,0.966,0.0
Brock Purdy,49ers,Starter,79.73,77.83,78.78,69.81,87.76,0.36,0.0
Aaron Rodgers,Jets,Starter,77.73,85.71,78.54,68.61,88.47,0.504,3.18
Jalen Hurts,Eagles,Starter,76.09,83.13,78.2,66.11,90.29,0.832,0.0
Geno Smith,Seahawks,Starter,75.55,84.24,78.16,66.79,89.53,0.723,0.0
Sam Darnold,Vikings,Starter,79.75,74.19,78.08,67.1,89.07,0.665,0.0
Caleb Williams,Bears,Starter,79.94,76.01,77.98,68.08,87.88,0.5,0.0
Kirk Cousins,Falcons,Starter,71.62,83.53,77.57,68.39,86.75,0.391,0.0
Russell Wilson,Steelers,Starter,76.59,78.8,77.25,66.79,87.72,0.585,0.0
Michael Penix Jr.,Falcons,Starter,77.0,75.78,76.39,66.49,86.29,0.5,0.0
Tua Tagovailoa,Dolphins,Starter,73.82,80.87,75.94,65.23,86.64,0.622,0.0
Trevor Lawrence,Jaguars,Starter,75.3,76.38,75.62,64.94,86.3,0.618,0.0
Bo Nix,Broncos,Starter,72.32,77.59,74.95,65.05,84.85,0.5,0.0
Jared Goff,Lions,Starter,72.07,81.64,74.94,64.19,85.69,0.629,0.0
Jordan Love,Packers,Starter,69.98,79.54,74.76,65.74,83.79,0.368,0.0
Dak Prescott,Cowboys,Starter,69.49,83.42,73.67,62.95,84.4,0.625,0.0
Mac Jones,Jaguars,Starter,70.4,75.99,72.08,60.66,83.5,0.73,0.0
Jameis Winston,Browns,Starter,68.27,74.36,71.31,63.08,79.54,0.247,0.0
Justin Fields,Steelers,Starter,71.67,70.91,71.29,62.79,79.78,0.288,0.0
Drake Maye,Patriots,Starter,65.08,76.47,70.78,60.88,80.68,0.5,0.0
Daniel Jones,Vikings,Starter,68.27,70.18,69.22,60.03,78.42,0.393,0.0
Deshaun Watson,Browns,Starter,64.39,78.87,68.74,55.54,81.94,1.0,0.0
Bryce Young,Panthers,Starter,67.19,72.05,68.65,56.45,80.85,0.849,0.0
Jacoby Brissett,Patriots,Starter,70.34,64.21,68.5,57.13,79.87,0.723,0.0
Joe Flacco,Colts,Starter,66.56,63.18,65.54,54.99,76.1,0.599,0.0
Gardner Minshew,Raiders,Starter,62.22,66.62,64.42,55.77,73.08,0.311,0.0
Andy Dalton,Panthers,Starter,61.09,67.39,64.24,54.79,73.69,0.432,0.0
Mason Rudolph,Titans,Starter,66.05,61.4,63.72,54.5,72.95,0.398,0.0
Anthony Richardson,Colts,Starter,60.46,60.95,60.7,50.8,70.6,0.5,0.0
Tyler Huntley,Dolphins,Starter,60.68,60.7,60.69,51.74,69.65,0.357,0.0
Drew Lock,Giants,Starter,62.29,58.03,60.16,51.74,68.57,0.275,0.0
Will Levis,Titans,Reserve/Poor,61.88,57.43,59.65,50.31,68.99,0.415,0.0
Aidan O'Connell,Raiders,Reserve/Poor,60.01,53.27,56.64,48.58,64.71,0.222,0.0
Cooper Rush,Cowboys,Reserve/Poor,57.86,50.04,53.95,46.23,61.67,0.17,0.0
Spencer Rattler,Saints,Reserve/Poor,53.65,47.04,50.35,40.45,60.25,0.5,0.0
Desmond Ridder,Raiders,Reserve/Poor,46.38,49.38,47.88,39.02,56.74,0.343,0.0
Dorian Thompson-Robinson,Browns,Reserve/Poor,39.24,43.27,41.26,33.29,49.23,0.207,0.0
