team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0027887,238.65793041514945,49ers,-0.03,37.50%,Taylor Mays,SS/S,0.332520325203252,2010.0,taylor mays,taylor mays,taylor mays,133.0,Taylor Mays,SF,S,427.0,5574.0,11.0,3.0,0.0,1.0,28.0,0.0,48.4,54.8,80.3,85.5,0.0,0.0,3.6,1.0,2.0,1.0,139.6,13.0,392.0,33.0,273.0,1.0,5.0,24.0,1.0,16.0,1.0,263.0,2010.0,23399.6,MISSING,taylor mays
49ers,00-0025513,63.23126482628152,49ers,-0.03,37.50%,Dashon Goldson,FS/S,0.5310723577235772,2010.0,dashon goldson,dashon goldson,dashon goldson,77.0,Dashon Goldson,SF,S,1011.0,3742.0,16.0,10.0,0.0,0.0,28.0,0.0,47.0,55.9,14.1,64.2,1.0,1.0,11.8,10.0,3.0,3.0,92.7,20.0,883.0,103.0,586.0,12.0,15.0,65.0,1.0,37.0,2.0,345.0,2010.0,56514.9,MISSING,dashon goldson
49ers,00-0027378,0.0,49ers,-0.03,37.50%,Chris Maragos,FS/S,0.0918219512195122,2010.0,chris maragos,chris maragos,chris maragos,151.0,Chris Maragos,SF,S,6.0,5906.0,1.0,0.0,0.0,0.0,28.0,0.0,60.9,61.3,67.7,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,367.7999999999999,MISSING,chris maragos
49ers,00-0027378,0.0,49ers,-0.03,37.50%,Chris Maragos,FS/S,0.0718699186991869,2010.0,chris maragos,chris maragos,chris maragos,151.0,Chris Maragos,SF,S,6.0,5906.0,1.0,0.0,0.0,0.0,28.0,0.0,60.9,61.3,67.7,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,367.7999999999999,MISSING,chris maragos
Bears,00-0025555,38.893825083587586,Bears,0.02,66.70%,Corey Graham,FS/S,0.9255081300813008,2010.0,corey graham,corey graham,corey graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0025408,289.7795974451737,Bengals,-0.06,25.00%,Reggie Nelson,FS/S,1.1113821138211382,2010.0,reggie nelson,reggie nelson,reggie nelson,70.0,Reggie Nelson,CIN,S,489.0,3637.0,11.0,9.0,0.0,1.0,7.0,0.0,50.3,55.2,81.0,82.7,2.0,0.0,6.3,3.0,4.0,2.0,30.4,9.0,427.0,38.0,295.0,22.0,5.0,36.0,0.0,20.0,0.0,146.0,2010.0,26992.800000000003,MISSING,reggie nelson
Bills,00-0024223,389.3134829268642,Bills,-0.19,25.00%,Donte Whitner,SS/S,4.32,2010.0,donte whitner,donte whitner,donte whitner,51.0,Donte Whitner,BUF,S,1093.0,2953.0,16.0,23.0,0.0,1.0,4.0,1.0,35.9,59.0,61.7,91.9,1.0,0.0,3.7,5.0,5.0,2.0,125.9,28.0,819.0,250.0,527.0,15.0,25.0,107.0,1.0,39.0,6.0,328.0,2010.0,64487.0,MISSING,donte whitner
Bills,00-0027018,241.76030598629904,Bills,-0.19,25.00%,Jairus Byrd,FS/S,0.6910569105691057,2010.0,jairus byrd,jairus byrd,jairus byrd,108.0,Jairus Byrd,BUF,S,897.0,4965.0,16.0,17.0,0.0,3.0,4.0,1.0,56.2,65.8,83.7,90.2,1.0,1.0,3.8,3.0,3.0,0.0,99.0,16.0,749.0,127.0,457.0,18.0,14.0,59.0,1.0,27.0,3.0,168.0,2010.0,59022.6,MISSING,jairus byrd
Broncos,00-0027083,88.76270544405082,Broncos,-0.13,25.00%,David Bruton,SS/S,0.4191869918699187,2010.0,david bruton,david bruton,david bruton,115.0,David Bruton,DEN,S,169.0,5037.0,10.0,0.0,0.0,0.0,10.0,0.0,54.4,55.8,82.1,29.1,0.0,0.0,15.4,2.0,0.0,0.0,118.8,1.0,57.0,106.0,59.0,2.0,5.0,11.0,2.0,4.0,1.0,73.0,2010.0,9430.2,MISSING,david bruton
Browns,00-0027653,285.03213290553674,Browns,-0.12,31.30%,T.J. Ward,SS/S,0.6672764227642277,2010.0,tj ward,tj ward,tj ward,132.0,T.J. Ward,CLV,S,1053.0,5563.0,16.0,14.0,0.0,1.0,8.0,0.0,37.9,56.0,60.4,66.4,2.0,0.0,12.0,13.0,8.0,1.0,87.2,30.0,881.0,158.0,532.0,9.0,21.0,81.0,4.0,48.0,2.0,421.0,2010.0,58968.0,MISSING,tj ward
