team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0027863,519.1343265344232,49ers,-0.03,37.50%,Anthony Davis,RT/T,3.1776967479674796,2010.0,anthony davis,anthony davis,anthony davis,34.0,Anthony Davis,SF,T,100.0,1.0,28.0,59.7,58.1,67.2,11.0,37.0,561.0,100.0,100.0,93.8,11.0,59.0,11.0,979.0,0.0,0.0,0.0,979.0,590.0,590.0,0.0,979.0,389.0,0.0,2010.0,58446.3,MISSING,anthony davis
Bears,00-0023596,27.859682188336667,Bears,0.02,66.70%,Frank Omiyale,T,1.5853658536585369,2010.0,frank omiyale,frank omiyale,frank omiyale,9.0,Frank Omiyale,CHI,T,99.5,0.0,6.0,61.4,53.2,72.4,6.0,39.0,623.0,99.0,99.1,94.1,10.0,59.0,14.0,1117.0,0.0,0.0,1014.0,1123.0,661.0,667.0,0.0,85.0,456.0,24.0,2010.0,68952.2,69.6516583747927,frank omiyale
Bears,00-0027609,23.74303503009006,Bears,0.02,66.70%,J'Marcus Webb,RT/G,0.2724821138211382,2010.0,jmarcus webb,jmarcus webb,jmarcus webb,43.0,J'Marcus Webb,CHI,T,99.9,2.0,6.0,53.1,37.0,71.1,1.0,49.0,510.0,99.8,99.8,92.7,10.0,62.0,12.0,920.0,0.0,0.0,0.0,921.0,532.0,533.0,0.0,915.0,388.0,6.0,2010.0,48905.1,MISSING,jmarcus webb
Bengals,00-0026982,574.8878363614433,Bengals,-0.06,25.00%,Andre Smith,RT/T,2.107113821138211,2010.0,andre smith,andre smith,andre smith,76.0,Andre Smith,CIN,T,100.0,0.0,7.0,50.6,44.6,64.6,3.0,14.0,168.0,100.0,100.0,93.2,4.0,20.0,3.0,281.0,0.0,0.0,0.0,281.0,182.0,182.0,0.0,281.0,99.0,0.0,2010.0,14218.6,MISSING,andre smith
Bengals,00-0023920,0.0,Bengals,-0.06,25.00%,Dennis Roland,RT/T,0.3821138211382114,2010.0,dennis roland,dennis roland,dennis roland,59.0,Dennis Roland,CIN,T,98.1,0.0,7.0,64.3,51.5,76.6,7.0,16.0,319.0,96.4,96.5,94.2,3.0,30.0,7.0,633.0,0.0,0.0,28.0,645.0,335.0,347.0,0.0,565.0,298.0,52.0,2010.0,41473.5,MISSING,dennis roland
Bills,00-0026359,19.26558203089,Bills,-0.19,25.00%,Demetress Bell,RT/T,0.3935975609756098,2010.0,demetress bell,demetress bell,demetress bell,40.0,Demetress Bell,BUF,T,100.0,0.0,4.0,69.0,72.8,64.8,10.0,29.0,566.0,100.0,100.0,95.8,5.0,43.0,4.0,950.0,0.0,0.0,950.0,950.0,587.0,587.0,0.0,0.0,363.0,0.0,2010.0,65550.0,MISSING,demetress bell
Browns,00-0022149,13.380778433588263,Browns,-0.12,31.30%,Tony Pashos,RT/T,2.8495934959349594,2010.0,tony pashos,tony pashos,tony pashos,81.0,Tony Pashos,CLV,T,100.0,0.0,8.0,58.9,55.8,61.5,1.0,11.0,137.0,100.0,100.0,94.9,2.0,13.0,1.0,242.0,0.0,0.0,0.0,242.0,141.0,141.0,0.0,242.0,101.0,0.0,2010.0,14253.8,MISSING,tony pashos
Buccaneers,00-0024274,136.68798951905993,Buccaneers,0.05,62.50%,Jeremy Trueblood,RT/T,0.9560975609756096,2010.0,jeremy trueblood,jeremy trueblood,jeremy trueblood,65.0,Jeremy Trueblood,TB,T,99.6,0.0,30.0,58.6,51.1,72.6,6.0,24.0,298.0,99.3,99.4,94.3,4.0,32.0,2.0,494.0,0.0,0.0,1.0,496.0,315.0,317.0,0.0,491.0,179.0,4.0,2010.0,29065.6,MISSING,jeremy trueblood
Buccaneers,00-0027444,0.0,Buccaneers,0.05,62.50%,Derek Hardman,RT/T,0.3170731707317073,2010.0,derek hardman,derek hardman,derek hardman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0023894,0.0,Buccaneers,0.05,62.50%,Donald Penn,RT/T,3.929539024390244,2010.0,donald penn,donald penn,donald penn,33.0,Donald Penn,TB,T,99.9,1.0,30.0,73.3,67.4,70.9,8.0,37.0,564.0,99.8,99.8,94.9,4.0,51.0,6.0,982.0,0.0,0.0,982.0,983.0,590.0,591.0,0.0,0.0,392.0,1.0,2010.0,72053.9,MISSING,donald penn
