team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0024221,425.8873840248471,49ers,-0.03,37.50%,Vernon Davis,TE,6.407045528455285,2010.0,vernon davis,vernon davis,vernon davis,9.0,Vernon Davis,SF,TE,10.9,11.0,64.4,MISSING,0.0,0.0,0.0,9.7,6.0,35.0,28.0,0.0,57.0,80.3,79.9,65.5,75.6,43.3,241.0,1.0,66.0,12.8,71.0,556.0,3.0,56.0,84.4,469.0,51.4,286.0,121.5,87.0,7.0,4.3,24.0,914.0,445.0,7.9,16.3,1.95,71.0,355.0,551.0,2010.0,44024.9,MISSING,vernon davis
49ers,00-0027780,43.41049379949581,49ers,-0.03,37.50%,Nate Byham,TE,0.2817479674796748,2010.0,nate byham,nate byham,nate byham,78.0,Nate Byham,SF,TE,-0.2,0.0,83.3,MISSING,0.0,0.0,0.0,16.7,1.0,0.0,28.0,0.0,45.8,68.0,56.1,58.7,40.9,45.6,26.0,0.0,9.0,24.6,14.0,57.0,1.0,5.0,73.7,42.0,17.5,10.0,85.4,6.0,0.0,0.0,0.0,27.0,28.0,5.6,5.4,0.64,14.0,104.0,36.0,2010.0,2019.6,MISSING,nate byham
49ers,00-0024389,31.815205956557264,49ers,-0.03,37.50%,Delanie Walker,TE,1.7276422764227644,2010.0,delanie walker,delanie walker,delanie walker,37.0,Delanie Walker,SF,TE,5.8,6.0,70.7,MISSING,0.0,0.0,0.0,12.1,4.0,13.0,28.0,1.0,47.7,28.1,69.4,53.3,65.9,35.7,75.0,0.0,38.0,3.8,8.0,210.0,3.0,29.0,92.4,194.0,46.2,97.0,94.7,41.0,0.0,11.4,24.0,331.0,172.0,5.9,11.4,1.71,8.0,162.0,196.0,2010.0,13602.4,MISSING,delanie walker
49ers,00-0026669,0.0,49ers,-0.03,37.50%,Colin Cloherty,TE,0.0718699186991869,2010.0,colin cloherty,colin cloherty,colin cloherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0020342,12.3858370720309,Bears,0.02,66.70%,Brandon Manumaleuna,TE,3.6626016260162606,2010.0,brandon manumaleuna,brandon manumaleuna,brandon manumaleuna,79.0,Brandon Manumaleuna,CHI,TE,3.2,0.0,100.0,MISSING,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,74.6,68.8,62.2,35.3,58.7,68.1,194.0,0.0,16.0,69.1,197.0,285.0,4.0,5.0,28.8,82.0,2.5,7.0,142.1,5.0,1.0,0.7,2.0,43.0,27.0,5.4,8.6,0.52,197.0,342.0,203.0,2010.0,12626.6,MISSING,brandon manumaleuna
Bears,00-0025418,237.64478988486655,Bears,0.02,66.70%,Greg Olsen,TE,1.3221544715447155,2010.0,greg olsen,greg olsen,greg olsen,16.0,Greg Olsen,CHI,TE,10.1,2.0,64.4,MISSING,0.0,0.0,0.0,6.0,3.0,27.0,6.0,2.0,65.1,26.2,69.5,67.4,66.5,44.7,249.0,3.0,58.0,15.8,88.0,557.0,4.0,47.0,79.5,443.0,35.7,199.0,97.6,73.0,6.0,3.8,21.0,554.0,243.0,5.2,11.8,1.25,88.0,370.0,469.0,2010.0,32595.5,MISSING,greg olsen
Bears,00-0026298,48.75348174144654,Bears,0.02,66.70%,Kellen Davis,TE,0.7227520325203252,2010.0,kellen davis,kellen davis,kellen davis,90.0,Kellen Davis,CHI,TE,15.3,0.0,75.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,70.5,65.8,77.4,73.2,64.1,83.3,35.0,0.0,39.0,40.5,17.0,42.0,0.0,3.0,57.1,24.0,7.1,3.0,156.3,4.0,2.0,2.4,1.0,61.0,20.0,6.7,20.3,2.54,17.0,137.0,39.0,2010.0,3018.6000000000004,MISSING,kellen davis
Bengals,00-0027873,391.1615418671963,Bengals,-0.06,25.00%,Jermaine Gresham,TE,0.9317073170731708,2010.0,jermaine gresham,jermaine gresham,jermaine gresham,14.0,Jermaine Gresham,CIN,TE,4.0,11.0,68.4,MISSING,0.0,0.0,1.0,13.3,8.0,26.0,7.0,2.0,40.3,25.0,64.6,61.9,59.8,69.1,327.0,3.0,27.0,14.8,70.0,473.0,6.0,52.0,79.9,378.0,12.7,60.0,86.0,76.0,4.0,3.0,14.0,471.0,381.0,7.3,9.1,1.25,70.0,322.0,401.0,2010.0,25904.6,MISSING,jermaine gresham
Bengals,00-0027069,108.97413217440103,Bengals,-0.06,25.00%,Chase Coffman,TE,0.3211382113821138,2010.0,chase coffman,chase coffman,chase coffman,92.0,Chase Coffman,CIN,TE,4.5,1.0,75.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,70.5,65.8,70.6,74.3,71.6,61.1,22.0,0.0,14.0,16.7,6.0,36.0,0.0,3.0,77.8,28.0,22.2,8.0,95.8,4.0,0.0,5.6,2.0,30.0,18.0,6.0,10.0,1.07,6.0,14.0,32.0,2010.0,2259.2,MISSING,chase coffman
Bengals,00-0009119,21.93200014569915,Bengals,-0.06,25.00%,Reggie Kelly,TE,0.8170731707317074,2010.0,reggie kelly,reggie kelly,reggie kelly,67.0,Reggie Kelly,CIN,TE,0.5,1.0,90.9,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,78.0,71.1,63.7,58.0,41.8,56.5,135.0,0.0,9.0,33.9,81.0,239.0,3.0,10.0,63.2,151.0,7.1,17.0,82.6,11.0,0.0,2.9,7.0,42.0,37.0,3.7,4.2,0.28,81.0,263.0,159.0,2010.0,10128.3,MISSING,reggie kelly
Bills,00-0027088,81.87631224757715,Bills,-0.19,25.00%,Shawn Nelson,TE,0.3390715447154471,2010.0,shawn nelson,shawn nelson,shawn nelson,89.0,Shawn Nelson,BUF,TE,5.5,0.0,75.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,70.5,14.2,48.5,74.4,43.5,69.2,18.0,0.0,12.0,26.9,7.0,26.0,0.0,3.0,73.1,19.0,26.9,7.0,90.6,4.0,0.0,3.8,1.0,25.0,14.0,4.7,8.3,1.32,7.0,23.0,26.0,2010.0,1261.0,MISSING,shawn nelson
Bills,00-0020332,5.008222538248915,Bills,-0.19,25.00%,David Martin,TE,0.6585365853658537,2010.0,david martin,david martin,david martin,72.0,David Martin,BUF,TE,3.6,0.0,87.5,MISSING,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,75.6,69.5,64.6,61.4,51.7,90.3,130.0,0.0,15.0,31.9,46.0,144.0,1.0,7.0,65.3,94.0,4.9,7.0,128.6,8.0,1.0,2.1,3.0,43.0,20.0,2.9,6.1,0.46,46.0,201.0,140.0,2010.0,9044.0,MISSING,david martin
Bills,00-0025864,0.0,Bills,-0.19,25.00%,Jonathan Stupar,TE,0.3821138211382114,2010.0,jonathan stupar,jonathan stupar,jonathan stupar,62.0,Jonathan Stupar,BUF,TE,1.5,1.0,92.3,MISSING,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,79.4,21.2,60.4,28.1,50.0,74.5,102.0,1.0,35.0,30.7,42.0,137.0,0.0,12.0,65.7,90.0,17.5,24.0,70.2,13.0,0.0,3.6,5.0,111.0,93.0,7.8,9.3,1.23,42.0,138.0,131.0,2010.0,7912.4,MISSING,jonathan stupar
Broncos,00-0027040,170.1813819186075,Broncos,-0.13,25.00%,Richard Quinn,TE,0.5101626016260162,2010.0,richard quinn,richard quinn,richard quinn,101.0,Richard Quinn,DEN,TE,1.0,0.0,50.0,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,64.7,61.2,68.5,72.1,44.4,77.6,45.0,0.0,9.0,44.8,26.0,58.0,1.0,1.0,53.4,31.0,3.4,2.0,62.5,2.0,0.0,6.9,4.0,9.0,11.0,11.0,9.0,0.29,26.0,106.0,51.0,2010.0,3493.5,MISSING,richard quinn
Broncos,00-0021154,78.97415327640756,Broncos,-0.13,25.00%,Daniel Graham,TE,6.300813008130081,2010.0,daniel graham,daniel graham,daniel graham,38.0,Daniel Graham,DEN,TE,6.7,1.0,51.4,MISSING,0.0,0.0,2.0,14.3,3.0,5.0,10.0,1.0,55.6,23.8,58.4,81.5,33.9,76.9,453.0,0.0,28.0,40.9,241.0,589.0,4.0,18.0,56.4,332.0,9.3,55.0,63.2,35.0,0.0,0.5,3.0,153.0,49.0,2.7,8.5,0.46,241.0,373.0,511.0,2010.0,29842.4,MISSING,daniel graham
