Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year_y,weighted_grade,weighted_average_grade,merge_player_y
827.0,827.0,2010.0,Cowboys,TE,Jason Witten,00-0022127,7.0,2003.0,2003.0,Cowboys,28.0,69.0,0.283,7.6,245.0,71.38,770.0,47.89504906086949,2010.0,Cowboys,0.0,37.50%,jason witten,jason witten,jason witten,0,Jason Witten,DAL,TE,7.2,13,76.4,MISSING,0,0,1,3.1,3,49,9,1,89.9,57.2,90.3,74.3,86.7,78.5,509,3,33,14.4,93,648,6,94,81.5,528,12.8,83,113.9,123,9,1.4,9,1002,394,4.2,10.7,1.9,93,397,601,2010,54270.3,81.86470588235295,jason witten
763.0,763.0,2010.0,Commanders,TE,Chris Cooley,00-0022738,6.0,2004.0,2004.0,Commanders,28.0,81.0,0.243,6.6,185.0,54.8,686.0,55.180569348451385,2010.0,Commanders,-0.12,37.50%,chris cooley,chris cooley,chris cooley,1,Chris Cooley,WAS,TE,6.3,12,66.4,MISSING,0,0,0,9.4,8,40,32,3,44.2,25.2,67.6,41.4,62.6,70.2,463,2,35,10.2,67,660,2,77,85.2,562,23.2,153,89.3,116,3,2.0,13,849,405,5.3,11.0,1.51,67,333,629,2010,42520.399999999994,78.26249999999999,chris cooley
1204.0,1204.0,2010.0,Jets,TE,Dustin Keller,00-0026170,2.0,2008.0,2008.0,Jets,25.0,30.0,0.518,12.9,620.0,196.31,1209.0,267.75716542023196,2010.0,Jets,0.08,68.40%,dustin keller,dustin keller,dustin keller,2,Dustin Keller,NYJ,TE,9.0,7,60.0,MISSING,0,0,0,14.8,12,39,22,0,29.4,81.3,66.9,79.4,63.5,52.2,303,3,41,2.9,17,580,4,69,92.9,539,37.1,215,85.0,115,5,6.6,38,808,294,4.3,11.7,1.5,17,406,556,2010,37196.4,76.04544095665172,dustin keller
1019.0,1019.0,2010.0,Falcons,TE,Tony Gonzalez,00-0006101,13.0,1997.0,1997.0,Chiefs,34.0,13.0,0.715,18.3,1150.0,335.74,1649.0,21.87226785446798,2010.0,Falcons,0.1,76.50%,tony gonzalez,tony gonzalez,tony gonzalez,3,Tony Gonzalez,ATL,TE,8.2,5,66.4,MISSING,0,0,0,7.8,6,39,2,0,64.6,81.5,68.7,68.8,65.8,33.9,218,4,34,7.0,45,644,3,71,86.5,557,55.1,355,86.3,107,6,10.1,65,663,191,2.7,9.3,1.19,45,430,638,2010,43830.6,65.21418826739426,tony gonzalez
1274.0,1274.0,2010.0,Lions,TE,Brandon Pettigrew,00-0026996,1.0,2009.0,2009.0,Lions,25.0,20.0,0.606,15.5,850.0,269.18,1422.0,363.4570696610371,2010.0,Lions,-0.01,37.50%,brandon pettigrew,brandon pettigrew,brandon pettigrew,4,Brandon Pettigrew,DET,TE,5.5,7,68.9,MISSING,0,0,0,14.5,12,35,11,0,32.1,81.4,65.0,71.8,55.5,86.0,504,2,35,12.5,73,586,10,71,83.3,488,9.7,57,93.6,103,4,0.3,2,722,378,5.3,10.2,1.48,73,367,563,2010,36595.0,MISSING,brandon pettigrew
697.0,697.0,2010.0,Colts,TE,Jacob Tamme,00-0026267,2.0,2008.0,2008.0,Colts,25.0,127.0,0.146,3.8,45.0,19.77,449.0,69.2478569693987,2010.0,Colts,0.06,58.80%,jacob tamme,jacob tamme,jacob tamme,5,Jacob Tamme,IND,TE,6.4,4,73.5,MISSING,0,0,0,8.9,7,39,14,0,58.9,81.4,79.5,59.6,81.7,69.9,299,3,30,8.9,38,428,3,72,87.4,374,22.2,95,92.9,98,4,5.1,22,677,340,4.7,9.4,1.81,38,174,416,2010,33072.0,MISSING,jacob tamme
368.0,368.0,2010.0,Browns,TE,Benjamin Watson,00-0022943,6.0,2004.0,2004.0,Patriots,29.0,32.0,0.502,12.5,590.0,184.3,1175.0,115.97000296515333,2010.0,Browns,-0.12,31.30%,benjamin watson,benjamin watson,benjamin watson,6,Benjamin Watson,CLV,TE,8.9,5,69.4,MISSING,0,0,0,9.3,7,41,8,0,62.5,81.4,76.5,70.9,73.2,71.1,374,5,44,10.5,55,526,4,68,85.4,449,27.2,143,81.4,98,3,1.1,6,765,280,4.1,11.3,1.7,55,388,523,2010,40009.5,MISSING,benjamin watson
1525.0,1525.0,2010.0,Raiders,TE,Zach Miller,00-0025425,3.0,2007.0,2007.0,Raiders,24.0,38.0,0.458,11.4,520.0,157.49,1084.0,211.15699753619467,2010.0,Raiders,0.02,50.00%,zach miller,zach miller,zach miller,7,Zach Miller,OAK,TE,7.9,7,67.4,MISSING,0,0,0,7.7,5,36,23,1,66.3,56.2,82.8,57.9,79.8,73.0,384,3,43,20.0,105,526,3,60,74.7,393,16.5,87,95.1,89,5,4.6,24,687,293,4.9,11.5,1.75,105,420,495,2010,40986.0,MISSING,zach miller
437.0,437.0,2010.0,Buccaneers,TE,Kellen Winslow,00-0022922,6.0,2004.0,2004.0,Browns,27.0,6.0,0.955,23.2,1600.0,446.15,2056.0,233.73195201848125,2010.0,Buccaneers,0.05,62.50%,kellen winslow,kellen winslow,kellen winslow,8,Kellen Winslow,TB,TE,9.1,11,75.0,MISSING,0,0,1,4.3,3,36,30,1,80.0,57.3,74.7,61.4,79.6,46.9,235,1,41,3.4,17,501,7,66,92.6,464,47.9,240,113.5,88,5,5.2,26,733,247,3.7,11.1,1.58,17,214,501,2010,37424.7,MISSING,kellen winslow
49.0,49.0,2010.0,49ers,TE,Vernon Davis,00-0024221,4.0,2006.0,2006.0,49ers,26.0,6.0,0.955,23.2,1600.0,446.15,2056.0,425.8873840248471,2010.0,49ers,-0.03,37.50%,vernon davis,vernon davis,vernon davis,9,Vernon Davis,SF,TE,10.9,11,64.4,MISSING,0,0,0,9.7,6,35,28,0,57.0,80.3,79.9,65.5,75.6,43.3,241,1,66,12.8,71,556,3,56,84.4,469,51.4,286,121.5,87,7,4.3,24,914,445,7.9,16.3,1.95,71,355,551,2010,44024.9,MISSING,vernon davis
