team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0026669,0.0,49ers,-0.03,37.50%,Colin Cloherty,TE,0.0718699186991869,2010.0,colin cloherty,colin cloherty,colin cloherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027287,0.0,Buccaneers,0.05,62.50%,Nathan Overbay,TE,0.0718699186991869,2010.0,nathan overbay,,nathan overbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027445,0.0,Dolphins,-0.07,43.80%,Jeron Mastrud,TE,0.2295544715447154,2010.0,jeron mastrud,jeron mastrud,jeron mastrud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027445,0.0,Dolphins,-0.07,43.80%,Jeron Mastrud,TE,0.0718699186991869,2010.0,jeron mastrud,jeron mastrud,jeron mastrud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0024321,72.80595968297786,Eagles,0.01,58.80%,Garrett Mills,TE,0.5121951219512195,2010.0,garrett mills,garrett mills,garrett mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0026931,37.9700269496115,Giants,0.09,62.50%,Bear Pascoe,TE,0.3211382113821138,2010.0,bear pascoe,bear pascoe,bear pascoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0027567,0.0,Patriots,0.22,82.40%,Steve Maneri,TE,0.2601626016260162,2010.0,steve maneri,steve maneri,steve maneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0026915,59.553855344418515,Ravens,0.06,72.20%,Davon Drew,TE,0.0718699186991869,2010.0,davon drew,,davon drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0026915,59.553855344418515,Ravens,0.06,72.20%,Davon Drew,TE,0.0306073170731707,2010.0,davon drew,,davon drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027783,41.49449142284807,Seahawks,-0.13,44.40%,Anthony McCoy,TE,0.2814731707317073,2010.0,anthony mccoy,anthony mccoy,anthony mccoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0026957,15.010564504155566,Steelers,0.18,73.70%,David Johnson,TE,0.3301349593495934,2010.0,david johnson,david johnson,david johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
