,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
0,D'Brickashaw Ferguson,NYJ,T,99.9,0,22,83.3,83.3,77.2,9,18,654,100.0,99.9,97.5,7,30,3,1306,0,0,1274,1307,685,686,0,0,621,33,Jets,2010,108873.09999999999,64.59799588900309
1,Chad Clifton,GB,T,100.0,1,12,71.7,74.9,63.7,7,30,742,100.0,100.0,96.4,7,45,8,1219,0,0,1218,1219,783,783,0,1,436,0,Packers,2010,87402.3,63.438969072164944
2,Sam Baker,ATL,T,99.7,2,2,67.2,67.0,63.7,7,33,651,99.4,99.4,95.4,8,50,10,1207,0,0,1193,1211,703,707,0,0,504,18,Falcons,2010,81379.2,65.68690196078431
3,Tyson Clabo,ATL,T,99.7,0,2,80.8,73.9,79.2,5,24,646,99.5,99.6,96.8,0,35,6,1190,0,0,18,1193,697,700,0,1161,493,14,Falcons,2010,96394.4,73.94908485856904
4,Jermon Bushrod,NO,T,100.0,2,20,67.4,70.6,60.4,9,47,744,100.0,100.0,95.7,8,60,4,1185,0,0,1183,1185,778,778,0,0,407,2,Saints,2010,79869.0,65.22851851851851
5,Jon Stinchcomb,NO,T,100.0,2,20,70.5,60.4,81.8,6,48,742,100.0,100.0,95.4,10,61,7,1179,0,0,0,1179,776,776,0,1175,403,4,Saints,2010,83119.5,77.50993601806549
6,Marshal Yanda,BLT,T,98.7,2,3,80.5,72.8,85.0,3,25,602,97.4,97.6,97.0,5,32,4,1175,0,0,0,1191,639,655,67,1073,536,51,Ravens,2010,95875.5,75.54135876042908
7,Michael Oher,BLT,T,99.8,1,3,69.5,66.6,77.6,12,28,595,99.7,99.7,95.1,12,49,9,1144,0,0,1140,1146,632,634,0,0,512,6,Ravens,2010,79647.0,75.05655172413793
8,Ryan Diem,IND,T,100.0,0,14,62.3,63.2,65.1,9,38,696,100.0,100.0,95.9,10,52,5,1121,0,0,0,1121,719,719,0,1121,402,0,Colts,2010,69838.3,68.91630847029077
9,Frank Omiyale,CHI,T,99.5,0,6,61.4,53.2,72.4,6,39,623,99.0,99.1,94.1,10,59,14,1117,0,0,1014,1123,661,667,0,85,456,24,Bears,2010,68952.2,69.6516583747927
10,Sean Locklear,SEA,T,100.0,1,29,72.6,75.6,62.3,4,17,665,100.0,100.0,97.7,7,26,5,1103,0,0,0,1103,698,698,0,1103,405,0,Seahawks,2010,80077.79999999999,70.92391622016561
11,Jeff Backus,DET,T,100.0,1,11,77.6,75.4,71.2,9,33,678,100.0,100.0,96.3,4,46,4,1102,0,0,1102,1102,716,716,0,0,386,0,Lions,2010,85515.2,
12,Bryan Bulaga,GB,T,100.0,1,12,63.7,60.0,68.6,7,33,652,100.0,100.0,94.9,10,53,13,1088,0,0,32,1088,680,680,0,1056,408,0,Packers,2010,69305.6,
13,Andrew Whitworth,CIN,T,98.9,0,7,90.9,81.3,91.4,9,14,614,98.4,98.2,97.6,7,26,3,1081,0,0,1029,1093,648,660,0,0,433,64,Bengals,2010,99353.70000000001,
14,Barry Richardson,KC,T,100.0,2,16,71.2,56.5,83.6,8,32,501,100.0,100.0,95.0,11,45,5,1080,0,0,93,1080,531,531,0,987,549,0,Chiefs,2010,76896.0,
15,Sebastian Vollmer,NE,T,100.0,0,19,74.0,70.5,73.1,5,31,576,100.0,100.0,96.7,5,37,1,1073,0,0,31,1073,605,605,0,1040,468,2,Patriots,2010,79402.0,
16,Doug Free,DAL,T,99.9,2,9,83.8,74.5,91.4,7,21,636,99.8,99.9,97.0,10,33,5,1072,0,0,1066,1073,670,671,0,0,402,7,Cowboys,2010,89917.4,
17,Jeromey Clary,SD,T,99.8,0,27,71.6,63.9,78.0,3,38,590,99.7,99.7,95.2,6,49,8,1071,0,0,0,1073,612,614,0,1053,459,20,Chargers,2010,76826.79999999999,
18,Eric Winston,HST,T,100.0,3,13,79.1,70.9,84.7,4,18,607,100.0,100.0,96.9,8,30,8,1067,0,0,0,1067,645,645,0,1067,422,0,Texans,2010,84399.7,
19,Flozell Adams,PIT,T,100.0,1,25,70.1,59.6,81.1,5,32,547,100.0,100.0,95.2,6,45,8,1063,0,0,0,1063,582,582,0,1062,481,1,Steelers,2010,74516.29999999999,
20,Charlie Johnson,IND,T,100.0,0,14,71.4,64.4,70.3,9,43,658,100.0,100.0,95.1,0,58,6,1062,0,0,1062,1062,680,680,0,0,382,0,Colts,2010,75826.8,
21,Kareem McKenzie,NYG,T,99.9,0,21,85.0,73.4,89.3,4,21,550,99.8,99.8,97.4,4,27,2,1062,0,0,0,1063,583,584,0,1058,479,5,Giants,2010,90355.0,
22,Matt Light,NE,T,100.0,1,19,77.0,65.7,82.2,3,36,574,100.0,100.0,95.4,6,46,7,1057,0,2,1055,1057,604,604,0,0,453,0,Patriots,2010,81389.0,
23,Jake Long,MIA,T,99.9,0,17,84.1,85.0,77.8,3,12,610,99.8,99.8,97.8,8,21,6,1053,0,0,1041,1054,635,636,0,0,418,13,Dolphins,2010,88641.4,
24,Ryan Clady,DEN,T,100.0,2,10,82.2,76.1,81.4,2,29,635,100.0,100.0,96.6,7,37,6,1049,0,0,1037,1049,671,671,0,0,378,12,Broncos,2010,86227.8,
