Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1187.0,1187.0,2010.0,Jets,OL,D'Brickashaw Ferguson,00-0024219,4.0,2006.0,2006.0,Jets,26.0,4.0,1.027,25.8,1800.0,490.52,2270.0,468.91531251081386,2010.0,Jets,0.08,68.40%,dbrickashaw ferguson,dbrickashaw ferguson,dbrickashaw ferguson,0,D'Brickashaw Ferguson,NYJ,T,99.9,0,22,83.3,83.3,77.2,9,18,654,100.0,99.9,97.5,7,30,3,1306,0,0,1274,1307,685,686,0,0,621,33,2010,108873.1,64.59799588900309,dbrickashaw ferguson
1325.0,1325.0,2010.0,Packers,OL,Chad Clifton,00-0019702,10.0,2000.0,2000.0,Packers,34.0,44.0,0.415,10.5,460.0,134.58,1007.0,28.64675991217881,2010.0,Packers,0.18,70.00%,chad clifton,chad clifton,chad clifton,1,Chad Clifton,GB,T,100.0,1,12,71.7,74.9,63.7,7,30,742,100.0,100.0,96.4,7,45,8,1219,0,0,1218,1219,783,783,0,1,436,0,2010,87402.3,63.438969072164944,chad clifton
999.0,999.0,2010.0,Falcons,OL,Sam Baker,00-0026161,2.0,2008.0,2008.0,Falcons,25.0,21.0,0.594,15.2,800.0,260.82,1397.0,320.2559837480742,2010.0,Falcons,0.1,76.50%,sam baker,sam baker,sam baker,2,Sam Baker,ATL,T,99.7,2,2,67.2,67.0,63.7,7,33,651,99.4,99.4,95.4,8,50,10,1207,0,0,1193,1211,703,707,0,0,504,18,2010,81379.2,65.68690196078431,sam baker
1006.0,1006.0,2010.0,Falcons,OL,Tyson Clabo,00-0022245,6.0,2004.0,2004.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Falcons,0.1,76.50%,tyson clabo,tyson clabo,tyson clabo,3,Tyson Clabo,ATL,T,99.7,0,2,80.8,73.9,79.2,5,24,646,99.5,99.6,96.8,0,35,6,1190,0,0,18,1193,697,700,0,1161,493,14,2010,96394.4,73.94908485856904,tyson clabo
1686.0,1686.0,2010.0,Saints,OL,Jermon Bushrod,00-0025512,3.0,2007.0,2007.0,Saints,26.0,125.0,0.149,3.9,47.0,20.67,457.0,64.10511878977638,2010.0,Saints,0.11,64.70%,jermon bushrod,jermon bushrod,jermon bushrod,4,Jermon Bushrod,NO,T,100.0,2,20,67.4,70.6,60.4,9,47,744,100.0,100.0,95.7,8,60,4,1185,0,0,1183,1185,778,778,0,0,407,2,2010,79869.0,65.22851851851851,jermon bushrod
1684.0,1684.0,2010.0,Saints,OL,Jon Stinchcomb,00-0022078,7.0,2003.0,2003.0,Saints,31.0,37.0,0.465,11.6,530.0,161.67,1098.0,78.99543392166731,2010.0,Saints,0.11,64.70%,jon stinchcomb,jon stinchcomb,jon stinchcomb,5,Jon Stinchcomb,NO,T,100.0,2,20,70.5,60.4,81.8,6,48,742,100.0,100.0,95.4,10,61,7,1179,0,0,0,1179,776,776,0,1175,403,4,2010,83119.5,77.50993601806549,jon stinchcomb
1628.0,1628.0,2010.0,Ravens,OL,Marshal Yanda,00-0025473,3.0,2007.0,2007.0,Ravens,25.0,86.0,0.229,6.2,160.0,49.08,654.0,103.91697196469563,2010.0,Ravens,0.06,72.20%,marshal yanda,marshal yanda,marshal yanda,6,Marshal Yanda,BLT,T,98.7,2,3,80.5,72.8,85.0,3,25,602,97.4,97.6,97.0,5,32,4,1175,0,0,0,1191,639,655,67,1073,536,51,2010,95875.5,75.54135876042908,marshal yanda
1625.0,1625.0,2010.0,Ravens,OL,Michael Oher,00-0026999,1.0,2009.0,2009.0,Ravens,24.0,23.0,0.573,14.6,760.0,244.86,1349.0,339.25451751142253,2010.0,Ravens,0.06,72.20%,michael oher,michael oher,michael oher,7,Michael Oher,BLT,T,99.8,1,3,69.5,66.6,77.6,12,28,595,99.7,99.7,95.1,12,49,9,1144,0,0,1140,1146,632,634,0,0,512,6,2010,79647.0,75.05655172413793,michael oher
680.0,680.0,2010.0,Colts,OL,Ryan Diem,00-0020399,9.0,2001.0,2001.0,Colts,31.0,118.0,0.158,4.2,58.0,24.15,488.0,13.962061044326852,2010.0,Colts,0.06,58.80%,ryan diem,ryan diem,ryan diem,8,Ryan Diem,IND,T,100.0,0,14,62.3,63.2,65.1,9,38,696,100.0,100.0,95.9,10,52,5,1121,0,0,0,1121,719,719,0,1121,402,0,2010,69838.3,68.91630847029077,ryan diem
90.0,90.0,2010.0,Bears,OL,Frank Omiyale,00-0023596,5.0,2005.0,2005.0,Falcons,27.0,163.0,0.106,2.2,26.0,8.87,318.0,27.859682188336667,2010.0,Bears,0.02,66.70%,frank omiyale,frank omiyale,frank omiyale,9,Frank Omiyale,CHI,T,99.5,0,6,61.4,53.2,72.4,6,39,623,99.0,99.1,94.1,10,59,14,1117,0,0,1014,1123,661,667,0,85,456,24,2010,68952.2,69.6516583747927,frank omiyale
