team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year,weighted_grade,weighted_average_grade,merge_player_y
Buccaneers,00-0027444,0.0,Buccaneers,0.05,62.50%,Derek Hardman,RT/T,0.3170731707317073,2010.0,derek hardman,derek hardman,derek hardman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027153,15.8679384827685,Colts,0.06,58.80%,Jaimie Thomas,T,0.3292682926829268,2010.0,jaimie thomas,joe thomas,joe thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0026408,0.0,Colts,0.06,58.80%,Joe Reitz,G/T,0.0718699186991869,2010.0,joe reitz,joe reitz,joe reitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027049,146.67122621801738,Cowboys,0.0,37.50%,Robert Brewster,T,0.4482926829268293,2010.0,robert brewster,,robert brewster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0027699,120.43504170167978,Falcons,0.1,76.50%,Mike Johnson,RT/T,0.3906934959349594,2010.0,mike johnson,lane johnson,lane johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0025576,28.700465579269057,Giants,0.09,62.50%,Adam Koets,T,0.600660162601626,2010.0,adam koets,,adam koets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0027506,0.0,Jaguars,-0.1,50.00%,Kevin Haslam,T,0.1876691056910569,2010.0,kevin haslam,kevin haslam,kevin haslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0027498,0.0,Jaguars,-0.1,50.00%,Daniel Baldridge,RT/T,0.2642276422764227,2010.0,daniel baldridge,,daniel baldridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0025429,197.93659738452592,Lions,-0.01,37.50%,Tony Ugoh,T,0.5609756097560975,2010.0,tony ugoh,tony ugoh,tony ugoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0027768,51.512926213575746,Packers,0.18,70.00%,Marshall Newhouse,RT/T,0.347530081300813,2010.0,marshall newhouse,marshall newhouse,marshall newhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
