team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,targeted_qb_rating,targets,touchdowns,wide_rate,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,inline_snaps,slot_snaps,wide_snaps,total_snaps,Year,weighted_grade,weighted_average_grade,merge_player_y
49ers,00-0025463,118.4702457722259,49ers,-0.03,37.50%,Jason Hill,WR,0.600369105691057,2010.0,jason hill,jason hill,jason hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0026721,0.0,Bengals,-0.06,25.00%,Tom Nelson,WR,0.3219512195121951,2010.0,tom nelson,jj nelson,jj nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0026739,0.0,Browns,-0.12,31.30%,Jordan Norwood,WR,0.0765178861788618,2010.0,jordan norwood,jordan norwood,jordan norwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0026739,0.0,Browns,-0.12,31.30%,Jordan Norwood,WR,0.0507317073170731,2010.0,jordan norwood,jordan norwood,jordan norwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0024645,0.0,Cardinals,-0.21,31.30%,Onrea Jones,WR,0.1138211382113821,2010.0,onrea jones,donald jones,donald jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0027122,42.94603597530333,Chiefs,0.05,58.80%,Quinten Lawrence,WR,0.3455284552845528,2010.0,quinten lawrence,,quinten lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0026276,62.50400891478666,Colts,0.06,58.80%,Kenneth Moore,WR,0.3821138211382114,2010.0,kenneth moore,,kenneth moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027173,0.0,Dolphins,-0.07,43.80%,Julius Pruitt,WR,0.2601626016260162,2010.0,julius pruitt,,julius pruitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0027265,0.0,Giants,0.09,62.50%,Victor Cruz,WR,0.2601626016260162,2010.0,victor cruz,victor cruz,victor cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0022901,33.560732987264714,Jaguars,-0.1,50.00%,Ernest Wilford,WR,0.0903869918699187,2010.0,ernest wilford,,ernest wilford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0011754,23.786557857521032,Patriots,0.22,82.40%,Randy Moss,WR,5.777139837398374,2010.0,randy moss,randy moss,randy moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0027520,0.0,Rams,-0.04,43.80%,Dominique Curry,WR,0.1829268292682927,2010.0,dominique curry,,dominique curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
