player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0027887,22.0,MISSING,238.65793041514945,2010,49ers,-0.03,37.50%,Taylor Mays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026215,23.0,MISSING,132.713613631279,2010,49ers,-0.03,37.50%,Reggie Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022843,28.0,MISSING,76.19676336884852,2010,49ers,-0.03,37.50%,Shawntae Spencer,CB,1021.0,16.0,2.0,2.0,1.0,28.0,1.0,65.2,62.8,90.3,29.5,3.0,0.0,23.7,14.0,5.0,3.0,93.8,54.0,907.0,622.0,60.0,13.0,43.0,0.0,77.0,4.0,594.0,64118.8,MISSING
00-0025513,25.0,MISSING,63.23126482628152,2010,49ers,-0.03,37.50%,Dashon Goldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020495,30.0,MISSING,58.5054917100735,2010,49ers,-0.03,37.50%,Nate Clements,CB,1056.0,16.0,9.0,1.0,3.0,28.0,0.0,70.5,76.0,89.1,74.9,3.0,0.0,7.1,6.0,7.0,4.0,90.5,62.0,517.0,610.0,464.0,30.0,70.0,9.0,96.0,4.0,778.0,80256.0,MISSING
00-0025534,25.0,MISSING,50.05500648168993,2010,49ers,-0.03,37.50%,Tarell Brown,CB,310.0,13.0,1.0,0.0,0.0,28.0,0.0,68.6,69.5,84.0,69.1,1.0,1.0,7.7,2.0,2.0,1.0,103.7,28.0,198.0,254.0,84.0,3.0,23.0,0.0,39.0,2.0,331.0,21545.0,MISSING
00-0021185,30.0,MISSING,41.81767036952714,2010,49ers,-0.03,37.50%,Michael Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020384,31.0,MISSING,23.365829254730897,2010,49ers,-0.03,37.50%,William James,CB,106.0,4.0,0.0,0.0,0.0,28.0,0.0,58.7,57.7,79.8,81.5,0.0,0.0,0.0,0.0,1.0,1.0,84.1,6.0,103.0,86.0,3.0,0.0,9.0,0.0,13.0,1.0,56.0,6116.200000000001,MISSING
00-0026501,25.0,MISSING,21.291760980340403,2010,49ers,-0.03,37.50%,Curtis Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027610,22.0,MISSING,21.035209425105887,2010,49ers,-0.03,37.50%,Phillip Adams,CB,76.0,9.0,0.0,0.0,0.0,28.0,0.0,69.3,69.4,78.8,77.8,0.0,0.0,0.0,0.0,0.0,0.0,104.2,6.0,76.0,66.0,0.0,2.0,4.0,0.0,10.0,2.0,28.0,5274.400000000001,MISSING
00-0027378,23.0,5906.0,0.0,2010,49ers,-0.03,37.50%,Chris Maragos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027375,22.0,5903.0,0.0,2010,49ers,-0.03,37.50%,Tramaine Brock Sr.,CB,30.0,1.0,0.0,0.0,0.0,28.0,0.0,53.5,54.1,75.6,76.6,0.0,0.0,0.0,0.0,0.0,0.0,158.3,5.0,29.0,27.0,0.0,0.0,3.0,0.0,5.0,1.0,72.0,1623.0,MISSING
00-0026758,24.0,MISSING,0.0,2010,49ers,-0.03,37.50%,C.J. Spillman,CB,6.0,1.0,0.0,0.0,0.0,28.0,0.0,53.5,53.3,70.0,26.0,0.0,0.0,100.0,1.0,0.0,0.0,118.8,1.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,13.0,319.79999999999995,MISSING
00-0024257,28.0,MISSING,179.10043971223772,2010,Bears,0.02,66.70%,Danieal Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027680,22.0,MISSING,162.0967737346473,2010,Bears,0.02,66.70%,Major Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023475,27.0,MISSING,137.01460099655182,2010,Bears,0.02,66.70%,Josh Bullocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024277,26.0,MISSING,130.3922404356245,2010,Bears,0.02,66.70%,Tim Jennings,CB,948.0,17.0,8.0,0.0,1.0,6.0,1.0,64.7,69.6,88.7,54.8,1.0,0.0,12.9,9.0,7.0,5.0,76.6,48.0,894.0,617.0,16.0,20.0,53.0,3.0,93.0,2.0,644.0,65980.79999999999,MISSING
00-0026907,23.0,MISSING,83.78793424989426,2010,Bears,0.02,66.70%,D.J. Moore,CB,607.0,18.0,5.0,0.0,1.0,6.0,0.0,63.0,72.6,86.6,61.9,3.0,1.0,8.9,5.0,3.0,0.0,88.1,52.0,1.0,447.0,585.0,21.0,46.0,4.0,71.0,3.0,486.0,44068.2,MISSING
00-0022123,29.0,MISSING,81.72855821666506,2010,Bears,0.02,66.70%,Charles Tillman,CB,1165.0,18.0,9.0,0.0,3.0,6.0,3.0,77.6,78.1,72.0,82.3,6.0,0.0,5.5,5.0,8.0,4.0,72.2,67.0,1071.0,752.0,31.0,16.0,77.0,1.0,111.0,4.0,807.0,90986.5,MISSING
00-0026260,24.0,MISSING,74.6907848533649,2010,Bears,0.02,66.70%,Craig Steltz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027604,22.0,MISSING,72.38723079795948,2010,Bears,0.02,66.70%,Joshua Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026282,25.0,MISSING,58.322818458429545,2010,Bears,0.02,66.70%,Zackary Bowman,CB,231.0,11.0,0.0,0.0,1.0,6.0,1.0,44.9,54.4,83.0,78.4,0.0,0.0,7.1,2.0,0.0,0.0,108.0,26.0,210.0,147.0,8.0,6.0,26.0,1.0,33.0,0.0,327.0,12566.4,MISSING
00-0025555,25.0,3784.0,38.893825083587586,2010,Bears,0.02,66.70%,Corey Graham,CB,3.0,2.0,0.0,0.0,0.0,6.0,0.0,62.1,73.3,68.1,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,219.9,MISSING
00-0023614,28.0,MISSING,21.72363986118439,2010,Bears,0.02,66.70%,Chris Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023441,26.0,2223.0,315.5051340440787,2010,Bengals,-0.06,25.00%,Adam Jones,CB,165.0,5.0,2.0,0.0,1.0,7.0,1.0,72.6,74.0,82.2,84.1,1.0,0.0,0.0,0.0,1.0,0.0,109.9,10.0,151.0,118.0,5.0,3.0,11.0,0.0,16.0,2.0,162.0,12210.0,MISSING
00-0025405,25.0,3634.0,311.92951417402213,2010,Bengals,-0.06,25.00%,Leon Hall,CB,966.0,16.0,4.0,0.0,2.0,7.0,0.0,75.0,76.4,67.4,55.7,4.0,0.0,14.9,7.0,5.0,3.0,84.2,44.0,736.0,560.0,142.0,13.0,36.0,4.0,74.0,5.0,579.0,73802.40000000001,MISSING
00-0025408,26.0,3637.0,289.7795974451737,2010,Bengals,-0.06,25.00%,Reggie Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024239,26.0,2969.0,246.66423575131813,2010,Bengals,-0.06,25.00%,Johnathan Joseph,CB,595.0,12.0,1.0,0.0,0.0,7.0,0.0,70.2,72.0,86.7,64.0,3.0,1.0,10.0,5.0,4.0,1.0,81.3,42.0,530.0,369.0,20.0,16.0,44.0,2.0,64.0,3.0,436.0,42840.0,MISSING
00-0027697,23.0,MISSING,123.25792219873868,2010,Bengals,-0.06,25.00%,Brandon Ghee,CB,13.0,3.0,0.0,0.0,0.0,7.0,0.0,48.6,49.3,72.5,75.1,0.0,0.0,0.0,0.0,0.0,0.0,58.3,2.0,12.0,12.0,1.0,0.0,2.0,0.0,4.0,0.0,14.0,640.9,MISSING
00-0021143,30.0,MISSING,117.25896767695144,2010,Bengals,-0.06,25.00%,Roy Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025471,26.0,MISSING,106.8894754174256,2010,Bengals,-0.06,25.00%,Jonathan Wade,CB,498.0,12.0,2.0,1.0,0.0,7.0,1.0,48.8,49.6,0.0,55.2,0.0,0.0,9.1,4.0,3.0,5.0,136.9,30.0,405.0,307.0,48.0,8.0,38.0,3.0,46.0,6.0,451.0,24700.8,MISSING
00-0022928,29.0,MISSING,87.79734607225814,2010,Bengals,-0.06,25.00%,Keiwan Ratliff,CB,63.0,3.0,1.0,0.0,0.0,7.0,0.0,55.5,57.5,78.1,70.0,0.0,0.0,9.1,1.0,0.0,0.0,145.1,11.0,0.0,52.0,61.0,3.0,9.0,0.0,11.0,1.0,127.0,3622.5,MISSING
