player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0027863,20.0,MISSING,519.1343265344232,2010,49ers,-0.03,37.50%,Anthony Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027869,23.0,MISSING,432.8370230110429,2010,49ers,-0.03,37.50%,Mike Iupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025415,26.0,MISSING,252.02587880696123,2010,49ers,-0.03,37.50%,Joe Staley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026179,24.0,MISSING,229.9595959133068,2010,49ers,-0.03,37.50%,Chilo Rachal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023468,28.0,MISSING,154.02301766358204,2010,49ers,-0.03,37.50%,David Baas,C,100.0,0.0,28.0,78.8,67.6,81.4,6.0,15.0,547.0,100.0,100.0,97.5,2.0,24.0,3.0,939.0,939.0,0.0,0.0,939.0,576.0,576.0,0.0,0.0,363.0,0.0,73993.2,MISSING
00-0023529,28.0,MISSING,63.02447913662228,2010,49ers,-0.03,37.50%,Adam Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021341,30.0,MISSING,3.405975284447736,2010,49ers,-0.03,37.50%,Eric Heitmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021064,31.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Tony Wragge,C,98.5,0.0,28.0,73.4,66.7,74.0,0.0,2.0,29.0,96.7,96.9,96.6,0.0,2.0,0.0,67.0,42.0,0.0,13.0,68.0,31.0,32.0,9.0,1.0,36.0,3.0,4991.200000000001,MISSING
00-0018925,35.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Barry Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026762,23.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Alex Boone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026154,25.0,MISSING,385.6924321499836,2010,Bears,0.02,66.70%,Chris Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026924,25.0,MISSING,47.93833207451981,2010,Bears,0.02,66.70%,Herman Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023596,27.0,MISSING,27.859682188336667,2010,Bears,0.02,66.70%,Frank Omiyale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027609,22.0,MISSING,23.74303503009006,2010,Bears,0.02,66.70%,J'Marcus Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020260,31.0,MISSING,17.74989397005592,2010,Bears,0.02,66.70%,Roberto Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026961,25.0,MISSING,14.158619550050847,2010,Bears,0.02,66.70%,Lance Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
