,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
0,Phillip Daniels,WAS,DI,245,191,14,3,0,0,0,32,0,0,55.5,81.3,60.8,51.2,76.5,1,3,5.6,1,0,0.0,2,245,6,10,0,229,12,14,1,6,Commanders,2010,13597.5,66.86003842459174
1,Trevor Pryce,NYJ,DI,300,243,16,3,0,0,0,22,0,0,64.2,43.8,78.3,44.1,29.8,6,17,30.0,3,2,0.0,2,300,148,76,0,75,6,4,1,25,Jets,2010,19260.0,55.28041037553232
2,Bryan Robinson,ARZ,DI,338,321,16,5,1,0,0,1,0,0,44.2,24.3,52.9,49.5,78.4,1,0,0.0,0,2,0.0,0,338,224,70,0,44,11,15,2,1,Cardinals,2010,14939.6,58.78062723302898
3,Pat Williams,MIN,DI,541,326,16,5,0,0,1,18,0,0,63.2,73.9,52.3,67.5,76.7,1,3,0.0,0,1,83.3,0,541,0,541,0,0,18,24,3,4,Vikings,2010,34191.200000000004,64.3936398467433
4,Jamal Williams,DEN,DI,563,328,16,7,0,0,0,10,0,0,61.5,71.6,58.9,61.2,81.2,0,7,2.3,1,1,0.0,0,563,404,119,0,40,32,36,1,7,Broncos,2010,34624.5,66.554321880651
5,Vonnie Holliday,WAS,DI,410,340,15,4,2,0,0,32,0,0,69.5,83.8,66.8,56.7,78.5,3,19,0.0,0,0,39.6,3,410,202,20,0,169,15,16,2,25,Commanders,2010,28495.0,58.8747718733226
6,Aaron Smith,PIT,DI,279,500,6,3,0,0,1,25,0,0,63.2,83.8,55.0,68.2,76.6,2,8,13.3,2,0,0.0,0,279,24,48,0,200,6,10,1,10,Steelers,2010,17632.8,60.22667375132838
7,Kelly Gregg,BLT,DI,489,527,18,8,0,0,0,3,0,0,61.3,71.3,56.8,65.8,77.3,0,8,3.7,1,1,79.9,0,489,155,322,0,12,13,18,1,8,Ravens,2010,29975.699999999997,57.76526997840173
8,Marques Douglas,TEN,DI,227,549,6,2,0,0,0,31,0,0,49.7,54.4,52.5,52.6,59.6,2,0,16.7,3,1,0.0,0,227,10,205,0,12,11,13,2,2,Titans,2010,11281.900000000001,
9,Shaun Ellis,NYJ,DI,810,590,18,5,0,0,1,22,0,0,69.8,70.4,69.3,63.1,78.9,7,32,9.1,3,2,56.3,7,809,159,127,1,511,27,25,3,46,Jets,2010,56538.0,
10,Fred Robbins,SL,DI,646,623,16,5,5,0,1,26,2,0,75.5,47.2,72.5,69.8,77.3,6,21,4.2,1,3,39.6,6,646,59,585,0,1,23,18,6,33,Rams,2010,48773.0,
11,Robaire Smith,CLV,DI,180,696,5,5,0,0,0,8,0,0,67.9,79.9,61.9,66.5,76.3,1,6,5.9,1,0,0.0,0,180,1,13,0,163,7,11,1,7,Browns,2010,12222.000000000002,
12,Alfonso Boone,SD,DI,57,715,3,0,0,0,0,27,0,0,38.3,77.5,69.1,28.6,,0,4,,0,0,0.0,0,57,8,12,0,37,0,0,0,4,Chargers,2010,2183.1,
13,Gerard Warren,NE,DI,537,775,17,8,0,0,0,19,0,0,55.9,84.2,61.9,49.0,78.4,3,12,0.0,0,0,0.0,4,536,164,65,0,307,15,17,1,19,Patriots,2010,30018.3,
14,Justin Smith,SF,DI,799,776,16,12,1,0,0,28,0,0,85.2,64.2,71.1,83.8,79.2,8,39,1.6,1,2,79.2,9,794,36,155,1,562,47,48,5,56,49ers,2010,68074.8,
15,Richard Seymour,OAK,DI,622,778,13,5,1,1,0,23,2,0,65.0,9.0,74.4,61.7,66.5,9,22,6.7,3,7,0.0,6,622,3,585,0,27,36,37,6,37,Raiders,2010,40430.0,
16,Damione Lewis,HST,DI,191,782,10,1,1,0,0,13,0,0,56.1,24.0,63.3,55.1,74.3,0,2,0.0,0,2,0.0,1,191,7,179,0,5,13,13,0,3,Texans,2010,10715.1,
17,Marcus Stroud,BUF,DI,673,783,15,5,2,1,1,4,0,0,47.4,76.6,58.1,41.0,59.8,1,14,10.5,4,1,87.5,3,673,66,267,0,334,23,29,3,18,Bills,2010,31900.2,
18,Casey Hampton,PIT,DI,503,789,18,4,1,0,1,25,0,0,58.0,54.3,62.9,53.9,78.0,1,8,5.9,1,2,0.0,1,503,480,11,0,12,9,12,0,10,Steelers,2010,29174.0,
19,Ryan Pickett,GB,DI,470,799,18,4,1,0,0,12,1,0,62.5,85.5,54.2,66.4,71.5,1,8,5.1,2,0,0.0,1,470,10,41,0,419,29,33,2,10,Packers,2010,29375.0,
20,Kris Jenkins,NYJ,DI,5,814,1,0,0,0,0,22,0,0,58.7,69.2,58.3,60.0,,0,0,,0,0,0.0,0,5,3,1,0,1,0,0,0,0,Jets,2010,293.5,
