player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0020535,30.0,MISSING,104.6291487765889,2010,49ers,-0.03,37.50%,Justin Smith,DI,799.0,16.0,12.0,1.0,0.0,0.0,28.0,0.0,0.0,85.2,64.2,71.1,83.8,79.2,8.0,39.0,1.6,1.0,2.0,79.2,9.0,794.0,36.0,155.0,1.0,562.0,47.0,48.0,5.0,56.0,68074.8,MISSING
00-0025484,25.0,MISSING,90.47872163057544,2010,49ers,-0.03,37.50%,Ray McDonald,DI,569.0,16.0,2.0,2.0,1.0,0.0,28.0,0.0,0.0,62.6,19.7,64.5,61.8,64.2,2.0,31.0,5.6,1.0,5.0,27.1,0.0,567.0,121.0,187.0,0.0,213.0,12.0,15.0,3.0,33.0,35619.4,MISSING
00-0022863,28.0,MISSING,40.877270876626945,2010,49ers,-0.03,37.50%,Isaac Sopoaga,DI,569.0,16.0,7.0,1.0,0.0,0.0,28.0,0.0,0.0,45.6,71.6,47.9,51.1,56.0,2.0,8.0,9.7,3.0,1.0,83.3,2.0,559.0,8.0,15.0,1.0,408.0,19.0,21.0,2.0,12.0,25946.4,MISSING
00-0022147,30.0,MISSING,18.708245852907535,2010,49ers,-0.03,37.50%,Aubrayo Franklin,DI,566.0,16.0,2.0,1.0,0.0,0.0,28.0,1.0,0.0,75.3,58.0,52.8,82.9,69.0,0.0,4.0,8.3,4.0,2.0,87.5,0.0,566.0,516.0,49.0,0.0,1.0,37.0,42.0,2.0,4.0,42619.8,MISSING
00-0026502,23.0,5168.0,14.410767577210205,2010,49ers,-0.03,37.50%,Ricky Jean Francois,DI,144.0,16.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,77.1,38.0,79.2,68.1,77.0,1.0,4.0,0.0,0.0,1.0,79.2,1.0,144.0,107.0,31.0,0.0,6.0,11.0,11.0,0.0,6.0,11102.4,MISSING
00-0027905,26.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Will Tukuafu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020055,30.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Demetric Evans,DI,222.0,15.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,54.1,80.7,53.9,55.4,75.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,222.0,3.0,39.0,0.0,180.0,8.0,11.0,0.0,4.0,12010.2,MISSING
00-0021140,30.0,1010.0,173.7636235560773,2010,Bears,0.02,66.70%,Julius Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022837,27.0,MISSING,173.30278100580392,2010,Bears,0.02,66.70%,Tommie Harris,DI,617.0,17.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,63.6,87.7,62.3,57.3,60.4,2.0,18.0,15.4,2.0,0.0,39.6,3.0,617.0,5.0,611.0,0.0,1.0,9.0,9.0,1.0,23.0,39241.2,MISSING
00-0026230,26.0,MISSING,108.90403436333882,2010,Bears,0.02,66.70%,Marcus Harrison,DI,92.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,62.0,80.0,63.5,56.1,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,80.0,0.0,11.0,2.0,2.0,0.0,1.0,5704.0,MISSING
00-0027603,23.0,MISSING,104.6590573705788,2010,Bears,0.02,66.70%,Corey Wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026905,23.0,MISSING,99.67042314014064,2010,Bears,0.02,66.70%,Henry Melton,DI,390.0,18.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,49.6,33.2,58.0,36.7,51.0,4.0,13.0,9.1,1.0,3.0,0.0,4.0,390.0,3.0,299.0,0.0,88.0,10.0,9.0,0.0,21.0,19344.0,MISSING
00-0021156,31.0,MISSING,72.80967274368992,2010,Bears,0.02,66.70%,Charles Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022085,30.0,MISSING,57.48297007811546,2010,Bears,0.02,66.70%,Anthony Adams,DI,654.0,18.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,55.4,65.8,60.0,53.0,68.3,5.0,10.0,3.6,1.0,2.0,0.0,2.0,654.0,0.0,653.0,0.0,1.0,22.0,26.0,3.0,17.0,36231.6,MISSING
00-0024373,27.0,MISSING,39.24683042562679,2010,Bears,0.02,66.70%,Mark Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025574,25.0,MISSING,29.720170441618084,2010,Bears,0.02,66.70%,Matt Toeaina,DI,676.0,18.0,4.0,2.0,1.0,0.0,6.0,1.0,0.0,59.6,77.4,60.3,55.9,75.9,2.0,12.0,8.3,2.0,1.0,0.0,2.0,676.0,3.0,668.0,0.0,5.0,14.0,18.0,0.0,16.0,40289.6,MISSING
00-0027371,23.0,MISSING,0.0,2010,Bears,0.02,66.70%,Barry Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021604,29.0,MISSING,0.0,2010,Bears,0.02,66.70%,Israel Idonije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027662,21.0,5579.0,220.73201307156256,2010,Bengals,-0.06,25.00%,Carlos Dunlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026217,24.0,MISSING,129.20562137292168,2010,Bengals,-0.06,25.00%,Pat Sims,DI,434.0,14.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,57.5,11.9,70.0,57.6,66.9,3.0,8.0,12.0,3.0,5.0,0.0,3.0,434.0,1.0,424.0,0.0,9.0,20.0,19.0,2.0,14.0,24955.0,MISSING
00-0027720,22.0,5643.0,91.22753062904772,2010,Bengals,-0.06,25.00%,Geno Atkins,DI,349.0,16.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,80.5,84.5,77.5,58.8,74.7,7.0,19.0,9.1,1.0,0.0,0.0,5.0,349.0,65.0,283.0,0.0,1.0,11.0,10.0,1.0,31.0,28094.5,MISSING
00-0022696,28.0,MISSING,90.71045147886922,2010,Bengals,-0.06,25.00%,Tank Johnson,DI,223.0,7.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,63.4,56.2,64.4,61.9,72.9,2.0,4.0,16.7,2.0,1.0,0.0,0.0,223.0,0.0,223.0,0.0,0.0,5.0,5.0,1.0,6.0,14138.2,MISSING
00-0024306,26.0,3036.0,88.39327117131042,2010,Bengals,-0.06,25.00%,Frostee Rucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022918,28.0,MISSING,77.59389344557198,2010,Bengals,-0.06,25.00%,Antwan Odom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024328,27.0,MISSING,66.77398831123945,2010,Bengals,-0.06,25.00%,Victor Adeyanju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024338,25.0,3068.0,59.246002745318634,2010,Bengals,-0.06,25.00%,Domata Peko Sr.,DI,647.0,16.0,9.0,1.0,0.0,0.0,7.0,0.0,0.0,54.0,79.2,58.8,49.6,59.1,2.0,9.0,5.1,2.0,1.0,70.1,0.0,647.0,19.0,627.0,0.0,1.0,25.0,28.0,5.0,11.0,34938.0,MISSING
00-0022867,27.0,MISSING,34.87104351587171,2010,Bengals,-0.06,25.00%,Robert Geathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026964,23.0,5173.0,13.560632297941556,2010,Bengals,-0.06,25.00%,Clinton McDonald,DI,57.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,57.7,78.6,65.9,53.5,70.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,1.0,2.0,0.0,2.0,3288.9,MISSING
00-0023665,28.0,MISSING,9.006565467264338,2010,Bengals,-0.06,25.00%,Jonathan Fanene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
