,Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,aimed_passes,attempts,completions,touchdowns,interceptions,sacks,scrambles,first_downs,yards,dropbacks,drops,big_time_throws,turnover_worthy_plays,bats,declined_penalties,penalties,hit_as_threw,thrown_aways,spikes,accuracy_percent,completion_percent,btt_rate,twp_rate,drop_rate,qb_rating,sack_percent,pressure_to_sack_rate,avg_depth_of_target,avg_time_to_throw,ypa,def_gen_pressures,grades_hands_fumble,grades_offense,grades_pass,grades_run
0,49ers,2010,10.769647967479674,734.1239195452283,-0.03,37.50%,28.0,445.0,500.0,282.0,19.0,15.0,44.0,23.0,159.0,3613.0,567.0,36.0,34.0,16.0,12.0,1.0,12.0,12.0,27.0,4.0,71.36993243243244,56.179054054054056,6.754391891891892,2.737837837837838,11.629391891891892,79.36554054054054,7.777702702702702,20.972972972972972,8.896283783783785,0.0,7.236824324324324,113.00337837837837,55.28378378378379,63.369932432432435,65.90979729729729,46.873310810810814
1,49ers,2011,5.156129595015576,662.8295512781367,0.12,77.80%,28.0,468.0,518.0,312.0,22.0,5.0,51.0,30.0,176.0,3674.0,599.0,35.0,40.0,16.0,16.0,0.0,6.0,6.0,27.0,1.0,74.14675118858953,60.19841521394613,7.34136291600634,2.579397781299525,10.019651347068146,92.01442155309033,8.531854199683043,22.12329635499208,8.103961965134706,2.8494453248811413,7.099207606973057,227.1933438985737,45.79492868462758,78.5175911251981,80.01521394611727,50.66180665610143
2,49ers,2012,9.021237976782754,539.413689112376,0.19,72.20%,28.0,486.0,516.0,338.0,27.0,10.0,45.0,49.0,228.0,4349.0,610.0,35.0,42.0,15.0,5.0,0.0,12.0,3.0,22.0,0.0,76.75915492957746,65.48450704225353,7.749765258215963,2.3732394366197185,9.512206572769951,101.13098591549296,7.362441314553991,24.567605633802817,9.446478873239435,3.0471830985915496,8.465727699530516,97.03286384976526,49.96760563380282,74.28732394366197,76.18169014084506,59.433802816901405
3,49ers,2013,1.6404004854368932,346.7972443724248,0.09,73.70%,28.0,469.0,499.0,289.0,24.0,11.0,45.0,56.0,202.0,3786.0,600.0,30.0,29.0,26.0,13.0,1.0,9.0,1.0,16.0,0.0,67.95095238095239,57.86698412698412,5.491269841269841,4.093492063492063,9.385079365079365,88.74777777777778,7.488095238095238,21.56571428571429,10.183809523809522,3.108396825396825,7.608571428571428,207.66984126984127,49.434603174603176,68.0811111111111,68.08809523809522,63.38666666666666
4,49ers,2014,4.597236842105263,638.0707182419534,-0.03,50.00%,28.0,452.0,485.0,292.0,20.0,10.0,51.0,49.0,184.0,3407.0,585.0,34.0,26.0,22.0,5.0,0.0,7.0,1.0,27.0,0.0,72.22405063291139,60.27721518987342,4.936708860759493,3.4556962025316458,10.367088607594937,86.57215189873419,8.68860759493671,23.4,9.532911392405063,2.949873417721519,6.979746835443038,212.29113924050634,54.107594936708864,64.37974683544304,66.08101265822785,56.3253164556962
5,49ers,2015,12.000886376326074,558.0444553196222,-0.15,31.30%,28.0,500.0,526.0,322.0,16.0,12.0,53.0,46.0,171.0,3646.0,625.0,30.0,21.0,19.0,7.0,0.0,3.0,0.0,19.0,0.0,70.3668202764977,61.172811059907836,3.794009216589861,2.911059907834101,8.42488479262673,82.58064516129032,8.493087557603687,21.833179723502305,7.329032258064517,2.769308755760369,6.917972350230415,121.23963133640552,57.97788018433181,56.957142857142856,56.10645161290323,63.234562211981576
6,49ers,2016,13.028114252592259,662.4245609313978,-0.15,12.50%,28.0,458.0,491.0,287.0,21.0,10.0,46.0,54.0,176.0,3166.0,592.0,34.0,8.0,23.0,9.0,0.0,1.0,3.0,20.0,1.0,70.1124394184168,58.464297253634896,1.5400646203554118,3.727948303715671,10.61179321486268,83.56688206785138,7.772374798061389,19.70032310177706,8.42794830371567,2.8364297253634896,6.4801292407108235,135.81421647819062,46.05961227786753,54.08949919224556,51.27302100161551,64.69418416801292
7,49ers,2017,0.6441497005988024,255.2216546931129,-0.04,37.50%,28.0,370.0,402.0,243.0,11.0,11.0,27.0,17.0,151.0,2990.0,447.0,21.0,12.0,15.0,8.0,0.0,2.0,11.0,10.0,3.0,71.24078091106291,60.21453362255966,2.9472885032537963,3.2646420824295013,8.311279826464208,80.67939262472885,6.039479392624728,16.291540130151844,8.652711496746203,2.6112581344902384,7.420390455531454,84.41865509761388,68.30130151843818,71.02190889370932,69.49739696312365,61.12841648590022
8,49ers,2018,21.556012979683974,100.541862623757,-0.09,25.00%,28.0,477.0,532.0,331.0,26.0,20.0,48.0,17.0,205.0,4247.0,597.0,24.0,12.0,20.0,19.0,0.0,3.0,17.0,15.0,4.0,74.32578125,62.129999999999995,2.1387499999999995,3.1423437499999998,6.70859375,87.7428125,8.0190625,20.87203125,7.800937500000001,2.618140625,7.97234375,85.5578125,60.459843750000005,64.33140625,65.1784375,47.312031250000004
9,49ers,2019,11.441210414452708,187.57098693122853,0.216,79.00%,28.0,453.0,476.0,329.0,27.0,13.0,36.0,12.0,197.0,3978.0,526.0,28.0,13.0,19.0,6.0,0.0,3.0,3.0,12.0,2.0,78.8,69.1,2.6,3.4,7.8,102.0,6.8,22.8,6.7,2.57,8.4,158.0,51.6,77.9,75.7,69.8
10,49ers,2020,14.157914732593337,593.9898048445409,0.025,37.50%,28.0,533.0,570.0,371.0,25.0,17.0,39.0,7.0,218.0,4320.0,617.0,33.0,18.0,29.0,13.0,0.0,2.0,13.0,10.0,1.0,75.82952086553323,65.06166924265843,3.008500772797527,4.513755795981453,8.142658423493046,90.24605873261206,6.349459041731065,19.464605873261203,7.086862442040185,2.5104945904173106,7.59273570324575,91.0355486862442,68.04760432766615,61.558114374034,60.39690880989181,60.85115919629057
11,49ers,2021,17.871210410958906,830.718569096737,0.081,60.00%,28.0,479.0,512.0,342.0,25.0,14.0,32.0,18.0,206.0,4409.0,562.0,28.0,13.0,27.0,9.0,0.0,1.0,7.0,14.0,3.0,77.0510101010101,66.64040404040404,2.4661616161616164,4.553030303030303,7.634848484848486,98.48080808080809,5.692929292929293,19.956060606060607,8.19141414141414,2.6615151515151516,8.584343434343433,117.24747474747475,57.02070707070706,72.55151515151515,71.1368686868687,63.19444444444444
12,49ers,2022,10.680416426512966,739.7184521263447,0.196,75.00%,28.0,475.0,511.0,337.0,29.0,9.0,31.0,13.0,192.0,4015.0,557.0,22.0,18.0,17.0,20.0,0.0,2.0,6.0,10.0,0.0,75.53688663282573,65.86700507614214,3.3521150592216586,2.898815566835872,6.302030456852792,101.17225042301185,5.604906937394247,18.100000000000005,7.22605752961083,2.635617597292724,7.852961082910321,78.36717428087987,71.45313028764807,71.90947546531302,69.9346869712352,66.86142131979696
13,49ers,2023,3.4223830071174377,396.6154768656232,0.26,70.00%,28.0,552.0,598.0,402.0,36.0,13.0,38.0,27.0,256.0,5351.0,673.0,18.0,33.0,23.0,13.0,0.0,6.0,5.0,23.0,5.0,76.03172804532576,67.22337110481585,5.207507082152975,3.21671388101983,4.317280453257791,106.26954674220964,5.676345609065156,14.010906515580736,8.608356940509916,2.73,8.974362606232294,226.61473087818698,66.52209631728046,85.61161473087819,80.24645892351275,89.14192634560906
14,49ers,2024,1.9652513703993735,38.07443351211038,0.02174647007,35.30%,28.0,500.0,532.0,349.0,23.0,16.0,35.0,48.0,226.0,4424.0,622.0,21.0,15.0,24.0,10.0,0.0,3.0,2.0,14.0,6.0,74.03715596330275,65.61743119266056,2.6876146788990827,3.673853211009175,5.698623853211009,93.56697247706421,5.6499999999999995,15.659633027522935,8.822477064220184,2.951330275229358,8.338073394495414,174.9908256880734,58.303211009174305,78.19403669724772,73.44036697247707,84.63669724770642
15,Bears,2010,8.43631382113821,354.284202574584,0.02,66.70%,6.0,484.0,532.0,310.0,26.0,24.0,61.0,35.0,203.0,3924.0,628.0,24.0,31.0,44.0,17.0,0.0,7.0,8.0,23.0,0.0,69.02042042042044,58.44654654654655,5.491741741741742,6.588138138138138,7.3258258258258255,81.37867867867868,9.737537537537538,23.627027027027026,9.566966966966966,0.0,7.419219219219219,211.52402402402402,42.26066066066066,64.01666666666667,63.43423423423423,60.73528528528529
16,Bears,2011,8.23860020768432,315.7923233966564,-0.07,50.00%,6.0,297.0,314.0,182.0,13.0,7.0,23.0,8.0,109.0,2319.0,345.0,19.0,25.0,13.0,2.0,0.0,2.0,6.0,9.0,0.0,67.7,58.0,7.5,3.6,9.5,85.7,6.7,17.4,9.1,2.81,7.3999999999999995,132.0,41.5,68.4,71.4,29.8
17,Bears,2012,11.310116086235489,305.8816920659663,0.09,62.50%,6.0,462.0,485.0,287.0,21.0,16.0,44.0,28.0,179.0,3298.0,557.0,37.0,33.0,26.0,12.0,0.0,5.0,4.0,7.0,0.0,70.15529411764706,59.2326050420168,6.367226890756302,4.399327731092437,11.445042016806724,80.35714285714286,7.932941176470589,21.398487394957982,10.089411764705883,2.803310924369748,6.800336134453781,166.80840336134455,52.273109243697476,69.37176470588236,67.88235294117646,67.19142857142857
18,Bears,2013,9.123358414239481,164.80343984917664,0.0,50.00%,6.0,538.0,579.0,373.0,32.0,13.0,30.0,21.0,226.0,4450.0,630.0,33.0,37.0,22.0,11.0,1.0,6.0,7.0,19.0,4.0,75.47650602409638,64.42108433734941,6.067469879518073,3.2783132530120476,8.172590361445783,96.89337349397591,4.744578313253013,12.444578313253011,9.45602409638554,2.7549698795180726,7.710843373493976,127.29819277108433,70.28343373493975,83.70963855421687,81.67078313253012,70.94518072289156
19,Bears,2014,14.450463909774435,309.56174586207555,-0.15,31.30%,6.0,574.0,609.0,396.0,30.0,19.0,41.0,21.0,208.0,4035.0,672.0,30.0,16.0,31.0,13.0,0.0,6.0,5.0,17.0,0.0,74.2643949930459,65.11376912378303,2.4047287899860916,4.305146036161335,7.036022253129346,87.33824756606397,6.069958275382475,19.592072322670376,7.745062586926286,2.5505146036161337,6.634770514603615,178.08205841446454,46.03894297635605,64.09443671766343,63.02962447844229,67.35924895688457
20,Bears,2015,11.641541038525963,115.97835765891233,-0.07,37.50%,6.0,462.0,483.0,311.0,21.0,11.0,29.0,15.0,181.0,3659.0,527.0,27.0,19.0,18.0,7.0,0.0,0.0,0.0,13.0,1.0,73.2,64.4,3.7000000000000006,3.2,8.0,92.3,5.5,14.4,8.9,2.64,7.599999999999999,202.0,52.8,75.1,74.5,53.6
21,Bears,2016,12.971180524248084,57.52172299431725,-0.11,18.80%,6.0,532.0,558.0,346.0,18.0,19.0,28.0,5.0,210.0,4137.0,592.0,39.0,25.0,33.0,5.0,0.0,3.0,5.0,14.0,2.0,72.33841269841271,61.85619047619048,4.207460317460317,5.2515873015873025,10.253968253968255,80.94253968253967,4.706190476190477,13.74126984126984,9.630793650793652,2.5756666666666668,7.420634920634921,59.69047619047619,52.85269841269841,69.055873015873,68.74365079365079,50.156349206349205
22,Bears,2017,12.685552095808383,1106.762635566155,-0.07,31.30%,6.0,440.0,470.0,289.0,11.0,12.0,39.0,26.0,151.0,3026.0,535.0,30.0,17.0,19.0,7.0,0.0,6.0,5.0,17.0,1.0,72.32212543554007,61.3390243902439,3.3736933797909407,3.337108013937282,9.298606271777004,77.33379790940766,7.279790940766551,20.08397212543554,7.739895470383275,2.656898954703833,6.433797909407666,116.00871080139373,40.46794425087108,65.01498257839722,68.90087108013937,37.93188153310105
23,Bears,2018,5.9809695259593685,778.7545325136094,0.17,70.60%,6.0,492.0,510.0,342.0,27.0,14.0,33.0,38.0,191.0,3738.0,584.0,14.0,23.0,24.0,3.0,0.0,7.0,4.0,10.0,1.0,72.39494470774093,67.0603475513428,4.118799368088467,3.8030015797788304,3.8494470774091623,94.6872037914692,5.616745655608215,18.482938388625595,9.166350710900476,2.757030015797788,7.31090047393365,129.47709320695103,48.431121642969984,62.19810426540285,58.16319115323855,79.00789889415482
24,Bears,2019,7.395288522848034,704.6462404834151,-0.032,50.00%,6.0,553.0,580.0,371.0,20.0,12.0,45.0,25.0,186.0,3587.0,653.0,26.0,24.0,24.0,5.0,0.0,4.0,5.0,14.0,3.0,71.81921965317919,64.01054913294797,3.939739884393063,3.4456647398843927,6.565751445086705,84.07037572254335,6.931069364161849,20.83656069364162,8.11734104046243,2.6620086705202315,6.179913294797688,168.84826589595374,78.30780346820808,64.65390173410404,64.42196531791907,58.43005780346821
25,Bears,2020,8.100028758829465,665.1994862770673,-0.032,47.10%,6.0,575.0,614.0,402.0,26.0,16.0,36.0,21.0,227.0,3925.0,673.0,15.0,27.0,31.0,9.0,0.0,6.0,8.0,20.0,2.0,72.42374100719424,65.50359712230215,4.233093525179856,4.4474820143884894,3.564028776978417,86.73453237410072,5.361151079136691,18.320863309352518,8.275539568345323,2.5306474820143885,6.372661870503597,100.0431654676259,53.28920863309352,64.11294964028777,62.759712230215825,62.04460431654676
26,Bears,2021,8.28292109589041,572.8160781021493,-0.119,35.30%,6.0,505.0,541.0,332.0,16.0,19.0,58.0,58.0,200.0,3635.0,660.0,22.0,23.0,25.0,8.0,0.0,5.0,7.0,18.0,3.0,69.93371428571429,61.169857142857154,4.091142857142857,3.5621428571428573,6.382428571428571,76.22885714285715,8.792714285714284,23.93542857142857,8.857857142857142,2.8579142857142856,6.713,113.09,52.50885714285714,65.11014285714286,61.79014285714285,73.86228571428572
27,Bears,2022,3.300069644572526,498.8855156104524,-0.162,17.70%,6.0,342.0,377.0,223.0,19.0,15.0,58.0,73.0,146.0,2598.0,509.0,14.0,14.0,24.0,11.0,4.0,8.0,6.0,17.0,1.0,69.9562962962963,59.43685185185185,3.5429629629629624,4.417777777777778,5.877407407407407,82.52500000000002,11.441666666666668,26.49185185185185,9.475,3.3569074074074075,6.972222222222222,178.95185185185184,34.66648148148148,67.48574074074075,53.66611111111111,87.15537037037038
28,Bears,2023,2.928878558718861,443.6309173078277,0.0,41.20%,6.0,455.0,513.0,321.0,19.0,15.0,48.0,54.0,196.0,3421.0,616.0,20.0,23.0,27.0,13.0,0.0,5.0,10.0,35.0,0.0,74.88975155279503,62.5083850931677,4.417391304347826,4.150621118012422,5.851552795031056,82.45931677018633,7.776086956521739,16.74813664596273,8.207142857142857,3.266273291925466,6.66801242236025,179.1801242236025,38.10465838509317,70.24378881987577,62.97267080745342,83.94627329192548
29,Bears,2024,3.260617071260767,1000.0,-0.08766408568,29.40%,6.0,506.0,564.0,353.0,20.0,6.0,68.0,48.0,191.0,3552.0,684.0,19.0,24.0,19.0,12.0,1.0,9.0,4.0,38.0,4.0,73.47160161507402,62.600942126514134,3.8895020188425304,2.5930013458950203,5.086271870794078,87.80484522207267,9.973082099596231,28.124091520861374,8.079542395693135,3.0258815612382235,6.2978465679676985,240.35127860026918,81.57335127860027,67.09273216689098,62.89757738896366,80.34939434724092
30,Bengals,2010,10.642276422764228,338.45001765464804,-0.06,25.00%,7.0,553.0,589.0,365.0,26.0,19.0,28.0,9.0,209.0,3988.0,626.0,31.0,29.0,26.0,11.0,0.0,4.0,5.0,18.0,2.0,71.7159090909091,62.089393939393936,4.664393939393939,3.9696969696969697,7.840151515151515,83.1651515151515,4.471212121212122,15.643939393939394,8.822727272727272,0.0,6.793939393939394,171.70454545454547,74.64924242424243,71.89696969696969,75.37045454545455,27.58939393939394
31,Bengals,2011,2.449043406022845,317.90642825840916,0.0,52.90%,7.0,529.0,576.0,335.0,21.0,17.0,29.0,24.0,178.0,3764.0,629.0,32.0,32.0,25.0,17.0,0.0,1.0,3.0,27.0,0.0,69.52801788375558,58.176751117734725,5.239046199701938,3.686736214605067,8.634724292101343,77.64858420268257,4.620864381520119,18.56885245901639,8.635767511177347,2.5723845007451565,6.585096870342771,145.7377049180328,79.11058122205664,61.696274217585696,61.99627421758569,49.799701937406866
32,Bengals,2012,2.640999170812604,284.6979890651658,0.06,58.80%,7.0,533.0,569.0,348.0,27.0,17.0,48.0,22.0,186.0,3861.0,639.0,30.0,35.0,20.0,16.0,0.0,6.0,3.0,14.0,3.0,70.88794642857142,61.19047619047619,5.883928571428571,2.9419642857142856,7.845238095238095,84.70342261904761,7.45297619047619,28.733184523809523,9.154166666666665,2.6234226190476186,6.782589285714285,160.88541666666666,90.58660714285715,63.38080357142857,63.465922619047625,55.95297619047619
33,Bengals,2013,1.8958770226537218,274.32703582829754,0.14,64.70%,7.0,590.0,637.0,392.0,34.0,22.0,32.0,28.0,232.0,4628.0,697.0,36.0,41.0,29.0,15.0,0.0,3.0,3.0,26.0,3.0,72.5,61.5,6.2,4.0,8.4,87.0,4.6,18.3,9.2,2.46,7.3,175.0,76.3,70.6,74.1,35.4
34,Bengals,2014,8.216633834586466,330.9653730567097,0.01,62.50%,7.0,500.0,535.0,338.0,19.0,17.0,25.0,22.0,177.0,3627.0,582.0,26.0,23.0,23.0,11.0,0.0,1.0,3.0,21.0,0.0,72.83188405797101,63.20515297906603,4.051207729468599,3.6653784219001606,7.124315619967794,81.55088566827696,4.317713365539452,17.976167471819647,7.958293075684379,2.407874396135266,6.793719806763286,138.0048309178744,78.19726247987117,66.03590982286634,66.12447665056361,50.587761674718195
35,Bengals,2015,7.141385399218312,283.4988369688966,0.12,70.60%,7.0,498.0,546.0,357.0,32.0,10.0,34.0,38.0,214.0,4316.0,619.0,27.0,32.0,19.0,11.0,0.0,3.0,8.0,29.0,0.0,77.1089393939394,65.41348484848484,5.45530303030303,2.8507575757575756,7.047727272727273,101.34515151515151,5.50439393939394,16.722272727272728,9.120909090909091,2.517454545454546,7.8925757575757585,109.77727272727273,60.76045454545455,75.29590909090909,77.64363636363638,46.464393939393936
36,Bengals,2016,9.142405487215816,222.47465107868078,0.04,40.00%,7.0,511.0,563.0,364.0,18.0,8.0,41.0,23.0,215.0,4206.0,627.0,21.0,22.0,19.0,13.0,0.0,3.0,4.0,33.0,2.0,75.3,64.7,3.7,2.9,5.5,91.8,6.5,22.7,8.4,2.5,7.5,181.0,72.1,70.6,69.6,60.5
37,Bengals,2017,10.05892994011976,150.9672919059833,-0.08,43.80%,7.0,462.0,510.0,304.0,25.0,12.0,40.0,12.0,170.0,3386.0,563.0,25.0,28.0,21.0,8.0,0.0,3.0,5.0,34.0,1.0,71.2399323181049,59.631979695431475,5.253807106598985,3.5998307952622675,7.588832487309645,85.97191201353638,7.0891708967851095,22.821489001692047,8.781049069373942,2.5262436548223346,6.645854483925549,165.53299492385787,90.05059221658206,71.73620981387478,71.37140439932318,53.21912013536379
38,Bengals,2018,9.671192437923251,75.39603243071869,-0.12,37.50%,7.0,504.0,541.0,331.0,27.0,13.0,36.0,24.0,192.0,3569.0,601.0,34.0,30.0,24.0,12.0,0.0,1.0,5.0,17.0,3.0,72.4,61.14639016897082,5.112135176651306,3.6657450076804916,9.356374807987711,87.06513056835637,6.019354838709678,18.178494623655915,8.797235023041475,2.5308294930875577,6.554685099846391,107.47465437788019,77.35391705069125,71.89754224270354,69.64009216589862,66.65130568356375
39,Bengals,2019,9.239681190223168,171.66194769788518,-0.193,12.50%,7.0,568.0,616.0,355.0,18.0,16.0,48.0,15.0,198.0,3968.0,679.0,36.0,18.0,33.0,17.0,0.0,8.0,3.0,21.0,7.0,68.67232267037551,57.518219749652296,2.710431154381085,4.610848400556328,9.327260083449234,75.65215577190541,7.042559109874826,21.938803894297635,8.569401947148817,2.534965229485396,6.416411682892906,150.1001390820584,55.13004172461753,60.80876216968011,60.30166898470097,62.376912378303196
40,Bengals,2020,3.9061654894046414,1159.856726053056,-0.139,26.70%,7.0,548.0,578.0,371.0,19.0,11.0,48.0,24.0,206.0,3777.0,651.0,24.0,23.0,24.0,5.0,0.0,3.0,8.0,14.0,3.0,72.02375366568916,64.06554252199413,3.843695014662756,3.5369501466275666,6.060997067448681,85.51304985337244,7.333431085043988,22.17683284457478,8.560117302052786,2.594985337243402,6.550146627565984,111.43548387096774,41.896480938416424,69.71950146627566,68.86275659824047,58.46700879765396
41,Bengals,2021,5.34887506849315,920.6794772551767,0.077,61.90%,7.0,523.0,554.0,383.0,36.0,14.0,55.0,21.0,218.0,4760.0,630.0,23.0,35.0,16.0,11.0,1.0,3.0,2.0,15.0,3.0,77.65365126676603,69.12309985096871,5.999403874813711,2.4,5.53070044709389,106.62876304023844,8.71892697466468,26.782563338301042,8.343368107302533,2.6093442622950818,8.618330849478392,185.29508196721312,68.17764530551415,88.60789865871833,88.1016393442623,60.29403874813711
42,Bengals,2022,5.4164442843419796,830.4668392006968,0.124,73.70%,7.0,564.0,609.0,417.0,35.0,12.0,42.0,27.0,230.0,4496.0,680.0,21.0,31.0,16.0,20.0,0.0,5.0,5.0,19.0,1.0,77.62396694214875,68.47465564738292,4.773553719008264,2.187878787878788,4.773553719008264,100.78016528925619,6.204132231404959,23.32479338842975,7.479063360881543,2.490606060606061,7.3994490358126725,178.01928374655648,69.8038567493113,90.71239669421487,89.29366391184574,76.73884297520661
43,Bengals,2023,9.191447953736656,749.0243607357462,-0.04,52.90%,7.0,571.0,613.0,419.0,27.0,13.0,49.0,30.0,222.0,4264.0,692.0,27.0,26.0,20.0,13.0,0.0,13.0,9.0,19.0,1.0,78.17111416781292,68.40275103163687,3.9887207702888587,2.735625859697387,6.015130674002751,93.95144429160935,7.127785419532324,21.19257221458047,6.6971114167812935,2.6224346629986246,6.9727647867950475,113.24621733149931,73.5515818431912,78.29188445667124,75.63906464924347,75.92572214580467
44,Bengals,2024,12.005716523101018,675.8333876948808,0.04236154557,52.90%,7.0,612.0,652.0,460.0,43.0,9.0,48.0,22.0,264.0,4918.0,725.0,27.0,37.0,15.0,8.0,1.0,9.0,8.0,23.0,1.0,79.6,70.6,5.3,1.9,5.5,108.5,6.6,19.4,7.7,2.65,7.5,248.0,56.9,93.9,92.8,74.8
45,Bills,2010,2.8362024390243907,210.73832342924283,-0.19,25.00%,4.0,438.0,467.0,267.0,23.0,19.0,27.0,29.0,167.0,3130.0,523.0,30.0,29.0,20.0,13.0,0.0,2.0,11.0,4.0,1.0,67.88484288354898,57.162107208872456,5.962292051756007,3.6863216266173757,10.090573012939002,78.56044362292052,5.190018484288355,15.018853974121996,9.570240295748613,0.0,6.7009242144177446,155.78558225508317,79.83641404805915,66.37412199630315,67.58207024029575,39.1807763401109
46,Bills,2011,6.737279335410177,21.519623974593582,-0.06,37.50%,4.0,551.0,577.0,356.0,24.0,24.0,22.0,28.0,191.0,3859.0,627.0,27.0,33.0,27.0,11.0,0.0,2.0,6.0,5.0,4.0,69.53403614457832,61.667921686746986,5.4254518072289155,4.096234939759036,7.003765060240964,78.12003012048191,3.5512048192771086,16.07906626506024,8.03117469879518,2.4973192771084336,6.651204819277108,133.1972891566265,72.97153614457831,65.05165662650604,69.00828313253014,31.17274096385542
47,Bills,2012,7.835820895522389,85.13271608343126,-0.09,37.50%,4.0,487.0,510.0,309.0,24.0,16.0,30.0,31.0,185.0,3430.0,571.0,37.0,19.0,29.0,8.0,0.0,2.0,4.0,9.0,2.0,71.0339558573854,60.59490662139219,3.569439728353141,4.957555178268251,10.708319185059423,83.24736842105263,5.2550084889643465,19.73106960950764,7.879626485568761,2.5937181663837015,6.694057724957555,149.72665534804753,59.97894736842105,53.99151103565365,52.70254668930391,60.79151103565365
