Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,declined_penalties,hits_allowed,hurries_allowed,non_spike_pass_block,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,age,block_percent,grades_offense,grades_pass_block,grades_run_block,non_spike_pass_block_percentage,pass_block_percent,pbe,weighted_average_grade
49ers,2010,8.685826829268294,771.1602053413844,-0.03,,28.0,1.0,17.0,56.0,882.0,16.0,86.0,13.0,1537.0,0.0,0.0,558.0,1537.0,930.0,930.0,0.0,979.0,607.0,0.0,96725.1,22.178269355888094,100.0,62.931099544567346,61.113272608978534,67.1636955107352,100.0,100.0,94.41717631750163,0.0
49ers,2011,4.082174039460021,697.7746090931787,0.12,,28.0,0.0,10.0,59.0,1144.0,15.0,86.0,17.0,2195.0,0.0,0.0,1044.0,2199.0,1205.0,1209.0,0.0,1122.0,990.0,33.0,160745.90000000002,23.93587994542974,99.80213733515235,73.09954524783994,65.48244656662119,80.05297862664848,99.75534333788086,99.65320600272851,95.4893133242383,0.0
49ers,2012,4.719458540630182,593.9692367962139,0.19,,28.0,2.0,6.0,49.0,1200.0,11.0,73.0,18.0,2350.0,0.0,1.0,1136.0,2350.0,1258.0,1258.0,1.0,1191.0,1092.0,19.0,202174.2,24.941276595744682,100.0,86.03157446808511,75.8727659574468,88.98442553191491,100.0,100.0,96.23727659574467,76.10959345473722
49ers,2013,5.701186084142395,509.7365156686851,0.09,,28.0,1.0,8.0,47.0,1169.0,9.0,65.0,10.0,2274.0,0.0,0.0,1102.0,2275.0,1226.0,1227.0,0.0,1159.0,1048.0,14.0,179805.4,25.93802197802198,99.95103296703297,79.03534065934066,80.86778021978023,73.02004395604395,99.90206593406594,99.90206593406594,96.83657142857143,38.86626226143636
49ers,2014,8.8399992481203,659.4550561697081,-0.03,,28.0,6.0,6.0,55.0,1181.0,18.0,74.0,13.0,2131.0,0.0,6.0,1048.0,2131.0,1276.0,1276.0,0.0,1055.0,855.0,20.0,163884.5,27.276396058188645,100.0,76.90497419052089,74.01008916001877,77.68592210229939,100.0,100.0,96.34218676677617,0.0
49ers,2015,7.955732132886656,84.61142587571409,-0.15,,28.0,1.0,11.0,68.0,1370.0,14.0,94.0,15.0,2200.0,0.0,0.0,1007.0,2200.0,1430.0,1430.0,186.0,1007.0,770.0,0.0,158843.9,31.154545454545456,100.0,72.20177272727273,74.50468181818181,65.06504545454546,100.0,100.0,96.00145454545455,0.0
49ers,2016,6.023942809299929,134.44089723836504,-0.15,,28.0,0.0,10.0,67.0,1124.0,16.0,87.0,10.0,1968.0,0.0,0.0,936.0,1968.0,1180.0,1180.0,0.0,1032.0,788.0,0.0,135016.0,26.819613821138212,100.0,68.60569105691057,70.9608231707317,65.16676829268293,100.0,100.0,95.68927845528455,0.0
49ers,2017,8.698095209580837,37.69516270152836,-0.04,,28.0,0.0,12.0,25.0,1019.0,10.0,42.0,5.0,1692.0,0.0,0.0,1058.0,1693.0,1062.0,1063.0,0.0,632.0,630.0,3.0,139780.4,29.27052569403426,99.94164205552275,82.56373301831069,82.44240992321325,79.0986414648553,99.73750738334319,99.74199645599528,97.54920259893679,0.0
49ers,2018,10.475277088036117,717.4500461425155,-0.09,,28.0,3.0,21.0,42.0,1206.0,11.0,73.0,10.0,2145.0,0.0,0.0,1057.0,2146.0,1301.0,1302.0,32.0,1054.0,844.0,1.0,168695.2,28.315004659832248,99.95312208760485,78.60913327120224,72.41369990680334,79.83802423112769,99.9062441752097,99.9062441752097,96.5898881640261,0.0
49ers,2019,11.43998087141339,568.4887032637985,0.216,,28.0,1.0,9.0,30.0,889.0,14.0,52.0,13.0,1756.0,0.0,0.0,978.0,1756.0,962.0,962.0,0.0,776.0,794.0,1.0,117875.1,26.097949886104782,100.0,67.12705011389522,64.19219817767653,67.674715261959,100.0,100.0,96.22585421412299,0.0
