Team,Year,Cap_Space,adjusted_value,snap_counts_defense,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,assists,tackles,tackles_for_loss,stops,interceptions,interception_touchdowns,missed_tackles,pass_break_ups,penalties,declined_penalties,forced_fumbles,fumble_recoveries,receptions,targets,touchdowns,yards,player_game_count,Net EPA,Win %,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,missed_tackle_rate,qb_rating_against
49ers,2010,3.5334390243902436,497.7122402225775,1992.0,1749.0,203.0,1196.0,17.0,17.0,117.0,4.0,26.0,2.0,1.0,20.0,9.0,5.0,0.0,1.0,0.0,46.0,80.0,4.0,783.0,41.0,-0.03,37.50%,53.25,58.099999999999994,60.925,66.26666666666667,12.466666666666669,74.6
Bears,2010,4.96599674796748,613.5200642415737,2342.0,1960.0,332.0,1483.0,30.0,16.0,163.0,3.0,40.0,6.0,0.0,13.0,8.0,4.0,2.0,0.0,2.0,55.0,97.0,4.0,689.0,54.0,0.02,66.70%,52.3,59.05,70.275,75.675,7.4,79.775
Bengals,2010,5.747428455284553,529.7248679208651,2004.0,1446.0,416.0,1098.0,134.0,33.0,147.0,5.0,42.0,4.0,0.0,20.0,10.0,3.0,0.0,3.0,4.0,49.0,81.0,1.0,657.0,44.0,-0.06,25.00%,56.599999999999994,63.9,70.175,73.92500000000001,10.025,66.3
Bills,2010,6.441138211382114,631.0737889131633,2246.0,1714.0,477.0,1093.0,38.0,40.0,180.0,2.0,48.0,4.0,1.0,13.0,10.0,2.0,0.0,4.0,2.0,49.0,75.0,9.0,560.0,47.0,-0.19,25.00%,53.9,65.03333333333333,75.56666666666666,74.10000000000001,11.266666666666666,87.76666666666667
Broncos,2010,3.5549593495934957,314.5587982636031,1007.0,433.0,532.0,496.0,19.0,7.0,78.0,3.0,22.0,1.0,0.0,6.0,3.0,2.0,0.0,2.0,0.0,25.0,41.0,5.0,531.0,27.0,-0.13,25.00%,51.1,56.166666666666664,69.56666666666666,62.63333333333333,9.233333333333333,122.06666666666666
Browns,2010,4.952371544715447,424.3648638836099,2654.0,1767.0,660.0,1437.0,183.0,25.0,196.0,6.0,51.0,7.0,0.0,29.0,17.0,2.0,0.0,4.0,1.0,95.0,140.0,10.0,1249.0,68.0,-0.12,31.30%,50.64,55.279999999999994,78.28,65.0,13.540000000000001,104.7
Buccaneers,2010,1.5665650406504066,140.3091691839327,1776.0,1431.0,306.0,959.0,27.0,31.0,111.0,1.0,31.0,4.0,1.0,19.0,3.0,3.0,0.0,1.0,1.0,25.0,45.0,5.0,372.0,30.0,0.05,62.50%,58.300000000000004,62.46666666666667,62.43333333333334,73.2,9.866666666666667,83.23333333333333
Cardinals,2010,11.12439024390244,185.15408081210407,2635.0,1404.0,1061.0,1368.0,146.0,19.0,179.0,7.0,59.0,7.0,0.0,29.0,18.0,9.0,1.0,1.0,4.0,60.0,94.0,6.0,789.0,48.0,-0.21,31.30%,67.63333333333333,66.46666666666667,44.9,69.06666666666666,12.033333333333331,77.83333333333333
Chargers,2010,5.358345528455285,502.6705148838296,1311.0,960.0,289.0,740.0,49.0,21.0,118.0,6.0,39.0,4.0,1.0,21.0,9.0,0.0,0.0,0.0,0.0,32.0,49.0,3.0,370.0,25.0,0.24,56.30%,62.8,68.5,83.15,67.3,13.8,75.65
Chiefs,2010,3.6818902439024397,741.7925472910458,1993.0,1515.0,362.0,1213.0,100.0,11.0,111.0,4.0,33.0,7.0,1.0,19.0,12.0,3.0,0.0,3.0,0.0,44.0,79.0,9.0,620.0,30.0,0.05,58.80%,58.85,66.0,70.85,56.150000000000006,15.45,80.4
Colts,2010,10.65331463414634,148.93975063909414,1102.0,888.0,184.0,622.0,22.0,18.0,88.0,1.0,21.0,1.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,18.0,36.0,4.0,303.0,17.0,0.06,58.80%,66.0,74.4,84.7,90.4,5.4,104.3
Commanders,2010,7.748485365853659,552.0054529825209,2044.0,1396.0,562.0,1168.0,71.0,32.0,168.0,6.0,51.0,2.0,0.0,25.0,11.0,3.0,0.0,1.0,3.0,65.0,110.0,5.0,987.0,37.0,-0.12,37.50%,46.35,49.6,56.099999999999994,71.15,8.7,100.725
Cowboys,2010,2.428791056910569,115.1665308737956,1078.0,659.0,372.0,646.0,20.0,6.0,73.0,1.0,34.0,6.0,0.0,11.0,3.0,1.0,0.0,1.0,0.0,30.0,49.0,1.0,354.0,38.0,0.0,37.50%,60.333333333333336,60.96666666666667,80.7,61.5,11.666666666666666,66.93333333333334
Dolphins,2010,4.512818699186991,140.27879661723074,2105.0,1510.0,506.0,1168.0,74.0,23.0,155.0,9.0,54.0,3.0,0.0,23.0,7.0,1.0,0.0,3.0,2.0,57.0,90.0,6.0,720.0,46.0,-0.07,43.80%,55.0,58.5,78.67999999999999,65.32000000000001,26.68,71.2
Eagles,2010,2.806040650406504,305.7840436793902,2240.0,1443.0,755.0,1280.0,31.0,15.0,157.0,9.0,52.0,7.0,0.0,23.0,13.0,6.0,0.0,2.0,3.0,55.0,93.0,10.0,789.0,47.0,0.01,58.80%,55.975,62.75,45.75,66.95,13.575,88.325
Falcons,2010,3.6983146341463415,371.98318851961653,2083.0,1658.0,361.0,1262.0,61.0,30.0,153.0,5.0,46.0,6.0,0.0,31.0,5.0,5.0,0.0,1.0,1.0,63.0,89.0,6.0,791.0,39.0,0.1,76.50%,55.675,56.125,56.8,60.76666666666667,15.233333333333333,74.9
Giants,2010,6.29030487804878,566.6318987402085,1941.0,1210.0,515.0,1140.0,208.0,20.0,134.0,5.0,48.0,2.0,0.0,16.0,3.0,6.0,0.0,0.0,4.0,44.0,62.0,4.0,657.0,33.0,0.09,62.50%,54.36666666666667,62.666666666666664,46.46666666666667,80.2,6.166666666666667,74.76666666666667
Jaguars,2010,1.3943089430894309,112.55535897828898,1651.0,1173.0,409.0,926.0,55.0,29.0,127.0,5.0,34.0,3.0,0.0,25.0,3.0,3.0,0.0,2.0,1.0,56.0,75.0,6.0,828.0,37.0,-0.1,50.00%,42.266666666666666,47.03333333333333,57.300000000000004,58.166666666666664,14.4,117.63333333333333
Jets,2010,4.97679512195122,314.52173576334354,2880.0,1606.0,1039.0,1587.0,166.0,20.0,192.0,5.0,60.0,6.0,2.0,25.0,19.0,10.0,0.0,1.0,4.0,80.0,139.0,7.0,1094.0,76.0,0.08,68.40%,64.3,62.760000000000005,53.86,67.36,12.98,91.82000000000001
Lions,2010,2.3803520325203253,495.0754617959687,1508.0,1096.0,342.0,876.0,53.0,23.0,115.0,3.0,34.0,2.0,0.0,17.0,2.0,3.0,0.0,3.0,2.0,34.0,56.0,3.0,421.0,30.0,-0.01,37.50%,57.0,62.26666666666667,54.800000000000004,75.0,7.8,96.83333333333333
Packers,2010,18.693719512195123,467.01899310738935,2546.0,2028.0,473.0,1560.0,29.0,19.0,158.0,4.0,42.0,9.0,1.0,30.0,9.0,5.0,0.0,1.0,2.0,61.0,113.0,4.0,908.0,50.0,0.18,70.00%,57.48,57.839999999999996,64.36,63.260000000000005,18.2,65.84
Panthers,2010,1.7929821138211381,510.59609177866423,2399.0,1866.0,441.0,1279.0,82.0,38.0,151.0,6.0,61.0,6.0,0.0,27.0,7.0,4.0,1.0,2.0,2.0,56.0,92.0,5.0,790.0,44.0,-0.21,12.50%,65.9,65.025,69.15,64.75,12.325,73.225
