player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,weighted_grade,weighted_average_grade
00-0025398,25.0,MISSING,384.5841680780333,2010,49ers,-0.03,37.50%,Patrick Willis,LB,966.0,15.0,20.0,0.0,2.0,28.0,0.0,69.5,90.4,87.8,92.9,88.6,88.0,2.0,12.0,0.0,6.3,8.0,2.0,0.0,6.0,940.0,961.0,79.0,399.0,55.0,99.0,5.0,50.0,20.0,87326.40000000001,MISSING
00-0024237,26.0,MISSING,256.76161809704575,2010,49ers,-0.03,37.50%,Manny Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027894,22.0,MISSING,131.86726503866296,2010,49ers,-0.03,37.50%,NaVorro Bowman,LB,212.0,11.0,2.0,0.0,0.0,28.0,0.0,61.8,71.9,79.8,68.1,79.5,69.9,0.0,5.0,0.0,10.0,3.0,0.0,1.0,0.0,194.0,206.0,25.0,68.0,15.0,25.0,3.0,19.0,5.0,15242.8,MISSING
00-0022894,29.0,MISSING,98.29240534363272,2010,49ers,-0.03,37.50%,Travis LaBoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027716,22.0,MISSING,95.54220204900987,2010,49ers,-0.03,37.50%,Thaddeus Gibson,LB,12.0,1.0,0.0,0.0,0.0,28.0,0.0,60.0,57.5,72.2,53.9,60.4,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,690.0,MISSING
00-0024495,26.0,2945.0,94.0279646026504,2010,49ers,-0.03,37.50%,Ahmad Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024354,26.0,MISSING,48.9818411557672,2010,49ers,-0.03,37.50%,Parys Haralson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0015474,33.0,MISSING,29.524473405015087,2010,49ers,-0.03,37.50%,Takeo Spikes,LB,787.0,16.0,10.0,1.0,0.0,28.0,1.0,76.3,85.3,87.5,58.6,86.6,90.5,3.0,3.0,3.0,1.9,2.0,5.0,1.0,0.0,751.0,780.0,56.0,358.0,53.0,91.0,2.0,48.0,6.0,67131.09999999999,70.09242728184553
00-0027433,22.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Alex Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027377,22.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Keaton Kristick,LB,21.0,2.0,0.0,0.0,0.0,28.0,0.0,68.8,78.8,73.1,MISSING,72.7,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,9.0,3.0,6.0,0.0,1.0,0.0,1654.8,MISSING
