player,Team,Tier,Predicted_Grade,Conf_Lower,Conf_Upper,Vol_Index,Age_Adjustment,Last_Grade_2024,YoY_Change_Pred,Snap_Counts_2024
Trent McDuffie,Chiefs,Elite,87.94,76.69,99.2,0.407,0.0,83.4,4.539999999999992,1132.0
Cooper DeJean,Eagles,Elite,81.58,69.58,93.58,0.5,0.0,82.0,-0.4200000000000017,830.0
Christian Gonzalez,Patriots,Starter,78.95,69.14,88.76,0.226,0.0,76.0,2.950000000000003,978.0
Kendall Fuller,Dolphins,Starter,78.85,66.64,91.05,0.526,0.0,66.2,12.649999999999991,556.0
Jaycee Horn,Panthers,Starter,77.89,64.58,91.19,0.663,0.0,64.5,13.39,1034.0
Devon Witherspoon,Seahawks,Starter,77.38,66.36,88.39,0.377,0.0,76.1,1.2800000000000011,1103.0
Sauce Gardner,Jets,Starter,77.14,63.57,90.7,0.695,0.0,70.2,6.939999999999998,879.0
Asante Samuel Jr.,Chargers,Starter,76.09,64.0,88.18,0.511,0.0,59.3,16.790000000000006,234.0
Derek Stingley Jr.,Texans,Starter,75.9,59.9,91.9,1.0,0.0,80.4,-4.5,1119.0
A.J. Terrell,Falcons,Starter,75.63,63.0,88.26,0.579,0.0,69.4,6.22999999999999,1085.0
DaRon Bland,Cowboys,Starter,74.93,61.21,88.65,0.715,0.0,70.1,4.8300000000000125,436.0
Andru Phillips,Giants,Starter,74.29,62.29,86.29,0.5,0.0,77.5,-3.2099999999999937,614.0
Quinyon Mitchell,Eagles,Starter,73.86,61.86,85.86,0.5,0.0,78.4,-4.540000000000006,1104.0
Chidobe Awuzie,Titans,Starter,73.23,59.12,87.33,0.763,0.0,64.4,8.829999999999998,373.0
Ahkello Witherspoon,Rams,Starter,72.7,57.47,87.92,0.903,0.0,65.6,7.1000000000000085,598.0
Jalen Ramsey,Dolphins,Starter,72.53,60.16,84.91,0.547,0.0,76.9,-4.3700000000000045,1027.0
Adoree' Jackson,Giants,Starter,72.42,58.4,86.44,0.753,0.0,69.0,3.4200000000000017,426.0
Tyson Campbell,Jaguars,Starter,72.41,59.14,85.68,0.659,0.0,62.9,9.509999999999998,767.0
Pat Surtain II,Broncos,Starter,72.18,58.64,85.72,0.693,0.0,83.8,-11.61999999999999,1054.0
Kyler Gordon,Bears,Starter,71.37,56.34,86.41,0.879,0.0,76.0,-4.6299999999999955,724.0
Garrett Williams,Cardinals,Starter,70.59,54.59,86.59,1.0,0.0,82.0,-11.409999999999997,778.0
Mike Sainristil,Commanders,Starter,70.5,58.5,82.5,0.5,0.0,65.8,4.700000000000003,1158.0
Mike Hilton,Bengals,Starter,70.48,60.73,80.24,0.22,1.0,75.9,-5.420000000000002,737.0
