player,Tier,Ensemble_Pred,Age_2024
Micah Parsons,Elite,93.61,25.0
Nick Bosa,Elite,93.5,26.0
Myles Garrett,Elite,92.83,28.0
Jared Verse,Elite,92.21,23.0
Aidan Hutchinson,Elite,91.7,24.0
Will Anderson Jr.,Elite,91.15,22.0
T.J. Watt,Elite,88.47,29.0
Alex Highsmith,Elite,86.18,27.0
Greg Rousseau,Elite,83.52,24.0
Khalil Mack,Elite,80.7,33.0
Rashan Gary,Starter,79.03,26.0
Trey Hendrickson,Starter,78.81,29.0
Maxx Crosby,Starter,78.69,27.0
Jonathan Greenard,Starter,77.58,27.0
Danielle Hunter,Starter,76.67,29.0
Chase Young,Starter,76.53,25.0
Montez Sweat,Starter,74.79,27.0
Yaya Diaby,Starter,74.78,25.0
Boye Mafe,Starter,74.59,25.0
Joey Bosa,Starter,74.06,29.0
Nick Herbig,Starter,72.82,22.0
Chop Robinson,Starter,72.52,21.0
Brian Burns,Starter,72.24,26.0
Zaven Collins,Starter,70.16,25.0
Odafe Oweh,Rotation,69.62,25.0
Isaiah McGuire,Rotation,69.44,23.0
Brenton Cox Jr.,Rotation,69.14,24.0
Bryce Huff,Rotation,68.64,26.0
Carl Granderson,Rotation,68.59,27.0
Tuli Tuipulotu,Rotation,68.35,21.0
Nolan Smith,Rotation,68.02,23.0
Josh Sweat,Rotation,67.81,27.0
Jaelan Phillips,Rotation,67.59,25.0
Derek Barnett,Rotation,67.49,28.0
Travon Walker,Rotation,67.23,23.0
Khalid Kareem,Rotation,67.13,26.0
Laiatu Latu,Rotation,67.03,23.0
Jadeveon Clowney,Rotation,66.82,31.0
Javon Solomon,Rotation,66.66,23.0
Za'Darius Smith,Rotation,66.6,31.0
Nik Bonitto,Rotation,66.5,24.0
George Karlaftis,Rotation,66.32,23.0
Brandon Graham,Rotation,65.87,36.0
Jonathon Cooper,Rotation,65.78,26.0
Kwity Paye,Rotation,65.78,25.0
Arik Armstead,Rotation,64.57,30.0
Kayvon Thibodeaux,Rotation,64.41,23.0
Khalid Duke,Rotation,64.39,23.0
Arden Key,Rotation,64.38,28.0
Cedric Johnson,Rotation,64.36,21.0
DeMarcus Lawrence,Rotation,64.32,32.0
Payton Turner,Rotation,63.85,25.0
Dondrea Tillman,Rotation,63.83,26.0
Keion White,Rotation,63.79,25.0
Uchenna Nwosu,Rotation,63.09,27.0
Jonah Elliss,Rotation,62.7,21.0
Dallas Turner,Rotation,62.67,21.0
Chris Braswell,Rotation,62.5,22.0
Lukas Van Ness,Rotation,62.32,23.0
Byron Young,Rotation,62.25,26.0
Victor Dimukeje,Rotation,62.12,24.0
Jamin Davis,Rotation,62.04,25.0
Dayo Odeyingbo,Rotation,61.91,24.0
Tyree Wilson,Rotation,61.89,24.0
Marcus Davenport,Rotation,61.85,27.0
Andrew Van Ginkel,Rotation,61.73,29.0
Dorance Armstrong,Rotation,61.72,27.0
K'Lavon Chaisson,Rotation,61.52,25.0
Mohamed Kamara,Rotation,61.47,24.0
Arnold Ebiketie,Rotation,61.39,25.0
Jermaine Johnson,Rotation,61.37,25.0
David Ojabo,Rotation,61.12,24.0
Will McDonald IV,Rotation,61.04,25.0
Dennis Gardeck,Rotation,60.99,30.0
Solomon Byrd,Rotation,60.89,24.0
Adisa Isaac,Rotation,60.86,22.0
Cameron Goode,Rotation,60.83,26.0
Josh Paschal,Rotation,60.78,24.0
Michael Hoecht,Rotation,60.44,26.0
Anfernee Jennings,Rotation,60.43,27.0
Gabriel Murphy,Rotation,60.34,23.0
Nick Hampton,Rotation,60.25,24.0
Baron Browning,Rotation,60.09,25.0
Kingsley Enagbare,Reserve/Poor,59.96,24.0
Jalyx Hunt,Reserve/Poor,59.87,23.0
Tyquan Lewis,Reserve/Poor,59.82,29.0
Charles Omenihu,Reserve/Poor,59.79,27.0
Isaiah Foskey,Reserve/Poor,59.74,23.0
A.J. Epenesa,Reserve/Poor,59.67,25.0
Joseph Ossai,Reserve/Poor,59.66,24.0
Bo Richter,Reserve/Poor,59.65,24.0
Clelin Ferrell,Reserve/Poor,59.64,27.0
Julian Okwara,Reserve/Poor,59.55,26.0
Von Miller,Reserve/Poor,59.5,35.0
Darrell Taylor,Reserve/Poor,59.37,27.0
Markees Watts,Reserve/Poor,59.34,24.0
Brennan Jackson,Reserve/Poor,59.2,23.0
Anthony Nelson,Reserve/Poor,59.19,27.0
Arron Mosby,Reserve/Poor,59.07,25.0
Yetur Gross-Matos,Reserve/Poor,58.91,26.0
Andre Carter II,Reserve/Poor,58.8,24.0
Amare Barno,Reserve/Poor,58.65,25.0
Azeez Ojulari,Reserve/Poor,58.52,24.0
Joe Tryon-Shoyinka,Reserve/Poor,58.47,25.0
Keir Thomas,Reserve/Poor,58.45,26.0
DeMarcus Walker,Reserve/Poor,58.42,29.0
Jacob Martin,Reserve/Poor,58.36,28.0
Kyle Van Noy,Reserve/Poor,58.17,33.0
Myles Murphy,Reserve/Poor,58.15,22.0
Tomon Fox,Reserve/Poor,58.1,26.0
Mike Danna,Reserve/Poor,58.05,26.0
Dre'Mont Jones,Reserve/Poor,57.96,27.0
Micheal Clemons,Reserve/Poor,57.93,27.0
Malik Herring,Reserve/Poor,57.9,26.0
Derick Hall,Reserve/Poor,57.9,23.0
Daniel Hardy,Reserve/Poor,57.82,25.0
Alex Wright,Reserve/Poor,57.67,23.0
Felix Anudike-Uzomah,Reserve/Poor,57.65,22.0
Charles Snowden,Reserve/Poor,57.64,26.0
DeMarvin Leal,Reserve/Poor,57.61,24.0
Isaiah Land,Reserve/Poor,57.55,24.0
Haason Reddick,Reserve/Poor,57.51,29.0
Caleb Murphy,Reserve/Poor,57.49,24.0
Titus Leo,Reserve/Poor,57.34,25.0
Harold Landry III,Reserve/Poor,57.32,28.0
Quinton Bell,Reserve/Poor,57.28,28.0
Truman Jones,Reserve/Poor,57.19,24.0
Austin Booker,Reserve/Poor,57.16,21.0
DeAngelo Malone,Reserve/Poor,57.16,25.0
Javontae Jean-Baptiste,Reserve/Poor,57.08,24.0
Ogbo Okoronkwo,Reserve/Poor,56.7,29.0
Dylan Horton,Reserve/Poor,56.6,24.0
D.J. Wonnum,Reserve/Poor,56.5,26.0
Charles Harris,Reserve/Poor,56.43,29.0
Jamie Sheriff,Reserve/Poor,56.4,24.0
Sam Okuayinonu,Reserve/Poor,56.35,26.0
Carl Lawson,Reserve/Poor,56.29,29.0
Sam Hubbard,Reserve/Poor,56.28,29.0
Eric Watts,Reserve/Poor,56.22,23.0
Braiden McGregor,Reserve/Poor,56.09,23.0
Jose Ramirez,Reserve/Poor,56.02,25.0
Robert Beal Jr.,Reserve/Poor,55.82,25.0
Dante Fowler Jr.,Reserve/Poor,55.8,30.0
Tavius Robinson,Reserve/Poor,55.49,25.0
Kenny Dyson Jr.,Reserve/Poor,55.26,23.0
Trevis Gipson,Reserve/Poor,55.13,27.0
Oshane Ximines,Reserve/Poor,55.13,27.0
Tyrus Wheat,Reserve/Poor,55.08,24.0
Joe Gaziano,Reserve/Poor,54.94,27.0
Demone Harris,Reserve/Poor,54.9,28.0
DJ Johnson,Reserve/Poor,54.89,25.0
Ochaun Mathis,Reserve/Poor,54.75,25.0
Amari Gainer,Reserve/Poor,54.74,24.0
James Smith-Williams,Reserve/Poor,54.73,27.0
Patrick Johnson,Reserve/Poor,54.72,26.0
Preston Smith,Reserve/Poor,54.63,31.0
Cam Gill,Reserve/Poor,54.44,26.0
Janarius Robinson,Reserve/Poor,54.12,26.0
Xavier Thomas,Reserve/Poor,54.01,24.0
Isaiah Thomas,Reserve/Poor,53.9,25.0
Emmanuel Ogbah,Reserve/Poor,53.8,30.0
Tyus Bowser,Reserve/Poor,53.65,29.0
James Houston,Reserve/Poor,53.49,25.0
Marshawn Kneeland,Reserve/Poor,53.46,23.0
Lorenzo Carter,Reserve/Poor,53.43,28.0
Al-Quadin Muhammad,Reserve/Poor,53.38,29.0
Jeremiah Moon,Reserve/Poor,53.24,26.0
Thomas Incoom,Reserve/Poor,53.06,25.0
Isaac Ukwu,Reserve/Poor,52.73,25.0
Benton Whitley,Reserve/Poor,52.67,25.0
Elerson Smith,Reserve/Poor,52.57,26.0
Eku Leota,Reserve/Poor,52.51,25.0
Deatrich Wise Jr.,Reserve/Poor,52.1,30.0
Dominique Robinson,Reserve/Poor,51.74,26.0
Ali Gaye,Reserve/Poor,51.73,26.0
Casey Toohill,Reserve/Poor,51.72,28.0
Mitchell Agude,Reserve/Poor,51.71,25.0
Jaylen Harrell,Reserve/Poor,51.61,22.0
Cameron Jordan,Reserve/Poor,51.0,35.0
Myles Cole,Reserve/Poor,50.79,24.0
Dawuane Smoot,Reserve/Poor,50.36,29.0
Matthew Judon,Reserve/Poor,49.79,32.0
Alex Barrett,Reserve/Poor,49.79,30.0
Leonard Floyd,Reserve/Poor,49.3,31.0
Bud Dupree,Reserve/Poor,49.06,31.0
Andre Jones Jr.,Reserve/Poor,48.47,25.0
Jerry Hughes,Reserve/Poor,47.94,36.0
Efe Obada,Reserve/Poor,46.72,32.0
Brent Urban,Reserve/Poor,44.26,33.0
