player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0020535,30.0,MISSING,104.6291487765889,2010,49ers,-0.03,37.50%,Justin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025484,25.0,MISSING,90.47872163057544,2010,49ers,-0.03,37.50%,Ray McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022863,28.0,MISSING,40.877270876626945,2010,49ers,-0.03,37.50%,Isaac Sopoaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022147,30.0,MISSING,18.708245852907535,2010,49ers,-0.03,37.50%,Aubrayo Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026502,23.0,5168.0,14.410767577210205,2010,49ers,-0.03,37.50%,Ricky Jean Francois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027905,26.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Will Tukuafu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020055,30.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Demetric Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025398,25.0,MISSING,384.5841680780333,2010,49ers,-0.03,37.50%,Patrick Willis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024237,26.0,MISSING,256.76161809704575,2010,49ers,-0.03,37.50%,Manny Lawson,ED,620.0,16.0,3.0,2.0,2.0,2.0,28.0,1.0,74.3,23.1,82.0,67.8,77.5,8.0,22.0,6.4,3.0,5.0,3.0,214.0,273.0,487.0,418.0,67.0,24.0,41.0,4.0,33.0,46066.0,MISSING
00-0027894,22.0,MISSING,131.86726503866296,2010,49ers,-0.03,37.50%,Navorro Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022894,29.0,MISSING,98.29240534363272,2010,49ers,-0.03,37.50%,Travis LaBoy,ED,342.0,14.0,3.0,1.0,0.0,1.0,28.0,1.0,71.8,0.0,82.9,66.0,69.1,5.0,20.0,15.0,3.0,4.0,5.0,170.0,122.0,317.0,179.0,137.0,13.0,14.0,2.0,30.0,24555.6,MISSING
00-0027716,22.0,MISSING,95.54220204900987,2010,49ers,-0.03,37.50%,Thaddeus Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024495,26.0,2945.0,94.0279646026504,2010,49ers,-0.03,37.50%,Ahmad Brooks,ED,477.0,15.0,3.0,1.0,2.0,0.0,28.0,0.0,65.0,0.0,68.6,70.0,71.6,5.0,16.0,4.5,1.0,8.0,5.0,208.0,174.0,386.0,229.0,156.0,18.0,18.0,4.0,26.0,31005.0,MISSING
