player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0027869,2010,49ers,4.160131707317073,,23.0,432.8370230110429,-0.03,37.50%,Mike Iupati,G,100.0,0.0,28.0,82.1,69.0,86.3,6.0,20.0,553.0,100.0,100.0,97.3,4.0,28.0,2.0,951.0,0.0,951.0,0.0,951.0,582.0,582.0,0.0,0.0,369.0,0.0,78077.09999999999,MISSING
00-0032407,2019,Jets,1.0759829968119023,,27.0,60.47952520331469,-0.133,43.80%,Alex Lewis,G,100.0,0.0,22.0,56.1,68.5,48.9,5.0,15.0,436.0,100.0,100.0,97.2,7.0,22.0,2.0,764.0,0.0,764.0,0.0,764.0,472.0,472.0,0.0,0.0,292.0,0.0,42860.4,MISSING
00-0031122,2019,Jaguars,8.501594048884167,,27.0,0.0,-0.125,37.50%,Andrew Norwell,G,100.0,2.0,15.0,65.5,74.2,62.3,5.0,20.0,684.0,100.0,100.0,97.7,8.0,28.0,3.0,1088.0,0.0,1087.0,0.0,1088.0,736.0,736.0,0.0,0.0,352.0,0.0,71264.0,57.79447585906916
00-0032255,2019,Jaguars,1.2956073326248672,,27.0,121.23304432595882,-0.125,37.50%,A.J. Cann,G,100.0,0.0,15.0,55.3,50.6,55.8,1.0,27.0,484.0,100.0,100.0,96.5,2.0,31.0,3.0,775.0,0.0,0.0,0.0,775.0,519.0,519.0,774.0,0.0,256.0,0.0,42857.5,MISSING
00-0034445,2019,Giants,0.2639032943676939,,23.0,0.0,-0.137,25.00%,Nick Gates,G,99.7,0.0,21.0,77.0,71.5,75.9,2.0,6.0,178.0,100.0,99.5,97.2,0.0,9.0,1.0,290.0,0.0,0.0,0.0,291.0,191.0,192.0,77.0,198.0,99.0,15.0,22407.0,MISSING
00-0029592,2019,Giants,2.6567481402763016,,29.0,94.48816616502424,-0.137,25.00%,Kevin Zeitler,G,100.0,1.0,21.0,76.4,75.0,72.7,3.0,16.0,643.0,100.0,100.0,98.1,2.0,22.0,3.0,991.0,0.0,0.0,0.0,991.0,686.0,686.0,990.0,0.0,305.0,0.0,75712.40000000001,MISSING
00-0034346,2019,Giants,0.899760892667375,,23.0,275.3135310224176,-0.137,25.00%,Will Hernandez,G,100.0,0.0,21.0,58.4,72.5,45.7,6.0,23.0,681.0,100.0,100.0,97.6,4.0,31.0,2.0,1068.0,0.0,1067.0,0.0,1068.0,728.0,728.0,0.0,0.0,340.0,0.0,62371.2,65.62603192074849
00-0027963,2019,Falcons,1.5276301806588737,,30.0,0.0,-0.03,43.80%,James Carpenter,G,100.0,1.0,2.0,45.3,46.2,45.9,4.0,23.0,435.0,100.0,100.0,96.0,7.0,31.0,4.0,675.0,0.0,674.0,1.0,675.0,473.0,473.0,0.0,0.0,202.0,0.0,30577.499999999996,MISSING
00-0033511,2019,Falcons,0.0356312433581296,,24.0,62.50400891478666,-0.03,43.80%,Sean Harlow,G,100.0,0.0,2.0,60.0,MISSING,60.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,MISSING
00-0032244,2019,Falcons,2.3025148777895854,,26.0,113.3443297366606,-0.03,43.80%,Jamon Brown,G,100.0,1.0,2.0,53.2,57.7,50.5,5.0,14.0,370.0,100.0,100.0,97.4,6.0,19.0,0.0,587.0,0.0,0.0,0.0,587.0,402.0,402.0,587.0,0.0,185.0,0.0,31228.4,MISSING
