player,Team,Tier,Pred_XGB,Pred_Transformer,Ensemble_Pred,Conf_Lower,Conf_Upper,Vol_Index,Age_Adjustment,Dropbacks
Patrick Mahomes,Chiefs,Elite,90.35,89.07,89.9,80.63,99.17,0.405,0.0,728.0
Justin Herbert,Chargers,Elite,88.61,86.3,87.8,78.69,96.92,0.381,0.0,618.0
Josh Allen,Bills,Elite,86.22,87.34,86.61,79.0,94.22,0.153,0.0,634.0
Jayden Daniels,Commanders,Elite,85.76,87.99,86.54,76.64,96.44,0.5,0.0,736.0
Lamar Jackson,Ravens,Elite,83.94,87.84,85.31,74.55,96.06,0.63,0.0,597.0
Joe Burrow,Bengals,Elite,84.57,86.58,85.27,74.85,95.7,0.58,0.0,725.0
C.J. Stroud,Texans,Elite,82.2,83.25,82.56,74.94,90.19,0.156,0.0,703.0
Kyler Murray,Cardinals,Starter,75.17,84.59,78.47,68.43,88.5,0.52,0.0,614.0
Caleb Williams,Bears,Starter,79.37,76.79,78.47,68.57,88.37,0.5,0.0,682.0
Sam Darnold,Vikings,Starter,83.45,67.9,78.01,67.02,89.0,0.665,0.0,672.0
Matthew Stafford,Rams,Starter,81.14,78.98,77.18,67.05,87.32,0.535,3.2,628.0
Gardner Minshew,Raiders,Starter,71.44,87.26,76.98,68.33,85.63,0.311,0.0,346.0
Bo Nix,Broncos,Starter,74.89,77.37,75.76,65.86,85.66,0.5,0.0,674.0
Kirk Cousins,Falcons,Starter,74.7,84.84,75.05,65.87,84.23,0.391,3.2,485.0
Baker Mayfield,Buccaneers,Starter,76.25,71.6,74.62,61.64,87.6,0.966,0.0,680.0
Brock Purdy,49ers,Starter,75.14,72.77,74.31,65.34,83.29,0.36,0.0,537.0
Trevor Lawrence,Jaguars,Starter,67.15,85.49,73.56,62.89,84.24,0.618,0.0,317.0
Bryce Young,Panthers,Starter,70.69,78.87,73.55,61.35,85.75,0.849,0.0,450.0
Jared Goff,Lions,Starter,75.42,69.33,73.29,62.53,84.04,0.629,0.0,630.0
Geno Smith,Seahawks,Starter,78.04,66.31,73.14,61.76,84.51,0.723,0.8,652.0
Aaron Rodgers,Jets,Starter,76.66,83.87,72.78,62.86,82.71,0.504,6.4,643.0
Russell Wilson,Steelers,Starter,73.23,74.32,71.21,60.75,81.68,0.585,2.4,426.0
Drake Maye,Patriots,Starter,71.43,70.36,71.06,61.16,80.96,0.5,0.0,422.0
Jalen Hurts,Eagles,Starter,76.68,58.24,70.23,58.14,82.32,0.832,0.0,527.0
Tua Tagovailoa,Dolphins,Starter,71.84,63.33,68.86,58.15,79.56,0.622,0.0,435.0
Dak Prescott,Cowboys,Starter,67.21,71.9,68.85,58.12,79.57,0.625,0.0,317.0
Jordan Love,Packers,Starter,67.05,69.74,68.0,58.97,77.02,0.368,0.0,492.0
Mason Rudolph,Titans,Starter,65.46,71.22,67.48,58.25,76.7,0.398,0.0,256.0
Mac Jones,Jaguars,Starter,63.44,72.6,66.65,55.23,78.07,0.73,0.0,290.0
Deshaun Watson,Browns,Starter,65.44,68.1,66.37,53.17,79.57,1.0,0.0,270.0
Jacoby Brissett,Patriots,Starter,69.04,59.03,65.53,54.16,76.9,0.723,0.0,188.0
Justin Fields,Steelers,Starter,62.96,70.24,65.51,57.01,74.01,0.288,0.0,197.0
Jameis Winston,Browns,Starter,64.22,66.61,65.06,56.83,73.28,0.247,0.0,329.0
Daniel Jones,Vikings,Starter,66.6,62.11,65.03,55.84,74.22,0.393,0.0,389.0
Michael Penix Jr.,Falcons,Starter,64.66,62.61,63.94,54.04,73.84,0.5,0.0,114.0
Drew Lock,Giants,Starter,65.61,56.63,62.47,54.06,70.89,0.275,0.0,204.0
Anthony Richardson,Colts,Starter,60.92,63.98,61.99,52.09,71.89,0.5,0.0,299.0
Joe Flacco,Colts,Starter,67.43,64.22,60.71,50.16,71.26,0.599,5.6,270.0
Tyler Huntley,Dolphins,Reserve/Poor,58.11,61.29,59.22,50.27,68.18,0.357,0.0,168.0
Will Levis,Titans,Reserve/Poor,60.62,54.77,58.57,49.23,67.91,0.415,0.0,362.0
Andy Dalton,Panthers,Reserve/Poor,62.67,59.01,58.19,48.74,67.64,0.432,3.2,175.0
Aidan O'Connell,Raiders,Reserve/Poor,60.74,50.27,57.07,49.01,65.13,0.222,0.0,256.0
Cooper Rush,Cowboys,Reserve/Poor,55.19,59.94,56.85,49.13,64.57,0.17,0.0,326.0
Spencer Rattler,Saints,Reserve/Poor,57.84,52.74,56.05,46.15,65.95,0.5,0.0,264.0
Dorian Thompson-Robinson,Browns,Reserve/Poor,41.03,52.27,44.97,37.0,52.94,0.207,0.0,133.0
Desmond Ridder,Raiders,Reserve/Poor,41.22,44.52,42.37,33.51,51.24,0.343,0.0,102.0
