player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0027887,2010,49ers,0.332520325203252,,22.0,238.65793041514945,-0.03,37.50%,Taylor Mays,S,427.0,11.0,3.0,0.0,1.0,28.0,0.0,48.4,54.8,80.3,85.5,0.0,0.0,3.6,1.0,2.0,1.0,139.6,13.0,392.0,33.0,273.0,1.0,5.0,24.0,1.0,16.0,1.0,263.0,23399.6,MISSING
00-0034745,2019,Lions,0.4508485653560042,,24.0,133.77991357033252,-0.11,20.00%,Tracy Walker III,S,843.0,13.0,9.0,1.0,0.0,11.0,0.0,76.0,73.5,37.8,66.9,1.0,0.0,10.6,11.0,7.0,4.0,124.3,32.0,331.0,254.0,523.0,177.0,24.0,84.0,6.0,48.0,5.0,468.0,61960.5,MISSING
00-0029410,2019,Lions,1.4213602550478217,,29.0,66.021526493308,-0.11,20.00%,Tavon Wilson,S,840.0,16.0,14.0,2.0,0.0,11.0,1.0,74.0,71.9,24.4,67.9,0.0,0.0,10.5,10.0,5.0,4.0,103.0,33.0,158.0,446.0,478.0,97.0,30.0,71.0,3.0,42.0,1.0,286.0,60396.00000000001,MISSING
00-0035327,2019,Lions,0.2642577045696068,,23.0,0.0,-0.11,20.00%,C.J. Moore,S,77.0,8.0,0.0,0.0,0.0,11.0,0.0,64.9,65.2,79.9,75.2,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,65.0,7.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.400000000001,MISSING
00-0034968,2019,Packers,1.2093214665249734,,22.0,391.1615418671963,0.089,77.80%,Darnell Savage,S,865.0,14.0,6.0,1.0,2.0,12.0,0.0,73.1,67.1,87.7,42.8,2.0,0.0,20.6,14.0,2.0,1.0,92.0,16.0,419.0,190.0,509.0,216.0,12.0,48.0,2.0,26.0,3.0,201.0,58041.49999999999,MISSING
00-0033124,2019,Packers,0.3028692879914984,,25.0,132.02024543459538,0.089,77.80%,Will Redmond,S,271.0,9.0,3.0,0.0,0.0,12.0,0.0,52.4,56.1,80.1,43.6,0.0,0.0,20.0,6.0,1.0,0.0,155.8,7.0,116.0,97.0,170.0,39.0,3.0,21.0,1.0,9.0,1.0,119.0,15203.1,MISSING
00-0032198,2019,Packers,0.3427205100956429,,27.0,65.01210215377569,0.089,77.80%,Ibraheim Campbell,S,181.0,7.0,3.0,0.0,1.0,12.0,0.0,54.9,60.3,73.8,55.5,0.0,0.0,13.3,2.0,0.0,0.0,81.3,10.0,7.0,137.0,113.0,22.0,2.0,10.0,0.0,15.0,0.0,85.0,10914.3,MISSING
00-0035655,2019,Lions,0.3895116896918172,,23.0,149.9963389439196,-0.11,20.00%,Will Harris,S,668.0,16.0,6.0,1.0,0.0,11.0,0.0,55.4,55.3,25.0,46.4,0.0,0.0,17.1,6.0,0.0,3.0,147.4,12.0,408.0,135.0,462.0,63.0,7.0,23.0,0.0,16.0,3.0,166.0,36940.4,MISSING
00-0031584,2019,Packers,3.1349628055260363,,26.0,47.750685078100446,0.089,77.80%,Adrian Amos,S,1036.0,16.0,5.0,0.0,0.0,12.0,0.0,76.0,76.5,85.0,86.1,2.0,0.0,5.9,5.0,7.0,0.0,82.4,35.0,441.0,406.0,615.0,116.0,23.0,75.0,3.0,50.0,1.0,384.0,79254.0,MISSING
00-0030548,2019,Panthers,2.3910733262486716,,27.0,154.89961255761355,-0.146,31.30%,Eric Reid,S,1094.0,16.0,20.0,0.0,1.0,5.0,2.0,36.1,46.6,86.1,66.3,0.0,0.0,8.9,12.0,5.0,2.0,148.1,45.0,295.0,494.0,621.0,193.0,37.0,103.0,3.0,57.0,7.0,573.0,50980.4,MISSING
