player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,weighted_grade,weighted_average_grade,TE_Value,TE_Value_Score,Production_Score
00-0033576,2024,49ers,0.4945818324197337,,30.0,13.111995005818896,0.02174647007,35.30%,Eric Saubert,TE,7.4,1.0,78.6,50.0,1.0,2.0,1.0,0.0,0.0,5.0,28.0,1.0,78.7,20.4,51.2,31.8,49.1,56.5,104.0,0.0,17.0,12.0,22.0,184.0,4.0,11.0,82.6,152.0,33.2,61.0,119.3,14.0,1.0,6.5,12.0,97.0,35.0,3.2,8.8,0.64,22.0,193.0,177.0,9062.4,MISSING,212.4000000000005,0.5310000000000012,167.0
00-0038643,2024,49ers,0.2587443226311667,,24.0,14.032545536471172,0.02174647007,35.30%,Brayden Willis,TE,5.5,0.0,0.0,0.0,0.0,2.0,0.0,100.0,1.0,0.0,28.0,0.0,27.9,MISSING,32.8,20.4,38.2,45.5,5.0,0.0,0.0,18.2,2.0,11.0,0.0,0.0,81.8,9.0,54.5,6.0,39.6,2.0,0.0,0.0,0.0,0.0,0.0,MISSING,MISSING,0.0,2.0,14.0,11.0,360.7999999999999,MISSING,-189.20000000000005,-0.4730000000000001,0.0
00-0033288,2024,49ers,4.778611981205951,,30.0,18.708245852907535,0.02174647007,35.30%,George Kittle,TE,8.9,7.0,84.8,70.6,12.0,17.0,0.0,2.5,2.0,50.0,28.0,0.0,89.8,82.1,92.1,62.8,92.4,57.0,285.0,2.0,43.0,11.6,58.0,500.0,4.0,78.0,84.4,422.0,30.8,154.0,136.7,92.0,8.0,10.0,50.0,1106.0,512.0,6.6,14.2,2.62,58.0,308.0,489.0,45036.899999999994,MISSING,20586.899999999998,51.46724999999999,1766.0
00-0037112,2024,49ers,0.3582615505090055,,25.0,0.0,0.02174647007,35.30%,Jake Tonges,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0039702,2024,49ers,0.0880971025841816,,24.0,0.0,0.02174647007,35.30%,Mason Pline,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0034073,2023,49ers,0.4804270462633452,,28.0,0.0,0.26,70.00%,Ross Dwelley,TE,0.0,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,64.7,61.2,52.8,69.6,58.2,45.5,10.0,0.0,12.0,4.5,1.0,22.0,0.0,1.0,95.5,21.0,40.9,9.0,116.7,1.0,0.0,13.6,3.0,12.0,12.0,12.0,12.0,0.57,1.0,54.0,22.0,1161.6,MISSING,61.59999999999994,0.15399999999999983,22.0
00-0033288,2023,49ers,4.260560498220641,,29.0,25.253490438844462,0.26,70.00%,George Kittle,TE,9.9,17.0,72.3,37.5,6.0,16.0,0.0,8.8,7.0,46.0,28.0,0.0,54.4,81.7,87.7,70.6,85.2,61.7,395.0,2.0,66.0,7.0,45.0,640.0,2.0,73.0,88.8,568.0,28.1,180.0,123.9,101.0,7.0,8.8,56.0,1132.0,531.0,7.3,15.5,1.99,45.0,443.0,631.0,55338.7,MISSING,23788.7,59.47175,1732.0
00-0036429,2023,49ers,0.4694203736654804,,25.0,28.356075397272203,0.26,70.00%,Charlie Woerner,TE,3.3,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,70.5,65.8,63.5,38.4,45.1,72.2,91.0,0.0,20.0,14.3,18.0,126.0,1.0,3.0,82.5,104.0,16.7,21.0,111.1,3.0,0.0,10.3,13.0,32.0,22.0,7.3,10.7,0.31,18.0,223.0,125.0,7937.5,MISSING,1687.5,4.21875,42.0
00-0037112,2023,49ers,0.0800711743772242,,24.0,0.0,0.26,70.00%,Jake Tonges,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0038643,2023,49ers,0.3425155693950177,,23.0,15.508361233480178,0.26,70.00%,Brayden Willis,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
