player_id,player,Team,Predicted_Net_EPA_2025
00-0037838,Isaiah Likely,Ravens,0.16745862
00-0038996,Tucker Kraft,Packers,0.14904743
00-0037340,Zaire Mitchell-Paden,Ravens,0.13287011
00-0034753,Mark Andrews,Ravens,0.12615159
00-0039065,Sam LaPorta,Lions,0.1177659
00-0033288,George Kittle,49ers,0.11434358
00-0038046,Charlie Kolar,Ravens,0.1102061
00-0034351,Dallas Goedert,Eagles,0.10236929
00-0039275,Messiah Swinson,Packers,0.07697217
00-0038933,Dalton Kincaid,Bills,0.07237913
00-0036534,Shane Zylstra,Lions,0.0649675
00-0039338,Brock Bowers,Raiders,0.06416707
00-0037282,James Mitchell,Lions,0.06325208
00-0030506,Travis Kelce,Chiefs,0.06302639
00-0035689,Dawson Knox,Bills,0.062984444
00-0037086,Grant Calcaterra,Eagles,0.06291656
00-0035249,Josh Oliver,Vikings,0.06268771
00-0038129,Cade Otton,Buccaneers,0.059746675
00-0036754,Brock Wright,Lions,0.05852453
00-0037539,Lucas Krull,Broncos,0.057612028
00-0032134,C.J. Uzomah,Eagles,0.054010626
00-0038783,Nate Adkins,Broncos,0.0534197
00-0035229,T.J. Hockenson,Vikings,0.05134614
00-0036590,Quintin Morris,Bills,0.049483847
00-0038498,E.J. Jenkins,Eagles,0.047638994
00-0038809,Ben Sims,Packers,0.046464566
00-0036422,Adam Trautman,Broncos,0.046250015
00-0039912,Ben Sinnott,Commanders,0.044670768
00-0037078,Cole Turner,Commanders,0.043908376
00-0039754,Devin Culp,Buccaneers,0.043613106
00-0038828,Tanner Taula,Buccaneers,0.043113306
00-0039050,Payne Durham,Buccaneers,0.043076057
00-0036640,Zach Davidson,Bills,0.041489802
00-0034159,Will Dissly,Chargers,0.040882275
00-0037744,Trey McBride,Cardinals,0.038394555
00-0036628,John Bates,Commanders,0.036785327
00-0037306,John FitzPatrick,Packers,0.03368932
00-0033246,Johnny Mundt,Vikings,0.033395365
00-0039144,Luke Musgrave,Packers,0.03318414
00-0039263,McCallan Castles,Chargers,0.03304401
00-0037475,Stone Smartt,Chargers,0.032010898
00-0036250,Tyler Davis,Packers,0.030959602
00-0035356,Tyree Jackson,Commanders,0.030485254
00-0035329,Donald Parham,Broncos,0.02729059
00-0033858,Jonnu Smith,Dolphins,0.0236282
00-0034829,Mike Gesicki,Bengals,0.021965247
00-0031690,Eric Tomlinson,Chargers,0.020182706
00-0034830,Hayden Hurst,Chargers,0.017945044
00-0033090,Hunter Henry,Patriots,0.016807768
00-0037311,Ko Kieft,Buccaneers,0.016211309
00-0037654,Tucker Fisk,Chargers,0.01587002
00-0037569,Peyton Hendershot,Chiefs,0.01237544
00-0039399,Tanner McLachlan,Bengals,0.011253364
00-0034383,Dalton Schultz,Texans,0.008583609
00-0039824,Jared Wiley,Chiefs,0.007406909
00-0033455,Anthony Firkser,Chiefs,0.0070824996
00-0035631,Drew Sample,Bengals,0.006715648
00-0039631,Cam Grandy,Bengals,0.006702043
00-0036637,Noah Gray,Chiefs,0.0065078735
00-0036059,Tyler Mabry,Seahawks,0.005693361
00-0039737,Tip Reiman,Cardinals,0.0050956756
00-0039814,Erick All,Bengals,0.004801411
00-0033757,Robert Tonyan,Chiefs,0.0035531484
00-0039702,Mason Pline,49ers,0.0024112463
00-0033576,Eric Saubert,49ers,0.0022989325
00-0034613,Tanner Hudson,Bengals,0.0014127679
00-0039316,Baylor Cupp,Chiefs,0.001222115
00-0038456,Travis Vokolek,Cardinals,2.7213246e-05
00-0035644,Noah Fant,Seahawks,-0.0015222505
00-0037277,Teagan Quitoriano,Texans,-0.0019465536
00-0037304,Connor Heyward,Steelers,-0.0044432357
00-0038643,Brayden Willis,49ers,-0.0048879683
00-0036876,Kylen Granson,Colts,-0.0049361065
00-0034970,Irv Smith Jr.,Texans,-0.0049689524
00-0036225,Dalton Keene,Texans,-0.005163677
00-0036510,Kenny Yeboah,Jets,-0.00563322
00-0036970,Kyle Pitts,Falcons,-0.006948009
00-0039359,Cade Stover,Texans,-0.007290963
00-0033439,Pharaoh Brown,Seahawks,-0.007866029
00-0038720,Julian Hill,Dolphins,-0.010170884
00-0033217,Mo Alie-Cox,Colts,-0.010433212
00-0036556,Brevin Jordan,Texans,-0.010670543
00-0037805,Jeremy Ruckert,Jets,-0.010839127
00-0034073,Ross Dwelley,Falcons,-0.010922328
00-0038488,Brady Russell,Seahawks,-0.011079304
00-0036741,Jack Stoll,Dolphins,-0.011161923
00-0035436,Matt Sokol,Steelers,-0.011279166
00-0037112,Jake Tonges,49ers,-0.011506677
00-0035547,Jody Fortson,Chiefs,-0.013200983
00-0034798,Durham Smythe,Dolphins,-0.013344482
00-0038406,Zack Kuntz,Jets,-0.013359085
00-0038558,Darnell Washington,Steelers,-0.013757929
00-0031585,MyCole Pruitt,Steelers,-0.014372259
00-0034365,Ian Thomas,Panthers,-0.01453197
00-0036429,Charlie Woerner,Falcons,-0.014731854
00-0038741,John Stephens Jr.,Cowboys,-0.016382217
00-0038735,Princeton Fant,Cowboys,-0.016382217
00-0030061,Zach Ertz,Commanders,-0.016764611
00-0037004,Hunter Long,Rams,-0.017154321
00-0039074,Davis Allen,Rams,-0.01728531
00-0037031,Nikola Kalinic,Rams,-0.017702118
00-0036894,Pat Freiermuth,Steelers,-0.017871559
00-0037292,Andrew Ogletree,Colts,-0.018209636
00-0024243,Marcedes Lewis,Bears,-0.01892823
00-0038999,Jordan Murray,Giants,-0.019087031
00-0035039,Stephen Carlson,Bears,-0.019088231
00-0036244,Colby Parkinson,Rams,-0.019340083
00-0035308,Tommy Sweeney,Bears,-0.019641802
00-0033110,Tyler Higbee,Rams,-0.019953467
00-0039305,Jack Westover,Patriots,-0.021147594
00-0036423,Albert Okwuegbunam,Colts,-0.021640576
00-0039648,David Martin-Robinson,Titans,-0.021663286
00-0039550,Shawn Bowman,Jaguars,-0.021720931
00-0039231,Patrick Murtagh,Jaguars,-0.021720931
00-0033895,Gerald Everett,Bears,-0.02210921
00-0039458,Brenden Bates,Browns,-0.022883639
00-0038590,Justin Shorter,Raiders,-0.023679733
00-0039518,Treyton Welch,Saints,-0.023898408
00-0037022,Michael Jacobson,Saints,-0.023898408
00-0039023,Joel Wilson,Bears,-0.024139568
00-0038145,Thomas Odukoya,Titans,-0.024269216
00-0039613,Dallin Holker,Saints,-0.024910092
00-0039793,AJ Barner,Seahawks,-0.024998471
00-0032141,Geoff Swaim,Browns,-0.025240801
00-0038394,Will Mallory,Colts,-0.026188724
00-0034270,Tyler Conklin,Jets,-0.026202172
00-0036887,Luke Farrell,Jaguars,-0.026449397
