,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
700,A.J. Derby,9635,DEN,TE,6.8,0,84.2,,0,0,0,5.9,1,7,10,1,66.7,22.8,58.5,77.7,55.9,77.1,108,0,17,6.4,9,140,2,16,93.6,131,10.7,15,101.8,19,0,11.4,16,160,53,3.3,10.0,1.22,9,81,139,Broncos,2016,8131.5,
793,A.J. Derby,9635,MIA,TE,9.7,4,53.8,12.5,1,8,0,8.7,2,11,17,1,59.9,25.1,55.6,82.4,53.7,26.8,73,0,29,7.4,20,272,2,21,86.0,234,50.7,138,90.1,39,2,19.1,52,244,89,4.2,11.6,1.04,20,64,263,Dolphins,2017,14622.800000000001,
971,A.J. Derby,9635,MIA,TE,9.2,1,60.0,50.0,1,2,0,0.0,0,3,17,0,70.5,65.8,60.3,78.9,61.5,69.9,51,0,19,17.8,13,73,0,3,76.7,56,12.3,9,131.7,5,1,16.4,12,48,8,2.7,16.0,0.86,13,52,72,Dolphins,2018,4341.599999999999,
20,Aaron Hernandez,5637,NE,TE,7.3,5,70.8,,0,0,0,16.4,9,27,19,0,30.0,79.6,68.9,75.1,67.8,28.8,96,0,46,2.7,9,333,3,46,92.8,309,51.4,171,128.2,65,6,14.4,48,567,304,6.6,12.3,1.83,9,168,315,Patriots,2010,21703.5,
108,Aaron Hernandez,5637,NE,TE,7.1,28,73.1,,0,0,0,7.5,8,58,19,1,71.8,39.2,81.7,60.0,83.9,22.5,142,1,46,1.7,11,632,2,98,94.1,595,41.9,265,116.4,134,9,26.7,169,1098,626,6.4,11.2,1.85,11,382,576,Patriots,2011,47059.200000000004,62.1396255850234
218,Aaron Hernandez,5637,NE,TE,7.4,11,64.7,,0,0,0,13.2,10,38,19,0,40.4,81.5,73.0,75.1,74.6,20.1,92,3,40,7.7,35,457,7,66,88.0,402,51.9,237,86.7,102,5,21.7,99,651,338,5.1,9.9,1.62,35,256,428,Patriots,2012,31244.0,
830,Adam Shaheen,11800,CHI,TE,8.0,0,85.7,80.0,4,5,1,0.0,0,8,6,0,79.4,71.9,72.2,57.6,84.0,78.3,65,0,31,13.3,11,83,4,12,79.5,66,6.0,5,144.0,14,3,12.0,10,127,52,4.3,10.6,1.92,11,156,80,Bears,2017,5776.0,
967,Adam Shaheen,11800,CHI,TE,10.5,0,83.3,50.0,1,2,0,0.0,0,3,6,0,74.6,68.8,56.7,53.9,59.6,57.7,41,0,23,18.3,13,71,1,5,76.1,54,22.5,16,139.6,6,1,18.3,13,48,13,2.6,9.6,0.89,13,89,70,Bears,2018,3969.0,
1065,Adam Shaheen,11800,CHI,TE,4.8,1,75.0,25.0,1,4,0,0.0,0,3,6,0,78.0,72.0,61.2,70.6,62.0,41.4,36,0,18,12.6,11,87,1,9,80.5,70,28.7,25,90.3,12,0,28.7,25,74,37,4.1,8.2,1.06,11,87,86,Bears,2019,5263.2,
1166,Adam Shaheen,11800,MIA,TE,5.4,3,60.0,20.0,1,5,0,14.3,2,9,17,0,46.0,71.9,66.0,60.6,64.3,58.9,96,0,43,24.5,40,163,1,12,71.2,116,34.4,56,122.9,20,3,4.9,8,150,111,9.3,12.5,1.29,40,204,160,Dolphins,2020,10560.0,
