player,Team,Predicted_weighted_grade
Mark Andrews,Ravens,35.976276
Trey McBride,Cardinals,35.325394
George Kittle,49ers,35.243034
Brock Bowers,Raiders,30.237146
Travis Kelce,Chiefs,25.754732
Zach Ertz,Commanders,23.82147
T.J. Hockenson,Vikings,23.167456
Sam LaPorta,Lions,22.218378
Jonnu Smith,Dolphins,21.7804
Dallas Goedert,Eagles,18.83158
Hunter Henry,Patriots,17.974533
Evan Engram,Jaguars,17.559694
Dalton Schultz,Texans,17.3836
Isaiah Likely,Ravens,16.832157
Mike Gesicki,Bengals,16.669353
Cole Kmet,Bears,16.179958
Dalton Kincaid,Bills,15.956099
Tucker Kraft,Packers,15.362963
Jake Ferguson,Cowboys,15.111522
Cade Otton,Buccaneers,14.961446
Pat Freiermuth,Steelers,14.632182
David Njoku,Browns,14.391539
Kyle Pitts,Falcons,13.78913
Taysom Hill,Saints,13.297674
Juwan Johnson,Saints,13.156137
Austin Hooper,Patriots,13.054861
Noah Gray,Chiefs,11.38509
Noah Fant,Seahawks,11.277263
Will Dissly,Chargers,10.69463
Chigoziem Okonkwo,Titans,10.322194
Tyler Conklin,Jets,9.159259
Tyler Higbee,Rams,9.0636215
Foster Moreau,Saints,9.011572
Josh Oliver,Vikings,8.637582
Darnell Washington,Steelers,8.604785
Tanner Hudson,Bengals,8.468042
Colby Parkinson,Rams,7.310964
Brenton Strange,Jaguars,7.1477222
Jordan Akins,Browns,6.7232575
Luke Schoonmaker,Cowboys,6.717557
Dawson Knox,Bills,6.609694
Josh Whyle,Titans,6.4981804
AJ Barner,Seahawks,6.3502326
Jeremy Ruckert,Jets,6.1738353
Charlie Kolar,Ravens,6.1538506
John Bates,Commanders,5.9843345
Jelani Woods,Colts,5.9792857
Johnny Mundt,Vikings,5.8197846
Devin Culp,Buccaneers,5.501592
Michael Mayer,Raiders,5.39824
Tommy Tremble,Panthers,5.299997
Mo Alie-Cox,Colts,5.269358
Drew Sample,Bengals,5.052796
Gerald Everett,Bears,5.004034
Andrew Ogletree,Colts,4.990962
Kylen Granson,Colts,4.9300733
Cade Stover,Texans,4.915257
Brevin Jordan,Texans,4.8772063
Ja'Tavion Sanders,Panthers,4.8164983
Theo Johnson,Giants,4.7395267
Chris Manhertz,Giants,4.72264
Ian Thomas,Panthers,4.5858617
Stone Smartt,Chargers,4.5023556
Lucas Krull,Broncos,4.4784975
Hunter Long,Rams,4.308919
Grant Calcaterra,Eagles,4.238079
Harrison Bryant,Raiders,4.055233
Luke Musgrave,Packers,3.970582
Erick All,Bengals,3.9352186
Durham Smythe,Dolphins,3.9003756
Adam Trautman,Broncos,3.8778713
Nick Vannett,Titans,3.8085506
Charlie Woerner,Falcons,3.565375
Nate Adkins,Broncos,3.5199044
Pharaoh Brown,Seahawks,3.5130367
Brock Wright,Lions,3.2320352
Ben Sinnott,Commanders,3.0968125
Marcedes Lewis,Bears,3.0387447
Payne Durham,Buccaneers,2.9941173
Ko Kieft,Buccaneers,2.825379
Daniel Bellinger,Giants,2.7924628
Tyree Jackson,Commanders,2.6999693
Kenny Yeboah,Jets,2.6710582
Peyton Hendershot,Chiefs,2.6008086
Hayden Hurst,Chargers,2.596516
Eric Saubert,49ers,2.5460882
C.J. Uzomah,Eagles,2.543966
Connor Heyward,Steelers,2.525455
Cole Turner,Commanders,2.4845598
Luke Farrell,Jaguars,2.4360435
Ross Dwelley,Falcons,2.3712723
Will Mallory,Colts,2.3002598
Quintin Morris,Bills,2.298333
Davis Allen,Rams,2.2836413
MyCole Pruitt,Steelers,2.2808583
Jake Tonges,49ers,2.270145
Jared Wiley,Chiefs,2.1927397
Tip Reiman,Cardinals,2.1719708
Tucker Fisk,Chargers,2.1384344
Julian Hill,Dolphins,2.115688
Brady Russell,Seahawks,2.081036
Travis Vokolek,Cardinals,2.081036
Ben Sims,Packers,1.9631128
Josiah Deguara,Jaguars,1.9580112
Cam Grandy,Bengals,1.7210599
Jaheim Bell,Patriots,1.6884925
Jody Fortson,Chiefs,1.6320767
Brevyn Spann-Ford,Cowboys,1.5547997
Baylor Cupp,Chiefs,1.5091171
Brayden Willis,49ers,1.5029836
Tanner McLachlan,Bengals,1.5002973
Zach Davidson,Bills,1.482733
David Martin-Robinson,Titans,1.4510851
John Stephens Jr.,Cowboys,1.4384506
Dallin Holker,Saints,1.4326587
E.J. Jenkins,Eagles,1.4264965
Sean McKeon,Colts,1.4006622
John FitzPatrick,Packers,1.2411034
Teagan Quitoriano,Texans,1.2379642
Albert Okwuegbunam,Colts,1.0151306
Greg Dulcich,Giants,0.9800156
Stephen Carlson,Bears,0.97448564
Geoff Swaim,Browns,0.9296837
James Mitchell,Lions,0.9193531
Zaire Mitchell-Paden,Ravens,0.9172946
Blake Whiteheart,Browns,0.8802672
Anthony Firkser,Chiefs,0.8801776
Messiah Swinson,Packers,0.87463725
Tre' McKitty,Browns,0.8477408
Princeton Fant,Cowboys,0.8477408
Shane Zylstra,Lions,0.7787624
McCallan Castles,Chargers,0.7671355
Brenden Bates,Browns,0.7124195
Tanner Taula,Buccaneers,0.7046657
Donald Parham,Broncos,0.69875294
Treyton Welch,Saints,0.6974988
Jack Stoll,Dolphins,0.69620186
Eric Tomlinson,Chargers,0.69049114
Mason Pline,49ers,0.6891792
Tyler Davis,Packers,0.6822682
Patrick Murtagh,Jaguars,0.6750288
Shawn Bowman,Jaguars,0.6750288
Justin Shorter,Raiders,0.6750288
Jordan Murray,Giants,0.6689177
Joel Wilson,Bears,0.6634817
Jack Westover,Patriots,0.6328794
Dominique Dafney,Panthers,0.63230705
Dalton Keene,Texans,0.6267683
Thomas Odukoya,Titans,0.61591786
Tommy Sweeney,Bears,0.61591786
Zack Kuntz,Jets,0.612559
Nikola Kalinic,Rams,0.6098068
John Samuel Shenker,Raiders,0.6052168
Michael Jacobson,Saints,0.6043708
Tyler Mabry,Seahawks,0.5955975
Matt Sokol,Steelers,0.5955975
Irv Smith Jr.,Texans,0.5931158
Mitchell Wilcox,Patriots,0.5736624
Robert Tonyan,Chiefs,0.57291305
