player,Team,player_id,weighted_grade,weighted_grade_prev,Pred_XGB,Pred_Transformer,Ensemble_Pred,Error
George Kittle,49ers,00-0033288,45.036899999999996,55.3387,43.419006,53.34375,45.900192,-0.8632922607421918
Dalton Kincaid,Bills,00-0038933,26.0975,37.3584,44.53436,32.08542,41.422123,-15.324622955322265
Travis Kelce,Chiefs,00-0030506,50.7446,59.389399999999995,37.198036,53.49808,41.27305,9.471551599121092
Mark Andrews,Ravens,00-0034753,37.8105,24.7432,42.76757,27.315033,38.904434,-1.093934204101565
T.J. Hockenson,Vikings,00-0035229,27.3768,44.3644,31.917278,53.7917,37.385883,-10.009083331298829
Sam LaPorta,Lions,00-0039065,40.1856,52.591,33.252796,44.065083,35.955868,4.2297322326660165
Evan Engram,Jaguars,00-0033881,18.85,48.32999999999999,30.939913,50.990753,35.95262,-17.102621459960936
Cade Otton,Buccaneers,00-0038129,36.729299999999995,42.4864,35.4801,35.578037,35.50458,1.2247185485839793
Jake Ferguson,Cowboys,00-0038041,23.2715,47.531,31.729445,39.639835,33.707043,-10.435542694091797
Kyle Pitts,Falcons,00-0036970,30.4556,33.7095,30.252325,43.45279,33.55244,-3.0968406433105464
Pat Freiermuth,Steelers,00-0036894,34.675200000000004,22.372,28.202417,39.679268,31.07163,3.6035695220947304
Dallas Goedert,Eagles,00-0034351,23.8225,36.352,33.194477,23.308962,30.723099,-6.900598754882811
Cole Kmet,Bears,00-0036290,38.6022,37.0711,25.68479,44.103104,30.289368,8.312832324218753
Dalton Schultz,Texans,00-0034383,39.3984,37.609,30.738884,28.434565,30.162804,9.235596350097659
Zach Ertz,Commanders,00-0030061,44.086,24.9375,28.272839,35.59709,30.1039,13.98209909057617
Trey McBride,Cardinals,00-0037744,50.4308,34.1824,26.810396,34.01975,28.612736,21.818064251708982
David Njoku,Browns,00-0033885,26.56,44.1254,26.611301,32.55336,28.096817,-1.5368170166015638
Tyler Higbee,Rams,00-0033110,7.258000000000001,31.968,23.351482,39.642326,27.424192,-20.166192428588865
Tyler Conklin,Jets,00-0034270,32.6928,35.1616,23.786108,35.536434,26.72369,5.969109967041014
Isaiah Likely,Ravens,00-0037838,29.1816,23.943999999999996,23.994503,33.81758,26.450272,2.731328393554687
Juwan Johnson,Saints,00-0036040,31.1489,20.2272,21.09235,31.495527,23.693144,7.455756155395509
Chigoziem Okonkwo,Titans,00-0037809,25.4575,27.8208,21.876574,28.770988,23.600178,1.8573222351074214
Tucker Kraft,Packers,00-0038996,36.4764,23.9788,21.926891,24.99974,22.695103,13.781297308349608
Mike Gesicki,Bengals,00-0034829,32.1035,19.7178,23.022667,19.498877,22.14172,9.961780181884762
Foster Moreau,Saints,00-0034981,28.084499999999995,11.281199999999998,25.292177,7.3036737,20.795052,7.289448425292964
Will Dissly,Chargers,00-0034159,24.2231,11.9071,22.607056,14.581766,20.600733,3.622367196655272
Jonnu Smith,Dolphins,00-0033858,38.0052,25.1766,22.853882,13.258855,20.455126,17.550074191284182
Noah Gray,Chiefs,00-0036637,27.284,27.3615,16.799534,29.434725,19.958332,7.325667938232421
Noah Fant,Seahawks,00-0035644,28.116,22.015,22.019314,13.483108,19.885262,8.230738464355468
Hunter Henry,Patriots,00-0033090,38.36,28.6209,19.010208,18.58631,18.904234,19.455766067504882
Austin Hooper,Patriots,00-0032392,25.393,19.0314,18.490568,17.636564,18.277067,7.1159328155517585
Gerald Everett,Bears,00-0033895,5.7057,23.8128,17.930983,17.598087,17.84776,-12.142059246826172
Harrison Bryant,Raiders,00-0036232,6.06,9.633,20.608047,8.141648,17.491447,-11.43144744873047
Josh Oliver,Vikings,00-0035249,18.8722,16.8224,21.0248,6.5049114,17.394827,1.4773731109619135
Josh Whyle,Titans,00-0038589,13.219199999999999,4.65,16.947681,18.372799,17.30396,-4.0847608001708995
Colby Parkinson,Rams,00-0036244,24.648,14.0544,20.218107,8.135215,17.197384,7.450616119384765
Jordan Akins,Browns,00-0034364,23.385600000000004,7.3431999999999995,16.058327,19.81664,16.997906,6.387694268798832
Dawson Knox,Bills,00-0035689,22.383200000000002,16.5135,19.620335,6.6353884,16.374098,6.0091021759033225
Tanner Hudson,Bengals,00-0034613,5.257200000000001,17.447,20.297335,4.2368355,16.282211,-11.025011303710937
Luke Musgrave,Packers,00-0039144,3.7209,22.6773,12.701823,24.044744,15.537554,-11.816653787231445
Hayden Hurst,Chargers,00-0034830,3.8418999999999994,11.085600000000001,15.260979,15.550944,15.33347,-11.491570344543458
Mo Alie-Cox,Colts,00-0033217,14.6415,12.3424,14.862952,16.373953,15.240702,-0.5992016754150384
Tommy Tremble,Panthers,00-0037005,16.4832,15.846,15.938685,11.749741,14.891449,1.591751025390625
Drew Sample,Bengals,00-0035631,13.594199999999999,11.64,14.4588175,14.964422,14.585218,-0.9910184295654307
Johnny Mundt,Vikings,00-0033246,13.4992,9.274799999999999,15.858279,8.690914,14.066438,-0.5672377212524413
Durham Smythe,Dolphins,00-0034798,6.7547999999999995,28.1925,10.922811,23.46609,14.05863,-7.303829989624024
Daniel Bellinger,Giants,00-0038115,11.8404,17.381400000000003,12.367131,18.657373,13.939692,-2.099291543579101
Kylen Granson,Colts,00-0036876,15.6244,17.9488,12.01431,15.670343,12.928318,2.696081976318359
Michael Mayer,Raiders,00-0039066,16.3868,19.8803,8.749333,23.307644,12.388911,3.997888752746583
Stone Smartt,Chargers,00-0037475,9.163200000000002,7.5851999999999995,15.318254,2.9776578,12.233106,-3.0699056594848617
Darnell Washington,Steelers,00-0038558,18.2984,9.243,13.619479,3.798659,11.164274,7.134125784301759
John Bates,Commanders,00-0036628,11.919599999999999,14.245,12.354386,7.133046,11.049051,0.87054871520996
Pharaoh Brown,Seahawks,00-0033439,4.8792,11.2149,11.881548,6.764443,10.602272,-5.723072033691406
Andrew Ogletree,Colts,00-0037292,11.9543,10.4596,12.888037,3.4135447,10.519413,1.4348870056152343
Adam Trautman,Broncos,00-0036422,16.3872,23.088800000000003,11.185797,6.591797,10.037296,6.349903704833984
Will Mallory,Colts,00-0038394,4.0824,8.8977,6.029249,21.801088,9.972209,-5.889808976745606
Grant Calcaterra,Eagles,00-0037086,18.4604,3.4026000000000005,12.1706,3.0991793,9.902744,8.55765570678711
Jake Tonges,49ers,00-0037112,0.0,0.0,11.802065,2.6466045,9.513201,-9.513200759887695
Nate Adkins,Broncos,00-0038783,11.5659,1.65,11.601524,2.8740869,9.419665,2.1462346633911125
Brock Wright,Lions,00-0036754,12.22,10.032,10.529418,5.9977655,9.396504,2.823495597839356
Charlie Woerner,Falcons,00-0036429,7.7158999999999995,7.9375,10.225442,6.3240213,9.250087,-1.5341867843627934
Brevin Jordan,Texans,00-0036556,1.5111,12.861600000000001,8.060085,12.443664,9.15598,-7.644880110168457
Connor Heyward,Steelers,00-0037304,2.7664,12.765,9.328501,7.9586225,8.986032,-6.219631532287598
Ben Sims,Packers,00-0038809,3.5904000000000003,4.6585,10.6015,3.1385918,8.735773,-5.145373086547851
Taysom Hill,Saints,00-0033357,7.3953999999999995,9.601199999999999,10.284136,3.82436,8.669191,-1.2737913604736333
Jelani Woods,Colts,00-0037755,0.0,0.0,9.262401,5.4515643,8.309691,-8.309691429138184
Greg Dulcich,Giants,00-0037252,4.7879000000000005,1.5387,9.560808,4.5475063,8.307483,-3.5195827194213862
