player,Team,player_id,weighted_grade,weighted_grade_prev,Pred_XGB,Pred_Transformer,Ensemble_Pred_Raw,Ensemble_Pred,Error
A.J. Brown,Eagles,00-0035676,42.7119,54.54,55.351337,57.871212,56.611275,62.630486,-19.91858553466797
Puka Nacua,Rams,00-0039075,34.225,59.3516,51.216938,56.694904,53.95592,59.57682,-25.351820373535155
Justin Jefferson,Vikings,00-0036322,60.61999999999999,35.529,48.568546,56.591183,52.579865,57.99436,2.625638122558584
Mike Evans,Buccaneers,00-0031408,41.8552,54.0345,52.7164,50.826645,51.771523,57.064766,-15.209565930175778
Zay Flowers,Ravens,00-0039064,40.96789999999999,47.763799999999996,51.907055,50.154224,51.03064,56.212753,-15.244853295898444
Nico Collins,Texans,00-0036554,41.2581,45.4258,54.764896,46.75391,50.759403,55.900826,-14.642725500488282
Ja'Marr Chase,Bengals,00-0036900,63.921,53.4831,49.220123,51.63947,50.429794,55.521782,8.39921807861328
Chris Godwin,Buccaneers,00-0033921,22.8695,53.165,49.37556,51.197617,50.28659,55.3571,-32.487601440429685
Amon-Ra St. Brown,Lions,00-0036963,54.56229999999999,65.3904,49.982784,50.19231,50.087547,55.128197,-0.5658967163086004
DeVonta Smith,Eagles,00-0036912,40.8545,50.0656,49.077335,49.291172,49.184254,54.08941,-13.234908874511717
Rashee Rice,Chiefs,00-0039067,8.4249,48.987300000000005,43.870117,54.283997,49.077057,53.966133,-45.54123311767578
CeeDee Lamb,Cowboys,00-0036358,43.751799999999996,66.90240000000001,47.35889,50.616398,48.987644,53.863304,-10.111504138183598
Drake London,Falcons,00-0037238,52.241,40.3179,47.72013,50.244427,48.982277,53.85714,-1.616139587402344
Chris Olave,Saints,00-0037239,16.48,45.9525,46.83995,50.920086,48.88002,53.73954,-37.25954010009765
D.K. Metcalf,Seahawks,00-0035640,43.837,46.8,39.25211,54.060017,46.656063,51.18199,-7.344991577148434
George Pickens,Steelers,00-0037247,39.142799999999994,45.719699999999996,46.862804,46.41048,46.636642,51.159653,-12.016852709960943
Stefon Diggs,Texans,00-0031588,22.278,54.97449999999999,43.90896,47.026688,45.467823,49.815514,-27.537513610839845
Jaxon Smith-Njigba,Seahawks,00-0038543,53.946,32.0931,48.108086,42.808567,45.45833,49.804596,4.141404052734373
Tee Higgins,Bengals,00-0036410,41.983200000000004,30.209899999999998,49.6732,40.661263,45.16723,49.469833,-7.486633374023434
Brandon Aiyuk,49ers,00-0036261,16.785,54.2595,37.92905,52.177113,45.05308,49.338562,-32.55356201171875
Davante Adams,Jets,00-0031381,42.2206,47.30179999999999,36.331097,53.157543,44.74432,48.983482,-6.762882360839846
Josh Downs,Colts,00-0038997,32.3088,35.853,46.754986,42.19492,44.474953,48.673714,-16.364913684082033
Jordan Addison,Vikings,00-0038994,43.74,43.83539999999999,42.57608,46.05643,44.316254,48.49121,-4.751210937499998
Tyreek Hill,Dolphins,00-0033040,42.166,48.101,31.314117,57.281223,44.29767,48.469833,-6.303833374023441
Jaylen Waddle,Dolphins,00-0036613,36.9873,38.3775,32.67174,54.445824,43.558784,47.620117,-10.632817187500002
Jakobi Meyers,Raiders,00-0034960,48.7179,39.144,41.040028,43.79375,42.41689,46.30694,2.4109618286132815
Romeo Doubs,Packers,00-0037816,28.2982,43.203199999999995,37.36249,45.821606,41.59205,45.358376,-17.060175549316405
Garrett Wilson,Jets,00-0037740,54.5199,51.9048,42.031418,41.13039,41.580902,45.345554,9.17434564819336
