player,Team,weighted_grade_prev,Pred_XGB,Pred_Transformer,WR_Value_Score_2025
Amon-Ra St. Brown,Lions,54.56229999999999,55.393097,51.368404388427734,54.38692378997803
Justin Jefferson,Vikings,60.61999999999999,49.247753,50.5969123840332,49.585041999816895
Tee Higgins,Bengals,41.983200000000004,51.343235,42.70606231689453,49.183942794799805
Ja'Marr Chase,Bengals,63.921,47.97786,47.04776382446289,47.74533557891846
Drake London,Falcons,52.241,49.649193,40.873355865478516,47.45523166656494
Malik Nabers,Giants,52.02,46.614223,49.69662857055664,47.3848237991333
Ladd McConkey,Chargers,46.6179,46.23736,47.6790885925293,46.59778881072998
CeeDee Lamb,Cowboys,43.751799999999996,46.709377,44.423770904541016,46.13797473907471
Nico Collins,Texans,41.2581,50.483852,31.611177444458008,45.76568269729614
Brian Thomas Jr.,Jaguars,45.264,44.44291,48.39664840698242,45.43134593963623
A.J. Brown,Eagles,42.7119,50.00389,30.167510986328125,45.044795989990234
Mike Evans,Buccaneers,41.8552,48.302418,35.1235466003418,45.00770092010498
Puka Nacua,Rams,34.225,43.48068,45.989261627197266,44.10782337188721
DeVonta Smith,Eagles,40.8545,47.501858,31.992721557617188,43.62457275390625
Terry McLaurin,Commanders,58.8657,47.7774,29.66669464111328,43.24972343444824
Jaxon Smith-Njigba,Seahawks,53.946,43.97708,41.00400924682617,43.23381328582764
Zay Flowers,Ravens,40.96789999999999,44.244053,37.20052719116211,42.48317241668701
Marvin Harrison Jr.,Cardinals,44.9883,43.14869,39.93606185913086,42.345534324645996
Jordan Addison,Vikings,43.74,42.17453,41.10295104980469,41.90663528442383
Garrett Wilson,Jets,54.5199,42.0951,38.92073059082031,41.3015079498291
Jerry Jeudy,Browns,55.6395,39.965065,41.85394287109375,40.43728446960449
George Pickens,Steelers,39.142799999999994,40.315205,38.17000198364258,39.77890491485596
Khalil Shakir,Bills,39.0555,41.475014,33.663429260253906,39.522117614746094
Chris Olave,Saints,16.48,43.684143,24.22345542907715,38.818971157073975
Brandon Aiyuk,49ers,16.785,38.85026,36.35757064819336,38.22708797454834
Jameson Williams,Lions,39.8575,39.206497,34.71866226196289,38.08453845977783
Jakobi Meyers,Raiders,48.7179,39.61469,33.249393463134766,38.02336597442627
Chris Godwin,Buccaneers,22.8695,40.2272,30.905996322631836,37.89689779281616
DJ Moore,Bears,53.067,38.473286,34.94545364379883,37.591328620910645
Xavier Worthy,Chiefs,41.4261,36.87073,38.756370544433594,37.34214210510254
Courtland Sutton,Broncos,49.075,39.276615,31.414846420288086,37.31117391586304
Cooper Kupp,Rams,32.487,33.254696,47.88041305541992,36.91112422943115
D.K. Metcalf,Seahawks,43.837,37.343376,34.488319396972656,36.62961196899414
Rashod Bateman,Ravens,37.4796,36.38745,36.8499870300293,36.503085136413574
Calvin Ridley,Titans,42.7188,37.897385,30.709115982055664,36.10031747817993
Josh Downs,Colts,32.3088,37.963623,29.225393295288086,35.77906560897827
Michael Pittman Jr.,Colts,36.894200000000005,34.07981,40.27766799926758,35.62927532196045
Jauan Jennings,49ers,38.1429,37.926758,28.62932777404785,35.60240030288696
Adam Thielen,Panthers,24.3716,35.208168,36.69681930541992,35.58033084869385
Jaylen Waddle,Dolphins,36.9873,32.190216,42.312686920166016,34.72083377838135
Davante Adams,Jets,42.2206,33.41401,37.93037796020508,34.54310131072998
Darnell Mooney,Falcons,41.218,36.69395,27.327259063720703,34.35227680206299
Tyreek Hill,Dolphins,42.166,33.575443,34.8689079284668,33.898810386657715
Stefon Diggs,Texans,22.278,38.637646,18.974929809570312,33.72196578979492
Alec Pierce,Colts,36.0355,34.252914,31.575599670410156,33.58358573913574
Deebo Samuel,49ers,28.714500000000005,31.753283,38.596012115478516,33.46396541595459
Romeo Doubs,Packers,28.2982,31.081675,36.100074768066406,32.33627510070801
Rashee Rice,Chiefs,8.4249,37.41129,16.523107528686523,32.189244747161865
Tank Dell,Texans,34.137699999999995,32.37292,31.53432846069336,32.1632719039917
Rome Odunze,Bears,43.1926,30.49295,36.51602554321289,31.998719215393066
Jayden Reed,Packers,30.831,32.380135,26.684581756591797,30.956246376037598
Keenan Allen,Bears,38.382400000000004,28.21769,37.82002639770508,30.618273735046387
Quentin Johnston,Chargers,31.273600000000002,30.097176,31.912626266479492,30.55103826522827
Keon Coleman,Bills,27.593199999999996,30.123566,31.576263427734375,30.486740112304688
DeAndre Hopkins,Chiefs,32.5563,33.574326,14.450193405151367,28.79329252243042
Demario Douglas,Patriots,33.39,25.567799,34.280696868896484,27.746024131774902
Jalen Coker,Panthers,21.621599999999997,25.59835,29.96904754638672,26.691024780273438
Jalen McMillan,Buccaneers,26.144,25.546207,29.668624877929688,26.576812744140625
Wan'Dale Robinson,Giants,39.1812,22.681614,36.13886642456055,26.04592800140381
Amari Cooper,Bills,30.983700000000002,24.047094,31.286222457885742,25.856875896453857
Demarcus Robinson,Rams,40.17,23.819927,31.380098342895508,25.70996904373169
Jalen Tolbert,Cowboys,36.2379,26.385248,23.04652976989746,25.5505690574646
Ricky Pearsall,49ers,20.703599999999998,23.776682,30.48870086669922,25.454687118530273
Allen Lazard,Jets,28.2777,22.872847,29.735801696777344,24.588584899902344
Devaughn Vele,Broncos,24.1857,23.22613,27.602750778198242,24.320285320281982
Noah Brown,Commanders,20.8565,23.161152,26.37513542175293,23.964648723602295
Michael Wilson,Cardinals,33.840199999999996,22.222479,28.927471160888672,23.89872646331787
Darius Slayton,Giants,33.925,21.922121,29.48306655883789,23.812357902526855
Marvin Mims Jr.,Broncos,13.582799999999999,22.901583,25.65547752380371,23.590056896209717
Tyler Boyd,Titans,27.84,19.28299,36.46946334838867,23.57960796356201
Tre Tucker,Raiders,39.2725,18.45301,38.27031326293945,23.407336235046387
Tutu Atwell,Rams,20.137900000000002,25.806046,12.93637752532959,22.58862853050232
Dontayvion Wicks,Packers,22.459499999999995,20.961643,26.48027992248535,22.341302394866943
Joshua Palmer,Chargers,28.676,24.434254,14.564708709716797,21.96686840057373
Olamide Zaccheaus,Commanders,27.887600000000003,21.529158,23.27180290222168,21.964818477630615
Christian Kirk,Jaguars,15.617000000000003,21.481647,23.111562728881836,21.889127254486084
Ray-Ray McCloud III,Falcons,37.4946,21.273077,22.89873695373535,21.67949151992798
Xavier Legette,Panthers,26.1513,20.18974,25.790447235107422,21.589916229248047
Dyami Brown,Commanders,25.0705,24.033802,13.644682884216309,21.43652319908142
Christian Watson,Packers,20.3845,24.537363,11.899593353271484,21.377921104431152
Nick Westbrook-Ikhine,Titans,29.734599999999997,24.662983,10.930856704711914,21.229952335357666
Rashid Shaheed,Saints,12.6157,24.228424,11.810639381408691,21.12397789955139
Calvin Austin III,Steelers,26.987399999999997,19.416273,24.51760482788086,20.69160556793213
Parker Washington,Jaguars,24.118800000000004,18.581955,26.54163932800293,20.571876049041748
Jalen Nailor,Vikings,27.3966,18.587412,26.269208908081055,20.507861614227295
Jordan Whittington,Rams,10.1007,24.692532,7.233626842498779,20.327804446220398
Brandin Cooks,Cowboys,20.0344,23.460411,8.213055610656738,19.648572206497192
Kayshon Boutte,Patriots,31.1298,16.820248,27.052366256713867,19.37827730178833
Curtis Samuel,Bills,17.2265,18.366024,22.313335418701172,19.35285186767578
Cedric Tillman,Browns,19.08,19.890001,15.533333778381348,18.800834894180298
Adonai Mitchell,Colts,12.7959,19.100344,17.67966651916504,18.745174884796143
Tyler Lockett,Seahawks,38.402800000000006,22.468264,7.431342124938965,18.709033727645874
Elijah Moore,Browns,36.4455,21.243544,10.550978660583496,18.570401906967163
John Metchie III,Texans,18.6202,18.730812,17.515562057495117,18.42699956893921
Andrei Iosivas,Bengals,32.674,14.945837,27.808868408203125,18.16159439086914
Mack Hollins,Bills,30.492,18.390505,17.470829010009766,18.1605863571167
Kalif Raymond,Lions,11.233799999999999,20.418465,10.800626754760742,18.014005184173584
Diontae Johnson,Texans,18.0327,12.920361,32.53666305541992,17.82443618774414
Troy Franklin,Broncos,16.1271,14.641647,26.018434524536133,17.485844135284424
Kendrick Bourne,Patriots,19.6857,14.131748,27.033687591552734,17.35723304748535
David Moore,Panthers,22.5898,12.907741,30.163192749023438,17.221603393554688
Greg Dortch,Cardinals,19.106099999999998,17.474394,14.969900131225586,16.848269939422607
Nelson Agholor,Ravens,15.85,19.680946,7.168339252471924,16.552794575691223
Marquise Brown,Chiefs,5.8812,17.032232,14.032651901245117,16.282336711883545
JuJu Smith-Schuster,Chiefs,19.26,16.319607,15.983484268188477,16.235576152801514
Trey Palmer,Buccaneers,10.941600000000001,14.551537,19.895097732543945,15.887426853179932
Jahan Dotson,Eagles,26.4204,14.436076,18.9388484954834,15.561769008636475
Tyrell Shavers,Bills,1.0863999999999998,17.404358,9.235321044921875,15.362098693847656
Van Jefferson,Steelers,25.282400000000003,14.959729,16.12067222595215,15.249965190887451
Gabe Davis,Jaguars,13.86,16.973183,9.712787628173828,15.15808391571045
Casey Washington,Falcons,0.228,17.74918,7.2996392250061035,15.136794686317444
Tyler Johnson,Rams,14.405,13.513788,19.347543716430664,14.972227573394775
Justin Watson,Chiefs,22.919,13.407464,19.512447357177734,14.933710098266602
Mecole Hardman Jr.,Chiefs,5.096,14.9776945,12.529685974121094,14.365692138671875
Marquez Valdes-Scantling,Saints,19.4355,14.297868,14.530030250549316,14.355908632278442
Derius Davis,Chargers,6.4728,15.010242,11.615155220031738,14.161470651626587
Josh Reynolds,Jaguars,13.464,14.993808,11.34914779663086,14.082642555236816
Robert Woods,Texans,13.288799999999998,16.574965,5.591430187225342,13.82908046245575
Tim Patrick,Lions,24.782799999999998,16.980986,4.344656467437744,13.821902871131897
