player_id,Year,Team,player,position,age,franchise_id,player_game_count,grades_defense,snap_counts_defense,assists,forced_fumbles,grades_coverage_defense,grades_pass_rush_defense,grades_run_defense,hits,hurries,missed_tackle_rate,sacks,stops,tackles,tackles_for_loss,total_pressures,grades_defense_penalty,grades_tackle,interceptions,pass_break_ups,penalties,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,targets,fumble_recoveries,declined_penalties,missed_tackles,Cap_Space,adjusted_value,Net EPA,Win %,weighted_grade,weighted_average_grade
00-0028932,2018,Steelers,L.J. Fort,LB,28.0,25.0,12.0,72.4,305.0,6.0,0.0,64.0,66.0,76.8,2.0,8.0,8.7,1.0,24.0,36.0,2.0,11.0,83.7,74.1,0.0,0.0,0.0,233.0,278.0,56.0,87.0,26.0,1.0,0.0,4.0,0.3978555304740406,0.0,0.07,60.0,22082.0,
00-0032366,2018,Steelers,Tyler Matakevich,LB,25.0,25.0,3.0,72.6,54.0,3.0,0.0,69.8,55.7,69.0,0.0,0.0,12.5,0.0,1.0,4.0,0.0,0.0,76.1,66.5,0.0,0.0,0.0,42.0,48.0,4.0,25.0,4.0,0.0,0.0,1.0,0.3644255079006772,12.811248756621469,0.07,60.0,3920.4,
00-0030434,2018,Steelers,Vince Williams,LB,28.0,25.0,14.0,65.0,744.0,11.0,0.0,55.3,80.3,61.9,6.0,8.0,8.3,5.0,33.0,55.0,4.0,19.0,86.6,74.1,1.0,1.0,0.0,584.0,664.0,119.0,276.0,44.0,0.0,0.0,6.0,1.805869074492099,14.66769431915484,0.07,60.0,48360.0,
00-0030064,2018,Steelers,Jon Bostic,LB,27.0,25.0,16.0,59.5,560.0,14.0,0.0,56.3,67.4,62.8,1.0,7.0,1.6,2.0,22.0,48.0,3.0,10.0,21.1,88.6,0.0,2.0,2.0,490.0,546.0,58.0,258.0,37.0,0.0,0.0,1.0,0.8465011286681716,116.70282360826918,0.07,60.0,33320.0,
00-0035525,2019,Steelers,Devin Bush,LB,21.0,25.0,16.0,62.9,889.0,22.0,1.0,65.2,62.4,63.3,2.0,2.0,8.6,1.0,47.0,84.0,8.0,5.0,5.6,71.4,2.0,1.0,4.0,744.0,869.0,39.0,408.0,70.0,4.0,1.0,10.0,1.823182784272051,537.5543907208883,-0.014,50.0,55918.1,
00-0029670,2019,Steelers,Mark Barron,LB,29.0,25.0,15.0,57.5,750.0,10.0,0.0,54.0,62.2,60.1,0.0,6.0,11.1,4.0,24.0,62.0,2.0,10.0,85.8,60.6,1.0,2.0,4.0,563.0,667.0,53.0,277.0,76.0,1.0,1.0,9.0,2.0589798087141338,165.43461787560526,-0.014,50.0,43125.0,
00-0032366,2019,Steelers,Tyler Matakevich,LB,26.0,25.0,7.0,81.6,19.0,0.0,0.0,79.0,,64.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,68.5,73.8,0.0,0.0,0.0,16.0,19.0,0.0,7.0,3.0,0.0,0.0,0.0,0.3909479277364506,11.592097246757769,-0.014,50.0,1550.4,
00-0030434,2019,Steelers,Vince Williams,LB,29.0,25.0,14.0,76.2,397.0,13.0,0.0,69.8,78.4,69.5,7.0,9.0,13.5,3.0,25.0,32.0,4.0,19.0,42.7,63.3,0.0,1.0,1.0,325.0,366.0,56.0,203.0,16.0,0.0,0.0,7.0,2.0386110520722633,10.86609520701963,-0.014,50.0,30251.4,
00-0034720,2019,Steelers,Robert Spillane,LB,23.0,25.0,4.0,65.3,4.0,0.0,0.0,60.0,,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.3,70.9,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1237747077577045,0.0,-0.014,50.0,261.2,
00-0031365,2016,Steelers,Ryan Shazier,LB,23.0,25.0,16.0,67.2,968.0,16.0,3.0,63.9,71.1,65.5,6.0,12.0,16.9,4.0,53.0,87.0,12.0,22.0,53.1,51.5,5.0,5.0,5.0,717.0,803.0,140.0,323.0,78.0,1.0,2.0,21.0,1.6699143427577767,0.0,0.08,68.4,65049.600000000006,
