RK,TEAM,"TOTAL DVOA","LAST YEAR","WEI. DVOA",RK,W-L,"OFF. DVOA","OFF. RK","DEF. DVOA","DEF. RK","S.T. DVOA","S.T. RK"
1,BUF,35.00%,2,34.90%,2,13-3,19.00%,2,-11.00%,4,5.00%,1
2,SF,27.60%,6,38.60%,1,13-4,13.20%,6,-14.10%,1,0.20%,15
3,PHI,25.20%,15,21.70%,5,14-3,15.10%,3,-9.70%,6,0.50%,13
4,KC,23.00%,7,29.70%,3,14-3,25.20%,1,1.40%,17,-0.90%,19
5,CIN,18.10%,17,25.00%,4,12-4,14.20%,4,-4.40%,11,-0.50%,18
6,DAL,18.00%,1,13.70%,7,12-5,2.90%,15,-13.30%,2,1.80%,10
7,BAL,17.90%,19,10.60%,8,10-7,6.60%,12,-7.30%,7,4.00%,3
8,MIA,8.10%,25,5.90%,12,9-8,12.00%,7,0.80%,15,-3.10%,28
9,DET,7.70%,29,15.20%,6,9-8,13.30%,5,7.30%,28,1.80%,9
10,SEA,5.80%,9,4.10%,15,9-8,4.80%,14,2.90%,21,3.90%,4
11,CLE,5.20%,13,7.90%,10,7-10,8.60%,8,3.90%,23,0.50%,14
12,GB,3.60%,8,8.50%,9,8-9,6.70%,11,2.70%,20,-0.50%,17
13,JAX,3.30%,32,5.20%,13,9-8,7.70%,9,6.10%,26,1.70%,11
14,PIT,0.90%,23,4.70%,14,9-8,-0.10%,18,-3.50%,12,-2.40%,27
15,NE,-0.30%,4,-3.80%,20,8-9,-8.50%,24,-12.40%,3,-4.30%,32
16,NYJ,-0.50%,26,-2.80%,19,7-10,-9.60%,26,-10.10%,5,-1.00%,21
17,TB,-0.70%,3,-11.60%,25,8-9,0.40%,16,-2.90%,13,-4.00%,31
18,LAC,-0.80%,12,2.20%,16,10-7,-1.90%,19,1.10%,16,2.20%,6
19,NO,-1.70%,14,7.20%,11,7-10,-7.00%,22,-6.90%,8,-1.60%,25
20,ATL,-2.80%,30,-4.80%,21,7-10,5.80%,13,11.10%,30,2.50%,5
21,NYG,-4.30%,31,0.50%,18,9-7-1,7.10%,10,10.20%,29,-1.20%,22
22,WAS,-4.90%,22,0.60%,17,8-8-1,-12.40%,28,-5.40%,9,2.00%,7
23,TEN,-9.40%,20,-14.00%,27,7-10,-6.10%,21,1.80%,19,-1.50%,24
24,LAR,-11.00%,5,-7.80%,22,5-12,-8.10%,23,1.60%,18,-1.30%,23
25,DEN,-11.30%,18,-13.80%,26,5-12,-13.00%,29,-5.20%,10,-3.40%,29
26,LV,-11.50%,21,-9.60%,24,6-11,0.30%,17,13.00%,31,1.10%,12
27,MIN,-13.80%,16,-18.60%,28,13-4,-3.30%,20,6.70%,27,-3.80%,30
28,CAR,-13.90%,27,-8.80%,23,7-10,-10.00%,27,5.80%,25,1.90%,8
29,ARI,-22.40%,10,-20.50%,29,4-13,-15.90%,30,5.50%,24,-1.00%,20
30,CHI,-26.60%,24,-32.40%,31,3-14,-8.70%,25,17.90%,32,0.00%,16
31,HOU,-26.70%,28,-22.50%,30,3-13-1,-27.60%,31,3.20%,22,4.00%,2
32,IND,-32.80%,11,-36.10%,32,4-12-1,-31.70%,32,-0.90%,14,-1.90%,26
