Team,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,Net
32,ARI,0.05,45.90%,0.087,49.60%,-0.009,40.00%,0.018
31,ATL,0.042,44.30%,0.144,49.10%,-0.148,35.50%,-0.029
30,BAL,0.109,45.20%,0.125,46.30%,0.093,44.10%,0.137
29,BUF,0.169,50.40%,0.298,55.40%,-0.081,40.70%,0.134
28,CAR,0.019,45.80%,0.075,48.40%,-0.082,41.30%,-0.068
27,CHI,-0.016,44.00%,0.014,47.70%,-0.073,37.20%,-0.032
26,CIN,-0.041,44.20%,0.005,46.20%,-0.122,40.70%,-0.139
25,CLE,0.091,46.90%,0.193,52.40%,-0.034,40.10%,0.01
24,DAL,-0.029,46.10%,-0.004,49.10%,-0.073,40.80%,-0.101
23,DEN,-0.071,40.30%,-0.051,42.50%,-0.102,36.70%,-0.112
22,DET,0.014,45.50%,0.103,49.80%,-0.156,37.30%,-0.191
21,GB,0.221,50.70%,0.354,55.00%,0.025,44.30%,0.195
20,HOU,0.093,47.80%,0.211,53.10%,-0.193,34.90%,-0.075
19,IND,0.083,46.80%,0.181,49.90%,-0.047,42.60%,0.092
18,JAX,-0.05,42.00%,-0.034,45.00%,-0.086,35.30%,-0.217
17,KC,0.177,50.20%,0.288,54.30%,-0.056,41.50%,0.112
16,LAR,-0.013,44.60%,0.032,47.40%,-0.081,40.40%,0.151
15,LAC,0.043,43.80%,0.154,47.90%,-0.141,37.00%,0.015
14,LV,0.066,47.40%,0.155,51.60%,-0.067,41.20%,-0.071
13,MIA,0.026,46.80%,0.115,51.40%,-0.124,39.10%,0.049
12,MIN,0.089,49.10%,0.175,52.30%,-0.025,44.80%,-0.006
11,NE,0.004,46.50%,-0.038,46.70%,0.05,46.30%,-0.071
10,NO,0.096,47.80%,0.14,49.50%,0.039,45.60%,0.14
9,NYG,-0.057,42.10%,-0.051,43.40%,-0.067,39.90%,-0.093
8,NYJ,-0.116,41.00%,-0.098,41.80%,-0.146,39.60%,-0.222
7,PHI,-0.055,41.80%,-0.043,41.20%,-0.081,43.10%,-0.08
6,PIT,0.035,43.90%,0.118,46.90%,-0.134,37.90%,0.141
5,SEA,0.105,48.90%,0.164,51.30%,-0.014,44.00%,0.06
4,SF,0.01,45.90%,0.089,48.40%,-0.107,42.10%,0.025
3,TB,0.149,46.90%,0.239,50.40%,-0.032,39.90%,0.186
2,TEN,0.189,50.80%,0.297,54.30%,0.069,46.90%,0.058
1,WAS,-0.051,42.10%,-0.063,42.90%,-0.03,40.50%,0.033
