player,player_id_2018,position_2018,team_name_2018,player_game_count_2018,attempts_2018,avoided_tackles_2018,breakaway_attempts_2018,breakaway_percent_2018,breakaway_yards_2018,declined_penalties_2018,designed_yards_2018,drops_2018,elu_recv_mtf_2018,elu_rush_mtf_2018,elu_yco_2018,elusive_rating_2018,explosive_2018,first_downs_2018,franchise_id_2018,fumbles_2018,gap_attempts_2018,grades_hands_fumble_2018,grades_offense_2018,grades_offense_penalty_2018,grades_pass_2018,grades_pass_block_2018,grades_pass_route_2018,grades_run_2018,grades_run_block_2018,longest_2018,penalties_2018,rec_yards_2018,receptions_2018,routes_2018,run_plays_2018,scramble_yards_2018,scrambles_2018,targets_2018,total_touches_2018,touchdowns_2018,yards_2018,yards_after_contact_2018,yco_attempt_2018,ypa_2018,yprr_2018,zone_attempts_2018,player_id_2019,position_2019,team_name_2019,player_game_count_2019,attempts_2019,avoided_tackles_2019,breakaway_attempts_2019,breakaway_percent_2019,breakaway_yards_2019,declined_penalties_2019,designed_yards_2019,drops_2019,elu_recv_mtf_2019,elu_rush_mtf_2019,elu_yco_2019,elusive_rating_2019,explosive_2019,first_downs_2019,franchise_id_2019,fumbles_2019,gap_attempts_2019,grades_hands_fumble_2019,grades_offense_2019,grades_offense_penalty_2019,grades_pass_2019,grades_pass_block_2019,grades_pass_route_2019,grades_run_2019,grades_run_block_2019,longest_2019,penalties_2019,rec_yards_2019,receptions_2019,routes_2019,run_plays_2019,scramble_yards_2019,scrambles_2019,targets_2019,total_touches_2019,touchdowns_2019,yards_2019,yards_after_contact_2019,yco_attempt_2019,ypa_2019,yprr_2019,zone_attempts_2019,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,player_id_2021,position_2021,team_name_2021,player_game_count_2021,attempts_2021,avoided_tackles_2021,breakaway_attempts_2021,breakaway_percent_2021,breakaway_yards_2021,declined_penalties_2021,designed_yards_2021,drops_2021,elu_recv_mtf_2021,elu_rush_mtf_2021,elu_yco_2021,elusive_rating_2021,explosive_2021,first_downs_2021,franchise_id_2021,fumbles_2021,gap_attempts_2021,grades_hands_fumble_2021,grades_offense_2021,grades_offense_penalty_2021,grades_pass_2021,grades_pass_block_2021,grades_pass_route_2021,grades_run_2021,grades_run_block_2021,longest_2021,penalties_2021,rec_yards_2021,receptions_2021,routes_2021,run_plays_2021,scramble_yards_2021,scrambles_2021,targets_2021,total_touches_2021,touchdowns_2021,yards_2021,yards_after_contact_2021,yco_attempt_2021,ypa_2021,yprr_2021,zone_attempts_2021,player_id_2022,position_2022,team_name_2022,player_game_count_2022,attempts_2022,avoided_tackles_2022,breakaway_attempts_2022,breakaway_percent_2022,breakaway_yards_2022,declined_penalties_2022,designed_yards_2022,drops_2022,elu_recv_mtf_2022,elu_rush_mtf_2022,elu_yco_2022,elusive_rating_2022,explosive_2022,first_downs_2022,franchise_id_2022,fumbles_2022,gap_attempts_2022,grades_hands_fumble_2022,grades_offense_2022,grades_offense_penalty_2022,grades_pass_2022,grades_pass_block_2022,grades_pass_route_2022,grades_run_2022,grades_run_block_2022,longest_2022,penalties_2022,rec_yards_2022,receptions_2022,routes_2022,run_plays_2022,scramble_yards_2022,scrambles_2022,targets_2022,total_touches_2022,touchdowns_2022,yards_2022,yards_after_contact_2022,yco_attempt_2022,ypa_2022,yprr_2022,zone_attempts_2022
Ezekiel Elliott,10638.0,HB,DAL,15.0,304.0,37.0,25.0,36.7,526.0,0.0,1434.0,4.0,9.0,37.0,949.0,37.7,41.0,71.0,9.0,6.0,147.0,47.8,72.2,43.1,,58.5,70.3,71.7,65.1,41.0,3.0,567.0,77.0,412.0,364.0,0.0,0.0,91.0,381.0,6.0,1434.0,949.0,3.12,4.7,1.38,147.0,10638.0,HB,DAL,16.0,301.0,48.0,12.0,18.5,251.0,0.0,1357.0,6.0,10.0,48.0,972.0,52.8,38.0,77.0,9.0,3.0,109.0,69.9,77.0,46.2,,50.8,56.2,82.8,71.2,33.0,3.0,419.0,54.0,465.0,346.0,0.0,0.0,68.0,355.0,12.0,1357.0,972.0,3.23,4.5,0.9,188.0,10638.0,HB,DAL,15.0,244.0,43.0,5.0,11.6,114.0,0.0,979.0,8.0,10.0,43.0,688.0,50.5,22.0,62.0,9.0,6.0,76.0,31.3,65.3,90.2,,64.1,49.1,69.8,62.2,31.0,0.0,338.0,52.0,387.0,290.0,0.0,0.0,68.0,296.0,6.0,979.0,688.0,2.82,4.0,0.87,159.0,10638.0,HB,DAL,17.0,237.0,19.0,6.0,14.7,147.0,1.0,1002.0,2.0,7.0,19.0,646.0,25.0,24.0,55.0,9.0,1.0,94.0,84.8,68.9,67.3,60.1,38.1,56.3,76.0,52.5,47.0,1.0,287.0,47.0,420.0,282.0,0.0,0.0,63.0,284.0,10.0,1002.0,646.0,2.73,4.2,0.68,134.0,10638.0,HB,DAL,15.0,231.0,30.0,8.0,19.1,167.0,0.0,876.0,2.0,1.0,30.0,634.0,34.3,17.0,52.0,9.0,0.0,98.0,91.0,71.9,88.1,,61.1,41.4,75.5,77.6,27.0,0.0,92.0,17.0,234.0,265.0,0.0,0.0,23.0,248.0,12.0,876.0,634.0,2.74,3.8,0.39,122.0
Saquon Barkley,45791.0,HB,NYG,16.0,261.0,40.0,20.0,54.0,706.0,0.0,1307.0,5.0,31.0,40.0,872.0,67.4,31.0,50.0,21.0,0.0,78.0,91.5,85.2,65.9,,54.0,86.3,83.8,56.1,78.0,1.0,721.0,91.0,470.0,291.0,0.0,0.0,114.0,352.0,11.0,1307.0,872.0,3.34,5.0,1.53,176.0,45791.0,HB,NYG,13.0,217.0,42.0,9.0,33.0,331.0,1.0,1003.0,3.0,11.0,42.0,700.0,63.6,27.0,45.0,21.0,1.0,86.0,83.4,72.2,89.6,,63.4,57.2,76.1,58.4,68.0,1.0,438.0,52.0,377.0,242.0,0.0,0.0,69.0,269.0,6.0,1003.0,700.0,3.23,4.6,1.16,121.0,45791.0,HB,NYG,2.0,19.0,3.0,1.0,52.9,18.0,0.0,34.0,1.0,3.0,3.0,42.0,53.1,1.0,1.0,21.0,0.0,10.0,77.5,60.3,78.0,,27.0,62.8,62.3,60.0,18.0,0.0,60.0,6.0,35.0,19.0,0.0,0.0,9.0,25.0,0.0,34.0,42.0,2.21,1.8,1.71,8.0,45791.0,HB,NYG,13.0,162.0,20.0,5.0,21.6,128.0,0.0,593.0,6.0,7.0,20.0,435.0,35.7,9.0,27.0,21.0,2.0,74.0,63.9,59.1,56.1,,34.3,49.2,65.7,53.2,41.0,1.0,263.0,41.0,257.0,192.0,0.0,0.0,57.0,203.0,2.0,593.0,435.0,2.69,3.7,1.02,81.0,45791.0,HB,NYG,16.0,295.0,40.0,18.0,34.2,449.0,0.0,1312.0,6.0,7.0,40.0,820.0,37.1,32.0,62.0,21.0,1.0,164.0,88.3,77.1,90.5,,75.3,55.0,81.0,56.7,68.0,0.0,338.0,57.0,380.0,370.0,0.0,0.0,73.0,352.0,10.0,1312.0,820.0,2.78,4.4,0.89,122.0
David Johnson,9519.0,HB,ARZ,16.0,258.0,22.0,5.0,13.0,122.0,0.0,940.0,7.0,10.0,22.0,615.0,24.8,20.0,51.0,1.0,3.0,118.0,65.1,64.1,88.9,,71.4,60.4,63.2,59.4,53.0,0.0,446.0,50.0,360.0,286.0,0.0,0.0,70.0,308.0,7.0,940.0,615.0,2.38,3.6,1.24,120.0,9519.0,HB,ARZ,13.0,94.0,6.0,5.0,23.8,82.0,0.0,345.0,1.0,5.0,6.0,193.0,17.4,8.0,20.0,1.0,1.0,34.0,69.3,72.2,89.4,,64.3,74.5,68.9,54.0,18.0,0.0,370.0,36.0,232.0,139.0,0.0,0.0,43.0,130.0,2.0,345.0,193.0,2.05,3.7,1.59,57.0,9519.0,HB,HST,12.0,147.0,22.0,10.0,35.9,248.0,0.0,691.0,4.0,12.0,22.0,383.0,49.2,18.0,38.0,13.0,2.0,49.0,60.3,62.9,89.1,,51.5,45.5,72.8,54.3,48.0,0.0,314.0,33.0,333.0,164.0,0.0,0.0,46.0,180.0,6.0,691.0,383.0,2.61,4.7,0.94,98.0,9519.0,HB,HST,13.0,67.0,7.0,1.0,6.6,15.0,0.0,228.0,1.0,6.0,7.0,163.0,31.9,3.0,7.0,13.0,1.0,34.0,61.9,60.4,87.2,,34.4,70.6,56.3,54.9,15.0,0.0,225.0,32.0,176.0,80.0,0.0,0.0,39.0,99.0,0.0,228.0,163.0,2.43,3.4,1.28,28.0,9519.0,HB,NO,5.0,12.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,20.0,1.0,7.0,23.6,51.3,78.0,,37.4,69.9,42.0,72.8,5.0,0.0,47.0,4.0,30.0,23.0,0.0,0.0,4.0,16.0,0.0,24.0,23.0,1.92,2.0,1.57,5.0
Todd Gurley II,9443.0,HB,LA,14.0,256.0,31.0,17.0,29.3,367.0,0.0,1251.0,7.0,11.0,31.0,821.0,42.8,35.0,70.0,26.0,1.0,62.0,86.5,77.8,89.2,,78.7,67.3,78.3,59.9,36.0,1.0,580.0,59.0,428.0,303.0,0.0,0.0,76.0,315.0,17.0,1251.0,821.0,3.21,4.9,1.36,193.0,9443.0,HB,LA,15.0,223.0,43.0,8.0,18.3,157.0,0.0,857.0,6.0,4.0,43.0,620.0,51.4,21.0,51.0,26.0,3.0,100.0,47.0,67.0,90.5,,70.6,34.8,79.1,45.5,25.0,0.0,207.0,31.0,391.0,258.0,0.0,0.0,45.0,254.0,12.0,857.0,620.0,2.78,3.8,0.53,123.0,9443.0,HB,ATL,15.0,195.0,34.0,5.0,15.6,106.0,0.0,678.0,3.0,6.0,34.0,491.0,45.8,16.0,44.0,2.0,2.0,96.0,66.6,54.8,48.9,,50.8,44.0,59.1,60.0,35.0,1.0,164.0,25.0,229.0,207.0,0.0,0.0,31.0,220.0,9.0,678.0,491.0,2.52,3.5,0.72,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Peterson,3623.0,HB,WAS,16.0,251.0,45.0,13.0,35.8,373.0,0.0,1042.0,1.0,11.0,45.0,754.0,62.1,26.0,47.0,32.0,3.0,139.0,62.4,76.2,84.5,,38.7,64.3,75.4,59.8,90.0,0.0,208.0,20.0,158.0,288.0,0.0,0.0,25.0,271.0,7.0,1042.0,754.0,3.0,4.2,1.32,110.0,3623.0,HB,WAS,15.0,211.0,37.0,12.0,29.1,261.0,0.0,898.0,1.0,8.0,37.0,634.0,59.3,25.0,41.0,32.0,3.0,121.0,56.2,67.6,83.9,,21.2,58.7,69.7,58.3,32.0,0.0,142.0,17.0,127.0,235.0,0.0,0.0,22.0,228.0,5.0,898.0,634.0,3.0,4.3,1.12,89.0,3623.0,HB,DET,16.0,155.0,19.0,7.0,27.0,164.0,0.0,608.0,2.0,1.0,19.0,396.0,30.6,13.0,35.0,11.0,0.0,77.0,90.3,59.6,82.4,60.0,67.6,50.1,60.8,60.0,38.0,0.0,101.0,12.0,110.0,169.0,0.0,0.0,17.0,167.0,7.0,608.0,396.0,2.55,3.9,0.92,77.0,3623.0,HB,SEA,4.0,38.0,5.0,1.0,16.3,16.0,0.0,98.0,0.0,0.0,5.0,83.0,26.0,2.0,6.0,29.0,1.0,18.0,36.3,61.1,76.4,,78.6,59.2,60.6,60.0,16.0,0.0,8.0,4.0,24.0,42.0,0.0,0.0,4.0,42.0,2.0,98.0,83.0,2.18,2.6,0.33,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Howard,10784.0,HB,CHI,16.0,250.0,22.0,10.0,23.4,219.0,0.0,935.0,0.0,1.0,22.0,685.0,23.3,18.0,53.0,6.0,2.0,82.0,73.1,68.1,89.5,,85.5,64.2,63.5,75.7,42.0,0.0,145.0,20.0,211.0,306.0,0.0,0.0,26.0,270.0,9.0,935.0,685.0,2.74,3.7,0.69,166.0,10784.0,HB,PHI,10.0,119.0,20.0,8.0,25.9,136.0,0.0,525.0,2.0,2.0,20.0,349.0,50.0,17.0,28.0,24.0,0.0,38.0,89.5,69.0,84.4,,75.6,51.0,69.3,66.8,20.0,0.0,69.0,10.0,93.0,136.0,0.0,0.0,13.0,129.0,6.0,525.0,349.0,2.93,4.4,0.74,79.0,10784.0,HB,PHI,7.0,35.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,66.0,5.2,1.0,7.0,24.0,1.0,17.0,30.6,41.6,76.7,,81.4,27.7,50.2,37.7,11.0,0.0,-3.0,1.0,22.0,38.0,0.0,0.0,1.0,36.0,4.0,60.0,66.0,1.89,1.7,-0.14,17.0,10784.0,HB,PHI,7.0,86.0,14.0,5.0,22.4,91.0,0.0,406.0,1.0,0.0,14.0,270.0,49.9,9.0,25.0,24.0,0.0,17.0,86.5,75.3,82.8,,34.9,45.4,77.0,60.0,25.0,0.0,19.0,2.0,49.0,98.0,0.0,0.0,3.0,88.0,3.0,406.0,270.0,3.14,4.7,0.39,69.0,10784.0,HB,NO,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,61.9,57.1,66.2,,,57.5,59.3,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
Chris Carson,12004.0,HB,SEA,14.0,247.0,45.0,17.0,31.5,363.0,0.0,1151.0,1.0,5.0,45.0,831.0,63.0,33.0,61.0,29.0,3.0,73.0,61.6,83.2,85.8,,60.7,70.8,80.1,60.0,61.0,0.0,163.0,20.0,136.0,279.0,0.0,0.0,22.0,267.0,9.0,1151.0,831.0,3.36,4.7,1.2,168.0,12004.0,HB,SEA,15.0,278.0,62.0,14.0,25.8,317.0,0.0,1230.0,3.0,12.0,62.0,1008.0,85.2,32.0,74.0,29.0,7.0,83.0,29.3,77.9,89.9,,52.6,61.6,79.8,60.1,59.0,0.0,266.0,37.0,307.0,320.0,0.0,0.0,44.0,315.0,7.0,1230.0,1008.0,3.63,4.4,0.87,190.0,12004.0,HB,SEA,12.0,141.0,27.0,6.0,18.9,129.0,0.0,681.0,3.0,4.0,27.0,451.0,55.7,19.0,43.0,29.0,1.0,31.0,76.0,78.1,86.6,,55.3,82.3,74.0,60.4,29.0,0.0,287.0,37.0,207.0,162.0,0.0,0.0,46.0,178.0,5.0,681.0,451.0,3.2,4.8,1.39,108.0,12004.0,HB,SEA,4.0,54.0,10.0,2.0,27.2,63.0,0.0,232.0,0.0,6.0,10.0,165.0,81.5,2.0,11.0,29.0,1.0,21.0,49.1,70.7,2.5,,35.0,58.1,75.0,59.4,33.0,1.0,29.0,6.0,55.0,61.0,0.0,0.0,6.0,60.0,3.0,232.0,165.0,3.06,4.3,0.53,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Mixon,11803.0,HB,CIN,14.0,236.0,29.0,23.0,45.9,538.0,0.0,1171.0,4.0,7.0,29.0,652.0,35.6,34.0,61.0,7.0,0.0,72.0,91.1,77.8,88.4,60.0,39.3,60.3,81.4,60.7,51.0,0.0,296.0,43.0,274.0,259.0,0.0,0.0,54.0,279.0,8.0,1171.0,652.0,2.76,5.0,1.08,156.0,11803.0,HB,CIN,16.0,278.0,52.0,14.0,26.9,306.0,0.0,1137.0,2.0,9.0,52.0,877.0,61.5,29.0,56.0,7.0,0.0,80.0,86.7,75.3,15.7,,64.6,68.3,74.8,67.0,41.0,3.0,287.0,35.0,241.0,321.0,0.0,0.0,42.0,313.0,5.0,1137.0,877.0,3.15,4.1,1.19,196.0,11803.0,HB,CIN,6.0,119.0,14.0,3.0,18.2,78.0,0.0,428.0,1.0,8.0,14.0,303.0,40.0,6.0,20.0,7.0,1.0,43.0,71.0,65.3,85.7,,60.6,66.5,63.5,59.0,34.0,0.0,138.0,21.0,128.0,135.0,0.0,0.0,23.0,140.0,3.0,428.0,303.0,2.55,3.6,1.08,76.0,11803.0,HB,CIN,16.0,292.0,41.0,12.0,21.2,256.0,0.0,1205.0,1.0,5.0,41.0,903.0,42.6,26.0,60.0,7.0,2.0,102.0,78.0,79.5,88.0,,31.5,64.1,82.4,56.2,32.0,0.0,314.0,42.0,300.0,327.0,0.0,0.0,47.0,334.0,13.0,1205.0,903.0,3.09,4.1,1.05,184.0,11803.0,HB,CIN,14.0,210.0,23.0,6.0,19.1,156.0,0.0,815.0,4.0,11.0,23.0,552.0,33.1,16.0,47.0,7.0,0.0,120.0,91.0,79.3,89.9,,38.1,79.5,78.0,56.5,40.0,1.0,441.0,60.0,301.0,250.0,0.0,0.0,70.0,270.0,7.0,815.0,552.0,2.63,3.9,1.47,82.0
Peyton Barber,10927.0,HB,TB,16.0,234.0,43.0,10.0,23.2,202.0,0.0,871.0,2.0,2.0,43.0,627.0,47.5,24.0,41.0,30.0,1.0,96.0,81.4,66.8,86.1,,59.7,49.1,70.0,60.0,28.0,1.0,92.0,20.0,270.0,265.0,0.0,0.0,27.0,254.0,5.0,871.0,627.0,2.68,3.7,0.34,126.0,10927.0,HB,TB,16.0,154.0,17.0,3.0,10.2,48.0,0.0,470.0,0.0,4.0,17.0,356.0,28.6,8.0,24.0,30.0,1.0,89.0,75.7,64.9,82.2,,59.6,66.2,63.4,59.8,17.0,0.0,115.0,16.0,110.0,176.0,0.0,0.0,20.0,170.0,6.0,470.0,356.0,2.31,3.1,1.05,64.0,10927.0,HB,WAS,16.0,94.0,7.0,1.0,5.8,15.0,0.0,258.0,2.0,0.0,7.0,155.0,11.8,5.0,26.0,32.0,0.0,54.0,87.3,58.3,82.4,,54.3,42.0,61.6,57.2,15.0,0.0,12.0,4.0,51.0,126.0,0.0,0.0,8.0,98.0,4.0,258.0,155.0,1.65,2.7,0.24,38.0,10927.0,HB,LV,9.0,55.0,11.0,3.0,30.7,65.0,0.0,212.0,1.0,2.0,11.0,194.0,70.5,6.0,12.0,23.0,2.0,26.0,28.3,68.6,79.2,,85.8,65.3,66.6,60.0,27.0,0.0,67.0,10.0,44.0,65.0,0.0,0.0,13.0,65.0,2.0,212.0,194.0,3.53,3.9,1.52,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,11763.0,HB,CAR,16.0,219.0,32.0,13.0,31.9,350.0,0.0,1098.0,0.0,21.0,32.0,639.0,47.3,31.0,54.0,5.0,4.0,118.0,58.7,82.8,90.9,71.3,62.6,89.1,77.2,59.1,59.0,0.0,874.0,108.0,493.0,345.0,0.0,0.0,122.0,327.0,7.0,1098.0,639.0,2.92,5.0,1.77,95.0,11763.0,HB,CAR,16.0,287.0,49.0,13.0,31.6,438.0,1.0,1387.0,6.0,27.0,49.0,752.0,49.4,31.0,56.0,5.0,1.0,130.0,81.4,86.5,90.6,45.6,75.5,92.4,75.6,62.8,84.0,1.0,1005.0,116.0,570.0,340.0,0.0,0.0,135.0,403.0,15.0,1387.0,752.0,2.62,4.8,1.76,155.0,11763.0,HB,CAR,3.0,59.0,12.0,1.0,6.7,15.0,0.0,225.0,0.0,2.0,12.0,155.0,48.4,4.0,14.0,5.0,0.0,32.0,85.1,75.6,83.8,,53.3,75.9,74.9,34.4,15.0,0.0,149.0,17.0,83.0,69.0,0.0,0.0,19.0,76.0,5.0,225.0,155.0,2.63,3.8,1.8,27.0,11763.0,HB,CAR,7.0,99.0,16.0,6.0,21.3,94.0,0.0,442.0,0.0,8.0,16.0,297.0,52.9,15.0,19.0,5.0,1.0,45.0,70.4,80.6,84.7,,56.8,92.8,69.7,58.5,18.0,0.0,343.0,37.0,118.0,125.0,0.0,0.0,40.0,136.0,1.0,442.0,297.0,3.0,4.5,2.91,53.0,11763.0,HB,SF,17.0,244.0,36.0,13.0,29.9,340.0,0.0,1139.0,3.0,18.0,36.0,707.0,47.6,28.0,59.0,28.0,1.0,90.0,86.8,88.9,90.8,87.1,48.9,92.5,77.6,59.3,49.0,0.0,741.0,85.0,405.0,302.0,0.0,0.0,102.0,329.0,8.0,1139.0,707.0,2.9,4.7,1.83,150.0
