,Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
0,Cardinals,609.738559787986,21.70905504275123,297.2346086294648,45.56644276079531,169.02859439338835,144.0884787139421,361.3667193270392,514.1860935910905,0.07246230825771621
1,Falcons,194.28850926527068,44.24635037705135,116.75722811076196,599.90302678077,580.6037181541255,144.39265808134687,53.212393553437195,559.036808706009,1.106768332188122
2,Ravens,87.42473516041373,24.7481945982121,520.5390603135662,68.13353468711813,336.9521253547598,305.17651955093635,168.5862063519821,225.816819480228,0.08560459491587315
3,Bills,482.48595898686597,78.6957444301292,30.274499421904398,54.92135123697896,213.99164336021323,728.9372306986563,161.1403082558331,94.02937700983132,3.956307978002737
4,Panthers,325.0372876951849,224.86547216455398,206.46896463780573,70.06914562848743,215.7867724882956,661.5724538699021,193.53999631115545,881.7636407205435,1.3516087122506288
5,Bears,376.55542279322447,42.31284391881772,40.965311945549836,112.28033779170376,321.7802259876962,145.52165108075943,259.22524080438853,229.69851738028808,0.8254262313896145
6,Bengals,779.8923663474422,62.76430839452448,640.4669902457125,68.95807412110831,428.5985372671174,180.02149346036748,174.4833155829802,432.795043759552,12.814487017405273
7,Browns,472.3665527410147,103.57151832453306,127.57064435587095,110.34515266258802,494.1324973641383,764.2502578178415,201.60716370338653,746.9505664249765,0.6751144494387418
8,Cowboys,4.738789340067544,161.80709863900157,374.1477794237507,11.460652006661288,178.17512694011262,261.1511102293416,689.7374754267273,421.13875932523916,8.1410361051584
9,Broncos,118.04471593836271,240.70062647878507,430.84736329648524,184.62704521435091,287.4925325203651,74.72431606279552,351.97874965857824,567.4608845150799,1.1476432018464757
10,Lions,286.5047968601901,140.02513076208436,43.15066869642729,246.13014171138664,721.9093082077317,264.10709460379906,152.98892341346473,525.8508593761031,4.603567707218888
11,Packers,177.81547174767692,68.66106931554266,84.00240257746498,39.61337072178115,206.89057643664762,110.24762812900828,118.64444052000397,612.613000008162,0.907355575539403
12,Texans,76.04231691519149,65.04205571831346,219.5165645711369,30.458771707281432,371.1234602199388,283.4010929322366,73.70649974632404,253.9219398092049,0.0
13,Colts,225.28635446226986,137.72127083184753,216.1286848855666,19.77,527.5483223170941,534.7612915488623,266.5944464659248,284.4379371507506,0.0
14,Jaguars,1012.1326639698342,25.61203337025809,369.160258581542,44.5927489157499,351.32418369303207,308.1224307626163,346.13062424443467,599.2744222797154,4.076523350154957
15,Chiefs,139.4924778576984,152.14562438311552,72.40082244793977,25.6530944772535,160.6638832354465,167.03713022558355,178.11177049921216,357.34610781668005,4.041737079451801
16,Raiders,191.59318380161187,162.6253525396043,384.92562686953437,10.38965840678227,542.3509421805496,602.1690621753152,160.9738328839989,699.012800690392,3.830892742729629
17,Chargers,347.4619693673073,26.155359803697042,227.66520648774375,40.807217920819674,404.53939734305726,164.51383177217272,405.8237563606005,339.6131088750618,0.8783259882056165
18,Rams,49.787068367863945,219.05734211458687,296.81938948228844,20.869525107480417,171.64235379485947,191.50217297133474,213.87245863679746,278.5024112516678,8.030465934595266
19,Dolphins,376.9255451986079,21.03908354344259,604.4973563349815,180.22786045204012,542.616489360054,354.28569575776527,359.540144588681,509.91500414477804,5.192516019669398
20,Vikings,90.13581881235757,141.22329356000805,222.7389837617767,7.496960099410071,606.6839876302781,133.15821089596733,221.24398730275243,138.94423059539957,0.0
21,Patriots,315.2,55.43261718720226,172.27539531656817,96.31363731353176,156.03357648450896,186.0453489297599,239.9965974346457,256.6404061072162,5.57168033638278
22,Saints,240.7057667534198,46.81694437517391,127.86136262678352,36.91378565268034,496.1980798754093,454.74920373136547,81.26383178122882,452.6357643477233,0.0
23,Giants,285.7652422938455,349.1630295851558,550.6107040976924,105.44636610562289,671.8028469084779,446.1531364783898,173.91653668035724,505.7171159931254,0.5987950254377973
24,Jets,732.1598801810943,67.45250996451205,426.40118345403175,50.5399923002976,648.8391707894147,585.0525698539251,184.83255389499365,204.78413666682664,4.130957602338554
25,Eagles,86.64578093749627,87.17916652788499,643.6947483292839,85.37246961083868,432.87868910074155,308.76979991033676,44.94021403618976,89.39768189631975,4.076104208179581
26,Steelers,34.00056102723159,276.81078461612935,266.2629459519576,173.7947234341666,126.67747313937092,203.48934244047445,323.4631281988114,478.46705432414393,1.17
27,49ers,528.9235357709684,124.67264458651032,315.7484677296281,8.549010568897206,414.7113641639463,741.8613411993326,110.1012061613613,247.08098824987366,17.5044748393066
28,Seahawks,27.354806658260117,130.1024118052359,209.95944308332156,73.88634810047475,189.4646866099153,292.9641848383109,237.15307069044522,410.27917315081976,5.720358953693688
29,Buccaneers,30.317637265323548,341.5594999948198,184.92916643148814,111.26683682817367,379.9243637994225,232.04011855054588,523.5231570874806,316.63809350201535,3.5755989112499287
30,Titans,45.98840401881721,107.07652696649276,146.6484741405934,4.005132828170569,238.96413652137377,207.19692698724327,262.97907331054734,420.8281418479618,4.330853336149686
31,Commanders,0.5186997566113485,67.2368619553243,157.82715932475134,27.003594225327916,343.17529502691815,1003.0449912764218,303.04141529892195,272.9813039532779,0.8783259882056165
