Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
BAL,2024,1782.83,43.1719,10.7182,0,6.77546,0.1863,0.3325,0.103777,0.0215,0.0045,-0.11665,0.1648,30.0526,21.1579,8.8947,13,13.2377,12.3133,13
BAL,2019,1772.63,69.1957,11.6035,0,10.0759,0.1616,0.2482,0.101725,-0.0801,-0.1562,-0.0344554,0.2417,31.9412,18.2353,13.7059,14,13.44,11.3035,14
NO,2011,1760.58,46.7344,9.71549,0,5.41205,0.2013,0.3167,0.0102495,0.0041,0.029,-0.0428521,0.1973,34.6667,22.3889,12.2778,14,13.2861,11.9118,13
NO,2020,1757.21,1.78,10.8069,0,4.81584,0.0563,0.0895,0.0216338,-0.0833,-0.0682,-0.127897,0.1396,29.0556,20.8889,8.1667,13,12.3503,11.3568,13
GB,2011,1746.73,8.3779,9.16136,0,2.8895,0.2179,0.3819,-0.0638382,0.0329,0.0659,0.0290731,0.185,34.1176,23.2941,10.8235,15,12.1016,12.8747,11
NE,2016,1745.55,43.7965,9.49312,0.645196,5.5769,0.121,0.2505,-0.0727411,-0.0927,-0.028,-0.0833056,0.2137,28.6842,16.3684,12.3158,17,15.0246,13.8419,15
DEN,2013,1735.8,26.7,9.89793,0.350079,4.80102,0.1941,0.3221,-0.058748,0.0515,0.0847,-0.124068,0.1426,34.9474,25,9.9474,15,13.0846,14.1448,14
SEA,2025,1731.02,-7.1035,9.73683,0.512988,9.82215,0.0895,0.149,-0.0638935,-0.1428,-0.102,-0.147945,0.2323,29.2105,17.1053,12.1053,16,14.8285,12.7863,15
DET,2024,1730.99,27.5587,8.64464,0,5.67753,0.1706,0.2562,0.0378555,-0.0265,-0.0577,-0.0157102,0.1971,33.0556,21.5,11.5556,15,13.2275,12.4423,16
BUF,2023,1727.98,15.783,9.3468,0,5.01272,0.079,0.1274,0.0828993,-0.0585,-0.1092,-0.0271551,0.1376,26.6316,18.6842,7.9474,12,13.2707,12.3138,12
KC,2021,1726.54,36.9617,8.4289,0,4.05893,0.152,0.208,0.0478374,0.0321,0.0506,0.016225,0.1199,29.4,22.4,7,14,13.1153,13.6817,11
BUF,2021,1724.05,18.2025,8.32894,0,4.98914,0.1052,0.1588,0.104136,-0.106,-0.136,-0.0566265,0.2112,29.7895,18.3158,11.4737,12,14.4402,12.6585,11
ATL,2016,1717.44,39.0541,8.36884,0.971866,9.0062,0.2037,0.346,-0.0162663,0.0305,0.0896,-0.0322793,0.1732,34.1053,25.3158,8.7895,13,12.7221,10.4505,16
NE,2012,1716.9,5.0541,8.8692,0,1.77814,0.1834,0.2621,0.0383629,0.0125,0.065,-0.122337,0.1709,33.9444,21.5,12.4444,13,13.4448,13.5828,16
DEN,2012,1716.7,24.2119,8.86119,0,8.81591,0.1144,0.2403,-0.122968,-0.0594,-0.0774,-0.111322,0.1737,30.3529,19.2353,11.1176,13,12.6938,10.7618,13
NO,2019,1716.64,25.3531,9.36404,0,5.03225,0.0518,0.1675,-0.065078,-0.0696,-0.0131,-0.144556,0.1215,28.1176,21.5882,6.5294,13,11.0779,11.1242,14
MIN,2009,1714.8,36.2203,7.36269,-0.125225,6.46695,0.0902,0.2511,-0.157528,-0.0924,-0.0216,-0.196626,0.1826,29.5556,19.2222,10.3333,13,13.2281,12.0533,13
KC,2019,1713.75,24.6229,9.2485,0.619756,5.64801,0.1529,0.2406,-0.00521998,-0.027,-0.0276,0.0431423,0.18,29.8947,20.1579,9.7368,15,13.6398,12.5508,13
GB,2020,1713.35,31.8936,9.05254,0,7.7872,0.1912,0.3125,0.056493,0.0396,0.0262,0.0245178,0.1517,31.5,23.2222,8.2778,14,12.1171,12.1083,13
PHI,2024,1705.34,3.3499,7.6186,1.56063,7.26074,0.111,0.1479,0.0808176,-0.0928,-0.1084,-0.117191,0.2038,28.9524,18.0952,10.8571,18,15.81,13.2875,15
NE,2011,1705.19,18.3614,7.49972,-0.84377,-0.031455,0.2217,0.3161,0.0379046,0.0537,0.1115,-0.0293722,0.168,31.4737,20.6842,10.7895,15,13.871,14.0021,16
DAL,2021,1703.78,8.3627,7.51819,0,6.88169,0.054,0.1596,-0.0466579,-0.1085,-0.1549,-0.0152869,0.1626,30.3889,21.1667,9.2222,12,12.637,10.5359,14
TB,2021,1703.15,11.4562,7.4932,0,1.98132,0.0809,0.1584,-0.00753749,-0.0787,-0.0768,-0.112861,0.1596,29.9474,20.9474,9,14,13.2992,13.8491,13
SF,2013,1702.84,1.7523,8.5794,0,3.60488,0.0599,0.1222,-0.0468672,-0.0824,-0.0553,-0.105345,0.1423,24.6842,17.1053,7.5789,14,13.3873,12.1849,13
